Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,64.7796,5.89283,0,0,1700571919
1,45.8945,5.89283,0,0,1700571919
1,44.1926,7.71054,0,0,1700571919
1,44.8498,7.00503,0,0,1700571919
1,46.139,6.92694,0,0,1700571919
1,47.7118,7.22008,0,0,1700571919
1,49.3624,7.22188,0,0,1700571919
1,50.6452,6.99301,0,0,1700571919
1,51.0067,7.15033,0,0,1700571919
1,50.5902,7.79556,0,0,1700571919
1,50.1526,8.38085,0,0,1700571919
1,50.055,8.50615,0,0,1700571919
1,49.9463,8.24605,0,0,1700571919
1,49.6118,7.85193,0,0,1700571919
1,49.1022,7.5519,0,0,1700571919
1,48.6272,7.41598,0,0,1700571919
1,48.5339,7.35223,0,0,1700571919
1,48.799,7.26478,0,0,1700571919
1,49.0917,7.16333,0,0,1700571919
1,49.2992,7.14182,0,0,1700571919
1,49.5496,7.2567,0,0,1700571919
1,49.8042,7.41065,0,0,1700571919
1,49.8907,7.50601,0,0,1700571919
1,49.9443,7.63265,0,0,1700571919
1,50.143,7.81119,0,0,1700571919
1,50.298,7.91935,0,0,1700571919
1,50.2361,7.9937,0,0,1700571919
1,50.0753,8.11997,0,0,1700571919
1,49.998,8.22571,0,0,1700571919
1,50.0729,8.24916,0,0,1700571919
1,50.2359,8.21682,0,0,1700571919
1,50.4066,8.15973,0,0,1700571919
1,50.6005,8.08932,0,0,1700571919
1,50.7637,8.005,0,0,1700571919
1,50.7621,7.9187,0,0,1700571919
1,50.6723,7.86638,0,0,1700571919
1,50.6112,7.85084,0,0,1700571919
1,50.4933,7.81122,0,0,1700571919
1,50.2779,7.72575,0,0,1700571919
1,50.0363,7.64398,0,0,1700571919
1,49.8476,7.58602,0,0,1700571919
1,49.7705,7.56742,0,0,1700571919
1,49.7471,7.60921,0,0,1700571919
1,49.7374,7.64464,0,0,1700571919
1,49.8179,7.62951,0,0,1700571919
1,49.9541,7.61752,0,0,1700571919
1,50.019,7.60017,0,0,1700571919
1,50.0081,7.52649,0,0,1700571919
1,50.001,7.42397,0,0,1700571919
1,50.0624,7.36916,0,0,1700571919
1,50.1871,7.40478,0,0,1700571919
1,50.2688,7.48231,0,0,1700571919
1,50.2819,7.53616,0,0,1700571919
1,50.348,7.55577,0,0,1700571919
1,50.4608,7.58209,0,0,1700571919
1,50.4809,7.65989,0,0,1700571919
1,50.4325,7.74232,0,0,1700571919
1,50.4184,7.75716,0,0,1700571919
1,50.4126,7.73716,0,0,1700571919
1,50.383,7.74295,0,0,1700571919
1,50.3491,7.77712,0,0,1700571919
1,50.3348,7.83102,0,0,1700571919
1,50.3668,7.88438,0,0,1700571919
1,50.4156,7.90822,0,0,1700571919
1,50.4378,7.91429,0,0,1700571919
1,50.4152,7.92316,0,0,1700571919
1,50.3618,7.91658,0,0,1700571919
1,50.3485,7.86542,0,0,1700571919
1,50.3759,7.78224,0,0,1700571919
1,50.3622,7.71021,0,0,1700571919
1,50.3165,7.68667,0,0,1700571919
1,50.3016,7.72142,0,0,1700571919
1,50.2853,7.76791,0,0,1700571919
1,50.2487,7.79074,0,0,1700571919
1,50.238,7.81236,0,0,1700571919
1,50.2291,7.82764,0,0,1700571919
1,50.1873,7.81586,0,0,1700571919
1,50.1663,7.80421,0,0,1700571919
1,50.224,7.8101,0,0,1700571919
1,50.316,7.81549,0,0,1700571919
1,50.3605,7.80222,0,0,1700571919
1,50.3641,7.7612,0,0,1700571919
1,50.3447,7.70107,0,0,1700571919
1,50.271,7.64597,0,0,1700571919
1,50.1507,7.60747,0,0,1700571919
1,50.0435,7.58465,0,0,1700571919
1,49.9941,7.57473,0,0,1700571919
1,50.0206,7.55752,0,0,1700571919
1,50.1408,7.51872,0,0,1700571919
1,50.3049,7.46961,0,0,1700571919
1,50.4034,7.42304,0,0,1700571919
1,50.4103,7.40083,0,0,1700571919
1,50.3714,7.4099,0,0,1700571919
1,50.3223,7.42335,0,0,1700571919
1,50.3049,7.42967,0,0,1700571919
1,50.3366,7.42693,0,0,1700571919
1,50.3763,7.41573,0,0,1700571919
1,50.3845,7.41729,0,0,1700571919
1,50.3619,7.42995,0,0,1700571919
1,50.3261,7.43979,0,0,1700571919
1,50.2997,7.45784,0,0,1700571919
1,50.3081,7.48333,0,0,1700571919
1,50.3329,7.4986,0,0,1700571919
1,50.3149,7.50232,0,0,1700571919
1,50.2525,7.50718,0,0,1700571919
1,50.1886,7.52204,0,0,1700571919
1,50.1577,7.54928,0,0,1700571919
1,50.1649,7.57018,0,0,1700571919
1,50.1517,7.56831,0,0,1700571919
1,50.1055,7.55923,0,0,1700571919
1,50.092,7.53896,0,0,1700571919
1,50.0928,7.49558,0,0,1700571919
1,50.0558,7.45161,0,0,1700571919
1,50.013,7.417,0,0,1700571919
1,49.9902,7.38538,0,0,1700571919
1,49.9723,7.35791,0,0,1700571919
1,49.9403,7.3269,0,0,1700571919
1,49.8714,7.28889,0,0,1700571919
1,49.7909,7.26232,0,0,1700571919
1,49.7513,7.25508,0,0,1700571919
1,49.737,7.25847,0,0,1700571919
1,49.704,7.28137,0,0,1700571919
1,49.6523,7.32556,0,0,1700571919
1,49.6066,7.35567,0,0,1700571919
1,49.5917,7.35074,0,0,1700571919
1,49.609,7.32829,0,0,1700571919
1,49.6277,7.30003,0,0,1700571919
1,49.6255,7.26922,0,0,1700571919
1,49.595,7.24155,0,0,1700571919
1,49.5397,7.21206,0,0,1700571919
1,49.4941,7.18625,0,0,1700571919
1,49.4852,7.19142,0,0,1700571919
1,49.499,7.22826,0,0,1700571919
1,49.5128,7.25094,0,0,1700571919
1,49.5292,7.23929,0,0,1700571919
1,49.5551,7.22925,0,0,1700571919
1,49.5806,7.24068,0,0,1700571919
1,49.6125,7.25222,0,0,1700571919
1,49.6534,7.24717,0,0,1700571919
1,49.6717,7.23955,0,0,1700571919
1,49.6483,7.24134,0,0,1700571919
1,49.6,7.24201,0,0,1700571919
1,49.5548,7.2407,0,0,1700571919
1,49.52,7.23912,0,0,1700571919
1,49.5006,7.22524,0,0,1700571919
1,49.5062,7.19772,0,0,1700571919
