Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,64.7796,5.89283,0,0,1700571919
1,27.0095,5.89283,0,0,1700571919
1,40.7888,11.3459,0,0,1700571919
1,46.8211,4.88853,0,0,1700571919
1,51.2962,6.61455,0,0,1700571919
1,55.5755,8.68578,0,0,1700571919
1,59.2659,7.2327,0,0,1700571919
1,59.6251,5.39091,0,0,1700571919
1,53.899,8.40887,0,0,1700571919
1,46.8411,13.6027,0,0,1700571919
1,45.7769,14.2337,0,0,1700571919
1,48.9815,9.88447,0,0,1700571919
1,48.6414,5.12484,0,0,1700571919
1,45.2633,2.72843,0,0,1700571919
1,41.9681,3.3515,0,0,1700571919
1,41.5026,5.37711,0,0,1700571919
1,47.0401,6.33219,0,0,1700571919
1,53.3061,5.77823,0,0,1700571919
1,54.3607,5.33717,0,0,1700571919
1,53.242,6.73312,0,0,1700571919
1,54.5563,9.55434,0,0,1700571919
1,55.1513,10.6436,0,0,1700571919
1,51.7948,9.60382,0,0,1700571919
1,51.1772,10.5456,0,0,1700571919
1,54.9103,12.0962,0,0,1700571919
1,54.1728,10.6234,0,0,1700571919
1,48.6259,9.92673,0,0,1700571919
1,45.7354,11.5293,0,0,1700571919
1,47.8333,11.1863,0,0,1700571919
1,52.2439,8.92941,0,0,1700571919
1,55.1266,7.24646,0,0,1700571919
1,55.6993,6.39013,0,0,1700571919
1,56.8056,5.83595,0,0,1700571919
1,56.1473,5.22246,0,0,1700571919
1,50.7068,4.98454,0,0,1700571919
1,47.5315,6.03528,0,0,1700571919
1,48.4118,7.29121,0,0,1700571919
1,46.1296,6.34542,0,0,1700571919
1,42.0942,4.47776,0,0,1700571919
1,40.6126,4.45507,0,0,1700571919
1,42.302,5.26762,0,0,1700571919
1,46.6092,6.805,0,0,1700571919
1,48.7634,9.36416,0,0,1700571919
1,49.3175,9.16802,0,0,1700571919
1,53.3631,6.96404,0,0,1700571919
1,56.0829,7.07784,0,0,1700571919
1,53.0049,6.80224,0,0,1700571919
1,49.4928,4.06326,0,0,1700571919
1,49.6603,2.50312,0,0,1700571919
1,53.072,4.68329,0,0,1700571919
1,56.4242,9.18581,0,0,1700571919
1,54.4354,11.4365,0,0,1700571919
1,50.96,10.3365,0,0,1700571919
1,53.8551,8.59488,0,0,1700571919
1,56.5476,9.00354,0,0,1700571919
1,51.5871,11.9387,0,0,1700571919
1,47.7244,12.3588,0,0,1700571919
1,49.6129,8.60266,0,0,1700571919
