Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,66.642,5.57741,0,0,1700572187
1,66.642,5.57741,0,0,1700572187
1,58.2785,7.13658,0,0,1700572187
1,55.4077,7.39057,0,0,1700572187
1,54.0927,7.87584,0,0,1700572187
1,53.5285,8.20112,0,0,1700572187
1,53.33,8.44454,0,0,1700572187
1,53.545,8.74131,0,0,1700572187
1,53.9433,8.80989,0,0,1700572187
1,54.0228,8.51891,0,0,1700572187
1,53.6751,8.1749,0,0,1700572187
1,53.0808,7.91315,0,0,1700572187
1,52.6223,7.80291,0,0,1700572187
1,52.4935,7.83511,0,0,1700572187
1,52.4057,7.75671,0,0,1700572187
1,52.2486,7.58568,0,0,1700572187
1,52.1325,7.53227,0,0,1700572187
1,52.0643,7.53951,0,0,1700572187
1,52.1161,7.54597,0,0,1700572187
1,52.3419,7.58859,0,0,1700572187
1,52.587,7.62503,0,0,1700572187
1,52.6615,7.62532,0,0,1700572187
1,52.6193,7.54936,0,0,1700572187
1,52.6764,7.37213,0,0,1700572187
1,52.9157,7.17172,0,0,1700572187
1,53.248,6.99954,0,0,1700572187
1,53.5006,6.90002,0,0,1700572187
1,53.5884,6.96509,0,0,1700572187
1,53.5894,7.16146,0,0,1700572187
1,53.5496,7.3482,0,0,1700572187
1,53.4715,7.44828,0,0,1700572187
1,53.3622,7.4271,0,0,1700572187
1,53.2191,7.33318,0,0,1700572187
1,53.1222,7.27264,0,0,1700572187
1,53.117,7.20788,0,0,1700572187
1,53.1266,7.0742,0,0,1700572187
1,53.0599,6.92298,0,0,1700572187
1,52.9218,6.81359,0,0,1700572187
1,52.8777,6.78757,0,0,1700572187
1,53.009,6.82738,0,0,1700572187
1,53.1616,6.85401,0,0,1700572187
1,53.2198,6.86057,0,0,1700572187
1,53.2327,6.92784,0,0,1700572187
1,53.222,6.89714,0,0,1700572187
1,53.181,7.02821,0,0,1700572187
1,53.1491,7.04329,0,0,1700572187
1,53.1471,6.99249,0,0,1700572187
1,53.2034,6.92153,0,0,1700572187
1,53.2694,6.84505,0,0,1700572187
1,53.214,6.78382,0,0,1700572187
1,53.0254,6.71766,0,0,1700572187
1,52.7903,6.63861,0,0,1700572187
1,52.6297,6.57707,0,0,1700572187
1,52.629,6.53575,0,0,1700572187
1,52.7076,6.53028,0,0,1700572187
1,52.7283,6.5689,0,0,1700572187
1,52.6825,6.58728,0,0,1700572187
1,52.6342,6.57678,0,0,1700572187
1,52.5658,6.6059,0,0,1700572187
1,52.4732,6.67111,0,0,1700572187
1,52.4587,6.71844,0,0,1700572187
1,52.5204,6.73406,0,0,1700572187
1,52.553,6.7429,0,0,1700572187
1,52.5138,6.78461,0,0,1700572187
1,52.4067,6.85268,0,0,1700572187
1,52.3165,6.89763,0,0,1700572187
1,52.3038,6.92616,0,0,1700572187
1,52.2951,6.96597,0,0,1700572187
1,52.2453,6.98091,0,0,1700572187
1,52.1827,6.94137,0,0,1700572187
1,52.1407,6.87291,0,0,1700572187
