Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,58.8147,6.42473,0,0,1700569512
1,44.1323,6.42473,0,0,1700569512
1,44.7381,6.91981,0,0,1700569512
1,45.5519,6.32518,0,0,1700569512
1,45.7218,6.59347,0,0,1700569512
1,45.8065,7.1225,0,0,1700569512
1,45.8868,7.12705,0,0,1700569512
1,46.0488,6.71371,0,0,1700569512
1,46.4304,6.34358,0,0,1700569512
1,47.0413,6.16807,0,0,1700569512
1,47.4196,6.11905,0,0,1700569512
1,47.3761,6.05392,0,0,1700569512
1,47.2768,6.00995,0,0,1700569512
1,47.3273,6.1335,0,0,1700569512
1,47.3392,6.39917,0,0,1700569512
1,47.1204,6.62846,0,0,1700569512
1,46.7499,6.69763,0,0,1700569512
1,46.4356,6.68686,0,0,1700569512
1,46.3463,6.72107,0,0,1700569512
1,46.5247,6.74544,0,0,1700569512
1,46.7697,6.68129,0,0,1700569512
1,46.861,6.64954,0,0,1700569512
1,46.9172,6.77372,0,0,1700569512
1,47.1365,6.98403,0,0,1700569512
1,47.419,7.19262,0,0,1700569512
1,47.5857,7.38253,0,0,1700569512
1,47.5914,7.51261,0,0,1700569512
1,47.4915,7.52834,0,0,1700569512
1,47.3817,7.49082,0,0,1700569512
1,47.2929,7.53068,0,0,1700569512
1,47.2658,7.62129,0,0,1700569512
1,47.3171,7.65207,0,0,1700569512
1,47.3151,7.61518,0,0,1700569512
1,47.2109,7.54654,0,0,1700569512
1,47.1582,7.47787,0,0,1700569512
1,47.226,7.41656,0,0,1700569512
1,47.2977,7.36945,0,0,1700569512
1,47.3299,7.39614,0,0,1700569512
1,47.4314,7.46881,0,0,1700569512
1,47.6004,7.47424,0,0,1700569512
1,47.7543,7.42438,0,0,1700569512
1,47.9533,7.40094,0,0,1700569512
1,48.1689,7.40332,0,0,1700569512
1,48.2593,7.41451,0,0,1700569512
1,48.3225,7.46681,0,0,1700569512
1,48.5672,7.60283,0,0,1700569512
1,48.9419,7.57777,0,0,1700569512
1,49.1555,7.55375,0,0,1700569512
1,49.1231,7.53071,0,0,1700569512
1,49.0406,7.63714,0,0,1700569512
1,48.9723,7.63238,0,0,1700569512
1,48.8753,7.59967,0,0,1700569512
1,48.7575,7.61558,0,0,1700569512
1,48.6522,7.62012,0,0,1700569512
1,48.6733,7.57537,0,0,1700569512
1,48.8344,7.52356,0,0,1700569512
1,48.9374,7.49084,0,0,1700569512
1,48.8889,7.48195,0,0,1700569512
1,48.8063,7.47881,0,0,1700569512
1,48.7493,7.45769,0,0,1700569512
1,48.6722,7.42045,0,0,1700569512
1,48.6035,7.38676,0,0,1700569512
1,48.5921,7.37319,0,0,1700569512
1,48.5749,7.36528,0,0,1700569512
1,48.47,7.35105,0,0,1700569512
1,48.3184,7.33492,0,0,1700569512
1,48.2212,7.3127,0,0,1700569512
1,48.1882,7.29613,0,0,1700569512
1,48.1836,7.29902,0,0,1700569512
1,48.2146,7.31607,0,0,1700569512
1,48.2673,7.34347,0,0,1700569512
1,48.3176,7.35721,0,0,1700569512
1,48.3489,7.33331,0,0,1700569512
1,48.3334,7.30616,0,0,1700569512
1,48.3127,7.31028,0,0,1700569512
1,48.3631,7.32306,0,0,1700569512
1,48.4551,7.35269,0,0,1700569512
1,48.48,7.42915,0,0,1700569512
1,48.4519,7.50519,0,0,1700569512
1,48.476,7.56599,0,0,1700569512
1,48.5485,7.64118,0,0,1700569512
1,48.6274,7.67042,0,0,1700569512
1,48.6802,7.63326,0,0,1700569512
1,48.6942,7.61113,0,0,1700569512
1,48.7354,7.61939,0,0,1700569512
1,48.8341,7.61863,0,0,1700569512
1,48.9413,7.61634,0,0,1700569512
1,49.0074,7.62794,0,0,1700569512
1,49.0229,7.63899,0,0,1700569512
1,49.0083,7.6362,0,0,1700569512
1,49.0201,7.62896,0,0,1700569512
1,49.0941,7.63003,0,0,1700569512
1,49.1576,7.62679,0,0,1700569512
1,49.1897,7.64084,0,0,1700569512
1,49.2523,7.71888,0,0,1700569512
1,49.3346,7.7054,0,0,1700569512
1,49.4042,7.76464,0,0,1700569512
1,49.4385,7.82462,0,0,1700569512
1,49.4289,7.89121,0,0,1700569512
1,49.4177,7.92576,0,0,1700569512
1,49.4317,7.93372,0,0,1700569512
1,49.4697,7.93391,0,0,1700569512
1,49.5113,7.92153,0,0,1700569512
1,49.5212,7.89436,0,0,1700569512
1,49.5339,7.86314,0,0,1700569512
1,49.6152,7.85099,0,0,1700569512
1,49.7324,7.86916,0,0,1700569512
1,49.8099,7.89674,0,0,1700569512
1,49.8368,7.91578,0,0,1700569512
1,49.8316,7.9246,0,0,1700569512
1,49.8135,7.92391,0,0,1700569512
1,49.7962,7.92125,0,0,1700569512
1,49.7787,7.92781,0,0,1700569512
1,49.7575,7.94077,0,0,1700569512
1,49.7063,7.93795,0,0,1700569512
1,49.6269,7.91516,0,0,1700569512
1,49.5656,7.90294,0,0,1700569512
1,49.5438,7.91436,0,0,1700569512
1,49.5734,7.9292,0,0,1700569512
1,49.6296,7.93652,0,0,1700569512
1,49.649,7.94731,0,0,1700569512
1,49.624,7.97673,0,0,1700569512
1,49.5824,8.02148,0,0,1700569512
1,49.5463,8.06263,0,0,1700569512
1,49.5297,8.08961,0,0,1700569512
1,49.5288,8.08884,0,0,1700569512
1,49.5367,8.05931,0,0,1700569512
1,49.5252,8.02636,0,0,1700569512
1,49.4775,7.99579,0,0,1700569512
1,49.4343,7.95966,0,0,1700569512
1,49.416,7.93177,0,0,1700569512
1,49.3935,7.92444,0,0,1700569512
1,49.366,7.92021,0,0,1700569512
