Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,87.5263,3.53573,0,0,1700569512
1,65.5484,7.28496,0,0,1700569512
1,62.6964,2.66764,0,0,1700569512
1,72.0309,17.949,0,0,1700569512
1,57.294,17.8216,0,0,1700569512
1,74.0406,1.50517,0,0,1700569512
1,60.3754,5.22331,0,0,1700569512
1,75.166,5.06309,0,0,1700569512
1,80.7639,6.08883,0,0,1700569512
1,68.8218,13.277,0,0,1700569512
1,57.7031,0.993552,0,0,1700569512
1,71.6168,11.6326,0,0,1700569512
1,66.3255,10.87,0,0,1700569512
1,73.3654,19.4078,0,0,1700569512
1,49.0026,12.5254,0,0,1700569512
1,64.1162,7.87832,0,0,1700569512
1,50.5309,7.85606,0,0,1700569512
1,73.4513,13.9086,0,0,1700569512
1,71.6371,10.1947,0,0,1700569512
1,81.1324,1.94025,0,0,1700569512
1,55.3205,10.7387,0,0,1700569512
1,72.6233,19.3777,0,0,1700569512
1,81.1138,15.8602,0,0,1700569512
1,76.2851,17.8783,0,0,1700569512
1,70.7691,17.8347,0,0,1700569512
1,65.3008,14.8145,0,0,1700569512
1,57.5199,7.98721,0,0,1700569512
1,69.0176,4.07044,0,0,1700569512
1,58.1671,21.6739,0,0,1700569512
1,68.6462,13.4796,0,0,1700569512
1,77.564,8.28038,0,0,1700569512
1,58.9871,10.5583,0,0,1700569512
1,58.3157,3.10361,0,0,1700569512
1,66.9645,10.595,0,0,1700569512
1,79.9853,6.67114,0,0,1700569512
1,64.3883,5.10752,0,0,1700569512
1,66.4151,18.1638,0,0,1700569512
1,77.9662,18.6566,0,0,1700569512
1,84.6576,1.14778,0,0,1700569512
1,61.6125,9.53796,0,0,1700569512
1,94.7813,10.5848,0,0,1700569512
1,83.0047,11.732,0,0,1700569512
1,55.797,8.77125,0,0,1700569512
1,80.2087,17.4106,0,0,1700569512
1,88.4762,20.5034,0,0,1700569512
1,114.505,33.2217,0,0,1700569512
1,63.3309,19.479,0,0,1700569512
1,50.7446,28.423,0,0,1700569512
1,81.7732,12.558,0,0,1700569512
1,50.3747,3.82303,0,0,1700569512
1,70.2026,6.04586,0,0,1700569512
1,54.9557,24.6637,0,0,1700569512
1,58.4583,0.40008,0,0,1700569512
1,77.9127,8.20863,0,0,1700569512
1,101.089,7.63422,0,0,1700569512
1,60.6641,5.32844,0,0,1700569512
1,58.3935,16.9148,0,0,1700569512
1,64.4793,5.01006,0,0,1700569512
1,70.2908,11.826,0,0,1700569512
1,52.9956,3.03486,0,0,1700569512
1,65.6371,9.30138,0,0,1700569512
1,77.453,11.4857,0,0,1700569512
1,61.9595,8.92894,0,0,1700569512
1,55.621,7.48522,0,0,1700569512
1,43.8066,12.251,0,0,1700569512
1,75.7471,3.37129,0,0,1700569512
1,60.3697,11.9539,0,0,1700569512
