Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,59.3184,6.27354,0,0,1700569564
1,25.943,6.27354,0,0,1700569564
1,45.1289,6.27354,0,0,1700569564
1,53.4587,12.5531,0,0,1700569564
1,52.2333,6.27354,0,0,1700569564
1,52.4944,14.6892,0,0,1700569564
1,53.2577,10.9426,0,0,1700569564
1,48.8178,9.86312,0,0,1700569564
1,46.1516,11.1149,0,0,1700569564
1,47.7367,12.8825,0,0,1700569564
1,44.5137,12.2167,0,0,1700569564
1,40.2423,8.08555,0,0,1700569564
1,42.4658,5.35769,0,0,1700569564
1,45.5275,5.35574,0,0,1700569564
1,45.3533,3.99252,0,0,1700569564
1,45.8409,1.85465,0,0,1700569564
1,48.4457,2.09974,0,0,1700569564
1,47.5012,4.75308,0,0,1700569564
1,41.7758,10.9109,0,0,1700569564
1,39.9807,6.27354,0,0,1700569564
1,45.5912,6.27354,0,0,1700569564
1,51.7828,13.7038,0,0,1700569564
1,53.4715,10.8118,0,0,1700569564
1,51.4465,8.32715,0,0,1700569564
1,47.5006,4.04604,0,0,1700569564
1,45.0641,1.91586,0,0,1700569564
1,48.0833,2.40559,0,0,1700569564
1,53.5033,3.61879,0,0,1700569564
1,54.4122,4.81934,0,0,1700569564
1,52.3389,6.2374,0,0,1700569564
1,52.5189,6.88013,0,0,1700569564
1,51.147,5.39405,0,0,1700569564
1,45.1959,3.44481,0,0,1700569564
1,42.3081,3.00149,0,0,1700569564
1,47.2891,5.26731,0,0,1700569564
1,53.7891,8.7968,0,0,1700569564
1,55.4245,8.901,0,0,1700569564
1,53.8042,6.65158,0,0,1700569564
1,52.116,5.97401,0,0,1700569564
1,49.4478,6.51544,0,0,1700569564
1,46.1803,8.10484,0,0,1700569564
1,44.3296,9.86465,0,0,1700569564
1,44.2377,9.18022,0,0,1700569564
1,47.692,6.67303,0,0,1700569564
1,51.7721,5.2283,0,0,1700569564
1,51.6466,5.7274,0,0,1700569564
1,50.1535,6.92965,0,0,1700569564
1,49.8919,6.87522,0,0,1700569564
1,52.158,6.42189,0,0,1700569564
1,57.0174,8.57617,0,0,1700569564
1,57.4279,12.0032,0,0,1700569564
1,50.4963,6.27354,0,0,1700569564
1,44.7541,6.27354,0,0,1700569564
1,45.8207,14.3002,0,0,1700569564
1,49.6886,11.6147,0,0,1700569564
1,51.6831,11.9153,0,0,1700569564
1,52.2073,9.39962,0,0,1700569564
1,53.0002,4.42031,0,0,1700569564
1,52.0499,2.33502,0,0,1700569564
1,47.9109,4.20585,0,0,1700569564
1,45.9792,9.08514,0,0,1700569564
1,49.6753,11.6351,0,0,1700569564
1,52.4555,8.0923,0,0,1700569564
1,51.0072,4.7088,0,0,1700569564
1,48.5866,7.28483,0,0,1700569564
1,46.4762,13.5451,0,0,1700569564
1,47.9535,6.27354,0,0,1700569564
1,53.8603,13.4711,0,0,1700569564
1,58.3393,12.2424,0,0,1700569564
1,58.3662,14.0294,0,0,1700569564
1,55.3063,12.1733,0,0,1700569564
1,52.444,8.91638,0,0,1700569564
1,53.0806,7.77774,0,0,1700569564
1,55.4343,7.09297,0,0,1700569564
1,55.2856,6.09953,0,0,1700569564
1,53.6108,4.66447,0,0,1700569564
1,51.8177,4.81575,0,0,1700569564
1,48.0488,6.81815,0,0,1700569564
1,45.2085,7.31796,0,0,1700569564
1,47.2083,6.2605,0,0,1700569564
1,52.1756,5.85378,0,0,1700569564
1,56.0813,6.03958,0,0,1700569564
1,56.1491,6.49687,0,0,1700569564
1,51.3516,7.20895,0,0,1700569564
1,46.1206,8.20992,0,0,1700569564
1,48.5661,9.52326,0,0,1700569564
1,53.9532,8.99713,0,0,1700569564
1,51.846,7.64604,0,0,1700569564
1,46.1798,9.91073,0,0,1700569564
1,44.3805,13.2724,0,0,1700569564
1,47.3097,11.8584,0,0,1700569564
1,50.7146,6.81117,0,0,1700569564
1,49.3931,3.68939,0,0,1700569564
1,45.1025,4.90982,0,0,1700569564
1,42.1769,9.11664,0,0,1700569564
1,43.693,12.4139,0,0,1700569564
1,49.3044,10.7549,0,0,1700569564
1,51.7047,6.15403,0,0,1700569564
1,47.989,3.9668,0,0,1700569564
1,44.9842,6.01673,0,0,1700569564
1,45.605,9.85708,0,0,1700569564
1,48.1141,11.8484,0,0,1700569564
1,51.086,9.90495,0,0,1700569564
1,50.3664,5.66463,0,0,1700569564
1,48.6292,4.33589,0,0,1700569564
1,51.1107,6.99676,0,0,1700569564
1,52.077,8.37444,0,0,1700569564
1,47.0084,7.14373,0,0,1700569564
1,42.913,6.44811,0,0,1700569564
1,45.8455,6.7218,0,0,1700569564
1,49.3938,6.44469,0,0,1700569564
1,49.1443,6.48128,0,0,1700569564
1,51.2249,9.01901,0,0,1700569564
1,55.3991,11.8717,0,0,1700569564
1,54.3757,12.3489,0,0,1700569564
1,48.4048,11.4781,0,0,1700569564
1,44.112,9.3718,0,0,1700569564
1,43.5874,6.63111,0,0,1700569564
1,46.5552,4.77586,0,0,1700569564
1,51.6948,4.66588,0,0,1700569564
1,51.6725,5.97345,0,0,1700569564
1,46.5266,5.99394,0,0,1700569564
1,45.2726,4.67362,0,0,1700569564
1,48.8599,4.47771,0,0,1700569564
1,52.9496,5.8386,0,0,1700569564
1,56.0378,6.85968,0,0,1700569564
1,55.4295,5.4595,0,0,1700569564
1,51.0583,3.91274,0,0,1700569564
1,48.3134,5.65323,0,0,1700569564
1,48.0388,8.40302,0,0,1700569564
1,48.4063,9.7041,0,0,1700569564
1,51.2782,11.8288,0,0,1700569564
1,56.1139,6.27354,0,0,1700569564
1,56.9919,6.27354,0,0,1700569564
1,52.08,13.917,0,0,1700569564
1,47.1863,10.3221,0,0,1700569564
1,44.9259,10.4172,0,0,1700569564
1,44.1698,9.7938,0,0,1700569564
1,45.3291,8.49582,0,0,1700569564
1,46.6697,8.43629,0,0,1700569564
1,46.4074,7.16406,0,0,1700569564
1,44.6232,5.88102,0,0,1700569564
