Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,65.302,5.83262,0,0,1700572244
1,32.7618,5.83262,0,0,1700572244
1,52.785,11.6418,0,0,1700572244
1,56.9305,6.50171,0,0,1700572244
1,51.2321,8.27481,0,0,1700572244
1,46.0428,10.6887,0,0,1700572244
1,45.3599,9.73336,0,0,1700572244
1,53.2476,6.04744,0,0,1700572244
1,60.361,3.29463,0,0,1700572244
1,55.207,2.83239,0,0,1700572244
1,44.8854,5.79952,0,0,1700572244
1,43.4782,10.4906,0,0,1700572244
1,54.1726,10.8626,0,0,1700572244
1,62.6351,6.30256,0,0,1700572244
1,58.6319,2.5451,0,0,1700572244
1,52.3875,2.85192,0,0,1700572244
1,54.3831,5.75226,0,0,1700572244
1,59.5525,7.26626,0,0,1700572244
1,59.0762,8.40929,0,0,1700572244
1,55.602,10.5886,0,0,1700572244
1,54.5574,8.65368,0,0,1700572244
1,54.0189,4.1237,0,0,1700572244
1,50.7968,3.89735,0,0,1700572244
1,47.2716,6.85077,0,0,1700572244
1,48.7284,7.51302,0,0,1700572244
1,52.6579,6.69904,0,0,1700572244
1,51.7874,7.93937,0,0,1700572244
1,48.0271,7.25261,0,0,1700572244
1,49.7331,3.31578,0,0,1700572244
1,54.6395,1.56758,0,0,1700572244
1,54.0326,2.837,0,0,1700572244
1,53.1149,4.29316,0,0,1700572244
1,57.5283,3.88376,0,0,1700572244
1,60.242,3.51569,0,0,1700572244
1,60.9987,6.45128,0,0,1700572244
1,62.2441,9.53919,0,0,1700572244
1,60.8695,8.25985,0,0,1700572244
1,58.5194,5.80014,0,0,1700572244
1,55.4442,6.58579,0,0,1700572244
1,50.1697,7.39306,0,0,1700572244
1,47.2876,6.706,0,0,1700572244
1,49.8554,8.51112,0,0,1700572244
1,55.512,11.8328,0,0,1700572244
1,59.6668,12.3238,0,0,1700572244
1,58.1232,8.95342,0,0,1700572244
1,54.2184,5.10855,0,0,1700572244
1,52.5097,4.446,0,0,1700572244
1,49.9301,5.21436,0,0,1700572244
1,46.9076,5.40413,0,0,1700572244
1,47.9087,6.82705,0,0,1700572244
1,52.1652,8.70802,0,0,1700572244
1,55.6546,9.44297,0,0,1700572244
1,56.2469,10.3969,0,0,1700572244
1,55.1199,11.3105,0,0,1700572244
1,53.4436,12.1344,0,0,1700572244
1,52.5195,13.9517,0,0,1700572244
1,52.8073,14.2187,0,0,1700572244
1,53.7065,11.2477,0,0,1700572244
1,53.0987,8.10104,0,0,1700572244
1,49.1917,6.85959,0,0,1700572244
1,51.2146,5.65048,0,0,1700572244
1,60.9208,5.09353,0,0,1700572244
1,62.8068,8.5985,0,0,1700572244
1,56.5054,11.8956,0,0,1700572244
1,51.84,9.58268,0,0,1700572244
1,49.9529,7.28367,0,0,1700572244
1,49.5042,8.84198,0,0,1700572244
1,48.5248,10.404,0,0,1700572244
1,48.4569,11.5748,0,0,1700572244
1,52.1693,11.1932,0,0,1700572244
1,59.9972,8.13886,0,0,1700572244
1,66.1445,7.90239,0,0,1700572244
1,61.5333,11.316,0,0,1700572244
1,51.7066,14.2229,0,0,1700572244
1,48.9664,5.83262,0,0,1700572244
1,52.1689,5.83262,0,0,1700572244
1,54.8933,13.1245,0,0,1700572244
1,55.3055,7.92853,0,0,1700572244
1,53.6535,6.08394,0,0,1700572244
1,52.5522,7.3826,0,0,1700572244
1,52.9296,9.45506,0,0,1700572244
1,52.8985,9.11327,0,0,1700572244
1,52.0538,7.74683,0,0,1700572244
1,49.4076,8.59086,0,0,1700572244
1,47.9838,9.7037,0,0,1700572244
1,52.0063,8.47766,0,0,1700572244
1,55.6833,5.75946,0,0,1700572244
1,54.3513,3.77111,0,0,1700572244
1,52.6098,2.88478,0,0,1700572244
1,53.8433,2.79378,0,0,1700572244
1,55.7753,5.30352,0,0,1700572244
1,56.5022,10.549,0,0,1700572244
1,57.4345,12.9608,0,0,1700572244
1,55.6558,9.90515,0,0,1700572244
1,49.4569,7.61475,0,0,1700572244
1,48.4659,8.86639,0,0,1700572244
1,57.2177,9.79826,0,0,1700572244
1,64.9013,8.30269,0,0,1700572244
1,63.6926,7.23381,0,0,1700572244
1,57.4783,8.77856,0,0,1700572244
1,55.0372,7.92602,0,0,1700572244
1,61.6813,3.79798,0,0,1700572245
1,67.1998,4.47069,0,0,1700572245
1,61.7878,11.3256,0,0,1700572245
1,52.5152,14.5266,0,0,1700572245
1,45.718,10.6987,0,0,1700572245
1,44.1644,8.42385,0,0,1700572245
1,48.1582,10.1254,0,0,1700572245
1,51.7401,10.6038,0,0,1700572245
1,56.3437,7.77494,0,0,1700572245
1,64.1605,5.54864,0,0,1700572245
1,64.5193,7.29352,0,0,1700572245
1,54.7262,9.18932,0,0,1700572245
1,47.8449,10.1984,0,0,1700572245
1,50.6497,11.0369,0,0,1700572245
1,55.5021,10.2424,0,0,1700572245
1,53.5884,10.9768,0,0,1700572245
1,50.2995,13.0856,0,0,1700572245
1,53.6243,13.5932,0,0,1700572245
1,59.6605,14.4847,0,0,1700572245
1,65.1768,14.6524,0,0,1700572245
1,66.7865,10.9021,0,0,1700572245
1,60.6769,6.47635,0,0,1700572245
1,53.503,4.93386,0,0,1700572245
1,51.716,5.51645,0,0,1700572245
1,53.6965,7.91211,0,0,1700572245
1,54.4019,9.87134,0,0,1700572245
1,50.8511,7.85983,0,0,1700572245
1,48.2444,4.7418,0,0,1700572245
1,50.5502,4.90967,0,0,1700572245
1,53.8756,8.10548,0,0,1700572245
1,55.2892,10.7785,0,0,1700572245
1,54.2232,9.09209,0,0,1700572245
1,52.3334,6.44866,0,0,1700572245
1,51.3294,7.67137,0,0,1700572245
1,48.2597,9.78307,0,0,1700572245
1,45.0255,9.56344,0,0,1700572245
1,47.7573,7.07171,0,0,1700572245
1,50.4909,4.42466,0,0,1700572245
1,46.397,4.42931,0,0,1700572245
1,41.8401,6.52179,0,0,1700572245
1,43.5377,9.50226,0,0,1700572245
1,48.5314,11.512,0,0,1700572245
1,50.3275,10.5189,0,0,1700572245
1,51.8155,8.57518,0,0,1700572245
1,57.4728,8.37995,0,0,1700572245
1,60.6176,9.67011,0,0,1700572245
1,60.7515,10.6352,0,0,1700572245
1,60.29,10.123,0,0,1700572245
1,56.7255,7.46128,0,0,1700572245
1,56.4711,5.49663,0,0,1700572245
1,58.7968,7.95426,0,0,1700572245
1,59.2167,9.9458,0,0,1700572245
1,61.9345,9.13168,0,0,1700572245
1,61.7478,9.78203,0,0,1700572245
1,55.5338,9.84073,0,0,1700572245
1,50.7924,8.57269,0,0,1700572245
1,49.5341,9.3275,0,0,1700572245
1,48.7092,11.9677,0,0,1700572245
1,46.8456,13.435,0,0,1700572245
1,45.715,11.2417,0,0,1700572245
1,45.6751,7.93862,0,0,1700572245
1,47.0563,8.17978,0,0,1700572245
1,51.315,12.9375,0,0,1700572245
1,53.0624,5.83262,0,0,1700572245
1,51.1077,14.6928,0,0,1700572245
1,53.5746,7.50377,0,0,1700572245
1,58.8814,2.74797,0,0,1700572245
1,59.1976,3.19906,0,0,1700572245
1,54.6188,5.96108,0,0,1700572245
1,49.7672,6.86652,0,0,1700572245
1,47.4441,4.53107,0,0,1700572245
1,47.0315,2.04202,0,0,1700572245
1,48.2546,2.20373,0,0,1700572245
1,50.5062,4.5982,0,0,1700572245
1,52.5063,7.82005,0,0,1700572245
1,53.2636,8.36891,0,0,1700572245
1,52.4655,7.63935,0,0,1700572245
1,53.9062,9.92922,0,0,1700572245
1,56.752,10.5237,0,0,1700572245
1,53.6397,6.2493,0,0,1700572245
1,47.946,2.57194,0,0,1700572245
1,48.5113,2.20632,0,0,1700572245
1,52.341,2.73574,0,0,1700572245
1,54.8454,3.66711,0,0,1700572245
1,57.9735,6.98832,0,0,1700572245
1,59.4842,10.6472,0,0,1700572245
1,55.3673,10.7726,0,0,1700572245
1,49.5413,8.94398,0,0,1700572245
1,47.9819,8.01578,0,0,1700572245
1,47.9808,7.39998,0,0,1700572245
1,46.219,7.13904,0,0,1700572245
1,49.7926,8.9495,0,0,1700572245
1,59.3582,10.8255,0,0,1700572245
1,62.2533,8.72178,0,0,1700572245
1,57.7087,4.77773,0,0,1700572245
1,54.8928,2.96199,0,0,1700572245
1,52.8473,3.88592,0,0,1700572245
1,50.7606,7.46827,0,0,1700572245
1,50.3634,10.3633,0,0,1700572245
1,48.6228,9.97912,0,0,1700572245
1,46.1199,8.81427,0,0,1700572245
1,46.338,7.94417,0,0,1700572245
1,48.8944,7.62428,0,0,1700572245
1,50.6731,8.5998,0,0,1700572245
1,50.8017,8.49434,0,0,1700572245
1,50.1538,7.16469,0,0,1700572245
1,50.3537,7.6463,0,0,1700572245
1,52.3449,9.48609,0,0,1700572245
1,52.176,10.7787,0,0,1700572245
1,48.8169,11.8793,0,0,1700572245
1,46.6707,12.2889,0,0,1700572245
1,48.4283,10.4514,0,0,1700572245
1,53.1045,8.29235,0,0,1700572245
1,54.7228,8.25328,0,0,1700572245
1,50.5923,8.68267,0,0,1700572245
1,46.9627,7.56136,0,0,1700572245
1,48.0239,5.45478,0,0,1700572245
1,50.0669,4.57507,0,0,1700572245
1,48.3554,4.94224,0,0,1700572245
1,44.7207,4.74641,0,0,1700572245
1,45.0026,5.24129,0,0,1700572245
1,50.5849,7.19195,0,0,1700572245
1,56.212,8.26119,0,0,1700572245
1,56.0073,9.49995,0,0,1700572245
1,50.7593,12.0147,0,0,1700572245
1,47.9988,10.7934,0,0,1700572245
1,51.7798,5.92118,0,0,1700572245
1,55.8945,3.34128,0,0,1700572245
1,54.3029,3.71967,0,0,1700572245
1,50.6298,5.08924,0,0,1700572245
1,50.8761,6.41319,0,0,1700572245
1,54.6436,8.06687,0,0,1700572245
1,56.1402,9.84317,0,0,1700572245
1,52.6507,9.08495,0,0,1700572245
1,47.635,8.16133,0,0,1700572245
1,45.6249,10.9579,0,0,1700572245
1,47.4508,5.83262,0,0,1700572245
1,51.4514,5.83262,0,0,1700572245
1,52.8784,5.83262,0,0,1700572245
1,48.4502,8.70618,0,0,1700572245
1,46.6954,5.35708,0,0,1700572245
1,52.3758,6.16839,0,0,1700572245
1,56.3764,8.59283,0,0,1700572245
1,55.2052,8.88349,0,0,1700572245
1,54.104,6.4354,0,0,1700572245
1,53.3513,6.79134,0,0,1700572245
1,49.1676,9.19252,0,0,1700572245
1,45.41,9.6704,0,0,1700572245
1,47.5246,9.60756,0,0,1700572245
1,50.0716,8.75531,0,0,1700572245
1,48.0328,5.87577,0,0,1700572245
1,46.8586,4.42178,0,0,1700572245
1,49.7824,5.53633,0,0,1700572245
1,51.7164,5.09218,0,0,1700572245
1,50.9717,2.77151,0,0,1700572245
1,48.8822,1.54568,0,0,1700572245
1,43.601,1.90741,0,0,1700572245
1,40.5702,2.59659,0,0,1700572245
1,46.2458,3.95561,0,0,1700572245
1,50.5206,7.14527,0,0,1700572245
1,46.7457,9.73528,0,0,1700572245
1,44.6566,10.2091,0,0,1700572245
1,46.6134,9.19008,0,0,1700572245
1,46.0035,6.22784,0,0,1700572245
1,44.1195,4.39236,0,0,1700572245
1,46.5438,5.6725,0,0,1700572245
1,51.2047,6.24636,0,0,1700572245
1,52.0109,5.37317,0,0,1700572245
1,51.3725,5.17237,0,0,1700572245
1,55.0375,4.65593,0,0,1700572245
1,59.0415,5.35818,0,0,1700572245
1,57.7646,9.7154,0,0,1700572245
1,54.9208,13.3711,0,0,1700572245
1,54.1551,12.2593,0,0,1700572245
1,55.9784,8.52111,0,0,1700572245
1,60.7842,7.19328,0,0,1700572245
1,62.1503,10.3288,0,0,1700572245
1,56.542,12.5268,0,0,1700572245
1,52.2788,10.275,0,0,1700572245
1,54.4691,8.28034,0,0,1700572245
1,57.1329,9.09725,0,0,1700572245
1,54.0055,10.5758,0,0,1700572245
1,50.0255,11.1828,0,0,1700572245
1,50.5062,9.34242,0,0,1700572245
1,50.8419,6.80989,0,0,1700572245
1,51.5643,8.27893,0,0,1700572245
1,55.7903,12.1163,0,0,1700572245
1,56.777,12.163,0,0,1700572245
1,52.2332,10.0254,0,0,1700572245
1,50.5025,11.35,0,0,1700572245
1,54.6408,13.6032,0,0,1700572245
1,54.9282,14.0897,0,0,1700572245
1,46.7172,13.0318,0,0,1700572245
1,43.6944,9.29779,0,0,1700572245
1,50.767,7.3502,0,0,1700572245
1,53.9188,9.42339,0,0,1700572245
1,49.9553,11.5502,0,0,1700572245
1,46.4097,11.8966,0,0,1700572245
1,47.7153,8.577,0,0,1700572245
1,54.9063,4.82472,0,0,1700572245
1,58.9898,5.76198,0,0,1700572245
1,53.9741,7.82257,0,0,1700572245
1,49.2442,8.54894,0,0,1700572245
1,51.514,10.6792,0,0,1700572245
1,55.0012,14.4297,0,0,1700572245
1,53.9666,5.83262,0,0,1700572245
1,51.3115,11.1031,0,0,1700572245
1,49.5907,8.72432,0,0,1700572245
1,46.5354,9.6676,0,0,1700572245
1,43.3144,9.30472,0,0,1700572245
1,44.6033,6.2438,0,0,1700572245
1,49.9561,4.85203,0,0,1700572245
1,52.8614,8.17086,0,0,1700572245
1,50.0496,9.57991,0,0,1700572245
1,45.6663,6.47248,0,0,1700572245
1,45.9291,5.286,0,0,1700572245
1,50.339,6.74236,0,0,1700572245
1,51.9243,7.64396,0,0,1700572245
1,49.8901,7.52433,0,0,1700572245
1,48.797,7.09163,0,0,1700572245
1,50.3741,5.94408,0,0,1700572245
1,54.2567,3.93866,0,0,1700572245
1,56.2678,3.81788,0,0,1700572245
1,53.7451,6.13251,0,0,1700572245
1,50.969,7.03162,0,0,1700572245
1,49.0164,6.53096,0,0,1700572245
1,47.2938,7.14422,0,0,1700572245
1,49.5136,6.88469,0,0,1700572245
1,56.2109,5.2127,0,0,1700572245
1,62.6754,4.82941,0,0,1700572245
1,63.0085,5.20748,0,0,1700572245
1,54.9805,5.22504,0,0,1700572245
1,46.5724,5.4927,0,0,1700572245
1,47.144,5.30797,0,0,1700572245
1,53.1111,4.21697,0,0,1700572245
1,57.0088,3.36251,0,0,1700572245
1,57.1487,3.16613,0,0,1700572245
1,55.4936,4.3433,0,0,1700572245
1,54.904,6.92324,0,0,1700572245
1,52.7758,8.18382,0,0,1700572245
1,48.1986,7.35608,0,0,1700572245
1,48.1062,5.89706,0,0,1700572245
1,51.4636,3.91884,0,0,1700572245
1,50.15,2.91883,0,0,1700572245
1,44.2341,4.0948,0,0,1700572245
1,41.0118,5.07463,0,0,1700572245
1,46.4002,5.78221,0,0,1700572245
1,54.6296,6.68269,0,0,1700572245
1,57.0039,6.17027,0,0,1700572245
1,56.7122,6.89559,0,0,1700572245
1,57.3485,9.18793,0,0,1700572245
1,59.1571,9.68183,0,0,1700572245
1,60.2515,9.51355,0,0,1700572245
1,57.0635,8.7206,0,0,1700572245
1,54.7401,6.44776,0,0,1700572245
1,56.2117,5.70923,0,0,1700572245
1,57.141,6.54744,0,0,1700572245
1,57.59,7.51946,0,0,1700572245
1,56.5551,10.211,0,0,1700572245
1,50.7347,11.4791,0,0,1700572245
1,47.5491,8.72738,0,0,1700572245
1,54.1778,8.34354,0,0,1700572245
1,59.9948,10.7178,0,0,1700572245
1,57.4705,8.83691,0,0,1700572245
1,51.5845,4.03803,0,0,1700572245
1,43.1704,1.64306,0,0,1700572245
1,38.8649,1.53721,0,0,1700572245
1,47.6058,2.35513,0,0,1700572245
1,58.5746,4.83938,0,0,1700572245
1,58.805,7.28423,0,0,1700572245
1,51.7259,6.31889,0,0,1700572245
1,44.0062,4.99636,0,0,1700572245
1,39.9689,6.90869,0,0,1700572245
1,40.1096,8.7876,0,0,1700572245
1,42.5361,11.4845,0,0,1700572245
1,49.824,5.83262,0,0,1700572245
1,57.0168,13.0138,0,0,1700572245
1,57.1309,6.23186,0,0,1700572245
1,56.2733,4.89468,0,0,1700572245
1,57.7306,9.42032,0,0,1700572245
1,58.6516,12.1817,0,0,1700572245
1,56.2917,9.36189,0,0,1700572245
1,50.7405,7.43419,0,0,1700572245
1,47.0872,10.4632,0,0,1700572245
1,46.5479,11.5074,0,0,1700572245
1,49.2791,8.91046,0,0,1700572245
1,54.3466,8.64527,0,0,1700572245
1,58.7812,11.7109,0,0,1700572245
1,63.6559,5.83262,0,0,1700572245
1,64.5705,5.83262,0,0,1700572245
1,57.618,11.4284,0,0,1700572245
1,50.264,8.24871,0,0,1700572245
1,47.4353,7.21603,0,0,1700572245
1,48.1693,6.82682,0,0,1700572245
1,49.9851,6.23621,0,0,1700572245
1,49.1439,5.36629,0,0,1700572245
1,48.6476,6.16471,0,0,1700572245
1,52.9631,6.98597,0,0,1700572245
1,56.1229,5.45012,0,0,1700572245
1,53.801,5.83565,0,0,1700572245
1,51.6296,9.44252,0,0,1700572245
1,54.1352,10.3943,0,0,1700572245
1,56.1383,8.42892,0,0,1700572245
1,51.46,8.7242,0,0,1700572245
1,46.9258,9.51919,0,0,1700572245
1,47.6726,6.90641,0,0,1700572245
1,44.5438,3.34342,0,0,1700572245
1,41.0544,2.15537,0,0,1700572245
1,48.2692,2.87027,0,0,1700572245
1,54.6408,5.0562,0,0,1700572245
1,49.9466,8.01152,0,0,1700572245
1,42.965,7.81387,0,0,1700572245
1,39.6497,4.94222,0,0,1700572245
1,39.7426,3.18058,0,0,1700572245
1,42.2264,2.59305,0,0,1700572245
1,44.6118,3.65529,0,0,1700572245
1,45.0729,5.92792,0,0,1700572245
1,45.7432,7.02817,0,0,1700572245
1,48.9989,6.07114,0,0,1700572245
1,51.7418,4.87474,0,0,1700572245
1,53.0804,5.30946,0,0,1700572245
1,54.8801,4.68002,0,0,1700572245
1,55.5414,2.43414,0,0,1700572245
1,54.3464,2.08226,0,0,1700572245
1,52.2329,2.78128,0,0,1700572245
1,49.2646,3.63146,0,0,1700572245
1,46.5814,6.19675,0,0,1700572245
1,46.6008,9.96619,0,0,1700572245
1,49.9972,13.0642,0,0,1700572245
1,52.9366,11.7248,0,0,1700572245
1,50.5516,6.32038,0,0,1700572245
1,45.7738,2.89753,0,0,1700572245
1,44.5032,4.43257,0,0,1700572245
1,47.018,9.22194,0,0,1700572245
1,51.3381,11.0338,0,0,1700572245
1,56.5424,7.70616,0,0,1700572245
1,61.7987,5.61075,0,0,1700572245
1,62.8282,7.85439,0,0,1700572245
1,57.0239,11.0573,0,0,1700572245
1,49.9624,11.5425,0,0,1700572245
1,47.2414,10.2424,0,0,1700572245
1,47.0324,9.96961,0,0,1700572245
1,46.235,10.3004,0,0,1700572245
1,46.9979,9.74346,0,0,1700572245
1,48.2861,8.10175,0,0,1700572245
1,44.7999,5.99109,0,0,1700572245
1,40.0594,4.87952,0,0,1700572245
1,40.5176,6.2512,0,0,1700572245
1,42.0621,9.92022,0,0,1700572245
