Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,66.8507,5.46356,0,0,1700572322
1,42.7566,5.46356,0,0,1700572322
1,39.4202,7.64977,0,0,1700572322
1,40.865,8.37964,0,0,1700572322
1,43.0944,9.30298,0,0,1700572322
1,44.2316,9.8163,0,0,1700572322
1,44.4754,9.75449,0,0,1700572322
1,44.8149,9.36446,0,0,1700572322
1,45.3748,8.89231,0,0,1700572322
1,45.8906,8.50649,0,0,1700572322
1,46.4177,8.13892,0,0,1700572322
1,47.0286,7.78715,0,0,1700572322
1,47.3477,7.62697,0,0,1700572322
1,47.3228,7.66262,0,0,1700572322
1,47.4646,7.76515,0,0,1700572322
1,47.8659,7.81347,0,0,1700572322
1,48.2294,7.72635,0,0,1700572322
1,48.3912,7.5315,0,0,1700572322
1,48.469,7.33988,0,0,1700572322
1,48.6809,7.19448,0,0,1700572322
1,48.9161,7.11936,0,0,1700572322
1,48.9814,7.13899,0,0,1700572322
1,48.9792,7.13283,0,0,1700572322
1,49.0435,7.05134,0,0,1700572322
1,49.1633,7.05984,0,0,1700572322
1,49.2235,7.20695,0,0,1700572322
1,49.2055,7.42462,0,0,1700572322
1,49.2482,7.35458,0,0,1700572322
1,49.2444,7.53299,0,0,1700572322
1,49.0371,7.55094,0,0,1700572322
1,48.8806,7.53861,0,0,1700572322
1,48.9919,7.51858,0,0,1700572322
1,49.1878,7.46459,0,0,1700572322
1,49.2768,7.4433,0,0,1700572322
1,49.3303,7.49601,0,0,1700572322
1,49.4967,7.55749,0,0,1700572322
1,49.7319,7.52526,0,0,1700572322
1,49.8641,7.41128,0,0,1700572322
1,49.8945,7.28006,0,0,1700572322
1,49.952,7.1473,0,0,1700572322
1,50.0572,7.04883,0,0,1700572322
1,50.1649,7.01353,0,0,1700572322
1,50.2347,7.00962,0,0,1700572322
1,50.2558,7.00426,0,0,1700572322
1,50.2505,6.99981,0,0,1700572322
1,50.2051,7.0164,0,0,1700572322
1,50.1298,7.05822,0,0,1700572322
1,50.0901,7.10477,0,0,1700572322
1,50.0857,7.15004,0,0,1700572322
1,50.0683,7.23536,0,0,1700572322
1,50.0642,7.36421,0,0,1700572322
1,50.1054,7.47603,0,0,1700572322
1,50.1326,7.57339,0,0,1700572322
1,50.1185,7.67185,0,0,1700572322
1,50.1306,7.73776,0,0,1700572322
1,50.1793,7.76018,0,0,1700572322
1,50.2056,7.72863,0,0,1700572322
1,50.2023,7.65717,0,0,1700572322
1,50.158,7.61566,0,0,1700572322
1,50.0543,7.64349,0,0,1700572322
1,49.9524,7.70917,0,0,1700572322
1,49.9002,7.76339,0,0,1700572322
1,49.9112,7.78755,0,0,1700572322
1,49.9619,7.77389,0,0,1700572322
1,49.9408,7.72768,0,0,1700572322
1,49.8167,7.68588,0,0,1700572322
1,49.6814,7.6829,0,0,1700572322
1,49.561,7.70465,0,0,1700572322
1,49.4647,7.69105,0,0,1700572322
1,49.4727,7.62873,0,0,1700572322
1,49.5469,7.56926,0,0,1700572322
1,49.5679,7.52441,0,0,1700572322
1,49.5517,7.47987,0,0,1700572322
1,49.5643,7.44802,0,0,1700572322
1,49.6341,7.42104,0,0,1700572322
1,49.7545,7.38274,0,0,1700572322
1,49.8782,7.33795,0,0,1700572322
1,49.9797,7.28671,0,0,1700572322
1,50.0359,7.22876,0,0,1700572322
1,50.0245,7.18127,0,0,1700572322
1,49.9743,7.17555,0,0,1700572322
1,49.9048,7.22687,0,0,1700572322
1,49.8112,7.30329,0,0,1700572322
1,49.7213,7.34571,0,0,1700572322
1,49.6896,7.32368,0,0,1700572322
1,49.7327,7.26338,0,0,1700572322
1,49.784,7.20681,0,0,1700572322
1,49.787,7.17052,0,0,1700572322
1,49.7799,7.15012,0,0,1700572322
1,49.8039,7.14394,0,0,1700572322
1,49.8199,7.17847,0,0,1700572322
1,49.7769,7.2509,0,0,1700572322
1,49.7227,7.29608,0,0,1700572322
1,49.7233,7.28888,0,0,1700572322
1,49.7467,7.26204,0,0,1700572322
1,49.7468,7.22986,0,0,1700572322
1,49.7071,7.18499,0,0,1700572322
1,49.6338,7.13334,0,0,1700572322
1,49.6124,7.09428,0,0,1700572322
1,49.7248,7.07205,0,0,1700572322
1,49.9254,7.07292,0,0,1700572322
1,50.1059,7.09946,0,0,1700572322
