Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,60.7378,5.80572,0,0,1700572372
1,60.7378,5.80572,0,0,1700572372
1,36.6544,5.80572,0,0,1700572372
1,45.6275,6.72379,0,0,1700572372
1,49.9787,5.43311,0,0,1700572372
1,53.3424,7.22899,0,0,1700572372
1,52.7827,9.45812,0,0,1700572372
1,51.838,10.3846,0,0,1700572372
1,54.8662,9.25426,0,0,1700572372
1,58.336,7.97213,0,0,1700572372
1,59.2903,9.4928,0,0,1700572372
1,58.3253,10.0849,0,0,1700572372
1,56.5703,8.89578,0,0,1700572372
1,57.3104,10.6488,0,0,1700572372
1,56.3095,12.5614,0,0,1700572372
1,48.4305,10.6241,0,0,1700572372
1,43.234,8.27079,0,0,1700572372
1,45.8432,7.96943,0,0,1700572372
1,49.0721,9.37533,0,0,1700572372
1,49.5447,11.649,0,0,1700572372
1,50.7057,11.2861,0,0,1700572372
1,55.4587,7.77582,0,0,1700572372
1,59.5237,5.02726,0,0,1700572372
1,57.8558,4.55616,0,0,1700572372
1,52.397,5.8308,0,0,1700572372
1,46.5838,6.60944,0,0,1700572372
1,44.5844,4.90554,0,0,1700572372
1,49.5738,3.57704,0,0,1700572372
1,55.1704,4.75613,0,0,1700572372
1,55.97,5.7026,0,0,1700572372
1,56.1271,5.77577,0,0,1700572372
1,55.911,7.67914,0,0,1700572372
1,52.7531,9.97645,0,0,1700572372
1,48.2718,9.30852,0,0,1700572372
1,44.7274,7.43177,0,0,1700572372
1,45.2192,7.48836,0,0,1700572372
1,49.5967,8.71891,0,0,1700572372
1,53.1346,8.49804,0,0,1700572372
1,55.0259,6.54153,0,0,1700572372
1,56.2185,4.78188,0,0,1700572372
1,55.7076,3.85899,0,0,1700572372
1,54.4782,3.29235,0,0,1700572372
1,54.8776,3.01936,0,0,1700572372
1,57.5055,3.89761,0,0,1700572372
1,59.7815,7.75722,0,0,1700572372
1,58.6697,11.3099,0,0,1700572372
1,54.5471,8.9051,0,0,1700572372
1,50.418,4.07571,0,0,1700572372
1,48.8211,3.75204,0,0,1700572372
1,47.9611,7.48424,0,0,1700572372
1,45.0004,9.12561,0,0,1700572372
1,40.8086,5.87923,0,0,1700572372
1,39.2791,4.11176,0,0,1700572372
1,41.9381,7.17567,0,0,1700572372
1,45.3141,8.86972,0,0,1700572372
1,48.6495,7.61986,0,0,1700572372
1,50.9756,7.25989,0,0,1700572372
1,51.1235,7.56028,0,0,1700572372
1,52.8316,7.50454,0,0,1700572372
1,52.9318,7.01021,0,0,1700572372
1,46.8532,5.42442,0,0,1700572372
1,41.3931,4.32098,0,0,1700572372
1,43.578,5.60094,0,0,1700572372
1,49.444,7.02019,0,0,1700572372
1,49.1532,7.35487,0,0,1700572372
1,43.2808,10.2342,0,0,1700572372
1,43.7757,13.9096,0,0,1700572372
1,51.5307,5.80572,0,0,1700572372
1,54.2706,5.80572,0,0,1700572372
1,51.1997,5.80572,0,0,1700572372
1,50.5608,11.5305,0,0,1700572372
1,52.1747,4.91307,0,0,1700572372
1,51.7447,4.38981,0,0,1700572372
1,48.736,4.58868,0,0,1700572372
1,46.4394,3.69471,0,0,1700572372
1,47.1887,4.04449,0,0,1700572372
1,49.7913,4.0191,0,0,1700572372
1,51.5645,4.07185,0,0,1700572372
1,50.7758,7.4334,0,0,1700572372
1,50.0709,10.9782,0,0,1700572372
1,51.9313,9.13564,0,0,1700572372
1,54.1534,4.41942,0,0,1700572372
1,54.4979,2.02955,0,0,1700572372
1,54.2322,1.43111,0,0,1700572372
1,53.9424,1.20793,0,0,1700572372
1,53.399,2.15162,0,0,1700572372
1,56.9629,3.84312,0,0,1700572372
1,62.8847,4.50432,0,0,1700572372
1,62.9148,3.93684,0,0,1700572372
1,58.6544,4.38176,0,0,1700572372
1,54.6706,5.88911,0,0,1700572372
1,52.0663,5.81089,0,0,1700572372
1,51.6187,4.53854,0,0,1700572372
1,51.4634,4.05605,0,0,1700572372
1,54.0753,4.09564,0,0,1700572372
1,59.7691,3.34747,0,0,1700572372
1,59.3797,3.05239,0,0,1700572372
1,53.0746,4.8346,0,0,1700572372
1,48.6569,5.82173,0,0,1700572372
1,45.8588,4.73195,0,0,1700572372
1,43.6226,4.68928,0,0,1700572372
1,43.8326,6.13306,0,0,1700572372
1,44.0034,6.54353,0,0,1700572372
1,41.9873,5.18194,0,0,1700572372
1,43.32,4.23891,0,0,1700572372
1,48.2532,4.97994,0,0,1700572372
1,49.6561,5.35777,0,0,1700572372
1,49.3002,4.51188,0,0,1700572372
1,51.1063,5.01642,0,0,1700572372
1,54.3696,7.84463,0,0,1700572372
1,58.3625,10.5705,0,0,1700572372
1,58.6189,10.7271,0,0,1700572372
1,52.9319,8.1656,0,0,1700572372
1,46.1485,7.1675,0,0,1700572372
1,42.5345,9.78822,0,0,1700572372
1,44.3119,10.1744,0,0,1700572372
1,47.0035,7.84725,0,0,1700572372
1,43.8233,7.7624,0,0,1700572372
1,41.6026,6.94748,0,0,1700572372
1,45.5937,3.50313,0,0,1700572372
1,49.4291,1.77201,0,0,1700572372
1,49.3019,4.19402,0,0,1700572372
1,45.7041,9.02317,0,0,1700572372
1,44.3287,10.6906,0,0,1700572372
1,45.4102,7.80309,0,0,1700572372
1,44.787,4.66469,0,0,1700572372
1,45.495,3.79529,0,0,1700572372
1,44.2265,5.73806,0,0,1700572372
1,40.811,8.23681,0,0,1700572372
1,45.2269,8.24958,0,0,1700572372
1,54.88,6.60991,0,0,1700572372
1,58.6124,6.73012,0,0,1700572372
1,57.8624,8.64844,0,0,1700572372
1,59.6392,9.14016,0,0,1700572372
1,59.8535,9.35298,0,0,1700572372
1,55.7311,9.98571,0,0,1700572372
1,53.5296,8.09229,0,0,1700572372
1,55.8882,5.55255,0,0,1700572372
1,58.0369,6.34595,0,0,1700572372
1,54.7955,9.33966,0,0,1700572372
1,48.8895,9.77971,0,0,1700572372
1,45.2104,6.53614,0,0,1700572372
1,44.2865,4.93081,0,0,1700572372
1,45.575,6.57513,0,0,1700572372
1,46.7792,7.99312,0,0,1700572372
1,47.888,10.1438,0,0,1700572372
1,50.2072,5.80572,0,0,1700572372
1,51.3612,5.80572,0,0,1700572372
1,51.8382,10.4441,0,0,1700572372
1,53.8167,5.9059,0,0,1700572372
1,55.2754,3.55345,0,0,1700572372
1,54.038,3.23001,0,0,1700572372
1,50.082,5.47496,0,0,1700572372
1,45.3992,7.8995,0,0,1700572372
1,43.9002,7.95551,0,0,1700572372
1,47.3104,6.51523,0,0,1700572372
1,52.0537,4.44666,0,0,1700572372
1,53.1155,3.86131,0,0,1700572372
1,50.3769,6.36653,0,0,1700572372
1,47.3318,9.50086,0,0,1700572372
1,45.3245,11.7286,0,0,1700572372
1,45.6936,13.5575,0,0,1700572372
1,47.9513,12.7143,0,0,1700572372
1,48.1986,8.20625,0,0,1700572372
1,47.9353,4.49658,0,0,1700572372
1,49.3001,4.6707,0,0,1700572372
1,50.6355,6.65913,0,0,1700572372
1,50.9645,10.0196,0,0,1700572372
1,49.1312,5.80572,0,0,1700572372
1,45.252,5.80572,0,0,1700572372
1,43.2025,11.5055,0,0,1700572372
1,48.7073,5.65759,0,0,1700572372
1,55.5234,4.32324,0,0,1700572372
1,53.8969,5.27299,0,0,1700572372
1,50.4476,7.65889,0,0,1700572372
1,47.5005,9.14576,0,0,1700572372
1,42.5845,7.61689,0,0,1700572372
1,44.7119,4.85755,0,0,1700572372
1,52.9577,4.76798,0,0,1700572372
1,58.4518,7.43692,0,0,1700572372
1,60.4838,7.99648,0,0,1700572372
1,57.0377,6.18336,0,0,1700572372
1,50.6168,5.09284,0,0,1700572372
1,49.7222,4.02468,0,0,1700572372
1,53.2842,2.39558,0,0,1700572372
1,55.0298,2.50578,0,0,1700572372
1,52.8946,5.65621,0,0,1700572372
1,48.8171,8.07485,0,0,1700572372
1,46.9286,6.74818,0,0,1700572372
1,47.8291,5.4537,0,0,1700572372
1,47.4373,6.34332,0,0,1700572372
1,44.0543,6.85983,0,0,1700572372
1,43.0695,6.04525,0,0,1700572372
1,49.43,5.31197,0,0,1700572372
1,55.5189,5.93587,0,0,1700572372
1,52.2796,6.98064,0,0,1700572372
1,49.0684,7.28732,0,0,1700572372
