Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,26.3549,28.7613,0,0,1699450270
1,34.4846,26.238,0,0,1699450270
1,41.2534,26.1909,0,0,1699450270
1,44.7249,25.7146,0,0,1699450270
1,45.6136,25.1158,0,0,1699450270
1,45.7075,24.9931,0,0,1699450270
1,46.2069,25.3237,0,0,1699450270
1,47.053,26.0908,0,0,1699450270
1,47.7297,26.9466,0,0,1699450270
1,48.0764,27.5254,0,0,1699450270
1,48.3765,27.7266,0,0,1699450270
1,48.7877,27.7506,0,0,1699450270
1,49.0543,27.8604,0,0,1699450270
1,48.9776,27.9538,0,0,1699450270
1,48.7792,27.8644,0,0,1699450270
1,48.8344,27.7473,0,0,1699450270
1,49.1291,27.8126,0,0,1699450270
1,49.4168,28.0112,0,0,1699450270
1,49.6156,28.1443,0,0,1699450270
1,49.6487,28.0976,0,0,1699450270
1,49.594,27.8484,0,0,1699450270
1,49.687,27.4747,0,0,1699450270
1,49.8994,27.2118,0,0,1699450270
1,50.1222,27.1678,0,0,1699450270
1,50.2855,27.1175,0,0,1699450270
1,50.2949,26.9095,0,0,1699450270
1,50.2589,26.7314,0,0,1699450270
1,50.3346,26.724,0,0,1699450270
1,50.4515,26.7604,0,0,1699450270
1,50.5393,26.7793,0,0,1699450270
1,50.6935,26.8246,0,0,1699450270
1,50.904,26.8511,0,0,1699450270
1,51.024,26.8811,0,0,1699450270
1,51.0527,26.9682,0,0,1699450270
1,51.0902,26.9926,0,0,1699450270
1,51.1727,26.8784,0,0,1699450270
1,51.2768,26.7775,0,0,1699450270
1,51.3579,26.8077,0,0,1699450270
1,51.3921,26.8788,0,0,1699450270
1,51.387,26.912,0,0,1699450270
1,51.3651,26.9587,0,0,1699450270
1,51.3378,27.0284,0,0,1699450270
1,51.3114,27.0646,0,0,1699450270
1,51.3164,27.065,0,0,1699450270
1,51.3756,27.0631,0,0,1699450270
1,51.4389,27.0731,0,0,1699450270
1,51.4339,27.0696,0,0,1699450270
1,51.3722,27.0193,0,0,1699450270
1,51.3118,26.9545,0,0,1699450270
1,51.2921,26.9318,0,0,1699450270
1,51.3208,26.9513,0,0,1699450270
1,51.4098,26.9903,0,0,1699450270
1,51.5865,27.0481,0,0,1699450270
1,51.7699,27.1014,0,0,1699450270
1,51.8515,27.136,0,0,1699450270
1,51.8545,27.1935,0,0,1699450270
1,51.8516,27.2447,0,0,1699450270
