Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,24.3677,18.4952,0,0,1699865493
1,25.424,18.4952,0,0,1699865493
1,26.2166,19.9781,0,0,1699865493
1,26.6857,17.2209,0,0,1699865493
1,27.7606,15.6471,0,0,1699865493
1,29.8956,14.5459,0,0,1699865493
1,31.8508,13.4516,0,0,1699865493
1,32.785,12.5275,0,0,1699865493
1,33.207,12.098,0,0,1699865493
1,33.645,11.9298,0,0,1699865493
1,34.1273,11.6828,0,0,1699865493
1,34.5645,11.4306,0,0,1699865493
1,34.9412,11.3088,0,0,1699865493
1,35.0707,11.0823,0,0,1699865493
1,34.8787,10.6152,0,0,1699865493
1,34.6793,10.1463,0,0,1699865493
1,34.6347,9.76082,0,0,1699865493
1,34.6353,9.54894,0,0,1699865493
1,34.6134,9.91687,0,0,1699865493
1,34.643,10.8346,0,0,1699865493
1,34.6786,11.5781,0,0,1699865493
1,34.7866,11.7167,0,0,1699865493
1,35.118,11.5815,0,0,1699865493
1,35.1828,11.6154,0,0,1699865493
1,34.7267,11.777,0,0,1699865493
1,34.4557,12.0061,0,0,1699865493
1,34.6239,12.4608,0,0,1699865493
1,34.7172,12.8852,0,0,1699865493
1,34.5966,13.0043,0,0,1699865493
1,34.5059,12.9778,0,0,1699865493
1,34.4984,12.9176,0,0,1699865493
1,34.5376,12.8721,0,0,1699865493
1,34.6426,12.8876,0,0,1699865493
1,34.7609,12.8765,0,0,1699865493
1,34.8223,12.7452,0,0,1699865493
1,34.8473,12.4958,0,0,1699865493
1,34.8442,12.2305,0,0,1699865493
1,34.7696,12.0524,0,0,1699865493
1,34.673,11.9569,0,0,1699865493
1,34.6384,11.8914,0,0,1699865493
1,34.6393,11.8496,0,0,1699865493
1,34.5885,11.8676,0,0,1699865493
1,34.4829,11.941,0,0,1699865493
1,34.4109,12.0016,0,0,1699865493
1,34.4106,11.9918,0,0,1699865493
1,34.457,11.9239,0,0,1699865493
1,34.4932,11.8837,0,0,1699865493
1,34.4872,11.9002,0,0,1699865493
1,34.6343,11.9331,0,0,1699865493
1,34.9774,11.9918,0,0,1699865493
1,35.2245,12.1197,0,0,1699865493
1,35.3465,12.3239,0,0,1699865493
1,35.4661,12.473,0,0,1699865493
1,35.5296,12.4612,0,0,1699865493
1,35.5225,12.3764,0,0,1699865493
1,35.4704,12.2996,0,0,1699865493
1,35.5002,12.2357,0,0,1699865493
1,35.7569,12.184,0,0,1699865493
1,36.1331,12.1541,0,0,1699865493
1,36.5024,12.1457,0,0,1699865493
1,36.8072,12.1173,0,0,1699865493
1,36.9696,12.0707,0,0,1699865493
1,37.0213,12.0793,0,0,1699865493
1,37.0119,12.1526,0,0,1699865493
1,36.9479,12.1958,0,0,1699865493
1,36.8679,12.1697,0,0,1699865493
1,36.8077,12.1165,0,0,1699865493
1,36.8004,12.0338,0,0,1699865493
1,36.8396,11.918,0,0,1699865493
1,36.8847,11.8179,0,0,1699865493
1,36.8882,11.7443,0,0,1699865493
1,36.8146,11.6594,0,0,1699865493
1,36.716,11.558,0,0,1699865493
1,36.6529,11.4617,0,0,1699865493
1,36.6079,11.3793,0,0,1699865493
1,36.566,11.3144,0,0,1699865493
1,36.504,11.2663,0,0,1699865493
1,36.4162,11.2576,0,0,1699865493
1,36.3685,11.312,0,0,1699865493
1,36.3666,11.3736,0,0,1699865493
1,36.3653,11.389,0,0,1699865493
1,36.38,11.399,0,0,1699865493
1,36.3663,11.433,0,0,1699865493
1,36.2559,11.454,0,0,1699865493
1,36.1335,11.4283,0,0,1699865493
1,36.1261,11.4097,0,0,1699865493
1,36.2143,11.5105,0,0,1699865493
1,36.2606,11.7163,0,0,1699865493
1,36.2305,11.8834,0,0,1699865493
1,36.1872,11.9454,0,0,1699865493
1,36.3386,11.9611,0,0,1699865493
1,36.8781,11.9851,0,0,1699865493
1,37.4263,11.9809,0,0,1699865493
1,37.5977,11.9106,0,0,1699865493
1,37.6038,11.8285,0,0,1699865493
1,37.6221,11.7951,0,0,1699865493
1,37.6124,11.7822,0,0,1699865493
1,37.6001,11.7372,0,0,1699865493
1,37.6121,11.6656,0,0,1699865493
1,37.6183,11.5974,0,0,1699865493
1,37.6018,11.5398,0,0,1699865493
1,37.5785,11.497,0,0,1699865493
1,37.588,11.4658,0,0,1699865493
1,37.6652,11.4242,0,0,1699865493
1,37.7643,11.3667,0,0,1699865493
1,37.838,11.308,0,0,1699865493
1,37.8846,11.2578,0,0,1699865493
1,37.8933,11.2196,0,0,1699865493
1,37.8612,11.1818,0,0,1699865493
1,37.8114,11.1297,0,0,1699865493
1,37.7734,11.0629,0,0,1699865493
1,37.7538,11.0068,0,0,1699865493
1,37.7505,10.9958,0,0,1699865494
1,37.7426,11.0101,0,0,1699865494
1,37.6959,10.9954,0,0,1699865494
1,37.6433,10.9489,0,0,1699865494
1,37.6905,10.914,0,0,1699865494
1,37.894,10.8993,0,0,1699865494
1,38.1259,10.9042,0,0,1699865494
1,38.2303,10.9438,0,0,1699865494
1,38.2713,10.9665,0,0,1699865494
1,38.358,10.9417,0,0,1699865494
1,38.4224,10.9446,0,0,1699865494
1,38.3905,10.9958,0,0,1699865494
1,38.3396,11.0352,0,0,1699865494
1,38.3393,11.044,0,0,1699865494
1,38.3549,11.0335,0,0,1699865494
1,38.3659,11.0059,0,0,1699865494
1,38.3721,10.9714,0,0,1699865494
1,38.347,10.9414,0,0,1699865494
1,38.3056,10.919,0,0,1699865494
1,38.2795,10.9059,0,0,1699865494
1,38.2546,10.9111,0,0,1699865494
1,38.2312,10.9402,0,0,1699865494
1,38.2218,10.9667,0,0,1699865494
1,38.1985,10.9667,0,0,1699865494
1,38.1436,10.9542,0,0,1699865494
1,38.0728,10.9417,0,0,1699865494
1,37.9929,10.9172,0,0,1699865494
1,37.9227,10.8712,0,0,1699865494
1,37.8997,10.8295,0,0,1699865494
1,37.9215,10.8262,0,0,1699865494
1,37.9355,10.8467,0,0,1699865494
1,37.9087,10.8572,0,0,1699865494
1,37.8732,10.8446,0,0,1699865494
1,37.8457,10.8601,0,0,1699865494
1,37.768,11.0112,0,0,1699865494
1,37.6176,11.0617,0,0,1699865494
1,37.5214,11.2282,0,0,1699865494
1,37.6041,11.3105,0,0,1699865494
1,37.7552,11.4334,0,0,1699865494
1,37.8429,11.5744,0,0,1699865494
1,37.9244,11.6433,0,0,1699865494
1,38.0127,11.6511,0,0,1699865494
1,38.043,11.6286,0,0,1699865494
1,38.0327,11.5858,0,0,1699865494
1,38.0263,11.5524,0,0,1699865494
1,38.0243,11.5359,0,0,1699865494
1,38.0036,11.5215,0,0,1699865494
1,37.9657,11.5097,0,0,1699865494
1,37.9412,11.4968,0,0,1699865494
1,37.9286,11.4709,0,0,1699865494
1,37.9011,11.4339,0,0,1699865494
1,37.8615,11.3989,0,0,1699865494
1,37.8301,11.3708,0,0,1699865494
1,37.8204,11.3486,0,0,1699865494
1,37.8299,11.3359,0,0,1699865494
1,37.8401,11.3203,0,0,1699865494
1,37.8411,11.2885,0,0,1699865494
1,37.8417,11.2618,0,0,1699865494
1,37.849,11.2599,0,0,1699865494
1,37.8468,11.2628,0,0,1699865494
1,37.8255,11.2479,0,0,1699865494
1,37.8212,11.2254,0,0,1699865494
1,37.8556,11.2093,0,0,1699865494
1,37.8735,11.2034,0,0,1699865494
1,37.8607,11.2194,0,0,1699865494
1,37.8781,11.245,0,0,1699865494
1,37.9141,11.2438,0,0,1699865494
1,37.9401,11.21,0,0,1699865494
1,37.993,11.177,0,0,1699865494
1,38.0824,11.1784,0,0,1699865494
1,38.1525,11.2068,0,0,1699865494
1,38.1442,11.2498,0,0,1699865494
1,38.0819,11.3091,0,0,1699865494
1,38.0598,11.3418,0,0,1699865494
1,38.1308,11.3311,0,0,1699865494
1,38.3109,11.3228,0,0,1699865494
1,38.5765,11.3275,0,0,1699865494
1,38.7785,11.3399,0,0,1699865494
1,38.8115,11.3658,0,0,1699865494
1,38.7635,11.3936,0,0,1699865494
1,38.736,11.411,0,0,1699865494
1,38.7479,11.4197,0,0,1699865494
1,38.7658,11.4259,0,0,1699865494
1,38.7565,11.4225,0,0,1699865494
1,38.751,11.4101,0,0,1699865494
1,38.7581,11.4061,0,0,1699865494
1,38.7333,11.4127,0,0,1699865494
1,38.7264,11.4226,0,0,1699865494
1,38.8216,11.4207,0,0,1699865494
1,38.9398,11.4051,0,0,1699865494
1,38.9668,11.3968,0,0,1699865494
1,38.9442,11.3835,0,0,1699865494
1,38.9597,11.3492,0,0,1699865494
1,38.9933,11.3194,0,0,1699865494
1,38.983,11.306,0,0,1699865494
1,38.9326,11.2896,0,0,1699865494
1,38.881,11.2662,0,0,1699865494
1,38.8391,11.2582,0,0,1699865494
1,38.8049,11.2813,0,0,1699865494
1,38.8629,11.3397,0,0,1699865494
1,39.1106,11.4286,0,0,1699865494
1,39.1248,11.5052,0,0,1699865494
1,39.3086,11.5217,0,0,1699865494
1,39.3729,11.4977,0,0,1699865494
1,39.4722,11.4828,0,0,1699865494
1,39.5793,11.4935,0,0,1699865494
