Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,62.7035,33.5645,0,0,1699865493
1,55.6062,62.6226,0,0,1699865493
1,63.3377,3.79956,0,0,1699865493
1,80.3431,8.94869,0,0,1699865493
1,73.8778,6.31779,0,0,1699865493
1,53.4166,6.63978,0,0,1699865493
1,67.7966,18.2071,0,0,1699865493
1,82.6811,4.10235,0,0,1699865493
1,57.0978,6.20618,0,0,1699865493
1,86.3988,6.7574,0,0,1699865493
1,67.649,15.2028,0,0,1699865493
1,84.4441,14.514,0,0,1699865493
1,86.147,11.1048,0,0,1699865493
1,80.3992,3.36256,0,0,1699865493
1,75.0133,7.97019,0,0,1699865493
1,66.3964,7.96688,0,0,1699865493
1,62.6555,14.8686,0,0,1699865493
1,53.8598,3.2138,0,0,1699865493
1,68.7727,6.58351,0,0,1699865493
1,77.2,4.51809,0,0,1699865493
1,85.9567,13.5439,0,0,1699865493
1,72.6246,16.6568,0,0,1699865493
1,77.2034,5.33147,0,0,1699865493
1,67.2535,1.00409,0,0,1699865493
1,75.9287,9.7574,0,0,1699865493
1,61.1938,0.467682,0,0,1699865493
1,70.7733,13.0258,0,0,1699865493
1,69.2188,20.6505,0,0,1699865493
1,84.5448,21.5055,0,0,1699865493
1,76.5252,8.89512,0,0,1699865493
1,67.487,10.1312,0,0,1699865493
1,123.128,19.2984,0,0,1699865493
1,87.1273,20.5195,0,0,1699865493
1,154.51,36.3724,0,0,1699865493
1,70.7292,54.6095,0,0,1699865493
1,52.381,24.6287,0,0,1699865493
1,66.6622,33.2063,0,0,1699865493
1,47.733,142.196,0,0,1699865493
1,48.2753,122.663,0,0,1699865493
1,178.865,96.6048,0,0,1699865493
1,394.737,59.4609,0,0,1699865493
1,10.3877,45.4545,0,0,1699865493
1,43.5317,36.6447,0,0,1699865493
1,50.1918,1.23447,0,0,1699865493
1,73.3414,26.4565,0,0,1699865493
1,65.1784,21.0307,0,0,1699865493
1,73.57,10.1131,0,0,1699865493
1,75.3684,14.7381,0,0,1699865493
1,86.3373,6.71221,0,0,1699865493
1,65.3637,11.2055,0,0,1699865493
1,73.484,7.06599,0,0,1699865493
1,70.2491,7.62485,0,0,1699865493
1,63.46,4.99022,0,0,1699865493
1,73.5432,15.8254,0,0,1699865493
1,86.4147,5.54475,0,0,1699865493
1,77.9044,14.0365,0,0,1699865493
1,74.1773,12.7488,0,0,1699865493
1,63.1365,26.5665,0,0,1699865493
1,75.7557,3.94939,0,0,1699865493
1,77.7745,5.1127,0,0,1699865493
1,79.2484,9.28782,0,0,1699865493
1,60.9043,17.8073,0,0,1699865493
1,80.5424,12.3485,0,0,1699865493
1,71.038,5.64553,0,0,1699865493
1,79.599,5.29567,0,0,1699865493
1,68.3844,11.0888,0,0,1699865493
1,75.0645,4.99607,0,0,1699865493
1,51.4581,10.5091,0,0,1699865493
1,80.7257,29.3175,0,0,1699865493
1,63.6801,17.3591,0,0,1699865493
1,58.4957,11.9212,0,0,1699865493
1,92.3684,9.9246,0,0,1699865493
1,106.547,10.8099,0,0,1699865493
1,96.4027,42.7286,0,0,1699865493
1,82.2382,1.49548,0,0,1699865493
1,51.4331,4.71092,0,0,1699865493
1,63.889,14.4013,0,0,1699865493
1,52.7423,6.95038,0,0,1699865493
1,71.861,0.997692,0,0,1699865493
1,71.5723,5.64356,0,0,1699865493
1,66.7195,13.0428,0,0,1699865493
1,70.3518,0.767713,0,0,1699865493
1,67.861,2.76988,0,0,1699865493
1,59.289,10.8888,0,0,1699865493
1,82.8422,1.53605,0,0,1699865493
