Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,27.1124,39.2686,0,0,1699450270
1,37.8591,38.5394,0,0,1699450270
1,48.6644,30.9388,0,0,1699450270
1,52.2043,26.7703,0,0,1699450270
1,53.5916,23.8161,0,0,1699450270
1,57.4361,19.4941,0,0,1699450270
1,60.5273,16.9238,0,0,1699450270
1,66.9804,15.8772,0,0,1699450270
1,79.3132,16.3339,0,0,1699450270
1,83.9842,21.1706,0,0,1699450270
1,74.2543,24.7979,0,0,1699450270
1,61.9792,22.8883,0,0,1699450270
1,56.4059,20.4547,0,0,1699450270
1,54.3744,19.7159,0,0,1699450270
1,52.843,21.4849,0,0,1699450270
1,52.5834,25.1191,0,0,1699450270
1,53.8887,23.8025,0,0,1699450270
1,56.6024,18.0791,0,0,1699450270
1,58.4031,18.1361,0,0,1699450270
1,58.9089,24.1106,0,0,1699450270
1,57.434,27.8188,0,0,1699450270
1,54.7802,28.5614,0,0,1699450270
1,56.116,28.338,0,0,1699450270
1,58.4984,27.7473,0,0,1699450270
1,59.6049,27.6706,0,0,1699450270
1,61.0195,27.9989,0,0,1699450270
1,58.8568,31.8861,0,0,1699450270
1,55.5613,38.3577,0,0,1699450270
1,56.3752,39.1969,0,0,1699450270
1,57.5267,33.2133,0,0,1699450270
1,55.9785,27.5076,0,0,1699450270
1,53.8381,26.7685,0,0,1699450270
1,55.3733,25.7362,0,0,1699450270
1,59.9133,19.0871,0,0,1699450270
1,61.1066,14.6112,0,0,1699450270
1,68.0359,19.4372,0,0,1699450270
1,80.7631,27.7146,0,0,1699450270
1,92.7088,28.9553,0,0,1699450270
1,109.693,23.2953,0,0,1699450270
1,105.168,21.7396,0,0,1699450270
1,76.9909,25.293,0,0,1699450270
1,65.8082,26.4521,0,0,1699450270
1,64.6449,26.6398,0,0,1699450270
1,58.8046,27.3321,0,0,1699450270
1,57.9313,25.5398,0,0,1699450270
1,59.591,24.9494,0,0,1699450270
1,59.6627,28.5666,0,0,1699450270
1,58.1468,30.5943,0,0,1699450270
1,56.7763,28.2759,0,0,1699450270
1,58.0356,26.6017,0,0,1699450270
1,60.1277,27.4909,0,0,1699450270
1,59.6748,28.665,0,0,1699450270
1,57.3637,28.5401,0,0,1699450270
1,55.5103,27.1231,0,0,1699450270
1,54.5266,27.2013,0,0,1699450270
