Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,35.74,28.1249,0,0,1699450270
1,38.844,45.3763,0,0,1699450270
1,41.6236,32.6862,0,0,1699450270
1,48.0222,24.3887,0,0,1699450270
1,56.6733,26.488,0,0,1699450270
1,55.2868,30.7529,0,0,1699450270
1,46.8148,27.5953,0,0,1699450270
1,44.4263,24.8512,0,0,1699450270
1,46.2308,25.3289,0,0,1699450270
1,51.6901,31.0951,0,0,1699450270
1,56.8895,44.6748,0,0,1699450270
1,48.1004,42.454,0,0,1699450270
1,36.868,25.1516,0,0,1699450270
1,38.9864,19.9988,0,0,1699450270
1,44.494,22.4597,0,0,1699450270
1,46.2467,24.2311,0,0,1699450270
1,46.0042,25.9086,0,0,1699450270
1,46.9828,22.2186,0,0,1699450270
1,51.9915,14.9771,0,0,1699450270
1,54.3657,11.9757,0,0,1699450270
1,51.6363,15.4716,0,0,1699450270
1,49.9669,19.9559,0,0,1699450270
1,48.1393,23.2253,0,0,1699450270
1,44.5558,23.9699,0,0,1699450270
1,45.4792,21.6105,0,0,1699450270
1,50.4452,20.9332,0,0,1699450270
1,52.849,19.9733,0,0,1699450270
1,51.8973,17.8204,0,0,1699450270
1,46.908,18.8193,0,0,1699450270
1,40.6942,20.0153,0,0,1699450270
1,40.864,22.3432,0,0,1699450270
1,43.4888,28.2055,0,0,1699450270
1,47.7,29.9923,0,0,1699450270
1,55.4384,27.7625,0,0,1699450270
1,54.5075,28.7821,0,0,1699450270
1,50.8289,29.0681,0,0,1699450270
1,59.1818,25.1323,0,0,1699450270
1,62.5831,23.2023,0,0,1699450270
1,53.0006,26.5777,0,0,1699450270
1,49.0636,32.7592,0,0,1699450270
1,49.5897,37.2162,0,0,1699450270
1,51.0482,33.9565,0,0,1699450270
1,59.2627,26.9328,0,0,1699450270
1,58.6911,27.2887,0,0,1699450270
1,47.6724,34.7831,0,0,1699450270
1,43.8814,41.5303,0,0,1699450270
1,42.8892,38.2318,0,0,1699450270
1,38.3549,23.5929,0,0,1699450270
1,37.683,16.3005,0,0,1699450270
1,43.5279,25.7407,0,0,1699450270
1,47.9372,33.9574,0,0,1699450270
1,44.2174,30.005,0,0,1699450270
1,39.6993,24.9878,0,0,1699450270
1,42.7845,26.1229,0,0,1699450270
1,48.3756,26.7172,0,0,1699450270
1,48.2889,22.7828,0,0,1699450270
1,44.0105,19.6222,0,0,1699450270
1,42.7913,20.5619,0,0,1699450270
