Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,29.8192,34.2074,0,0,1699875690
1,28.5282,23.4139,0,0,1699875690
1,36.3651,10.4714,0,0,1699875690
1,38.625,7.42367,0,0,1699875690
1,38.3967,8.05228,0,0,1699875690
1,37.0074,8.42779,0,0,1699875690
1,33.6837,11.1563,0,0,1699875690
1,30.6355,10.7863,0,0,1699875690
1,31.7678,6.63471,0,0,1699875690
1,35.0965,6.30245,0,0,1699875690
1,36.2523,9.76875,0,0,1699875690
1,34.2428,12.9056,0,0,1699875690
1,31.8593,27.6971,0,0,1699875690
1,34.1545,18.0082,0,0,1699875690
1,45.7617,18.0082,0,0,1699875690
1,55.4226,18.0082,0,0,1699875690
1,45.8307,18.0082,0,0,1699875690
1,31.8766,18.0068,0,0,1699875690
1,32.3944,7.97173,0,0,1699875690
1,37.1713,8.91266,0,0,1699875690
1,38.8183,9.02962,0,0,1699875690
1,40.9772,7.65947,0,0,1699875690
1,42.8736,8.92877,0,0,1699875690
1,41.8794,12.9226,0,0,1699875690
1,39.69,11.1536,0,0,1699875690
1,40.4803,5.65156,0,0,1699875690
1,40.9416,5.69639,0,0,1699875690
1,37.6341,8.61672,0,0,1699875690
1,35.145,7.81832,0,0,1699875690
1,32.8032,5.47632,0,0,1699875690
1,31.1858,6.2021,0,0,1699875690
1,37.1982,9.4115,0,0,1699875690
1,46.2104,10.7176,0,0,1699875690
1,47.8573,7.43966,0,0,1699875690
1,41.9845,4.7139,0,0,1699875690
1,35.7086,8.44252,0,0,1699875690
1,31.684,12.929,0,0,1699875690
1,30.9354,11.2389,0,0,1699875690
1,37.4012,9.57821,0,0,1699875690
1,43.3352,12.2294,0,0,1699875690
1,38.8912,12.2801,0,0,1699875690
1,31.7573,8.57897,0,0,1699875690
1,30.2841,6.79856,0,0,1699875690
1,32.8722,7.92649,0,0,1699875690
1,36.0062,9.2022,0,0,1699875690
1,35.5585,10.6143,0,0,1699875690
1,32.3229,12.1019,0,0,1699875690
1,32.9456,12.9737,0,0,1699875690
1,37.7875,13.9385,0,0,1699875690
1,40.1445,11.1615,0,0,1699875690
1,39.1509,5.10572,0,0,1699875690
1,38.9012,3.00935,0,0,1699875690
1,37.8273,6.01065,0,0,1699875690
1,35.0715,10.3532,0,0,1699875690
1,32.3385,13.1449,0,0,1699875690
1,28.8294,13.7999,0,0,1699875690
1,27.3423,12.5221,0,0,1699875690
1,28.9667,10.2787,0,0,1699875690
1,28.5281,7.67404,0,0,1699875690
1,27.7074,4.84437,0,0,1699875690
1,31.3833,3.27236,0,0,1699875690
1,35.1225,3.78898,0,0,1699875690
1,36.0375,7.48717,0,0,1699875690
1,38.7615,11.3059,0,0,1699875690
1,41.7143,11.1509,0,0,1699875690
1,39.2125,10.089,0,0,1699875690
1,35.9506,9.99005,0,0,1699875690
1,39.0665,8.8298,0,0,1699875690
1,44.0431,8.06575,0,0,1699875690
1,43.379,9.25394,0,0,1699875690
1,38.2692,9.05823,0,0,1699875690
1,34.5049,6.49035,0,0,1699875690
1,34.0709,4.26277,0,0,1699875690
1,34.2728,3.40212,0,0,1699875690
1,37.5018,6.31168,0,0,1699875690
1,48.6309,12.0441,0,0,1699875690
1,55.4059,15.8842,0,0,1699875690
1,47.1687,16.755,0,0,1699875690
1,37.6935,14.3669,0,0,1699875690
1,36.6367,11.0082,0,0,1699875690
1,40.5564,8.90559,0,0,1699875690
1,46.115,7.55715,0,0,1699875690
1,46.5542,9.52763,0,0,1699875690
1,44.0998,12.3077,0,0,1699875690
1,49.79,11.2862,0,0,1699875690
1,57.7257,11.7842,0,0,1699875690
1,62.0245,16.714,0,0,1699875690
1,69.2371,18.6769,0,0,1699875690
1,67.6321,13.1932,0,0,1699875690
1,50.6348,7.21427,0,0,1699875690
1,37.7846,6.30278,0,0,1699875690
1,35.1503,6.56551,0,0,1699875690
1,35.221,5.39117,0,0,1699875690
1,35.7045,3.75172,0,0,1699875690
1,35.8785,2.5343,0,0,1699875690
1,35.6403,2.52144,0,0,1699875690
1,33.344,5.64227,0,0,1699875690
1,34.8627,23.7628,0,0,1699875690
1,43.4616,18.0082,0,0,1699875690
1,45.6425,18.0082,0,0,1699875690
1,38.8965,39.263,0,0,1699875690
1,32.3159,28.1005,0,0,1699875690
1,29.3485,19.394,0,0,1699875690
1,32.6951,13.6407,0,0,1699875690
1,36.5173,13.2809,0,0,1699875690
1,36.7004,12.129,0,0,1699875690
1,40.6047,7.87869,0,0,1699875690
1,42.4127,6.12054,0,0,1699875690
1,33.3802,9.49629,0,0,1699875690
1,25.3796,12.1233,0,0,1699875690
1,24.1376,14.4487,0,0,1699875690
1,28.5334,17.2997,0,0,1699875690
1,41.1492,13.6889,0,0,1699875690
1,44.933,7.39017,0,0,1699875690
1,35.8141,7.26973,0,0,1699875690
1,35.1928,8.49563,0,0,1699875690
1,40.7683,5.5778,0,0,1699875690
1,36.7974,4.50559,0,0,1699875690
1,27.5621,7.97515,0,0,1699875690
1,26.4435,9.11894,0,0,1699875690
1,32.7633,6.54721,0,0,1699875690
1,35.71,5.49358,0,0,1699875690
1,34.5015,6.86343,0,0,1699875690
1,34.9796,9.09153,0,0,1699875690
1,35.8348,12.1825,0,0,1699875690
1,34.122,14.9214,0,0,1699875690
1,31.7271,16.8304,0,0,1699875690
1,34.6496,17.1789,0,0,1699875690
1,46.9388,16.5438,0,0,1699875690
1,64.4064,18.0119,0,0,1699875690
1,75.779,15.9951,0,0,1699875690
1,69.2979,13.2703,0,0,1699875690
1,64.1781,22.3745,0,0,1699875690
1,76.5589,30.1887,0,0,1699875690
1,72.8269,21.8884,0,0,1699875690
1,51.1457,9.96564,0,0,1699875690
1,42.9795,6.72305,0,0,1699875690
1,39.8543,9.7368,0,0,1699875690
1,31.9612,12.0852,0,0,1699875690
1,26.6323,10.7638,0,0,1699875690
1,27.1331,7.9961,0,0,1699875690
1,32.8523,6.93255,0,0,1699875690
1,33.5947,8.59206,0,0,1699875690
1,28.1152,11.3039,0,0,1699875690
1,29.694,10.9829,0,0,1699875690
1,39.23,8.22477,0,0,1699875690
1,45.6891,8.36369,0,0,1699875690
1,43.271,11.3445,0,0,1699875690
1,34.3386,12.6971,0,0,1699875690
1,24.9266,11.2549,0,0,1699875690
1,25.4677,10.4259,0,0,1699875690
1,34.4785,13.072,0,0,1699875690
1,35.5111,16.4994,0,0,1699875690
1,34.9014,16.5676,0,0,1699875690
1,45.0607,16.0665,0,0,1699875690
1,53.4597,17.4991,0,0,1699875690
1,51.6891,14.6862,0,0,1699875690
1,45.4075,11.4237,0,0,1699875690
1,40.3738,17.6528,0,0,1699875690
1,36.4559,23.7807,0,0,1699875690
1,34.3704,34.778,0,0,1699875690
1,37.7379,18.0082,0,0,1699875690
1,43.762,18.0082,0,0,1699875690
1,55.2982,32.5831,0,0,1699875690
1,65.1874,8.47983,0,0,1699875690
1,59.3297,8.22519,0,0,1699875690
1,51.51,14.4664,0,0,1699875690
1,48.0161,15.7337,0,0,1699875690
1,40.3394,11.1312,0,0,1699875690
1,33.5243,6.17934,0,0,1699875690
1,29.2543,6.08909,0,0,1699875690
1,29.156,11.7899,0,0,1699875690
1,34.6694,16.5756,0,0,1699875690
1,40.0183,16.1051,0,0,1699875690
1,43.1914,14.2542,0,0,1699875690
1,40.7393,14.0441,0,0,1699875690
1,45.9467,17.6769,0,0,1699875690
1,72.583,26.2907,0,0,1699875690
1,86.2634,31.5802,0,0,1699875690
1,68.7167,24.268,0,0,1699875690
1,50.6226,11.0153,0,0,1699875690
1,46.1632,4.9095,0,0,1699875690
1,47.5543,5.67467,0,0,1699875690
1,44.7881,9.81631,0,0,1699875690
1,42.2275,19.8176,0,0,1699875690
1,47.1601,27.4487,0,0,1699875690
1,45.6074,24.0594,0,0,1699875690
1,37.478,17.0855,0,0,1699875690
1,55.1455,15.024,0,0,1699875690
1,42.8412,19.2494,0,0,1699875690
1,83.4506,29.3841,0,0,1699875690
1,40.0879,38.5092,0,0,1699875690
1,22.8833,33.7193,0,0,1699875690
1,39.2105,21.1129,0,0,1699875690
1,63.1418,27.912,0,0,1699875690
1,67.8055,18.0082,0,0,1699875690
1,56.5845,18.0082,0,0,1699875690
1,50.4769,18.0082,0,0,1699875690
1,41.8851,18.0082,0,0,1699875690
1,28.6846,19.2966,0,0,1699875690
1,24.5196,16.6002,0,0,1699875690
1,30.3697,35.8741,0,0,1699875690
1,35.9813,38.9038,0,0,1699875690
1,37.0177,20.1984,0,0,1699875690
1,38.0196,8.19718,0,0,1699875690
1,38.0354,10.1705,0,0,1699875690
1,34.1437,12.9479,0,0,1699875690
1,32.4798,12.2399,0,0,1699875690
1,38.1137,10.0302,0,0,1699875690
1,43.822,7.83976,0,0,1699875690
1,39.6517,9.07327,0,0,1699875690
1,32.1706,15.9597,0,0,1699875690
1,35.1117,21.8352,0,0,1699875690
1,41.973,21.1152,0,0,1699875690
1,41.2545,16.9978,0,0,1699875690
1,37.524,11.8851,0,0,1699875690
1,38.2708,8.43954,0,0,1699875690
1,42.3146,7.89302,0,0,1699875690
1,41.5633,5.95584,0,0,1699875690
1,35.7775,3.36905,0,0,1699875690
1,36.6424,9.90376,0,0,1699875690
1,41.0738,25.9172,0,0,1699875690
1,34.3405,30.7233,0,0,1699875690
1,40.3579,17.1376,0,0,1699875690
1,71.2149,15.6204,0,0,1699875690
1,73.2468,34.8749,0,0,1699875690
1,42.3257,18.0082,0,0,1699875690
1,28.7048,32.366,0,0,1699875690
1,30.9235,23.7618,0,0,1699875690
1,34.063,16.6553,0,0,1699875690
1,38.2801,14.1286,0,0,1699875690
1,36.5293,14.5529,0,0,1699875690
1,30.3712,13.8091,0,0,1699875690
1,27.5147,16.8207,0,0,1699875690
1,30.047,17.7958,0,0,1699875690
1,32.5401,11.8098,0,0,1699875690
1,32.6732,7.08136,0,0,1699875691
1,37.5826,6.24255,0,0,1699875691
1,43.7241,6.95625,0,0,1699875691
1,45.3085,13.5916,0,0,1699875691
1,47.3514,22.0052,0,0,1699875691
1,48.1472,21.7677,0,0,1699875691
1,45.111,21.8756,0,0,1699875691
1,41.1998,28.2723,0,0,1699875691
1,40.4083,26.6836,0,0,1699875691
1,41.8222,16.2612,0,0,1699875691
1,42.7631,8.44698,0,0,1699875691
1,45.7768,7.57884,0,0,1699875691
1,47.963,11.5536,0,0,1699875691
1,46.246,14.261,0,0,1699875691
1,39.5261,13.394,0,0,1699875691
1,27.3875,11.8811,0,0,1699875691
1,17.7307,11.6593,0,0,1699875691
1,19.1931,12.6491,0,0,1699875691
1,28.3843,21.4666,0,0,1699875691
1,42.8412,38.1285,0,0,1699875691
1,42.8412,40.627,0,0,1699875691
1,42.8412,24.9693,0,0,1699875691
1,42.8412,14.6753,0,0,1699875691
1,35.0083,15.0387,0,0,1699875691
1,30.8328,18.0685,0,0,1699875691
1,26.1033,23.5815,0,0,1699875691
1,26.9209,32.3321,0,0,1699875691
1,31.4494,38.9574,0,0,1699875691
1,40.7098,37.4513,0,0,1699875691
1,45.9513,31.8183,0,0,1699875691
1,47.3488,37.6501,0,0,1699875691
1,57.7653,18.0082,0,0,1699875691
1,67.3704,18.0082,0,0,1699875691
1,63.9902,20.622,0,0,1699875691
1,55.1237,9.62261,0,0,1699875691
1,47.8026,18.9823,0,0,1699875691
1,44.8209,31.0368,0,0,1699875691
1,44.7615,29.21,0,0,1699875691
1,40.5741,16.6077,0,0,1699875691
1,34.0237,10.2592,0,0,1699875691
1,31.0229,10.4379,0,0,1699875691
1,27.4529,15.4832,0,0,1699875691
1,25.6444,19.9552,0,0,1699875691
1,30.6528,17.2839,0,0,1699875691
1,32.2473,18.6925,0,0,1699875691
1,28.0146,28.4835,0,0,1699875691
1,29.8464,32.1738,0,0,1699875691
1,38.4673,23.1197,0,0,1699875691
1,41.6295,14.1886,0,0,1699875691
1,36.1321,15.3886,0,0,1699875691
1,28.4418,16.5464,0,0,1699875691
1,22.8053,12.6118,0,0,1699875691
1,39.9457,14.8639,0,0,1699875691
1,75.7127,21.3169,0,0,1699875691
1,73.6794,22.4571,0,0,1699875691
1,36.8283,22.0834,0,0,1699875691
1,21.5164,23.2301,0,0,1699875691
1,29.7549,21.8103,0,0,1699875691
1,38.3335,17.5561,0,0,1699875691
1,40.4874,16.8955,0,0,1699875691
1,36.8359,20.8661,0,0,1699875691
1,32.5776,22.9163,0,0,1699875691
1,31.0855,20.857,0,0,1699875691
1,35.4441,17.8415,0,0,1699875691
1,42.4243,17.0706,0,0,1699875691
1,42.1568,16.458,0,0,1699875691
1,35.6158,13.2292,0,0,1699875691
1,31.5088,12.1289,0,0,1699875691
1,32.0855,16.6786,0,0,1699875691
1,35.5947,20.2001,0,0,1699875691
1,39.1103,16.5809,0,0,1699875691
1,38.8663,12.4341,0,0,1699875691
1,35.18,12.5452,0,0,1699875691
1,33.5181,11.6482,0,0,1699875691
1,34.8631,10.6644,0,0,1699875691
1,34.8803,12.1186,0,0,1699875691
1,32.6839,10.2647,0,0,1699875691
1,30.385,5.88516,0,0,1699875691
1,31.8387,5.12631,0,0,1699875691
1,36.8547,6.66868,0,0,1699875691
1,40.7111,8.57642,0,0,1699875691
1,43.8549,9.4141,0,0,1699875691
1,46.5727,8.56597,0,0,1699875691
1,43.7358,13.4441,0,0,1699875691
1,38.634,23.4669,0,0,1699875691
1,40.1496,27.5975,0,0,1699875691
1,41.6631,24.6463,0,0,1699875691
1,36.9809,17.6397,0,0,1699875691
1,36.1125,9.89591,0,0,1699875691
1,38.4581,11.1117,0,0,1699875691
1,35.8879,18.814,0,0,1699875691
1,33.0237,17.443,0,0,1699875691
