Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,57.7881,0.825219,0,0,1699875690
1,49.3175,10.619,0,0,1699875690
1,61.739,12.9489,0,0,1699875690
1,47.6622,12.9364,0,0,1699875690
1,58.4331,3.36627,0,0,1699875690
1,40.2028,33.2657,0,0,1699875690
1,39.069,4.19137,0,0,1699875690
1,50.9971,7.22335,0,0,1699875690
1,50.2557,7.27051,0,0,1699875690
1,55.7487,23.6305,0,0,1699875690
1,42.7956,11.2127,0,0,1699875690
1,42.9743,34.5876,0,0,1699875690
1,48.3024,151.009,0,0,1699875690
1,70.7193,90.3911,0,0,1699875690
1,118.702,131.387,0,0,1699875690
1,15.0132,9.35508,0,0,1699875690
1,48.7251,9.55625,0,0,1699875690
1,50.0204,13.9493,0,0,1699875690
1,57.028,10.697,0,0,1699875690
1,52.2537,17.6438,0,0,1699875690
1,62.778,3.74202,0,0,1699875690
1,63.0028,12.0786,0,0,1699875690
1,57.4543,35.5647,0,0,1699875690
1,51.4297,0.845005,0,0,1699875690
1,60.6753,5.66945,0,0,1699875690
1,65.6046,8.35546,0,0,1699875690
1,35.2862,21.5948,0,0,1699875690
1,63.4827,2.70977,0,0,1699875690
1,37.0225,7.64835,0,0,1699875690
1,36.1605,9.12348,0,0,1699875690
1,69.8997,17.327,0,0,1699875690
1,67.148,19.8309,0,0,1699875690
1,77.7617,1.57618,0,0,1699875690
1,39.3681,2.93649,0,0,1699875690
1,57.9694,19.4976,0,0,1699875690
1,35.3362,26.8583,0,0,1699875690
1,40.6759,5.48995,0,0,1699875690
1,64.3424,11.0871,0,0,1699875690
1,74.1464,31.3745,0,0,1699875690
1,36.9853,6.53628,0,0,1699875690
1,43.8549,14.8227,0,0,1699875690
1,43.1963,1.72728,0,0,1699875690
1,45.7619,20.7972,0,0,1699875690
1,62.1544,7.59646,0,0,1699875690
1,42.2582,17.7327,0,0,1699875690
1,44.9563,23.3682,0,0,1699875690
1,42.8365,6.99158,0,0,1699875690
1,67.98,38.0055,0,0,1699875690
1,51.8622,0.285794,0,0,1699875690
1,53.8358,5.33774,0,0,1699875690
1,59.0135,2.43884,0,0,1699875690
1,51.4196,10.4939,0,0,1699875690
1,44.5485,23.8008,0,0,1699875690
1,50.9919,12.5783,0,0,1699875690
1,29.3783,29.5365,0,0,1699875690
1,41.5377,6.74306,0,0,1699875690
1,46.1896,20.8019,0,0,1699875690
1,36.7078,4.40479,0,0,1699875690
1,33.7949,5.01294,0,0,1699875690
1,56.2713,5.62576,0,0,1699875690
1,49.4658,0.929798,0,0,1699875690
1,48.1887,18.029,0,0,1699875690
1,59.5646,22.3326,0,0,1699875690
1,67.1724,6.94986,0,0,1699875690
1,45.8005,20.5476,0,0,1699875690
1,46.8251,9.63324,0,0,1699875690
1,62.412,16.06,0,0,1699875690
1,69.8951,2.665,0,0,1699875690
1,56.8166,25.4573,0,0,1699875690
1,50.2046,4.77061,0,0,1699875690
1,43.3995,9.82223,0,0,1699875690
1,53.7928,4.16895,0,0,1699875690
1,45.0663,1.7906,0,0,1699875690
