Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,13.1799,47.6546,0,0,1699450270
1,44.3645,37.5717,0,0,1699450270
1,61.0422,29.302,0,0,1699450270
1,53.5892,27.3207,0,0,1699450270
1,49.5043,29.4483,0,0,1699450270
1,51.641,31.5732,0,0,1699450270
1,48.9157,32.0945,0,0,1699450270
1,41.4769,30.297,0,0,1699450270
1,36.8326,28.0013,0,0,1699450270
1,42.0461,24.7895,0,0,1699450270
1,60.0202,20.2006,0,0,1699450270
1,80.0817,18.3137,0,0,1699450270
1,73.5131,19.2095,0,0,1699450270
1,45.0509,18.741,0,0,1699450270
1,31.439,20.8619,0,0,1699450270
1,36.7534,27.4491,0,0,1699450270
1,44.2151,29.5644,0,0,1699450270
1,49.5075,26.1857,0,0,1699450270
1,50.945,24.5183,0,0,1699450270
1,46.5686,26.0376,0,0,1699450270
1,41.3767,27.4821,0,0,1699450270
1,40.0051,25.1858,0,0,1699450270
1,41.2356,20.9006,0,0,1699450270
1,43.2146,20.2297,0,0,1699450270
1,44.0823,22.2434,0,0,1699450270
1,43.2467,21.6907,0,0,1699450270
1,43.2958,19.3898,0,0,1699450270
1,45.4069,19.0891,0,0,1699450270
1,47.4862,20.3615,0,0,1699450270
1,51.6734,21.9197,0,0,1699450270
1,57.6972,23.1907,0,0,1699450270
1,56.9734,24.1274,0,0,1699450270
1,50.2099,25.5132,0,0,1699450270
1,44.9761,25.1513,0,0,1699450270
1,43.5316,22.6077,0,0,1699450270
1,50.5072,23.1015,0,0,1699450270
1,58.1994,29.2754,0,0,1699450270
1,54.3999,37.3853,0,0,1699450270
1,52.8862,39.5415,0,0,1699450270
1,60.2833,32.1181,0,0,1699450270
1,59.6665,23.7448,0,0,1699450270
1,51.5298,19.6558,0,0,1699450270
1,47.8689,17.4011,0,0,1699450270
1,47.0734,18.8218,0,0,1699450270
1,52.6506,26.447,0,0,1699450270
1,67.1629,34.7635,0,0,1699450270
1,69.619,30.1877,0,0,1699450270
1,54.3715,17.6415,0,0,1699450270
1,46.7389,17.9677,0,0,1699450270
1,50.9747,25.9635,0,0,1699450270
1,48.7687,27.3045,0,0,1699450270
1,39.7827,26.1193,0,0,1699450270
1,36.6095,23.5689,0,0,1699450270
1,38.6565,17.8092,0,0,1699450270
1,46.7198,14.8891,0,0,1699450270
1,63.0552,14.6654,0,0,1699450270
1,67.4912,14.4208,0,0,1699450270
1,55.0432,17.6343,0,0,1699450270
1,44.9784,21.0786,0,0,1699450270
1,39.9238,21.5236,0,0,1699450270
1,39.1119,21.5623,0,0,1699450270
1,45.5108,19.9308,0,0,1699450270
1,52.1272,19.024,0,0,1699450270
1,52.8684,21.3878,0,0,1699450270
1,49.8965,22.5393,0,0,1699450270
1,47.4078,20.5688,0,0,1699450270
1,45.4935,15.9936,0,0,1699450270
1,42.366,15.5562,0,0,1699450270
1,40.8767,23.1031,0,0,1699450270
1,45.4633,25.1346,0,0,1699450270
1,49.2813,20.024,0,0,1699450270
1,46.0906,20.7688,0,0,1699450270
1,45.0163,23.3822,0,0,1699450270
1,48.7813,21.6535,0,0,1699450270
1,46.8702,20.9721,0,0,1699450270
1,59.346,22.1521,0,0,1699450270
1,94.343,21.8872,0,0,1699450270
1,96.5834,18.8549,0,0,1699450270
1,60.7252,15.3468,0,0,1699450270
1,42.1961,16.3264,0,0,1699450270
1,43.4001,27.0849,0,0,1699450270
1,44.3027,43.8306,0,0,1699450270
1,51.2738,44.4752,0,0,1699450270
1,59.2597,26.8874,0,0,1699450270
1,53.519,18.7165,0,0,1699450270
1,43.9041,23.5573,0,0,1699450270
1,50.0557,26.5647,0,0,1699450270
1,65.9044,26.0279,0,0,1699450270
1,66.4232,24.6764,0,0,1699450270
1,52.0707,25.1338,0,0,1699450270
1,45.3221,27.2149,0,0,1699450270
1,46.4323,26.9768,0,0,1699450270
1,47.5148,26.2532,0,0,1699450270
1,47.464,27.9785,0,0,1699450270
1,43.8737,28.228,0,0,1699450270
1,39.0867,25.9651,0,0,1699450270
1,36.6154,26.1633,0,0,1699450270
1,37.0479,25.8324,0,0,1699450270
1,41.0124,20.3207,0,0,1699450270
1,46.6395,17.3725,0,0,1699450270
1,48.4637,20.8411,0,0,1699450270
1,46.0486,24.429,0,0,1699450270
1,42.2732,25.9765,0,0,1699450270
1,40.4979,25.3387,0,0,1699450270
1,45.679,22.8797,0,0,1699450271
1,52.3796,22.627,0,0,1699450271
