Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,22.2218,15.3557,0,0,1699875690
1,34.3774,30.6302,0,0,1699875690
1,42.877,23.3786,0,0,1699875690
1,44.1459,18.9344,0,0,1699875690
1,40.0954,12.9881,0,0,1699875690
1,37.3827,6.412,0,0,1699875690
1,41.1617,6.63887,0,0,1699875690
1,47.76,11.2349,0,0,1699875690
1,49.1118,10.0683,0,0,1699875690
1,44.952,5.15205,0,0,1699875690
1,42.3594,4.84321,0,0,1699875690
1,42.7263,7.25835,0,0,1699875690
1,44.017,9.74508,0,0,1699875690
1,46.4217,13.0354,0,0,1699875690
1,45.0841,13.1557,0,0,1699875690
1,44.3089,10.3605,0,0,1699875690
1,52.8938,12.4658,0,0,1699875690
1,58.1172,18.41,0,0,1699875690
1,50.9775,21.6257,0,0,1699875690
1,44.6855,21.7279,0,0,1699875690
1,49.0517,17.5176,0,0,1699875690
1,53.8814,9.63816,0,0,1699875690
1,47.9345,5.27618,0,0,1699875690
1,46.6337,7.04496,0,0,1699875690
1,57.9906,12.0756,0,0,1699875690
1,59.8809,15.7775,0,0,1699875690
1,48.6199,15.7731,0,0,1699875690
1,40.1931,15.3558,0,0,1699875690
1,38.8608,14.1158,0,0,1699875690
1,43.1726,10.0871,0,0,1699875690
1,48.152,5.74095,0,0,1699875690
1,47.8696,2.46864,0,0,1699875690
1,44.3765,4.90978,0,0,1699875690
1,41.9509,13.0347,0,0,1699875690
1,41.6222,14.4864,0,0,1699875690
1,40.8816,9.5027,0,0,1699875690
1,40.131,8.42885,0,0,1699875690
1,41.0554,8.74097,0,0,1699875690
1,39.1958,7.80153,0,0,1699875690
1,36.2052,9.12479,0,0,1699875690
1,38.3301,9.95504,0,0,1699875690
1,43.7186,8.89108,0,0,1699875690
1,48.914,8.76099,0,0,1699875690
1,51.2767,9.40148,0,0,1699875690
1,50.2091,11.5323,0,0,1699875690
1,48.4942,13.2877,0,0,1699875690
1,47.1063,11.1872,0,0,1699875690
1,47.4453,9.34484,0,0,1699875690
1,49.8103,9.1215,0,0,1699875690
1,51.1612,8.45827,0,0,1699875690
1,53.6009,9.61831,0,0,1699875690
1,54.3224,13.9962,0,0,1699875690
1,46.3732,17.5635,0,0,1699875690
1,48.1533,15.0044,0,0,1699875690
1,65.1086,12.238,0,0,1699875690
1,64.146,13.7043,0,0,1699875690
1,48.8414,12.4058,0,0,1699875690
1,47.7358,10.9657,0,0,1699875690
1,49.8504,12.4243,0,0,1699875690
1,46.1355,10.1165,0,0,1699875690
1,46.2103,8.60465,0,0,1699875690
1,46.4958,11.9206,0,0,1699875690
1,45.5936,10.5366,0,0,1699875690
1,47.1282,5.31779,0,0,1699875690
1,48.2857,5.17929,0,0,1699875690
1,48.7233,7.32806,0,0,1699875690
1,49.5198,6.92989,0,0,1699875690
1,50.6327,5.12735,0,0,1699875690
1,50.1658,3.78231,0,0,1699875690
1,47.2304,3.66062,0,0,1699875690
1,47.2782,5.08261,0,0,1699875690
1,49.3253,8.20335,0,0,1699875690
1,47.1191,9.63736,0,0,1699875690
1,44.8184,7.48364,0,0,1699875690
1,46.0922,6.12239,0,0,1699875690
1,45.3678,6.22324,0,0,1699875690
1,41.2729,4.90968,0,0,1699875690
1,39.3627,4.71623,0,0,1699875690
1,41.1971,7.14976,0,0,1699875690
1,43.5869,7.42108,0,0,1699875690
1,50.5495,5.24052,0,0,1699875690
1,60.8412,8.69508,0,0,1699875690
1,55.9328,20.4387,0,0,1699875690
1,40.5371,27.8202,0,0,1699875690
1,39.4502,20.1589,0,0,1699875690
1,45.5286,8.9051,0,0,1699875690
1,42.4269,6.02927,0,0,1699875690
1,38.9811,6.01439,0,0,1699875690
1,42.0309,5.03096,0,0,1699875690
1,44.011,4.30764,0,0,1699875690
1,44.6002,4.17158,0,0,1699875690
1,46.7206,6.80008,0,0,1699875690
1,43.0191,9.5393,0,0,1699875690
1,35.9877,7.70481,0,0,1699875690
1,36.0975,4.31154,0,0,1699875690
1,39.0322,3.78731,0,0,1699875690
1,39.0009,5.2306,0,0,1699875690
1,39.9052,5.85726,0,0,1699875690
1,45.1173,8.03238,0,0,1699875690
1,49.9636,13.1879,0,0,1699875690
1,48.2685,14.3574,0,0,1699875690
1,42.6057,10.5184,0,0,1699875690
1,35.0636,9.51151,0,0,1699875690
1,27.1597,12.513,0,0,1699875690
1,27.8501,14.1566,0,0,1699875690
1,36.385,12.5505,0,0,1699875690
1,40.569,10.6416,0,0,1699875690
1,41.8886,12.0028,0,0,1699875690
1,45.3355,15.8539,0,0,1699875690
1,41.8991,18.3406,0,0,1699875690
1,33.7028,20.1085,0,0,1699875690
1,30.1234,28.366,0,0,1699875690
1,29.4581,15.3557,0,0,1699875690
1,32.7538,15.3557,0,0,1699875690
1,39.3297,15.3557,0,0,1699875690
1,45.0827,15.2427,0,0,1699875690
1,52.2317,8.09073,0,0,1699875690
1,58.9939,7.74091,0,0,1699875690
1,56.1561,7.86363,0,0,1699875690
1,44.3966,10.4677,0,0,1699875690
1,38.8918,9.35226,0,0,1699875690
1,42.8539,8.77571,0,0,1699875690
1,43.5338,15.2938,0,0,1699875690
1,42.6496,21.5238,0,0,1699875690
1,46.6338,25.5867,0,0,1699875690
1,47.229,23.8222,0,0,1699875690
1,44.9743,14.4777,0,0,1699875690
1,49.3905,12.0181,0,0,1699875690
1,54.8434,15.6348,0,0,1699875690
1,52.8485,17.6455,0,0,1699875690
1,51.1694,21.7712,0,0,1699875690
1,56.0422,20.2152,0,0,1699875690
1,56.323,11.031,0,0,1699875690
1,60.0034,10.331,0,0,1699875690
1,77.0036,16.6897,0,0,1699875690
1,78.7014,16.669,0,0,1699875690
1,61.6684,12.9969,0,0,1699875690
1,51.8687,9.89693,0,0,1699875690
1,48.4357,5.56831,0,0,1699875690
1,47.127,2.86606,0,0,1699875690
1,49.1356,3.68894,0,0,1699875690
1,56.2276,6.83533,0,0,1699875690
1,64.521,12.285,0,0,1699875690
1,55.5063,17.0615,0,0,1699875690
1,40.7051,16.2429,0,0,1699875690
1,43.7233,10.8902,0,0,1699875690
1,51.9745,7.24897,0,0,1699875690
1,51.6451,12.3248,0,0,1699875690
1,51.6368,22.0625,0,0,1699875690
1,55.5436,19.7074,0,0,1699875690
1,52.5987,7.33872,0,0,1699875690
1,45.9351,2.28373,0,0,1699875690
1,48.4416,4.74751,0,0,1699875690
1,53.1954,6.73126,0,0,1699875690
1,53.195,7.38305,0,0,1699875690
1,50.6676,7.62767,0,0,1699875690
1,44.6259,6.27417,0,0,1699875690
1,39.7989,4.95591,0,0,1699875690
1,40.7821,7.20058,0,0,1699875690
1,42.2971,10.1104,0,0,1699875690
1,39.3797,9.47611,0,0,1699875690
1,31.8996,9.0462,0,0,1699875690
1,25.16,11.0799,0,0,1699875690
1,34.5164,9.77749,0,0,1699875690
1,61.474,8.28882,0,0,1699875690
1,76.3439,14.163,0,0,1699875690
1,66.6127,19.1371,0,0,1699875690
1,51.4506,16.6927,0,0,1699875690
1,41.989,12.5963,0,0,1699875690
1,39.6834,12.0707,0,0,1699875690
1,37.8006,17.9814,0,0,1699875690
1,33.6541,21.866,0,0,1699875690
1,37.2539,20.5705,0,0,1699875690
1,73.5558,25.395,0,0,1699875690
1,43.9694,27.4445,0,0,1699875690
1,43.9694,16.8056,0,0,1699875690
1,76.1233,7.00704,0,0,1699875690
1,46.7335,8.15815,0,0,1699875690
1,45.3806,16.5156,0,0,1699875690
1,42.3003,19.1317,0,0,1699875690
1,45.7054,12.8328,0,0,1699875690
1,56.7092,9.74361,0,0,1699875690
1,62.1843,11.8597,0,0,1699875690
1,58.4365,12.9248,0,0,1699875690
1,52.8905,11.8867,0,0,1699875690
1,46.3685,10.2393,0,0,1699875690
1,36.8842,10.18,0,0,1699875690
1,29.7751,10.2068,0,0,1699875690
1,31.3169,6.94458,0,0,1699875690
1,37.37,4.68625,0,0,1699875690
1,43.8063,6.39059,0,0,1699875690
1,50.6354,6.90318,0,0,1699875690
1,49.9937,5.094,0,0,1699875690
1,38.0931,4.26613,0,0,1699875690
1,27.1218,7.16834,0,0,1699875690
1,28.1582,13.8652,0,0,1699875690
1,37.8513,16.5912,0,0,1699875690
1,44.749,10.7389,0,0,1699875690
1,41.4671,4.6556,0,0,1699875690
1,34.4676,8.14264,0,0,1699875690
1,30.3682,16.6212,0,0,1699875690
1,27.5748,18.3836,0,0,1699875690
1,29.722,16.6624,0,0,1699875690
1,39.2922,18.2889,0,0,1699875690
1,48.9709,21.9298,0,0,1699875690
1,53.6928,24.394,0,0,1699875690
1,53.8119,18.9322,0,0,1699875690
1,46.7477,9.45333,0,0,1699875690
1,34.4854,9.36972,0,0,1699875690
1,28.8315,16.7594,0,0,1699875690
1,31.4398,18.6736,0,0,1699875690
1,32.8082,14.5148,0,0,1699875690
1,48.7378,14.2372,0,0,1699875690
1,81.1996,15.2362,0,0,1699875690
1,82.4172,10.9722,0,0,1699875690
1,54.5341,6.60432,0,0,1699875690
1,46.3713,9.41115,0,0,1699875690
1,49.3238,23.0589,0,0,1699875690
1,42.4057,36.0461,0,0,1699875690
1,38.0507,33.1292,0,0,1699875690
1,40.3935,23.0765,0,0,1699875690
1,44.6335,17.351,0,0,1699875690
1,43.6376,13.2438,0,0,1699875690
1,34.0954,9.29365,0,0,1699875690
1,30.7631,5.58686,0,0,1699875690
1,35.9127,6.5662,0,0,1699875690
1,36.3528,14.3922,0,0,1699875690
1,33.5712,24.117,0,0,1699875690
1,33.717,32.9042,0,0,1699875690
1,38.0905,30.3084,0,0,1699875690
1,43.4239,15.3159,0,0,1699875690
1,44.3211,7.00617,0,0,1699875690
1,49.805,9.13966,0,0,1699875690
1,71.9213,11.8069,0,0,1699875690
1,88.6887,12.1539,0,0,1699875690
1,73.3304,11.1921,0,0,1699875690
1,45.4411,10.0751,0,0,1699875691
1,34.823,8.805,0,0,1699875691
1,38.2976,7.20663,0,0,1699875691
1,41.8785,5.66878,0,0,1699875691
1,41.5219,4.79622,0,0,1699875691
1,42.1623,7.77421,0,0,1699875691
1,46.3369,16.2947,0,0,1699875691
1,45.626,20.5105,0,0,1699875691
1,43.7496,13.4629,0,0,1699875691
1,49.4947,4.92181,0,0,1699875691
1,48.4844,3.09941,0,0,1699875691
1,36.4875,6.42975,0,0,1699875691
1,37.1433,10.8478,0,0,1699875691
1,53.7515,10.9944,0,0,1699875691
1,63.0709,6.87761,0,0,1699875691
1,57.7937,5.41561,0,0,1699875691
1,46.1756,11.1776,0,0,1699875691
1,36.468,17.7255,0,0,1699875691
1,38.1278,17.1521,0,0,1699875691
1,47.0037,17.6322,0,0,1699875691
1,52.1523,21.9166,0,0,1699875691
1,52.6701,21.6441,0,0,1699875691
1,49.0293,20.8942,0,0,1699875691
1,42.1865,18.5616,0,0,1699875691
1,33.1926,10.4237,0,0,1699875691
1,24.9052,5.73124,0,0,1699875691
1,27.9111,8.70639,0,0,1699875691
1,41.7126,18.9045,0,0,1699875691
1,52.3108,27.6929,0,0,1699875691
1,53.1734,20.9837,0,0,1699875691
1,49.4031,8.74667,0,0,1699875691
1,48.0973,8.70801,0,0,1699875691
1,48.9533,15.4769,0,0,1699875691
1,49.5066,15.8795,0,0,1699875691
1,49.533,12.073,0,0,1699875691
1,48.8391,13.2982,0,0,1699875691
1,46.6637,15.4284,0,0,1699875691
1,51.1114,13.026,0,0,1699875691
1,65.6761,12.8381,0,0,1699875691
1,84.3435,15.5997,0,0,1699875691
1,43.9694,14.7499,0,0,1699875691
1,84.0108,12.1102,0,0,1699875691
1,49.2065,14.0076,0,0,1699875691
1,40.8979,20.0243,0,0,1699875691
1,46.7406,22.3793,0,0,1699875691
1,43.7143,15.7876,0,0,1699875691
1,38.6178,7.49491,0,0,1699875691
1,32.947,7.06343,0,0,1699875691
1,33.5957,10.8505,0,0,1699875691
1,41.0388,11.5452,0,0,1699875691
1,42.8422,9.09259,0,0,1699875691
1,40.1143,7.17254,0,0,1699875691
1,47.4763,9.12383,0,0,1699875691
1,62.6211,16.8333,0,0,1699875691
1,63.6069,26.399,0,0,1699875691
1,49.0682,26.1205,0,0,1699875691
1,56.0933,15.8907,0,0,1699875691
1,43.9694,9.30149,0,0,1699875691
1,43.9694,9.48454,0,0,1699875691
1,80.758,19.365,0,0,1699875691
1,52.0408,35.4278,0,0,1699875691
1,46.9774,33.1208,0,0,1699875691
1,48.0911,14.9643,0,0,1699875691
1,45.8595,6.40142,0,0,1699875691
1,43.281,6.22937,0,0,1699875691
1,45.1485,5.24164,0,0,1699875691
1,46.7475,4.2076,0,0,1699875691
1,43.6421,4.17097,0,0,1699875691
1,40.9442,6.32478,0,0,1699875691
1,41.7927,11.889,0,0,1699875691
1,36.1762,20.6986,0,0,1699875691
1,23.3996,29.3356,0,0,1699875691
1,18.3669,33.1653,0,0,1699875691
1,25.0858,30.0114,0,0,1699875691
1,35.2506,23.3372,0,0,1699875691
1,38.803,18.1178,0,0,1699875691
1,38.6365,16.4706,0,0,1699875691
1,43.5407,16.2791,0,0,1699875691
1,44.027,11.6066,0,0,1699875691
1,35.2921,6.85244,0,0,1699875691
1,29.9634,8.44419,0,0,1699875691
1,35.5357,9.8865,0,0,1699875691
1,45.6365,8.59243,0,0,1699875691
1,49.5975,7.12225,0,0,1699875691
1,47.7321,9.98094,0,0,1699875691
1,45.0855,17.427,0,0,1699875691
1,41.1305,17.293,0,0,1699875691
1,35.3751,15.3522,0,0,1699875691
1,33.7689,23.1322,0,0,1699875691
1,41.2749,24.8742,0,0,1699875691
1,44.6173,16.4949,0,0,1699875691
1,33.9623,14.2634,0,0,1699875691
1,23.5625,16.6548,0,0,1699875691
1,24.6225,14.6981,0,0,1699875691
1,30.9206,13.8756,0,0,1699875691
1,34.0429,16.787,0,0,1699875691
1,34.6308,14.7961,0,0,1699875691
1,34.9271,9.72003,0,0,1699875691
1,33.6964,8.59903,0,0,1699875691
1,35.2442,13.1279,0,0,1699875691
1,39.3252,22.1535,0,0,1699875691
1,36.9806,28.2846,0,0,1699875691
1,30.9934,27.7445,0,0,1699875691
1,31.9807,23.5757,0,0,1699875691
1,38.1956,23.9645,0,0,1699875691
1,40.2119,28.559,0,0,1699875691
1,41.8395,23.9601,0,0,1699875691
1,48.944,15.2932,0,0,1699875691
1,50.2183,15.4041,0,0,1699875691
1,51.1173,18.8026,0,0,1699875691
1,60.3011,18.8977,0,0,1699875691
1,57.9059,19.1029,0,0,1699875691
1,47.9701,21.2566,0,0,1699875691
1,46.1933,20.7374,0,0,1699875691
1,43.5128,19.2188,0,0,1699875691
1,38.1422,19.9239,0,0,1699875691
1,39.079,18.2758,0,0,1699875691
1,52.1615,12.85,0,0,1699875691
1,65.0267,7.02431,0,0,1699875691
1,69.1769,4.67467,0,0,1699875691
1,71.6443,6.38478,0,0,1699875691
1,60.5206,6.69041,0,0,1699875691
1,41.5095,6.85367,0,0,1699875691
1,37.602,9.90499,0,0,1699875691
1,44.5867,9.32483,0,0,1699875691
1,50.4306,6.34978,0,0,1699875691
1,45.4816,7.29956,0,0,1699875691
1,35.583,7.54036,0,0,1699875691
1,38.0353,4.90205,0,0,1699875691
1,46.693,3.64204,0,0,1699875691
1,46.8684,4.60686,0,0,1699875691
1,39.261,8.24104,0,0,1699875691
1,39.9828,12.7824,0,0,1699875691
1,52.4923,16.6832,0,0,1699875691
1,53.5487,23.771,0,0,1699875691
1,40.9646,32.3369,0,0,1699875691
1,36.0486,34.4883,0,0,1699875691
1,37.3353,26.9109,0,0,1699875691
1,36.7836,15.6474,0,0,1699875691
1,40.4662,9.799,0,0,1699875691
1,49.9566,10.0874,0,0,1699875691
1,57.3975,12.4396,0,0,1699875691
1,52.5276,12.5594,0,0,1699875691
1,40.774,12.1246,0,0,1699875691
1,42.2153,20.7226,0,0,1699875691
1,50.2415,34.1552,0,0,1699875691
1,82.6088,34.6959,0,0,1699875691
1,43.9694,22.3949,0,0,1699875691
1,43.9694,19.5811,0,0,1699875691
1,76.981,28.6963,0,0,1699875691
1,37.2175,29.5237,0,0,1699875691
