Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,100.374,3.15182,0,0,1700574255
1,100.374,3.15182,0,0,1700574255
1,100.374,7.25864,0,0,1700574255
1,85.2125,5.38077,0,0,1700574255
1,87.4423,2.25109,0,0,1700574255
1,104.59,8.23221,0,0,1700574255
1,69.5855,12.3822,0,0,1700574255
1,84.3732,15.973,0,0,1700574255
1,69.2433,4.31286,0,0,1700574255
1,84.2506,15.508,0,0,1700574255
1,106.099,10.3119,0,0,1700574255
1,88.478,5.90649,0,0,1700574255
1,112.176,4.71755,0,0,1700574255
1,95.5422,7.28656,0,0,1700574255
1,84.4735,2.44493,0,0,1700574255
1,80.1225,9.42528,0,0,1700574255
1,85.3845,1.61035,0,0,1700574255
1,86.7122,22.3088,0,0,1700574255
1,99.4267,6.32007,0,0,1700574255
1,97.2489,10.7894,0,0,1700574255
1,104.508,3.31018,0,0,1700574255
1,91.2817,6.06122,0,0,1700574255
1,119.659,11.0972,0,0,1700574255
1,107.849,5.29357,0,0,1700574255
1,112.398,4.26662,0,0,1700574255
1,89.6927,11.9315,0,0,1700574255
1,95.6016,5.54978,0,0,1700574255
1,88.7756,1.23782,0,0,1700574255
1,90.2648,8.63118,0,0,1700574255
1,96.4586,6.83349,0,0,1700574255
1,81.2797,4.06067,0,0,1700574255
1,100.713,3.97954,0,0,1700574255
1,90.0065,13.2192,0,0,1700574255
1,98.9687,13.1637,0,0,1700574255
1,92.4326,7.16673,0,0,1700574255
1,88.4532,11.0647,0,0,1700574255
1,95.3815,8.24213,0,0,1700574255
1,111.819,13.4845,0,0,1700574255
1,98.0296,13.8814,0,0,1700574255
1,104.108,12.9586,0,0,1700574255
1,107.766,10.3508,0,0,1700574255
1,92.5057,20.3312,0,0,1700574255
1,79.3902,0.13942,0,0,1700574255
1,109.283,1.0448,0,0,1700574255
1,107.383,9.73643,0,0,1700574255
1,83.8734,11.4253,0,0,1700574255
1,98.0458,2.23017,0,0,1700574255
1,85.0962,16.1875,0,0,1700574255
1,88.8928,9.75654,0,0,1700574255
1,99.2935,12.2114,0,0,1700574255
1,106.774,2.52648,0,0,1700574255
1,104.484,11.7875,0,0,1700574255
1,93.412,1.37405,0,0,1700574255
1,113.547,5.81486,0,0,1700574255
1,95.0127,7.81011,0,0,1700574255
1,83.2521,0.0330323,0,0,1700574255
1,87.0406,3.4914,0,0,1700574255
1,111.207,3.495,0,0,1700574255
1,125.892,6.93036,0,0,1700574255
1,83.2925,5.03003,0,0,1700574255
1,109.643,5.14351,0,0,1700574255
1,89.1523,18.1395,0,0,1700574255
1,91.2253,9.4811,0,0,1700574255
1,91.4522,3.64997,0,0,1700574255
1,96.6737,8.7907,0,0,1700574255
1,83.7796,9.51896,0,0,1700574255
1,104.576,10.9239,0,0,1700574255
1,101.726,10.4164,0,0,1700574255
1,98.9269,2.56237,0,0,1700574255
1,93.3342,6.53274,0,0,1700574255
1,107.077,12.2259,0,0,1700574255
1,128.935,9.1798,0,0,1700574255
1,91.8466,9.49483,0,0,1700574255
