Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,86.4722,50.4516,0,0,1699450270
1,45.7387,48.3688,0,0,1699450270
1,76.2383,38.5314,0,0,1699450270
1,73.2695,21.4092,0,0,1699450270
1,99.6345,42.8422,0,0,1699450270
1,71.9781,38.1975,0,0,1699450270
1,73.6871,44.3708,0,0,1699450270
1,80.2336,49.2658,0,0,1699450270
1,83.7298,41.965,0,0,1699450270
1,76.7812,40.22,0,0,1699450270
1,74.619,50.0946,0,0,1699450270
1,83.3137,33.7953,0,0,1699450270
1,72.3983,47.764,0,0,1699450270
1,117.049,48.5709,0,0,1699450270
1,106.87,51.9386,0,0,1699450270
1,83.4753,38.1268,0,0,1699450270
1,87.1518,37.1951,0,0,1699450270
1,104.177,30.5432,0,0,1699450270
1,55.3395,36.4842,0,0,1699450270
1,85.2212,24.3178,0,0,1699450270
1,68.6189,28.3749,0,0,1699450270
1,67.2067,35.3457,0,0,1699450270
1,96.9478,54.0687,0,0,1699450270
1,39.4067,43.5411,0,0,1699450270
1,81.9268,35.0315,0,0,1699450270
1,137.27,74.1402,0,0,1699450270
1,103.096,45.1687,0,0,1699450270
1,83.0822,28.1152,0,0,1699450270
1,72.519,1.82701,0,0,1699450270
1,62.0386,56.5876,0,0,1699450270
1,83.5968,77.4967,0,0,1699450270
1,135.149,34.6148,0,0,1699450270
1,72.1314,42.3813,0,0,1699450270
1,113.769,2.99443,0,0,1699450270
1,65.5745,53.8791,0,0,1699450270
1,104.472,48.5104,0,0,1699450270
1,90.4216,40.1075,0,0,1699450270
1,161.993,31.7885,0,0,1699450270
1,96.0829,2.16681,0,0,1699450270
1,92.3324,31.1973,0,0,1699450270
1,68.2958,44.6376,0,0,1699450270
1,88.6439,46.7862,0,0,1699450270
1,104.666,12.8158,0,0,1699450270
1,14.7592,5.09998,0,0,1699450270
1,26.5263,84.284,0,0,1699450270
1,43.0202,20.8508,0,0,1699450270
1,54.2175,52.7928,0,0,1699450270
1,30.9593,21.2851,0,0,1699450270
1,97.1759,43.3731,0,0,1699450270
1,98.0221,45.4047,0,0,1699450270
1,158.132,37.1252,0,0,1699450270
1,87.4217,15.5357,0,0,1699450270
1,93.3889,36.8863,0,0,1699450270
1,117.395,159.176,0,0,1699450270
1,79.2488,50.8198,0,0,1699450270
1,80.7698,42.5319,0,0,1699450270
1,31.4076,31.3624,0,0,1699450270
1,67.7736,74.1706,0,0,1699450270
1,123.315,29.3064,0,0,1699450270
1,89.932,120.312,0,0,1699450270
1,164.582,7.2219,0,0,1699450270
1,78.9565,29.8256,0,0,1699450270
1,215.566,70.6364,0,0,1699450270
1,113.068,64.0843,0,0,1699450270
1,161.15,80.7359,0,0,1699450270
1,103.497,59.3912,0,0,1699450270
1,78.1085,31.2989,0,0,1699450270
1,73.7202,31.2308,0,0,1699450270
1,55.4955,66.0997,0,0,1699450270
1,107.225,35.9368,0,0,1699450270
1,139.471,73.2451,0,0,1699450270
1,75.5413,41.1923,0,0,1699450270
1,95.8504,25.883,0,0,1699450270
1,110.26,25.7552,0,0,1699450270
1,89.1268,39.9309,0,0,1699450270
1,84.67,46.6662,0,0,1699450270
1,79.2652,45.4428,0,0,1699450270
1,84.3644,28.0839,0,0,1699450270
1,87.6695,26.4528,0,0,1699450270
1,70.0594,42.1739,0,0,1699450270
1,68.306,41.3892,0,0,1699450270
1,54.2039,32.6303,0,0,1699450270
1,83.7176,42.4059,0,0,1699450270
1,73.5358,29.367,0,0,1699450270
1,92.4375,37.6588,0,0,1699450270
1,73.8374,44.5297,0,0,1699450270
1,84.9071,28.4562,0,0,1699450270
1,86.289,21.4033,0,0,1699450270
1,76.7386,42.5111,0,0,1699450270
1,66.0964,30.5959,0,0,1699450270
1,65.5899,35.2113,0,0,1699450270
1,80.5858,42.461,0,0,1699450270
1,65.2554,47.0201,0,0,1699450270
1,100.658,34.7955,0,0,1699450270
1,96.8182,41.4771,0,0,1699450270
1,184.075,37.271,0,0,1699450270
1,72.6235,37.0782,0,0,1699450270
1,73.2996,24.9528,0,0,1699450270
1,59.5193,22.8062,0,0,1699450270
1,53.5163,40.4963,0,0,1699450270
1,81.1208,3.72231,0,0,1699450270
1,62.7534,30.9303,0,0,1699450270
1,67.6852,43.5047,0,0,1699450270
1,61.5157,21.0047,0,0,1699450270
1,124.055,38.466,0,0,1699450271
1,65.1783,54.0583,0,0,1699450271
1,66.11,30.4425,0,0,1699450271
1,82.7694,48.4356,0,0,1699450271
1,63.6136,35.4613,0,0,1699450271
1,78.1097,32.5295,0,0,1699450271
1,84.0681,25.9193,0,0,1699450271
1,93.902,36.4693,0,0,1699450271
1,92.2982,36.4174,0,0,1699450271
1,79.4238,30.7807,0,0,1699450271
1,69.7631,57.5883,0,0,1699450271
1,73.1133,30.2032,0,0,1699450271
1,87.1314,37.2195,0,0,1699450271
1,70.5024,34.9701,0,0,1699450271
1,64.1588,48.4433,0,0,1699450271
1,63.6442,48.0679,0,0,1699450271
1,81.7512,45.2616,0,0,1699450271
1,89.1174,41.2956,0,0,1699450271
1,99.4706,28.6908,0,0,1699450271
1,115.836,33.5613,0,0,1699450271
1,112.569,15.7315,0,0,1699450271
1,77.9099,47.049,0,0,1699450271
1,64.6507,37.6564,0,0,1699450271
1,53.4129,39.479,0,0,1699450271
1,79.1224,24.8415,0,0,1699450271
1,47.7814,15.3129,0,0,1699450271
1,77.1273,44.2763,0,0,1699450271
1,60.4096,35.7778,0,0,1699450271
1,101.077,41.5342,0,0,1699450271
1,74.1688,58.5639,0,0,1699450271
1,79.7986,56.2831,0,0,1699450271
1,51.9359,75.801,0,0,1699450271
1,54.4114,31.6268,0,0,1699450271
1,88.0416,44.6922,0,0,1699450271
1,84.3786,45.4761,0,0,1699450271
1,64.603,35.0347,0,0,1699450271
1,74.6771,37.3085,0,0,1699450271
1,95.9129,35.894,0,0,1699450271
1,96.3109,41.4632,0,0,1699450271
1,80.4346,44.349,0,0,1699450271
1,72.0828,36.2917,0,0,1699450271
1,73.7829,45.7557,0,0,1699450271
1,94.2588,49.3666,0,0,1699450271
1,75.6788,51.1738,0,0,1699450271
1,69.026,48.1026,0,0,1699450271
1,70.7303,34,0,0,1699450271
1,107.211,29.4173,0,0,1699450271
1,99.9617,39.6315,0,0,1699450271
1,79.0237,47.88,0,0,1699450271
1,73.3802,30.3296,0,0,1699450271
1,91.5614,30.5739,0,0,1699450271
1,90.7394,69.0886,0,0,1699450271
1,68.6905,29.174,0,0,1699450271
1,90.9072,27.4087,0,0,1699450271
1,68.7912,19.6367,0,0,1699450271
1,102.327,28.0894,0,0,1699450271
1,136.648,37.3813,0,0,1699450271
1,107.897,35.7454,0,0,1699450271
1,46.0484,53.0915,0,0,1699450271
1,73.6543,14.0914,0,0,1699450271
1,68.0291,8.13799,0,0,1699450271
1,72.4938,21.4851,0,0,1699450271
1,76.7958,42.2995,0,0,1699450271
1,125.34,23.3514,0,0,1699450271
1,91.0062,40.1068,0,0,1699450271
1,88.5123,38.0057,0,0,1699450271
1,92.5849,40.5759,0,0,1699450271
1,87.7837,37.0955,0,0,1699450271
1,63.2205,23.6625,0,0,1699450271
1,66.6009,43.3589,0,0,1699450271
1,95.7727,45.6012,0,0,1699450271
1,59.9803,46.5836,0,0,1699450271
1,73.6606,27.9086,0,0,1699450271
1,82.6304,43.6374,0,0,1699450271
1,74.1125,49.4852,0,0,1699450271
1,87.516,33.0116,0,0,1699450271
1,87.0388,50.0564,0,0,1699450271
1,106.44,43.5576,0,0,1699450271
1,65.6901,43.1344,0,0,1699450271
1,70.749,48.631,0,0,1699450271
1,73.0662,34.3065,0,0,1699450271
1,82.3779,30.6186,0,0,1699450271
1,62.2671,34.4813,0,0,1699450271
1,117.479,57.8568,0,0,1699450271
1,77.9371,19.4976,0,0,1699450271
1,89.7241,84.6746,0,0,1699450271
1,74.1473,54.1092,0,0,1699450271
1,49.0209,35.9493,0,0,1699450271
1,82.2201,33.7025,0,0,1699450271
1,73.8607,29.6625,0,0,1699450271
1,82.1749,62.653,0,0,1699450271
1,83.1904,76.9331,0,0,1699450271
1,87.0203,32.3147,0,0,1699450271
1,76.3288,50.8347,0,0,1699450271
1,75.9016,35.9107,0,0,1699450271
1,82.7699,30.9165,0,0,1699450271
