Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,33.8038,29.8429,0,0,1699450270
1,45.8251,40.1032,0,0,1699450270
1,52.2005,28.6879,0,0,1699450270
1,52.694,27.8661,0,0,1699450270
1,49.4864,28.1846,0,0,1699450270
1,45.5956,25.8684,0,0,1699450270
1,44.1257,25.0038,0,0,1699450270
1,43.2241,25.7408,0,0,1699450270
1,42.2126,22.1117,0,0,1699450270
1,43.319,19.8771,0,0,1699450270
1,44.6629,26.5342,0,0,1699450270
1,44.6629,31.8819,0,0,1699450270
1,42.4944,28.016,0,0,1699450270
1,41.8808,25.1404,0,0,1699450270
1,45.9435,29.3175,0,0,1699450270
1,47.4978,31.1103,0,0,1699450270
1,45.5365,26.6711,0,0,1699450270
1,45.9267,25.0445,0,0,1699450270
1,47.0904,28.807,0,0,1699450270
1,47.4267,29.6204,0,0,1699450270
1,47.5993,25.82,0,0,1699450270
1,47.3082,24.4505,0,0,1699450270
1,51.1107,25.7224,0,0,1699450270
1,56.1407,24.013,0,0,1699450270
1,51.2415,20.1017,0,0,1699450270
1,41.9654,19.4323,0,0,1699450270
1,41.0366,22.3702,0,0,1699450270
1,45.2236,25.2411,0,0,1699450270
1,44.084,25.7168,0,0,1699450270
1,40.4981,24.3059,0,0,1699450270
1,43.302,24.744,0,0,1699450270
1,48.1176,27.1873,0,0,1699450270
1,49.1541,26.9084,0,0,1699450270
1,46.627,25.2292,0,0,1699450270
1,42.9561,26.8757,0,0,1699450270
1,43.9899,28.9608,0,0,1699450270
1,46.0478,26.3045,0,0,1699450270
1,43.089,21.7454,0,0,1699450270
1,42.3394,21.4729,0,0,1699450270
1,48.2522,24.0469,0,0,1699450270
1,53.5255,22.7524,0,0,1699450270
1,52.6245,16.9829,0,0,1699450270
1,49.2092,14.9414,0,0,1699450270
1,47.6002,20.5154,0,0,1699450270
1,46.6913,25.8022,0,0,1699450270
1,45.0412,22.9226,0,0,1699450270
1,45.2283,14.6319,0,0,1699450270
1,49.5395,10.9667,0,0,1699450270
1,52.8298,15.3346,0,0,1699450270
1,49.6978,22.0749,0,0,1699450270
1,46.7877,27.4316,0,0,1699450270
1,49.6391,29.9867,0,0,1699450270
1,51.1742,28.6164,0,0,1699450270
1,47.4567,25.2021,0,0,1699450270
1,43.9059,23.4017,0,0,1699450270
1,44.2113,24.0413,0,0,1699450270
1,47.1249,23.954,0,0,1699450270
1,49.6729,23.5751,0,0,1699450270
1,51.731,26.3575,0,0,1699450270
1,52.9026,29.7775,0,0,1699450270
1,51.5542,30.5441,0,0,1699450270
1,49.9385,29.0585,0,0,1699450270
1,47.8374,26.4042,0,0,1699450270
1,45.6124,26.2746,0,0,1699450270
1,46.5318,28.6988,0,0,1699450270
1,51.7596,28.7843,0,0,1699450270
1,59.0416,27.5876,0,0,1699450270
1,58.3802,28.6369,0,0,1699450270
1,48.9995,30.3123,0,0,1699450270
1,43.9112,30.4916,0,0,1699450270
1,45.2466,30.0831,0,0,1699450270
1,46.9448,29.6116,0,0,1699450270
1,47.2923,27.6087,0,0,1699450270
1,46.4111,23.9223,0,0,1699450270
1,45.0323,22.0754,0,0,1699450270
1,45.8587,25.411,0,0,1699450270
1,49.016,30.5064,0,0,1699450270
1,49.9063,31.2446,0,0,1699450270
1,46.5973,30.6428,0,0,1699450270
1,41.9452,31.8201,0,0,1699450270
1,40.1811,29.6129,0,0,1699450270
1,42.4757,27.1219,0,0,1699450270
1,46.2624,29.8495,0,0,1699450270
1,48.7557,31.7383,0,0,1699450270
1,51.6613,30.1335,0,0,1699450270
1,57.095,26.8342,0,0,1699450270
1,57.3851,21.0746,0,0,1699450270
1,52.0465,16.9527,0,0,1699450270
1,50.975,18.4257,0,0,1699450270
1,50.5839,22.8363,0,0,1699450270
1,48.0045,27.276,0,0,1699450270
1,49.1315,29.994,0,0,1699450270
1,50.7496,30.9519,0,0,1699450270
1,51.3967,30.4341,0,0,1699450270
1,54.3051,26.901,0,0,1699450270
1,55.5699,22.874,0,0,1699450270
1,53.1431,21.0368,0,0,1699450270
1,50.1753,20.9324,0,0,1699450270
1,47.895,23.6035,0,0,1699450270
1,46.3935,26.8077,0,0,1699450270
1,45.5748,27.5018,0,0,1699450270
1,46.9195,27.8211,0,0,1699450270
1,50.2169,29.2131,0,0,1699450270
1,50.0994,30.4026,0,0,1699450270
1,46.6733,29.61,0,0,1699450271
1,45.4313,26.4333,0,0,1699450271
1,46.0109,24.3576,0,0,1699450271
1,47.8895,24.6593,0,0,1699450271
1,52.7016,25.7402,0,0,1699450271
1,55.0301,28.6106,0,0,1699450271
1,51.745,30.27,0,0,1699450271
1,49.4714,26.944,0,0,1699450271
1,49.8398,21.3245,0,0,1699450271
1,48.0929,18.7595,0,0,1699450271
1,44.5399,22.799,0,0,1699450271
1,42.9834,27.5195,0,0,1699450271
1,43.0999,27.0532,0,0,1699450271
1,40.3062,25.9544,0,0,1699450271
1,36.2519,26.3065,0,0,1699450271
1,35.976,25.6814,0,0,1699450271
1,38.2215,24.3001,0,0,1699450271
1,41.1118,25.9005,0,0,1699450271
