Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,26.4008,29.4329,0,0,1699450270
1,35.2893,35.2769,0,0,1699450270
1,42.4912,33.0445,0,0,1699450270
1,47.0836,30.7046,0,0,1699450270
1,49.5534,29.5744,0,0,1699450270
1,51.0247,30.003,0,0,1699450270
1,52.6606,31.3538,0,0,1699450270
1,54.6801,32.1635,0,0,1699450270
1,56.2795,31.9572,0,0,1699450270
1,57.0479,31.3625,0,0,1699450270
1,57.4402,30.7645,0,0,1699450270
1,57.7748,30.2355,0,0,1699450270
1,58.0291,30.5955,0,0,1699450270
1,58.1869,30.5125,0,0,1699450270
1,58.9928,30.4405,0,0,1699450270
1,60.9313,30.8433,0,0,1699450270
1,62.5542,30.564,0,0,1699450270
1,63.003,30.4452,0,0,1699450270
1,63.0073,30.4126,0,0,1699450270
1,62.6876,30.1984,0,0,1699450270
1,62.218,29.8719,0,0,1699450270
1,62.1214,29.6126,0,0,1699450270
1,62.0493,29.6097,0,0,1699450270
1,61.6424,30.3635,0,0,1699450270
1,61.0989,30.3262,0,0,1699450270
1,60.4099,30.2919,0,0,1699450270
1,59.532,31.0208,0,0,1699450270
1,58.6973,31.026,0,0,1699450270
1,58.3784,30.771,0,0,1699450270
1,58.8793,30.359,0,0,1699450270
1,59.5671,29.8986,0,0,1699450270
1,59.8174,29.4848,0,0,1699450270
1,59.8577,29.298,0,0,1699450270
1,59.9302,29.4877,0,0,1699450270
1,59.9706,29.6797,0,0,1699450270
1,60.5372,29.5419,0,0,1699450270
1,62.2776,29.3265,0,0,1699450270
1,64.0371,29.2548,0,0,1699450270
1,64.6005,29.2622,0,0,1699450270
1,64.5609,29.2597,0,0,1699450270
1,64.5679,29.2612,0,0,1699450270
1,64.6908,29.3445,0,0,1699450270
1,64.8617,29.4054,0,0,1699450270
1,64.9296,29.2772,0,0,1699450270
1,64.9003,29.0218,0,0,1699450270
1,64.7863,28.7787,0,0,1699450270
1,64.5923,28.5916,0,0,1699450270
1,64.4112,28.4624,0,0,1699450270
1,64.3755,28.5116,0,0,1699450270
1,64.5439,28.8265,0,0,1699450270
1,64.7683,29.1813,0,0,1699450270
1,64.8844,29.3146,0,0,1699450270
1,64.8162,29.1866,0,0,1699450270
1,64.4772,28.8534,0,0,1699450270
1,64.1505,28.8639,0,0,1699450270
1,64.2835,28.5912,0,0,1699450270
1,64.6432,28.4807,0,0,1699450270
1,64.7582,28.4317,0,0,1699450270
1,64.5954,28.3083,0,0,1699450270
1,64.2963,28.0995,0,0,1699450270
1,64.075,27.9387,0,0,1699450270
1,64.0427,27.8827,0,0,1699450270
1,64.0528,27.8952,0,0,1699450270
1,64.2015,27.9647,0,0,1699450270
1,64.6748,28.0563,0,0,1699450270
1,65.1579,28.108,0,0,1699450270
1,65.3345,28.1037,0,0,1699450270
1,65.283,28.0849,0,0,1699450270
1,65.0383,28.0603,0,0,1699450270
1,64.6146,27.9499,0,0,1699450270
1,64.2053,27.8067,0,0,1699450270
1,63.9844,27.8051,0,0,1699450270
1,63.9146,27.8786,0,0,1699450270
1,63.8307,27.872,0,0,1699450270
1,63.6799,27.8549,0,0,1699450270
1,63.5398,27.9326,0,0,1699450270
1,63.5028,28.0619,0,0,1699450270
1,63.5672,28.1506,0,0,1699450270
1,63.7466,28.1932,0,0,1699450270
1,64.0696,28.2359,0,0,1699450270
1,64.304,28.262,0,0,1699450270
1,64.2836,28.2486,0,0,1699450270
1,64.1695,28.1991,0,0,1699450270
1,64.1311,28.1731,0,0,1699450270
1,64.2293,28.3216,0,0,1699450270
1,64.3561,28.3345,0,0,1699450270
1,64.3248,28.4739,0,0,1699450270
1,64.1651,28.4385,0,0,1699450270
1,64.0538,28.3001,0,0,1699450270
1,64.044,28.3127,0,0,1699450270
1,64.0585,28.325,0,0,1699450270
1,64.1425,28.191,0,0,1699450270
1,64.4265,28.2998,0,0,1699450270
1,64.8437,28.3118,0,0,1699450270
1,65.1779,28.3236,0,0,1699450270
1,65.3143,28.4255,0,0,1699450270
1,65.4164,28.4245,0,0,1699450270
1,65.6466,28.436,0,0,1699450270
1,65.8053,28.4366,0,0,1699450270
1,65.7559,28.4278,0,0,1699450270
1,65.6545,28.4261,0,0,1699450270
1,65.5801,28.4462,0,0,1699450270
1,65.5127,28.4575,0,0,1699450270
1,65.4537,28.4144,0,0,1699450270
1,65.398,28.3554,0,0,1699450271
1,65.3191,28.3515,0,0,1699450271
1,65.201,28.3903,0,0,1699450271
1,65.07,28.4392,0,0,1699450271
1,64.9648,28.4949,0,0,1699450271
1,64.9035,28.5314,0,0,1699450271
1,64.9151,28.5191,0,0,1699450271
1,65.0001,28.4702,0,0,1699450271
1,65.0629,28.4294,0,0,1699450271
1,65.0097,28.4483,0,0,1699450271
1,64.8691,28.5587,0,0,1699450271
1,64.759,28.7078,0,0,1699450271
1,64.7187,28.7805,0,0,1699450271
1,64.6171,28.8498,0,0,1699450271
1,64.3808,28.8547,0,0,1699450271
1,64.2086,28.8596,0,0,1699450271
1,64.309,28.8324,0,0,1699450271
1,64.5446,28.7366,0,0,1699450271
1,64.6578,28.7087,0,0,1699450271
1,64.6158,28.7246,0,0,1699450271
1,64.4916,28.7472,0,0,1699450271
1,64.3247,28.7921,0,0,1699450271
1,64.1745,28.9007,0,0,1699450271
1,64.1055,29.0084,0,0,1699450271
1,64.1219,29.0414,0,0,1699450271
1,64.178,29.049,0,0,1699450271
1,64.2161,29.052,0,0,1699450271
1,64.2104,29.0363,0,0,1699450271
1,64.1872,29.0261,0,0,1699450271
1,64.1655,29.0147,0,0,1699450271
1,64.1401,28.996,0,0,1699450271
1,64.1192,29.0108,0,0,1699450271
1,64.1185,29.0754,0,0,1699450271
1,64.1308,29.1386,0,0,1699450271
1,64.126,29.1658,0,0,1699450271
1,64.1126,29.1854,0,0,1699450271
1,64.1348,29.2098,0,0,1699450271
1,64.1839,29.2133,0,0,1699450271
1,64.2258,29.2018,0,0,1699450271
1,64.2424,29.2032,0,0,1699450271
1,64.2081,29.1934,0,0,1699450271
1,64.1197,29.185,0,0,1699450271
1,64.0209,29.2459,0,0,1699450271
1,63.9663,29.3202,0,0,1699450271
1,64.0073,29.2976,0,0,1699450271
1,64.1326,29.2333,0,0,1699450271
1,64.2166,29.2487,0,0,1699450271
1,64.1991,29.3065,0,0,1699450271
1,64.1472,29.3796,0,0,1699450271
1,64.0923,29.3799,0,0,1699450271
1,64.0266,29.3803,0,0,1699450271
1,63.9065,29.3806,0,0,1699450271
1,63.6826,29.381,0,0,1699450271
1,63.4034,29.4127,0,0,1699450271
1,63.1498,29.4143,0,0,1699450271
1,62.9852,29.4493,0,0,1699450271
1,62.9264,29.5027,0,0,1699450271
1,62.9103,29.5638,0,0,1699450271
1,62.8877,29.5944,0,0,1699450271
1,62.8607,29.5757,0,0,1699450271
1,62.8324,29.5454,0,0,1699450271
1,62.7977,29.5267,0,0,1699450271
1,62.75,29.5062,0,0,1699450271
1,62.7015,29.4839,0,0,1699450271
1,62.6634,29.4664,0,0,1699450271
1,62.624,29.4587,0,0,1699450271
1,62.5782,29.4723,0,0,1699450271
1,62.5381,29.4941,0,0,1699450271
1,62.4967,29.5081,0,0,1699450271
1,62.4255,29.5249,0,0,1699450271
1,62.3401,29.5263,0,0,1699450271
1,62.2845,29.4812,0,0,1699450271
1,62.282,29.4218,0,0,1699450271
1,62.3274,29.4096,0,0,1699450271
1,62.3497,29.4778,0,0,1699450271
1,62.2859,29.4775,0,0,1699450271
1,62.2011,29.4773,0,0,1699450271
1,62.2023,29.5252,0,0,1699450271
1,62.3029,29.5445,0,0,1699450271
1,62.4259,29.5592,0,0,1699450271
1,62.5558,29.5229,0,0,1699450271
1,62.7282,29.42,0,0,1699450271
1,62.8546,29.4201,0,0,1699450271
