Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,80.6907,6.20958,0,0,1700566385
1,58.2226,6.08454,0,0,1700566385
1,78.0566,13.1921,0,0,1700566385
1,88.096,23.3916,0,0,1700566385
1,60.0831,17.6385,0,0,1700566385
1,78.0527,6.72075,0,0,1700566385
1,69.0795,6.26557,0,0,1700566385
1,91.4775,3.30891,0,0,1700566385
1,76.3049,7.3058,0,0,1700566385
1,67.2422,9.75329,0,0,1700566385
1,72.8341,2.59992,0,0,1700566385
1,77.5007,0.437088,0,0,1700566385
1,96.7113,2.8448,0,0,1700566385
1,69.9153,10.1868,0,0,1700566385
1,75.3346,20.9616,0,0,1700566385
1,86.3151,3.75929,0,0,1700566385
1,77.1531,7.4733,0,0,1700566385
1,82.6528,5.75774,0,0,1700566385
1,60.4487,2.54023,0,0,1700566385
1,68.9048,1.79867,0,0,1700566385
1,56.1582,0.801885,0,0,1700566385
1,77.8847,16.7304,0,0,1700566385
1,73.7065,0.726985,0,0,1700566385
1,77.3283,12.3995,0,0,1700566385
1,76.6846,5.78868,0,0,1700566385
1,54.1944,8.55349,0,0,1700566385
1,88.836,14.9399,0,0,1700566385
1,73.5129,7.1527,0,0,1700566385
1,72.238,3.60662,0,0,1700566385
1,95.5633,12.2058,0,0,1700566385
1,77.8115,9.52106,0,0,1700566385
1,69.4888,13.7333,0,0,1700566385
1,55.4102,8.61531,0,0,1700566385
1,77.0847,4.74733,0,0,1700566385
1,92.6418,22.9944,0,0,1700566385
1,79.6812,7.49839,0,0,1700566385
1,80.3647,11.1248,0,0,1700566385
1,75.5225,4.77889,0,0,1700566385
1,80.5126,27.5197,0,0,1700566385
1,80.4194,1.43621,0,0,1700566385
1,67.6236,12.3893,0,0,1700566385
1,79.2825,12.4145,0,0,1700566385
1,90.5866,24.4396,0,0,1700566385
1,64.0704,2.38565,0,0,1700566385
1,65.2184,5.95391,0,0,1700566385
1,91.4256,4.02186,0,0,1700566385
1,96.313,16.8205,0,0,1700566385
1,69.2715,1.91446,0,0,1700566385
1,72.9715,9.88453,0,0,1700566385
1,80.2138,12.901,0,0,1700566385
1,89.0796,5.95766,0,0,1700566385
1,70.9864,8.41143,0,0,1700566385
1,74.6552,9.21402,0,0,1700566385
1,71.8925,6.67041,0,0,1700566385
1,101.252,10.5983,0,0,1700566385
1,96.4832,7.37323,0,0,1700566385
1,60.9825,1.68895,0,0,1700566385
1,69.1394,21.9617,0,0,1700566385
1,72.505,3.03663,0,0,1700566385
1,74.8071,14.7527,0,0,1700566385
1,57.0712,4.73348,0,0,1700566385
1,102.178,16.899,0,0,1700566385
1,83.4104,9.66289,0,0,1700566385
1,79.5219,3.18257,0,0,1700566385
1,79.0828,0.732493,0,0,1700566385
1,66.6876,21.4912,0,0,1700566385
1,76.9145,20.0487,0,0,1700566385
1,62.7429,3.26916,0,0,1700566385
1,93.6105,12.8335,0,0,1700566385
1,78.0715,23.406,0,0,1700566385
1,59.7316,10.1621,0,0,1700566385
1,61.6309,18.0568,0,0,1700566385
1,86.2492,13.4973,0,0,1700566385
1,88.3701,11.4275,0,0,1700566385
1,68.2914,11.2223,0,0,1700566385
1,78.5371,19.2507,0,0,1700566385
1,82.8092,0.63523,0,0,1700566385
1,66.0524,15.2094,0,0,1700566385
1,76.0064,6.90768,0,0,1700566385
1,73.9685,21.9567,0,0,1700566385
1,71.5554,25.2008,0,0,1700566385
1,84.8327,25.6191,0,0,1700566385
1,96.1642,21.7637,0,0,1700566385
1,89.9129,4.72116,0,0,1700566385
1,93.1371,3.14443,0,0,1700566385
1,72.1803,16.8591,0,0,1700566385
1,79.7683,26.1872,0,0,1700566385
1,69.8558,3.9838,0,0,1700566385
1,76.0562,3.21209,0,0,1700566385
1,57.8091,0.899895,0,0,1700566385
1,76.4987,19.423,0,0,1700566385
1,77.6658,3.53687,0,0,1700566385
1,85.7944,5.30849,0,0,1700566385
1,66.2581,1.4185,0,0,1700566385
1,60.6745,9.42452,0,0,1700566385
1,63.876,0.695584,0,0,1700566385
1,87.7951,3.24277,0,0,1700566385
1,88.2431,10.8237,0,0,1700566385
1,47.3707,13.6914,0,0,1700566385
1,80.0973,0.472912,0,0,1700566385
1,100.07,13.5844,0,0,1700566385
1,62.8748,13.0312,0,0,1700566385
1,73.5798,10.8108,0,0,1700566385
1,57.6627,8.18851,0,0,1700566385
1,67.3786,5.33678,0,0,1700566385
1,57.7077,7.1278,0,0,1700566385
1,96.6698,12.1176,0,0,1700566386
1,71.9236,11.6329,0,0,1700566386
1,90.2092,4.91201,0,0,1700566386
1,108.834,2.70715,0,0,1700566386
1,73.9829,6.75008,0,0,1700566386
1,67.8268,10.3793,0,0,1700566386
1,77.893,29.9434,0,0,1700566386
1,71.1936,10.9943,0,0,1700566386
1,63.499,0.425032,0,0,1700566386
1,83.4485,1.2615,0,0,1700566386
1,92.536,13.3924,0,0,1700566386
1,77.9113,10.5846,0,0,1700566386
1,70.458,9.17727,0,0,1700566386
1,64.5735,9.36835,0,0,1700566386
1,70.4191,10.2954,0,0,1700566386
1,91.561,27.7148,0,0,1700566386
1,70.0566,2.60383,0,0,1700566386
1,73.0436,1.46445,0,0,1700566386
1,82.2703,8.99847,0,0,1700566386
1,81.3761,15.0874,0,0,1700566386
