Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,51.3326,7.97087,0,0,1700569869
1,51.3326,7.97087,0,0,1700569869
1,42.4758,10.6747,0,0,1700569869
1,47.3946,3.91789,0,0,1700569869
1,46.8541,4.88563,0,0,1700569869
1,44.552,7.31171,0,0,1700569869
1,43.0216,8.92731,0,0,1700569869
1,48.25,7.77081,0,0,1700569869
1,56.2943,5.34046,0,0,1700569869
1,57.3235,4.66673,0,0,1700569869
1,53.8161,6.0174,0,0,1700569869
1,52.6747,6.41631,0,0,1700569869
1,52.7992,4.5571,0,0,1700569869
1,50.8421,2.33041,0,0,1700569869
1,47.2422,2.84566,0,0,1700569869
1,45.5856,6.05349,0,0,1700569869
1,48.1066,7.32803,0,0,1700569869
1,52.6869,5.33902,0,0,1700569869
1,54.0868,4.84547,0,0,1700569869
1,51.2793,7.39145,0,0,1700569869
1,49.2122,9.25483,0,0,1700569869
1,49.7979,9.87464,0,0,1700569869
1,52.4479,10.0682,0,0,1700569869
1,54.4551,9.18615,0,0,1700569869
1,51.2183,8.98237,0,0,1700569869
1,49.0039,9.85961,0,0,1700569869
1,53.6233,12.4364,0,0,1700569869
1,55.1078,16.9839,0,0,1700569869
1,49.8616,7.97087,0,0,1700569869
1,46.0263,13.6788,0,0,1700569869
1,46.3339,12.2148,0,0,1700569869
1,49.0969,10.9412,0,0,1700569869
1,54.4399,7.55749,0,0,1700569869
1,61.0652,5.36824,0,0,1700569869
1,60.0712,6.76508,0,0,1700569869
1,50.0805,8.83772,0,0,1700569869
1,45.3808,7.94972,0,0,1700569869
1,47.8736,6.7494,0,0,1700569869
1,46.8818,7.95175,0,0,1700569869
1,44.0953,9.08347,0,0,1700569869
1,45.9894,8.66123,0,0,1700569869
1,49.5357,8.53489,0,0,1700569869
1,52.1289,8.64755,0,0,1700569869
1,55.4779,7.05674,0,0,1700569869
1,56.2135,5.74169,0,0,1700569869
1,52.2042,7.42195,0,0,1700569869
1,48.3054,8.45357,0,0,1700569869
1,48.6497,6.27933,0,0,1700569869
1,52.3733,5.28571,0,0,1700569869
1,55.5466,5.93058,0,0,1700569869
1,55.344,5.23428,0,0,1700569869
1,54.0109,6.08363,0,0,1700569869
1,56.8985,8.74358,0,0,1700569869
1,59.681,7.84094,0,0,1700569869
1,54.6372,4.74094,0,0,1700569869
1,49.222,4.13165,0,0,1700569869
1,50.3479,5.54766,0,0,1700569869
1,51.4101,7.02733,0,0,1700569869
1,50.493,7.34689,0,0,1700569869
1,52.0398,7.80215,0,0,1700569869
1,54.3946,9.142,0,0,1700569869
1,55.8421,9.2007,0,0,1700569869
1,55.9566,8.85564,0,0,1700569869
1,53.9972,8.69224,0,0,1700569869
1,51.9163,6.28743,0,0,1700569869
1,49.674,3.1489,0,0,1700569869
1,49.2857,2.54789,0,0,1700569869
1,52.3405,3.09969,0,0,1700569869
1,53.833,4.25083,0,0,1700569869
1,53.3194,7.87784,0,0,1700569869
1,54.5022,11.505,0,0,1700569869
1,56.6725,11.4917,0,0,1700569869
1,56.9381,8.13684,0,0,1700569869
1,54.7558,5.05034,0,0,1700569869
1,52.0892,4.59791,0,0,1700569869
1,50.2087,5.07742,0,0,1700569869
1,48.5017,5.61102,0,0,1700569869
1,46.9591,6.4684,0,0,1700569869
1,48.0073,7.44166,0,0,1700569869
1,53.0445,8.35995,0,0,1700569869
1,58.7362,7.57869,0,0,1700569869
1,61.6684,6.14779,0,0,1700569869
1,61.4886,6.25881,0,0,1700569869
1,58.0996,6.57655,0,0,1700569869
1,53.6586,6.4505,0,0,1700569869
1,51.5994,5.79069,0,0,1700569869
1,53.5559,4.99348,0,0,1700569869
1,54.9823,6.94998,0,0,1700569869
1,51.2375,9.45173,0,0,1700569869
1,49.1359,9.56346,0,0,1700569869
1,50.7018,10.044,0,0,1700569869
1,50.2752,9.21349,0,0,1700569869
1,49.3889,5.61705,0,0,1700569869
1,49.4331,4.60973,0,0,1700569869
1,48.2061,7.80629,0,0,1700569869
1,47.3669,12.8668,0,0,1700569869
1,49.6755,16.4466,0,0,1700569869
1,51.0712,14.9059,0,0,1700569869
1,49.7345,10.9407,0,0,1700569869
1,49.2147,7.97075,0,0,1700569869
1,49.9047,5.87712,0,0,1700569869
1,52.0804,6.86456,0,0,1700569869
1,51.4028,10.2141,0,0,1700569869
1,45.6574,11.4266,0,0,1700569869
1,43.1149,10.0969,0,0,1700569869
1,45.9604,8.50607,0,0,1700569869
1,47.7184,8.34732,0,0,1700569869
1,46.6806,8.98447,0,0,1700569869
1,46.1437,8.0705,0,0,1700569869
1,46.8851,7.32271,0,0,1700569869
1,48.6482,10.0754,0,0,1700569869
1,50.8642,11.9094,0,0,1700569869
1,51.1453,9.78426,0,0,1700569869
1,50.8074,8.35046,0,0,1700569869
1,51.5626,6.91151,0,0,1700569869
1,51.8232,4.18688,0,0,1700569869
1,50.0334,3.82405,0,0,1700569869
1,45.4466,4.9198,0,0,1700569869
1,42.0906,7.01252,0,0,1700569869
1,45.222,10.4454,0,0,1700569869
1,51.9786,10.2049,0,0,1700569869
1,54.0693,6.15786,0,0,1700569869
1,50.3575,4.39341,0,0,1700569869
1,47.352,6.94852,0,0,1700569869
1,46.6981,10.5962,0,0,1700569869
1,46.5133,10.2278,0,0,1700569869
1,48.2948,6.15003,0,0,1700569869
1,52.4269,3.72077,0,0,1700569869
1,55.1793,3.88106,0,0,1700569869
1,54.4861,6.05072,0,0,1700569869
1,52.7225,10.623,0,0,1700569869
1,50.9249,13.5707,0,0,1700569869
1,50.4041,11.727,0,0,1700569869
1,52.6454,9.14161,0,0,1700569869
1,54.1743,8.71852,0,0,1700569869
1,53.0833,9.30224,0,0,1700569869
1,52.1616,11.4802,0,0,1700569869
1,54.0686,12.8995,0,0,1700569869
1,56.823,11.0312,0,0,1700569869
1,56.0687,10.3366,0,0,1700569869
1,52.8849,12.5829,0,0,1700569869
1,50.1722,13.648,0,0,1700569869
1,49.6745,11.9561,0,0,1700569869
1,51.7536,8.79643,0,0,1700569869
1,51.841,5.5316,0,0,1700569869
1,51.81,5.10652,0,0,1700569869
1,56.4367,8.10396,0,0,1700569869
1,58.8626,10.7227,0,0,1700569869
1,56.9199,10.7798,0,0,1700569869
1,56.3466,8.42874,0,0,1700569869
1,54.5299,6.60418,0,0,1700569869
1,50.0608,7.90619,0,0,1700569869
1,49.2168,10.5439,0,0,1700569869
1,51.6141,12.9537,0,0,1700569869
1,50.3398,12.6758,0,0,1700569869
1,47.5271,9.0364,0,0,1700569869
1,50.8088,6.99387,0,0,1700569869
1,57.4408,8.10147,0,0,1700569869
1,59.1016,9.08113,0,0,1700569869
1,53.1538,8.91581,0,0,1700569869
1,45.6688,8.91545,0,0,1700569869
1,43.711,10.1102,0,0,1700569869
1,45.2741,11.4987,0,0,1700569869
1,47.9172,11.9565,0,0,1700569869
1,50.4142,12.4271,0,0,1700569869
1,49.1951,12.9397,0,0,1700569869
1,46.937,13.671,0,0,1700569869
1,45.1852,13.9617,0,0,1700569869
1,43.4638,10.4857,0,0,1700569869
1,45.1306,7.23631,0,0,1700569869
1,46.3182,9.49834,0,0,1700569869
1,46.2466,12.2988,0,0,1700569869
1,50.9569,12.151,0,0,1700569869
1,54.0087,11.4237,0,0,1700569869
1,49.0408,12.1621,0,0,1700569869
1,44.9917,12.5108,0,0,1700569869
1,47.7431,9.29687,0,0,1700569869
1,53.2977,6.03167,0,0,1700569869
1,56.6285,7.4277,0,0,1700569869
