Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,22.6782,33.5305,0,0,1699450270
1,32.1299,27.4856,0,0,1699450270
1,40.3817,25.5121,0,0,1699450270
1,44.85,25.6659,0,0,1699450270
1,47.5475,26.4334,0,0,1699450270
1,49.8698,27.2463,0,0,1699450270
1,51.5476,27.5548,0,0,1699450270
1,52.6502,27.4238,0,0,1699450270
1,53.677,27.1523,0,0,1699450270
1,54.6868,26.8982,0,0,1699450270
1,55.4828,26.763,0,0,1699450270
1,56.1674,26.7926,0,0,1699450270
1,56.8272,26.9315,0,0,1699450270
1,57.26,27.0415,0,0,1699450270
1,57.358,27.0201,0,0,1699450270
1,57.2993,26.8784,0,0,1699450270
1,57.2529,26.662,0,0,1699450270
1,57.2729,26.545,0,0,1699450270
1,57.3423,26.6341,0,0,1699450270
1,57.3568,26.6595,0,0,1699450270
1,57.223,26.5142,0,0,1699450270
1,57.0105,26.4195,0,0,1699450270
1,56.9541,26.4212,0,0,1699450270
1,57.0957,26.3456,0,0,1699450270
1,57.2166,26.1095,0,0,1699450270
1,57.2409,25.9029,0,0,1699450270
1,57.2142,25.893,0,0,1699450270
1,57.1651,25.9846,0,0,1699450270
1,57.2046,26.0414,0,0,1699450270
1,57.4113,26.061,0,0,1699450270
1,57.6397,26.1149,0,0,1699450270
1,57.6621,26.1804,0,0,1699450270
1,57.4771,26.1804,0,0,1699450270
1,57.2452,26.1788,0,0,1699450270
1,57.0878,26.3245,0,0,1699450270
1,57.077,26.5589,0,0,1699450270
1,57.1405,26.5694,0,0,1699450270
1,57.1355,26.306,0,0,1699450270
1,57.1108,26.1288,0,0,1699450270
1,57.1633,26.1978,0,0,1699450270
1,57.2037,26.3087,0,0,1699450270
1,57.112,26.2915,0,0,1699450270
1,56.9159,26.2054,0,0,1699450270
1,56.6874,26.1587,0,0,1699450270
1,56.4169,26.0867,0,0,1699450270
1,56.1164,25.9708,0,0,1699450270
1,55.9653,25.9205,0,0,1699450270
1,56.1067,25.913,0,0,1699450270
1,56.3381,25.8565,0,0,1699450270
1,56.3217,25.7392,0,0,1699450270
1,56.0131,25.607,0,0,1699450270
1,55.6444,25.4971,0,0,1699450270
1,55.3994,25.4191,0,0,1699450270
1,55.315,25.3971,0,0,1699450270
1,55.374,25.4215,0,0,1699450270
1,55.445,25.4491,0,0,1699450270
1,55.3992,25.4768,0,0,1699450270
1,55.3147,25.5129,0,0,1699450270
1,55.2696,25.531,0,0,1699450270
1,55.2406,25.5249,0,0,1699450270
1,55.2652,25.5179,0,0,1699450270
1,55.3505,25.5107,0,0,1699450270
1,55.4052,25.4766,0,0,1699450270
1,55.3896,25.4012,0,0,1699450270
1,55.3329,25.3629,0,0,1699450270
1,55.3698,25.4693,0,0,1699450270
1,55.5545,25.6583,0,0,1699450270
1,55.6791,25.7605,0,0,1699450270
1,55.6626,25.7658,0,0,1699450270
1,55.635,25.7764,0,0,1699450270
1,55.6495,25.8115,0,0,1699450270
1,55.6861,25.8612,0,0,1699450270
1,55.7163,25.92,0,0,1699450270
1,55.7465,25.9611,0,0,1699450270
1,55.7834,26.0063,0,0,1699450270
1,55.8162,26.0766,0,0,1699450270
1,55.8605,26.1289,0,0,1699450270
1,55.9181,26.1393,0,0,1699450270
1,55.9872,26.1418,0,0,1699450270
