Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,60.0968,5.98889,0,0,1700566654
1,60.0968,5.98889,0,0,1700566654
1,51.5369,5.98889,0,0,1700566654
1,59.2649,9.2084,0,0,1700566654
1,61.5986,11.6932,0,0,1700566654
1,62.8984,10.6008,0,0,1700566654
1,65.7978,6.24422,0,0,1700566654
1,69.6793,4.99277,0,0,1700566654
1,71.6954,7.45303,0,0,1700566654
1,71.0214,8.52319,0,0,1700566654
1,67.9128,7.25855,0,0,1700566654
1,64.8285,6.40765,0,0,1700566654
1,62.352,5.95075,0,0,1700566654
1,60.969,5.36126,0,0,1700566654
1,60.9755,4.83528,0,0,1700566654
1,62.1832,4.55737,0,0,1700566654
1,64.9302,6.0743,0,0,1700566654
1,64.0641,7.02724,0,0,1700566654
1,56.8232,4.6628,0,0,1700566654
1,50.2868,2.67704,0,0,1700566654
1,50.8898,3.73595,0,0,1700566654
1,57.2483,6.30474,0,0,1700566654
1,62.5734,7.79911,0,0,1700566654
1,62.4274,6.60178,0,0,1700566654
1,59.4838,4.99832,0,0,1700566654
1,57.0837,4.38873,0,0,1700566654
1,57.0864,3.31404,0,0,1700566654
1,60.1877,2.91137,0,0,1700566654
1,60.2327,3.57507,0,0,1700566654
1,55.7584,3.78091,0,0,1700566654
1,54.4671,4.20959,0,0,1700566654
1,55.7799,4.26678,0,0,1700566654
1,56.5016,3.54844,0,0,1700566654
1,58.9488,3.88304,0,0,1700566654
1,62.5388,5.22321,0,0,1700566654
1,63.4327,7.18397,0,0,1700566654
1,60.4307,8.10093,0,0,1700566654
1,58.4601,6.50085,0,0,1700566654
1,58.7067,6.66566,0,0,1700566654
1,57.3271,9.1301,0,0,1700566654
1,57.5617,8.56934,0,0,1700566654
1,59.1569,5.74754,0,0,1700566654
1,56.7243,5.42294,0,0,1700566654
1,57.5862,7.50496,0,0,1700566654
1,65.6786,8.92159,0,0,1700566654
1,67.8156,8.58864,0,0,1700566654
1,60.0709,6.70353,0,0,1700566654
1,55.4416,5.421,0,0,1700566654
1,58.0327,6.61539,0,0,1700566654
1,59.3814,7.77655,0,0,1700566654
1,58.7361,8.49371,0,0,1700566654
1,61.4969,10.2177,0,0,1700566654
1,63.8234,10.4388,0,0,1700566654
1,60.6622,7.84067,0,0,1700566654
1,57.4882,5.58899,0,0,1700566654
1,59.3622,5.77208,0,0,1700566654
1,61.8173,5.92238,0,0,1700566654
1,59.053,4.28271,0,0,1700566654
1,53.8153,4.24093,0,0,1700566654
1,53.4173,7.34485,0,0,1700566655
1,57.9797,8.74601,0,0,1700566655
1,62.38,7.77516,0,0,1700566655
1,63.7035,7.39856,0,0,1700566655
1,61.5929,5.55373,0,0,1700566655
1,58.3512,3.13955,0,0,1700566655
1,56.0236,4.21856,0,0,1700566655
1,55.4932,6.82741,0,0,1700566655
1,56.6094,8.01002,0,0,1700566655
1,57.6008,8.43698,0,0,1700566655
1,58.1365,8.20824,0,0,1700566655
1,58.7927,6.48664,0,0,1700566655
1,59.8964,4.39456,0,0,1700566655
1,61.8359,4.59673,0,0,1700566655
1,65.2066,7.19539,0,0,1700566655
1,68.6787,8.15482,0,0,1700566655
1,68.3643,5.94355,0,0,1700566655
1,65.0407,3.39235,0,0,1700566655
1,63.904,2.61027,0,0,1700566655
1,65.5714,3.10988,0,0,1700566655
1,65.7293,3.34269,0,0,1700566655
1,61.4811,3.90626,0,0,1700566655
1,55.4603,4.53051,0,0,1700566655
1,52.4372,4.45162,0,0,1700566655
1,53.1127,5.52407,0,0,1700566655
1,55.234,6.51366,0,0,1700566655
1,56.6361,5.91053,0,0,1700566655
1,56.2381,7.14276,0,0,1700566655
1,53.8203,10.6008,0,0,1700566655
1,50.9713,11.6056,0,0,1700566655
1,52.9171,9.44835,0,0,1700566655
1,57.9848,6.86535,0,0,1700566655
1,58.0845,5.48856,0,0,1700566655
1,55.3845,6.07484,0,0,1700566655
1,55.9323,6.32994,0,0,1700566655
1,57.6789,5.57697,0,0,1700566655
1,57.1919,5.7036,0,0,1700566655
1,56.0917,4.98055,0,0,1700566655
1,57.2731,3.57759,0,0,1700566655
1,60.771,4.95002,0,0,1700566655
1,63.4609,7.89504,0,0,1700566655
1,61.4598,9.82974,0,0,1700566655
1,56.6386,10.4804,0,0,1700566655
1,55.0486,8.35292,0,0,1700566655
1,57.3517,5.76147,0,0,1700566655
1,59.6824,6.33889,0,0,1700566655
1,60.6101,7.94514,0,0,1700566655
1,60.6628,8.70884,0,0,1700566655
1,58.112,7.41165,0,0,1700566655
1,53.1021,4.80439,0,0,1700566655
1,52.5909,4.78214,0,0,1700566655
1,60.3406,5.87367,0,0,1700566655
1,67.8721,5.25404,0,0,1700566655
1,67.8075,4.91092,0,0,1700566655
1,63.233,5.61062,0,0,1700566655
1,58.4997,7.00918,0,0,1700566655
1,58.2212,9.20085,0,0,1700566655
1,62.5238,8.81125,0,0,1700566655
1,63.3265,5.52008,0,0,1700566655
1,60.2114,4.23557,0,0,1700566655
1,57.3527,4.79036,0,0,1700566655
1,54.6744,4.72209,0,0,1700566655
1,54.1568,4.97167,0,0,1700566655
1,55.6884,5.14848,0,0,1700566655
1,55.5103,4.78055,0,0,1700566655
1,56.0445,4.6341,0,0,1700566655
1,59.874,4.28738,0,0,1700566655
1,60.3026,3.98413,0,0,1700566655
1,57.2872,4.39208,0,0,1700566655
1,58.0904,5.0371,0,0,1700566655
1,60.5914,6.36891,0,0,1700566655
1,60.8024,9.10099,0,0,1700566655
1,59.6556,10.2345,0,0,1700566655
1,60.0895,8.68311,0,0,1700566655
1,62.8837,7.65877,0,0,1700566655
1,62.9066,7.01663,0,0,1700566655
1,58.0293,6.63348,0,0,1700566655
1,54.7772,6.73612,0,0,1700566655
1,58.6248,6.10152,0,0,1700566655
1,64.9167,6.27619,0,0,1700566655
