[111.76],['1702371752']
[112.37],['1702371753']
[113.09],['1702371753']
[113.12],['1702371753']
[112.98],['1702371753']
[113.25],['1702371753']
[113.21],['1702371753']
[112.82],['1702371754']
[112.61],['1702371754']
[112.83],['1702371754']
[111.71],['1702371754']
[111.93],['1702371754']
[112.19],['1702371755']
[112.26],['1702371755']
[113.26],['1702371755']
[113.52],['1702371756']
[112.92],['1702371756']
[108.93],['1702371756']
[108.],['1702371756']
[124.94],['1702371757']
[149.88],['1702371757']
[157.17],['1702371757']
[158.59],['1702371758']
[163.62],['1702371758']
[163.37],['1702371758']
[164.81],['1702371758']
[159.41],['1702371759']
[158.79],['1702371759']
[158.71],['1702371759']
[149.41],['1702371759']
[140.57],['1702371760']
[130.8],['1702371760']
[111.08],['1702371760']
[108.02],['1702371761']
[97.01],['1702371761']
[83.01],['1702371761']
[80.01],['1702371761']
[72.16],['1702371762']
[62.63],['1702371762']
[54.9],['1702371762']
[44.08],['1702371763']
[40.2],['1702371763']
[40.],['1702371763']
[41.54],['1702371764']
[47.95],['1702371764']
[53.56],['1702371764']
[68.24],['1702371764']
[85.41],['1702371765']
[93.36],['1702371765']
[98.26],['1702371765']
[112.87],['1702371766']
[123.51],['1702371766']
[131.46],['1702371766']
[144.51],['1702371766']
[152.97],['1702371767']
[158.42],['1702371767']
[161.89],['1702371767']
[164.4],['1702371768']
[167.39],['1702371768']
[168.25],['1702371768']
[169.71],['1702371768']
[171.47],['1702371769']
[172.29],['1702371769']
[172.6],['1702371769']
[172.71],['1702371770']
[172.66],['1702371770']
[172.55],['1702371770']
[172.6],['1702371770']
[172.54],['1702371770']
[172.65],['1702371771']
[172.99],['1702371771']
[173.68],['1702371771']
[173.63],['1702371771']
[166.95],['1702371771']
[144.],['1702371772']
[109.16],['1702371772']
[97.68],['1702371772']
[94.95],['1702371772']
[100.75],['1702371773']
[105.41],['1702371773']
[111.96],['1702371773']
[121.37],['1702371773']
[117.02],['1702371773']
[120.88],['1702371774']
[124.01],['1702371774']
[123.49],['1702371774']
[127.94],['1702371774']
[129.32],['1702371774']
[129.75],['1702371775']
[128.71],['1702371775']
[128.71],['1702371775']
