"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
14.4328,-2.57811,-9.06111,-2.12917,0.55893,10.6683,13.3356,-14.3536,-24.0152,9.34258,22.2904,-2.15524,-12.4513,1.55579,5.12482
-6.35751,-2.82799,7.5693,-1.50254,-1.92804,12.4505,-4.39944,-23.1473,5.48551,22.4447,-3.56243,-10.4889,3.54279,-1.64814,-5.53264
4.55112,3.42678,2.7112,8.42534,-13.4229,-23.573,17.8982,26.2572,-13.5217,-14.7425,6.75838,4.61365,-2.85874,-3.89209,0.0415156
3.02797,-0.424147,8.59016,12.4318,-27.3852,-30.8857,36.2051,34.5859,-25.5129,-18.7503,7.43512,3.17033,3.8473,-1.05153,-9.69224
5.34646,12.2074,-7.15078,-7.5787,5.51062,-0.762366,-1.69705,3.73462,-3.23807,-1.45579,5.43191,0.565577,-1.54561,-2.2324,-5.66495
1.94377,6.29584,-0.642076,8.51478,6.13153,-31.3674,-19.1183,39.7241,26.8155,-26.6274,-21.7671,11.7908,13.5706,-9.952,-11.6488
12.671,11.2938,-9.98328,-5.48877,2.76987,-3.56588,6.16149,8.24449,-13.8109,-6.00706,14.8709,2.71987,-9.51147,-4.25799,3.45768
7.74024,-0.775515,-8.70974,2.79748,9.61806,-8.06951,-13.0895,10.9691,14.0155,-9.18599,-8.32993,6.89803,0.79758,-6.95118,2.57902
6.92556,-3.01303,-4.92387,4.23916,1.5218,-5.83913,3.24197,3.61656,-9.28237,3.29688,12.406,-8.44454,-8.26467,5.17269,-0.929011
1.98612,6.4806,-4.2348,-0.263578,4.27993,-15.876,-9.81298,26.983,15.3689,-22.0079,-11.0906,8.79484,0.803203,-0.38021,4.72903
-3.25038,-5.71213,7.71106,12.3632,-13.7034,-27.9661,18.5316,39.7714,-18.0009,-34.9052,9.50822,17.6282,1.32721,-1.54935,-6.20401
-6.51005,4.24264,6.57062,-1.29687,-2.3051,3.00848,0.456423,-9.43589,-4.05168,12.7836,7.77655,-7.65944,-7.10883,0.886391,4.07957
-1.21258,-0.685967,6.11656,-5.19631,-10.7053,12.4778,15.957,-14.9892,-19.2634,10.403,12.6784,-4.31438,2.17215,2.42617,-13.4947
-4.47823,15.2264,5.89716,-12.6122,-4.9387,11.2416,4.33236,-9.49814,-4.66678,3.90411,3.54427,3.11701,-2.06101,-6.44939,1.46288
5.02488,0.932402,-3.45856,-6.02961,6.72886,9.451,-12.7742,-7.00706,14.692,0.261317,-12.2922,3.20359,11.1706,1.52234,-12.2408
-11.1645,8.72651,21.8664,5.31882,-34.3118,-23.6859,44.2452,31.1089,-42.0982,-23.6921,27.8234,12.5077,-12.5706,-5.21122,3.22668
-0.256652,1.14549,4.00022,-2.73474,-3.06477,3.43379,0.95184,-4.49193,-5.01902,3.62145,12.3393,1.24176,-12.0903,-6.85607,2.38517
6.37277,3.57685,2.84027,6.93985,-13.9325,-25.6448,15.3468,29.5583,-5.82526,-15.0424,-2.73319,2.21014,2.2604,-0.963916,1.9877
1.51338,-3.64532,-1.84159,2.85658,12.5875,-0.741128,-30.465,-3.77372,34.111,9.55109,-16.3574,-11.9854,-4.0658,7.66537,9.9184
0.482805,-3.58995,-7.16261,-6.01999,9.80854,13.3423,-6.90654,-13.2518,-2.33604,4.76688,12.9217,3.49823,-17.7464,-4.08578,15.2359
-0.264824,-8.72587,4.69526,0.195934,-8.14264,10.8369,7.31473,-21.3855,-0.325077,22.1371,-5.27328,-10.3027,1.80323,-2.52038,5.81296
5.00475,-9.80896,-1.91927,11.7809,5.54993,-15.0103,-15.9687,15.3799,20.4471,-10.275,-14.7281,4.50558,8.07379,-1.65078,-5.78107
-0.658347,2.18135,2.822,7.61137,-2.27941,-17.8481,0.483462,17.1999,-1.8923,-6.64364,6.48252,-0.404916,-10.0825,-0.427086,8.99655
1.23599,-5.69426,-0.49259,8.06859,3.51953,-16.7106,-8.58633,20.0771,7.95075,-12.9013,-2.33306,4.72417,1.19267,-3.24374,-7.74687
3.85857,12.882,-0.708672,-7.27447,-4.59548,-6.76166,6.21275,16.7234,-1.50931,-14.7594,-5.58003,6.73124,8.47603,-2.89923,-5.85103
4.65097,0.454161,-8.12415,6.65967,13.9403,-14.8762,-22.8004,19.5596,26.2828,-16.8827,-19.1518,10.5466,11.1263,-7.98279,-10.1008
9.73759,8.26268,-10.6318,0.510339,8.87501,-7.89518,-6.66015,4.42588,4.73448,6.35721,-4.15963,-13.092,6.79126,10.182,-10.307
-3.34444,7.80651,-1.46588,4.76885,6.31833,-23.6781,-12.7989,38.4918,16.9575,-40.5596,-18.0075,30.4868,17.838,-16.3647,-14.9465
6.60203,8.07581,-7.54648,0.71602,18.8342,-9.46559,-28.3513,14.7672,23.1747,-12.8771,-7.43837,5.36171,-4.09323,2.48958,5.14517
