"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
51.6026,160.372,194.021,128.728,73.8115,53.6229,46.6625,44.2445,40.3563,37.345,35.1801,35.127,34.961,33.3833,32.1264
51.6026,160.372,194.021,128.728,73.8115,53.6229,46.6625,44.2445,40.3563,37.345,35.1801,35.127,34.961,33.3833,32.1264
51.6026,160.372,194.021,128.728,73.8115,53.6229,46.6625,44.2445,40.3563,37.345,35.1801,35.127,34.961,33.3833,32.1264
39.7033,131.156,169.594,116.463,62.7867,46.5688,44.9596,43.6067,39.223,35.0061,33.1299,34.1013,34.1302,32.486,31.4839
91.7648,277.939,313.474,174.258,76.5224,46.6347,34.5009,35.3126,36.015,35.9746,36.5662,37.8139,36.61,33.5364,31.0848
20.0296,66.4194,87.8447,65.468,41.8957,33.508,33.0025,37.033,39.3432,37.6197,35.2544,35.318,35.3534,32.9624,30.5621
26.2627,85.793,121.29,109.37,79.0441,52.7619,42.7397,40.1556,37.0516,37.2321,37.829,36.6524,33.9453,31.5913,30.2613
16.7631,54.6023,72.4085,59.0901,46.8914,42.3853,39.405,38.318,37.0858,35.1903,34.3349,35.4851,35.3938,32.9533,31.1131
15.4998,50.7499,76.5822,81.9801,74.1459,57.2481,43.1828,36.8712,36.0652,37.2636,37.5861,37.8537,36.2179,33.3321,31.7265
9.67377,38.9421,65.3528,63.7167,49.8018,47.5609,54.2225,53.3644,43.9267,38.4219,38.8451,39.329,36.7401,32.7474,31.0307
6.62952,24.1901,42.5491,51.591,49.4015,43.1129,40.8739,40.0344,39.1547,39.068,38.0603,36.9104,35.0553,32.5352,31.8053
4.21498,16.978,34.9917,49.6589,51.1932,41.4642,34.9087,36.0576,37.3579,36.1147,36.5325,38.272,37.447,35.152,33.0196
3.79528,30.8077,74.2112,82.1582,54.4381,38.8588,40.6064,43.49,42.2739,37.3128,34.3853,34.7547,35.2922,34.4231,32.3144
87.5235,274.184,324.444,191.555,85.4723,53.1385,44.0965,44.9237,41.9773,37.6878,34.735,32.6091,31.6263,31.323,30.506
36.5758,120.14,161.581,130.695,90.6875,62.0715,43.7387,38.6681,37.9456,39.2039,40.9164,38.5049,33.1847,29.9603,29.1537
176.303,539.333,607.398,322.253,124.997,70.6133,42.9464,40.5715,40.9906,39.4758,40.5605,39.8641,35.2639,32.329,31.7118
15.087,53.197,80.1715,80.0769,73.466,62.3557,48.8501,42.808,39.6021,36.2977,34.6799,33.6733,32.9911,32.5509,31.66
19.6676,69.4732,104.499,97.1896,73.1184,51.8581,41.4075,40.3072,38.8554,37.5552,37.0921,34.725,32.3323,31.5469,31.2062
4.03833,16.1052,28.3501,33.0173,36.0345,39.2876,38.1667,37.1701,38.9803,38.0865,34.8486,33.7838,34.021,33.1108,31.6412
5.51122,25.2564,46.6125,49.3613,43.0724,45.2775,52.1371,51.1126,42.5291,37.3549,37.7792,38.1721,35.5343,31.6314,29.9095
11.8381,44.2348,70.5719,67.0365,50.7868,43.6422,43.3837,40.8374,37.7172,36.7437,36.0964,35.9788,34.9207,32.2326,30.6489
33.6346,124.323,185.349,146.236,76.4678,43.9525,37.4703,37.3806,39.0249,38.1861,33.2957,29.8103,30.4111,31.893,31.9688
67.59,204.556,228.949,124.878,58.2447,46.6714,43.3643,43.0284,41.5154,39.7079,36.6068,34.1502,33.2866,32.9883,32.5019
35.1217,118.007,155.046,107.4,59.4017,47.3179,45.2153,42.4166,40.5876,42.9677,46.6997,43.7932,36.0855,31.9976,30.9674
69.043,210.886,246.151,152.331,79.8453,52.3735,41.0353,39.3293,38.2963,39.0106,37.4731,34.9556,33.7802,32.6821,31.2772
21.8709,73.5097,98.8668,73.1978,42.7059,33.1202,36.3903,40.6564,41.7839,42.9158,42.5912,40.0865,36.7302,33.1113,30.6732
25.6982,86.0441,117.068,92.5016,61.7312,46.3206,38.8543,35.9236,35.6951,36.3709,34.8905,33.2912,32.4609,30.6167,29.0732
16.9615,54.1604,70.5385,57.1738,45.6764,42.9636,43.01,41.7016,38.1575,36.1744,35.2963,34.7969,33.7302,32.1757,31.4641
17.3896,64.1628,101.766,97.7855,73.2353,52.9789,41.6851,37.5438,37.3177,37.0975,35.6898,34.6877,33.4259,31.776,30.8368
7.37642,29.7107,51.0004,53.6527,48.0951,47.3989,48.7338,46.3193,41.1693,37.8037,36.9518,36.7437,35.1859,32.4462,31.1006
6.40658,23.846,42.7411,51.7523,48.6311,42.674,41.7724,41.0242,39.1561,38.116,36.2713,34.7073,33.2788,31.2312,30.0212
4.32721,17.351,34.0411,45.8871,48.8658,44.9254,40.0853,38.3058,38.6889,39.1419,39.3859,38.3177,35.8408,34.518,33.8637
3.64577,22.2422,51.8091,64.3379,55.7944,48.6973,47.2054,44.7707,41.0052,37.2771,36.6878,37.941,36.1111,32.272,30.4298
88.8277,291.514,364.209,223.939,93.0852,51.7012,41.9638,42.4288,40.3139,35.6269,33.2885,32.8869,32.2503,31.3971,30.5762
34.2553,120.043,168.938,129.772,74.8744,49.5315,40.3183,38.7013,38.3312,34.9562,32.6383,32.6437,32.1877,31.9542,31.4332
214.614,652.562,713.157,332.189,86.5654,48.5419,39.6832,42.6637,40.0971,34.2033,32.3942,32.8243,32.8391,32.0802,30.7386
14.3356,52.7139,87.0626,94.3959,80.6302,56.6134,40.2418,38.5546,39.4911,37.9111,36.5993,36.0156,35.2341,34.1187,32.9398
17.7331,68.2971,109.297,99.9527,67.4622,46.3362,40.4581,40.9246,40.2421,39.1938,38.6284,37.6682,35.4185,32.2561,30.5856
4.022,17.337,32.3451,38.2077,40.1036,43.0226,42.2394,39.0022,37.3271,36.0923,34.0481,32.0385,31.6535,32.1692,31.5301
5.23338,22.4542,41.0123,46.5816,45.5427,45.682,44.989,42.7546,39.756,37.5761,35.4306,31.6815,29.5645,30.1201,30.2528
11.9462,45.6091,74.4746,71.3001,51.7356,41.5607,41.3439,40.3071,38.0001,36.9946,35.2439,32.901,31.7232,31.691,31.2055
37.4055,157.022,259.438,212.222,96.8976,44.5002,39.4686,38.4007,37.8923,36.6247,35.0851,35.0715,34.4346,32.5269,31.1884
73.2432,224.876,258.856,148.559,70.1453,51.4312,44.5947,41.8984,39.2944,37.4835,35.7224,35.6119,34.936,32.7482,31.4924
75.1024,236.977,289.081,187.566,97.1842,58.8946,42.7479,40.492,40.1706,41.8712,42.2635,39.6589,35.8694,32.5559,30.7826
59.9459,204.275,272.529,185.749,83.5689,45.6172,39.6734,38.867,38.0056,38.7504,37.4527,34.7936,33.0759,31.4906,30.6131
33.04,107.623,135.233,87.6479,47.0033,41.9621,44.1548,42.3237,39.1145,36.3324,33.6895,32.6656,32.4883,31.7893,30.6925
26.4267,92.6651,133.249,107.566,67.1917,50.0508,43.9041,38.3173,35.359,33.2628,30.7828,30.4932,31.3304,31.6646,31.0095
19.3611,62.8262,83.9751,70.211,55.2197,48.146,46.0455,45.1686,41.5641,38.8425,36.7027,34.1291,32.124,30.6549,29.825
13.5678,51.1972,85.9108,89.5497,70.353,51.7081,44.44,41.9208,39.1097,36.9242,35.0492,33.996,33.0532,31.6459,30.3318
9.85055,40.1267,67.1027,63.0208,46.8071,41.9577,42.4666,41.7001,40.3697,38.5805,38.0257,38.7926,37.5215,34.474,32.4597
6.86019,25.0573,44.5772,54.5669,51.4197,43.2097,40.6177,40.2987,38.7463,37.2794,36.2764,36.6141,35.6428,32.7873,31.181
4.04523,16.2436,35.4082,54.5729,59.2746,49.13,41.6243,40.3763,38.7617,36.7076,36.327,37.3093,35.8564,32.1524,30.7342
3.63032,35.3119,88.3327,98.3044,65.0474,46.0746,43.9645,41.2123,38.7692,35.4051,31.458,31.3419,33.8855,34.1646,32.9827
63.4803,204.093,257.275,177.568,100.771,64.5337,44.7804,39.2099,38.2087,36.9219,33.34,30.8069,31.7184,32.6064,31.981
35.8934,119.81,159.895,123.197,83.1056,60.3703,44.994,42.269,42.1892,38.0661,32.7191,29.0855,29.5629,32.3316,32.7767
98.2684,312.901,374.189,221.741,104.261,69.8844,48.7372,41.9478,42.7162,42.6283,37.6644,31.8476,31.4341,32.106,31.3988
15.6282,58.154,96.8435,104.614,89.9292,65.6157,45.0247,38.2768,40.0271,41.7658,42.075,40.3336,35.8937,32.4573,31.3626
18.8509,71.3319,112.582,103.334,72.4902,50.8388,42.2515,42.116,40.7308,36.9025,35.061,34.0719,32.1311,30.5456,29.9925
3.93312,18.0746,34.7586,40.6532,40.5708,42.8404,44.0305,41.5145,38.1098,35.2024,31.3495,28.3899,29.3692,31.675,31.8178
4.24694,24.8208,52.5552,57.8834,47.2091,43.3667,42.5277,40.3358,38.961,37.3448,35.3568,32.5684,30.7347,31.2991,31.9239
10.0607,38.1484,64.1537,66.8635,54.7491,45.4217,41.1528,37.3924,36.0913,37.8945,39.6203,38.7436,34.8337,31.1613,29.7389
32.0877,127.817,203.804,166.318,82.0211,44.8982,44.0905,44.3803,41.3183,42.0423,45.8503,43.1774,35.3283,31.8778,31.7819
102.018,310.679,347.502,181.132,69.9392,51.0055,48.1825,46.5072,41.2859,41.3351,46.3089,46.3909,38.9107,33.3574,32.1838
41.5854,136.069,174.175,118.62,63.4775,43.5798,36.6726,35.9178,37.3254,36.8127,35.6878,35.8631,34.2389,31.5965,30.4614
118.859,355.837,395.219,215.854,95.9924,63.2741,50.3376,47.2714,40.4404,34.0388,31.1429,33.2099,34.6755,33.3681,31.6957
24.6899,80.7946,104.204,73.0993,42.2494,38.3627,48.8182,51.6019,41.8176,31.7381,26.8158,29.4301,33.6848,33.4845,31.6388
27.606,91.7927,124.014,96.3425,60.3614,40.4893,32.9735,34.7526,38.8669,44.7677,50.8643,47.486,36.9256,31.721,31.3958
