"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
166.398,97.8381,273.84,59.9021,196.626,73.0129,82.17,98.8334,92.2544,85.7571,101.119,91.5717,84.4423,71.3749,62.2008
80.2344,128.883,245.595,43.2981,125.129,29.7881,106.537,102.196,99.3197,85.4664,66.453,94.2077,78.4277,95.052,69.7885
293.17,254.712,138.045,96.9818,119.37,147.312,98.0796,87.9783,95.2559,109.865,59.3208,97.6121,74.3731,86.8112,68.1514
259.507,139.959,148.482,83.9866,125.243,102.882,111.663,94.1558,105.677,98.9136,96.3507,76.5362,91.8102,78.8994,98.5936
135.793,496.054,127.786,113.891,99.5386,69.29,84.4382,97.9618,86.4391,104.162,118.277,91.261,97.5304,106.098,88.6567
89.5603,83.3169,114.268,123.817,95.7601,117.344,124.966,93.9698,106.875,117.096,123.278,90.9149,85.6993,106.228,77.9444
86.1042,349.411,102.741,106.834,119.43,211.188,123.771,104.12,90.3455,76.912,111.681,83.2307,76.9317,91.4789,78.4358
189.075,250.993,202.949,111.03,120.447,92.915,107.576,100.426,101.447,101.779,107.073,104.961,83.722,100.14,92.4016
248.358,233.733,132.705,185.738,125.21,81.4569,100.811,113.693,157.765,91.9012,76.9213,89.5162,93.1247,94.6383,80.9717
68.3306,609.779,79.8575,131.533,90.2734,103.492,80.8408,103.948,152.213,105.671,81.1224,83.0093,85.2746,86.424,94.2755
133.12,334.091,92.9251,111.776,78.8838,102.482,95.9079,86.6406,90.5956,110.78,107.855,99.8738,100.424,99.9446,80.7336
123.129,82.9086,149.289,164.887,96.2997,76.248,91.3379,97.0397,111.741,107.505,117.366,78.5335,100.678,78.4556,78.7015
111.453,427.341,177.043,29.6261,134.185,159.796,104.763,81.2504,121.073,122.275,96.3647,81.8011,87.8341,100.685,78.8841
56.6307,171.582,75.8106,180.436,80.1213,120.367,102.355,69.9924,104.06,93.4112,67.06,94.3158,82.0882,61.1112,92.178
27.3487,134.552,65.7896,87.4848,88.754,67.4475,99.056,131.848,77.4306,106.264,60.9766,98.6348,62.8773,76.6261,71.9322
28.5353,133.331,32.9268,192.4,91.5479,68.9557,116.213,82.4582,84.854,84.7287,64.9918,86.8767,75.8503,77.172,80.4626
27.5041,83.3468,14.3277,89.445,101.455,189.143,91.8011,86.489,82.8505,82.0701,76.4442,110.595,84.7618,97.3366,71.2685
65.1941,96.082,147.866,103.619,54.0844,102.932,94.271,101.206,71.1674,93.7112,117.465,86.1382,88.2766,88.4563,68.6137
561.122,43.3463,174.076,93.3893,120.868,100.035,68.8183,105.624,54.2466,71.9397,138.822,79.114,96.6913,91.8189,86.6539
