"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
14.9306,52.4745,93.9588,117.907,114.061,98.4861,83.5543,67.2616,62.3601,65.2469,64.6867,65.5675,65.8717,61.6984,54.7149
32.3917,53.9232,88.2452,113.664,106.358,83.7121,68.8398,61.7288,64.3787,67.6963,64.1718,61.413,61.3834,60.7617,57.4926
47.1376,78.1806,113.004,121.824,102.666,83.2807,75.0707,68.8339,66.4603,67.3893,65.1415,61.5198,60.1694,59.9328,57.3952
53.016,85.233,115.837,118.009,98.2102,81.8349,75.6681,70.6318,68.0355,68.3845,66.5608,63.0462,60.7553,59.9327,58.1819
55.8191,90.8141,129.916,131.652,101.949,80.2138,72.9604,68.1234,66.8026,67.7768,67.1395,65.3083,63.2285,61.8879,60.4687
57.8375,86.311,118.865,121.549,98.0558,79.9186,73.8476,70.2118,68.604,68.8908,69.0008,67.9017,65.0976,62.7352,61.3157
58.6862,85.9755,120.538,123.62,97.9195,81.0137,78.6566,75.6127,71.2176,68.9169,68.1842,67.5013,65.0819,62.3855,60.9464
59.9114,87.8506,123.072,126.434,100.152,81.8036,78.28,75.2195,71.323,69.2768,68.6593,68.2342,65.9872,63.1049,61.5769
62.1832,91.3606,125.708,127.405,101.894,83.9221,78.4691,74.5617,72.0419,71.4211,70.2155,68.0438,65.3561,63.1326,61.9132
62.0251,92.4658,132.387,134.568,103.537,82.9996,77.616,73.6888,71.9846,72.6793,71.6265,68.2551,64.8439,62.7418,61.8214
62.4817,92.9185,133.032,134.526,102.38,81.5997,76.5837,73.0761,71.3734,71.9891,71.5089,68.8232,65.6308,63.5147,62.4578
62.9002,91.0037,128.175,130.55,102.063,82.2017,75.8935,72.0993,70.9535,72.0456,71.9508,69.4315,66.0051,63.6077,62.3487
62.7005,91.3356,130.964,133.69,102.263,81.5124,76.9215,73.3843,71.1916,72.1576,72.5576,69.9074,65.9769,63.5015,62.4697
62.5159,89.0985,126.881,130.3,101.378,81.8347,77.0001,73.2822,70.7776,71.5229,71.9573,69.1954,65.416,63.0959,61.8889
61.6864,86.4215,122.202,125.808,98.6385,80.2613,75.7171,72.6312,70.968,71.6466,71.5294,68.5634,64.861,62.5402,61.2255
60.7818,83.8465,117.809,121.913,97.4329,80.4766,75.3498,72.1067,70.6558,71.0416,70.669,67.6985,64.2002,62.0994,60.8488
60.1869,81.4293,113.092,116.867,94.2799,79.7654,76.3629,73.1968,70.6892,70.3961,69.9195,67.1858,64.1934,62.3814,61.0422
60.0504,79.8605,110.254,114.775,93.4595,78.8849,75.3977,72.7814,70.4817,69.937,69.5305,67.3182,64.5046,62.4867,61.0007
62.1275,84.9832,113.952,114.83,93.0127,78.9888,75.2485,72.3541,69.9116,69.1304,68.7694,67.3178,64.9181,62.7169,61.1784
62.0349,83.1168,110.359,111.758,91.5575,78.6072,75.5005,72.71,69.9826,68.8451,68.3427,67.2247,65.1733,62.9718,61.3152
62.2748,82.8031,109.401,111.236,91.2993,78.0887,75.478,73.0061,69.9455,68.6771,68.165,67.03,65.0265,62.7832,61.0218
62.0018,81.7004,108.64,113.606,95.2652,80.3839,76.1299,72.9826,69.8354,68.6949,68.0587,66.7309,64.6643,62.5243,60.8876
62.6166,82.7714,108.319,111.798,94.0662,80.2365,76.2132,73.0606,69.8695,68.6998,68.0353,66.55,64.4067,62.3935,60.8741
62.7075,82.6419,107.757,111.072,93.7515,80.3817,76.3891,73.0631,69.84,68.8344,68.3308,66.8127,64.5338,62.4551,60.8845
62.6036,81.9881,106.374,109.655,93.2067,80.3114,76.0394,72.7563,69.9083,69.0099,68.5335,67.0694,64.7461,62.7043,61.2117
62.6111,81.0429,104.937,108.847,93.2235,80.4903,76.0122,72.6255,69.8729,68.9903,68.4535,67.189,65.0303,62.8535,61.2841
62.9043,82.2797,107.646,111.49,94.5397,81.5551,77.6712,74.0065,70.3871,69.2162,68.7529,67.4284,65.1722,62.8902,61.27
62.9698,82.1472,107.011,110.591,94.0532,81.5052,77.5892,73.9185,70.7238,70.1014,69.5885,67.758,65.3641,63.1564,61.3881
64.076,85.6213,111.243,112.997,94.6272,81.2534,77.269,74.0452,71.1795,70.4917,69.6538,67.5428,65.1188,62.9875,61.2392
63.7296,85.8897,113.626,115.906,95.9536,81.6561,77.4314,74.0311,71.1298,70.3754,69.5638,67.4721,65.1049,63.1526,61.4442
64.2669,87.333,115.304,116.626,96.0244,81.7026,77.5543,74.3597,71.4823,70.4933,69.5294,67.4964,65.2904,63.3657,61.5308
64.1033,86.4241,113.551,114.923,95.385,81.913,77.6914,74.2266,71.4723,70.6794,69.8289,67.9575,65.7318,63.5117,61.4829
64.0172,85.991,112.754,114.268,95.2009,81.9313,77.7052,74.3036,71.4724,70.5251,69.6743,67.8065,65.6176,63.5641,61.6043
63.8804,85.0615,110.918,112.285,93.9621,81.3336,77.3202,74.0817,71.2324,70.2183,69.4838,67.6456,65.4147,63.3993,61.5392
63.7869,84.3118,109.397,110.787,93.0756,80.8756,76.9986,73.9287,71.2646,70.2191,69.3374,67.4396,65.2433,63.2525,61.3855
63.4693,83.2862,107.622,108.978,91.8603,80.1389,76.4421,73.6559,71.1881,70.0119,68.9906,67.1352,65.1145,63.2199,61.2833
63.1033,82.1562,105.864,107.412,90.9006,79.6981,76.3169,73.6291,71.1543,69.875,68.7364,66.9248,65.0475,63.245,61.3241
63.1645,82.0568,105.467,106.93,90.6115,79.5485,76.2026,73.533,71.003,69.7155,68.7541,67.0982,65.1931,63.3232,61.3832
64.249,84.7422,107.489,106.864,90.0643,79.4629,76.2906,73.6777,71.2713,70.143,69.198,67.4939,65.4893,63.4731,61.4866
64.1285,83.696,105.622,105.327,89.4627,79.3967,76.2463,73.5432,71.2694,70.2967,69.312,67.5587,65.5702,63.5448,61.5203
64.108,83.3608,105.015,104.916,89.2536,79.1601,76.1655,73.6028,71.2074,70.0837,69.0553,67.3245,65.409,63.4904,61.5167
64.1551,83.168,104.711,105.278,89.9021,79.2348,75.9682,73.4817,71.1543,70.0691,68.9643,67.2199,65.3933,63.5028,61.4559
64.3339,83.6723,104.769,104.597,89.2646,79.0307,75.9422,73.4112,71.0195,69.9385,68.831,67.0469,65.1855,63.2783,61.2527
64.1814,83.3059,104.032,103.721,88.5485,78.6746,75.9298,73.4127,70.9018,69.931,69.0562,67.3672,65.4631,63.5012,61.3863
