"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
51.5361,180.139,369.129,561.216,537.452,287.15,103.165,57.3188,47.4013,41.301,34.0017,30.8103,28.5444,24.3732,21.9733
25.8659,90.4739,185.198,281.356,269.795,144.709,52.2695,29.069,24.1443,21.1572,17.6103,16.0894,14.9359,12.8019,11.5033
17.3138,60.537,123.744,188.044,180.853,97.5803,35.5177,19.7555,16.4295,14.5105,12.2598,11.2462,10.4185,8.99033,8.13418
13.3705,47.3121,96.8538,147.35,143.802,80.0325,29.86,16.074,13.1722,11.5265,9.85675,9.15313,8.58546,7.48164,6.67977
16.0544,54.1408,102.497,161.289,180.408,119.137,54.0955,38.8683,36.7731,27.7979,27.1074,12.5093,11.4695,10.2369,9.66126
14.5258,49.5843,93.1323,142.831,157.854,106.048,51.361,38.0537,36.0557,28.6213,27.7419,15.2567,14.2514,12.9715,12.2638
17.2841,62.4824,113.256,152.414,153.47,102.063,52.0484,38.4315,35.7687,29.0941,27.9302,17.0311,16.0936,14.7592,14.0074
18.1567,66.6602,120.469,156.438,151.633,100.673,54.5089,40.8281,35.9985,28.6361,26.8765,16.7487,15.794,14.7215,13.9127
16.3712,60.478,110.102,143.688,140.467,95.5906,53.1676,38.9137,34.0925,27.3725,24.9358,15.3575,14.3542,13.355,12.6155
15.1808,57.1467,107.627,144.653,142.252,95.6098,51.7256,36.4542,31.1225,24.8298,22.7521,14.1538,13.2264,12.3805,11.701
14.2583,54.2977,104.437,142.152,139.383,93.339,50.9204,35.8154,29.988,23.452,21.2452,13.4191,12.472,11.5663,10.8078
13.3248,50.7698,97.3628,131.844,129.381,88.2202,49.8715,35.104,28.9376,22.796,20.4987,12.9966,11.9296,10.887,10.0428
12.4639,47.7701,92.2957,125.793,124.421,86.2761,49.7773,34.6962,28.0965,22.0431,19.6311,12.4532,11.2752,10.2205,9.43184
29.1381,123.12,109.333,298.656,253.17,164.612,54.337,37.1312,29.6882,23.2815,20.4633,13.4162,15.8582,13.1809,11.314
27.8644,117.257,105.416,281.877,239.327,156.778,53.6622,37.3843,30.2179,24.0627,21.3143,14.5399,16.6072,13.947,12.1185
28.1592,117.559,111.703,277.859,234.519,152.563,53.3877,37.5888,30.541,24.5575,22.0147,15.5442,17.2737,14.6904,12.8864
32.231,135.052,147.834,301.221,242.791,152.557,54.5246,38.3991,31.0126,25.054,22.7876,16.478,17.7607,15.308,13.6069
38.4609,158.636,193.697,355.365,312.702,155.634,57.8073,54.3962,32.0886,25.8499,23.2595,17.0033,21.4598,17.7091,15.1289
36.4419,150.325,183.588,336.746,296.29,147.48,54.8253,51.6111,30.4608,24.5187,22.0555,16.1412,20.3749,16.8246,14.3813
34.6262,142.849,174.508,320.035,281.572,140.163,52.1276,49.0723,28.9772,23.3353,20.9949,15.365,19.384,16.0239,13.7061
32.98,136.066,166.247,304.857,268.213,133.53,49.6917,46.788,27.6494,22.2798,20.058,14.6873,18.5,15.2944,13.084
31.4852,129.9,158.73,291.057,256.088,127.518,47.4737,44.701,26.4433,21.3137,19.1772,14.044,17.6837,14.6288,12.5294
30.1223,124.277,151.867,278.447,245.015,122.042,45.4627,42.8008,25.3389,20.433,18.3899,13.483,16.9592,14.0246,12.0145
29.1711,120.307,147.47,270.485,242.068,124.926,48.2719,43.7083,26.9806,22.4722,20.4174,15.3959,19.365,14.326,15.9344
28.3331,117.132,145.219,265.26,238.881,125.5,51.1576,47.0743,29.9731,23.8359,21.4934,16.9756,21.0658,17.0733,16.1605
