Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,60.185,5.82015,0,0,1700567808
1,60.185,5.82015,0,0,1700567808
1,52.6087,8.06041,0,0,1700567808
1,50.1594,9.03023,0,0,1700567808
1,49.0169,9.7552,0,0,1700567808
1,48.3358,9.5163,0,0,1700567808
1,47.993,8.87715,0,0,1700567808
1,48.2149,8.22601,0,0,1700567808
1,48.5499,7.67699,0,0,1700567808
1,48.6977,7.35682,0,0,1700567808
1,48.8049,7.20279,0,0,1700567808
1,48.7099,7.14957,0,0,1700567808
1,48.4681,7.16117,0,0,1700567808
1,48.4831,7.10091,0,0,1700567808
1,48.9362,6.96242,0,0,1700567808
1,49.6803,6.94065,0,0,1700567808
1,50.2943,7.08358,0,0,1700567808
1,50.5093,7.21084,0,0,1700567808
1,50.5082,7.23087,0,0,1700567808
1,50.4525,7.17864,0,0,1700567808
1,50.2589,7.09158,0,0,1700567808
1,49.9973,7.03981,0,0,1700567808
1,49.8721,7.09881,0,0,1700567808
1,49.8166,7.28204,0,0,1700567808
1,49.6576,7.4822,0,0,1700567808
1,49.4652,7.62204,0,0,1700567808
1,49.337,7.75823,0,0,1700567808
1,49.2941,7.87485,0,0,1700567808
1,49.3783,7.88285,0,0,1700567808
1,49.4879,7.78712,0,0,1700567808
1,49.5607,7.65559,0,0,1700567808
1,49.7551,7.55925,0,0,1700567808
1,50.0982,7.5206,0,0,1700567808
1,50.3732,7.48894,0,0,1700567808
1,50.4308,7.46386,0,0,1700567808
1,50.2762,7.49813,0,0,1700567808
1,50.0012,7.57303,0,0,1700567808
1,49.8384,7.62827,0,0,1700567808
1,49.8732,7.66504,0,0,1700567808
1,49.9248,7.74963,0,0,1700567808
1,49.9745,7.70257,0,0,1700567808
1,50.0952,7.65775,0,0,1700567808
1,50.2185,7.69755,0,0,1700567808
1,50.3414,7.63186,0,0,1700567808
1,50.4687,7.56284,0,0,1700567808
1,50.5279,7.53385,0,0,1700567808
1,50.5417,7.51864,0,0,1700567808
1,50.5695,7.53256,0,0,1700567808
1,50.5873,7.58077,0,0,1700567808
1,50.5387,7.60199,0,0,1700567808
1,50.4592,7.56667,0,0,1700567808
1,50.4518,7.49366,0,0,1700567808
1,50.5265,7.40759,0,0,1700567808
1,50.6264,7.34268,0,0,1700567808
1,50.7124,7.33278,0,0,1700567808
1,50.7792,7.36822,0,0,1700567808
1,50.8217,7.40396,0,0,1700567808
1,50.7848,7.43629,0,0,1700567808
1,50.7036,7.4583,0,0,1700567808
1,50.5444,7.45363,0,0,1700567808
1,50.4352,7.40253,0,0,1700567808
1,50.6031,7.22433,0,0,1700567808
1,50.5629,7.04933,0,0,1700567808
