"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
69.0925,21.0128,58.6327,111.548,105.46,95.4187,85.0799,86.3905,83.8303,70.7925,93.3587,97.0224,72.9138,70.6772,65.5726
35.8848,40.4291,115.91,96.2653,82.7012,85.2299,85.8123,70.0881,88.5373,94.7883,81.2157,68.6173,67.7904,58.0964,70.1408
178.894,119.514,93.9618,117.65,74.9418,93.7365,73.7123,87.7409,92.9597,99.1064,81.6202,81.4378,62.2791,83.0708,73.8052
279.932,90.0359,131.875,91.1212,80.5241,86.8041,87.1681,98.9667,87.7158,129.042,102.495,76.7245,85.406,93.4373,70.4201
108.107,105.442,97.5965,124.281,104.583,93.9157,91.8954,81.6864,89.2807,99.3027,103.769,71.1206,79.4766,74.4615,68.1624
153.103,241.328,129.997,125.721,90.389,99.3821,93.9538,75.3901,104.074,125.601,100.502,76.672,89.1892,77.5091,77.2224
81.7582,100.357,31.6964,125.02,82.9995,87.784,95.3317,88.1331,107.181,98.4144,79.3319,75.6955,78.3773,86.8108,74.1647
103.212,139.081,118.737,95.4421,100.255,97.4362,76.7106,91.0562,88.7056,93.7523,70.7503,77.6235,78.6751,67.9807,75.488
77.6633,103.529,56.6157,127.124,80.9173,74.3999,92.1893,111.127,79.574,128.078,76.1431,76.1622,75.8444,82.6677,105.202
127.527,203.677,100.477,95.36,92.5076,87.2013,93.7979,100.912,114.163,89.5916,106.912,96.2857,84.3839,82.1178,81.4619
153.547,142.99,21.9047,114.752,99.2463,119.131,106.264,96.7725,76.2184,88.3709,88.5419,95.3766,62.4697,81.4328,49.2384
72.9413,65.5821,92.8301,126.415,76.4045,83.8823,66.8466,67.8726,85.4547,70.8395,80.3655,88.6645,55.8537,65.1304,73.4785
33.6257,22.1758,30.9422,103.218,83.846,93.0141,106.41,76.0947,79.9124,103.169,108.196,86.1993,62.7943,66.4657,56.9622
30.7934,32.1021,41.4344,78.3869,64.3065,107.919,75.8223,98.2906,102.712,93.7177,82.0308,82.3042,57.6388,76.4539,70.3196
28.8772,89.5173,88.4697,74.4807,96.3559,103.148,86.3084,78.7024,60.5932,75.7639,104.491,80.1839,61.23,67.4326,66.975
217.135,62.8319,65.1825,107.273,110.808,93.858,89.8012,88.4829,98.1966,84.923,92.4053,82.3584,59.0364,67.107,69.3264
64.2495,93.2124,99.05,118.643,123.634,80.0712,84.9352,95.6227,107.581,124.807,106.39,90.9533,75.3222,91.8126,73.6967
233.436,132.714,140.615,104.924,77.394,87.7504,89.7268,78.8199,115.634,85.4945,95.8092,93.8866,74.6199,65.808,79.3279
24.3582,169.701,134.394,97.3999,87.2971,61.8184,78.5723,111.851,91.4986,92.9945,76.5406,72.0282,83.7765,88.5595,90.1193
46.8359,81.364,106.878,107.707,148.282,95.4377,86.8786,98.8045,99.196,55.2992,77.2452,63.4639,68.9911,65.8107,84.8767
100.078,30.3788,146.35,90.8417,61.7737,103.298,72.1928,78.4288,113.306,67.9628,75.6032,79.7189,64.9764,59.2666,67.9297
