"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
0.541819,1.1009,0.443281,5.45302,0.901652,1.58579,1.17183,1.74038,1.31628,0.599644,1.39709,2.52908,0.555509,0.0819079,1.33188
2.30584,1.06382,2.44702,2.33811,1.08942,1.21002,0.447646,1.06231,0.794942,0.975925,0.582267,2.14434,1.56892,0.367485,1.64568
1.96332,6.51729,3.29823,1.82518,1.36315,1.02357,0.816065,2.05157,1.2524,0.529703,0.910495,0.959777,0.591377,1.9515,0.643952
0.950732,4.65104,2.44159,5.89127,1.6105,1.24133,0.69288,1.96376,1.02268,0.924982,0.199872,1.09013,0.943733,0.224501,1.13128
2.07358,3.88449,1.97659,5.74434,1.98697,1.28115,2.39871,0.964498,1.29945,2.09024,2.19132,2.38787,1.50766,1.39938,0.519335
1.54752,3.94458,2.22279,7.71291,2.89508,0.213121,1.55484,0.542398,1.05376,1.12826,1.75971,0.367019,2.84894,1.43542,1.88211
67.9395,30.9345,31.9434,890.371,251.248,137.627,103.798,147.794,267.464,81.7528,158.467,221.724,343.672,101.667,274.737
6.91252,6.40943,15.5482,133.898,50.4176,47.7396,69.6038,45.9694,55.7071,55.3738,38.4779,42.0629,39.9056,39.7233,40.2744
71.0113,64.953,25.7704,97.9477,50.5632,52.4592,64.6083,44.8345,58.6125,51.8971,46.5838,42.5141,42.4782,35.592,36.3903
409.095,334.469,187.232,70.0947,45.4179,85.9246,119.241,64.3891,66.7593,52.6615,36.4988,43.5428,46.6507,32.2177,26.6122
73.0361,29.664,76.0774,80.881,109.194,51.0451,33.1621,37.548,16.331,15.1621,11.8904,8.29749,0.487507,3.04498,2.75838
19.6997,96.1598,337.468,67.0583,130.88,38.038,4.82251,65.3762,38.4315,9.88851,5.01564,4.27209,4.91307,1.35666,1.46917
71.1174,124.112,266.906,29.5156,39.5248,51.1613,15.8492,19.5237,25.4657,2.46922,5.14003,1.87943,2.11343,0.974827,1.49635
49.8902,100.956,108.033,17.4986,115.116,11.1721,24.5623,35.2441,10.2356,17.9744,10.4902,7.36132,1.61458,3.82379,3.89575
13.9195,54.3405,161.213,46.2527,27.8764,24.9522,14.0961,6.57064,2.79456,1.56359,13.7156,1.92738,2.12601,2.1367,4.81074
1492.13,1797,487.876,262.792,372.888,257.132,172.218,85.3046,99.0272,50.0298,29.8333,24.791,17.5405,9.66385,11.3709
265.69,258.648,272.93,134.826,213.123,118.319,9.09173,63.8545,49.4078,33.4677,42.9118,41.273,32.4693,38.7965,33.216
70.5047,47.5226,94.7262,24.0475,91.1904,65.7424,43.6468,68.0519,50.6691,43.0252,44.758,43.0794,38.811,37.3874,35.2768
268.55,120.113,177.69,26.1568,82.1574,68.5364,47.0917,66.6586,41.8396,43.9841,48.0051,43.2725,41.1613,45.9027,35.1216
3150.65,2474.94,1034.78,293.979,519.463,183.352,44.8048,168.964,26.5402,21.5544,64.1579,23.5103,24.7773,24.1847,39.6387
