Sample,EIMMagnitude,EIMPhase,JointAngle,Mass
1,0.170576,,19.0641,
1,0.171149,,19.2247,
1,0.171268,,19.4126,
1,0.170952,,19.628,
1,0.170223,,19.8709,
1,0.169108,,20.1403,
1,0.167639,,20.4345,
1,0.165853,,20.7515,
1,0.163789,,21.0883,
1,0.161488,,21.4421,
1,0.158996,,21.8094,
1,0.156359,,22.1866,
1,0.153623,,22.5704,
1,0.150837,,22.9573,
1,0.148044,,23.344,
1,0.145289,,23.7274,
1,0.142612,,24.1048,
1,0.140047,,24.4738,
1,0.137626,,24.8322,
1,0.135374,,25.178,
1,0.133306,,25.5095,
1,0.131435,,25.8251,
1,0.129763,,26.1232,
1,0.128287,,26.4024,
1,0.126997,,26.6613,
1,0.125874,,26.8989,
1,0.124898,,27.1143,
1,0.124043,,27.3071,
1,0.123278,,27.4775,
1,0.122574,,27.6261,
1,0.121898,,27.7543,
1,0.12122,,27.8638,
1,0.12051,,27.9572,
1,0.119743,,28.0371,
1,0.118897,,28.1068,
1,0.117955,,28.1697,
1,0.116904,,28.2292,
1,0.11574,,28.2888,
1,0.11446,,28.352,
1,0.11307,,28.4217,
1,0.11158,,28.5006,
1,0.110005,,28.5909,
1,0.108363,,28.6939,
1,0.106677,,28.8104,
1,0.104972,,28.94,
1,0.103275,,29.0817,
1,0.101613,,29.2332,
1,0.100014,,29.3917,
1,0.0985053,,29.5532,
1,0.0971133,,29.7132,
1,0.0958618,,29.8667,
1,0.0947724,,30.0084,
1,0.0938639,,30.1334,
1,0.0931519,,30.2369,
1,0.0926488,,30.315,
1,0.0923636,,30.3644,
1,0.0923017,,30.3832,
1,0.0924655,,30.3706,
1,0.0928544,,30.327,
1,0.0934647,,30.2541,
1,0.0942906,,30.1549,
1,0.0953242,,30.0335,
1,0.0965561,,29.8951,
1,0.0979756,,29.7455,
1,0.0995717,,29.5913,
1,0.101333,,29.4389,
1,0.103248,,29.295,
1,0.105305,,29.1656,
1,0.107494,,29.0563,
1,0.109806,,28.9716,
1,0.11223,,28.9151,
1,0.114757,,28.889,
1,0.117378,,28.8946,
1,0.120084,,28.9318,
1,0.122863,,28.9993,
1,0.125702,,29.0947,
1,0.128586,,29.2147,
1,0.131497,,29.3551,
1,0.134413,,29.5111,
1,0.137308,,29.6775,
1,0.140153,,29.849,
1,0.142915,,30.0206,
1,0.145557,,30.1877,
1,0.148042,,30.3464,
1,0.15033,,30.4933,
1,0.15238,,30.6264,
1,0.154157,,30.744,
1,0.155624,,30.8457,
1,0.156754,,30.9317,
1,0.157523,,31.0031,
1,0.157916,,31.0615,
1,0.157928,,31.1091,
1,0.157561,,31.1484,
1,0.156827,,31.1825,
1,0.155749,,31.2144,
1,0.154357,,31.2475,
2,0.154357,,31.2475,
2,0.152686,,31.2851,
2,0.150779,,31.3304,
2,0.148682,,31.3865,
2,0.146442,,31.4562,
2,0.144108,,31.5418,
2,0.141723,,31.6454,
2,0.13933,,31.7681,
2,0.136965,,31.9108,
2,0.134658,,32.0733,
2,0.132434,,32.2548,
2,0.130307,,32.4539,
2,0.128288,,32.6682,
2,0.126377,,32.8952,
2,0.124571,,33.1316,
2,0.12286,,33.3744,
2,0.12123,,33.6205,
2,0.119661,,33.8671,
2,0.118134,,34.112,
2,0.116625,,34.3537,
2,0.115113,,34.5911,
2,0.113574,,34.824,
2,0.111987,,35.0525,
2,0.110333,,35.277,
2,0.108595,,35.4982,
2,0.106759,,35.7166,
2,0.104818,,35.9325,
2,0.102763,,36.1458,
2,0.100596,,36.3561,
2,0.0983165,,36.5622,
2,0.0959326,,36.7625,
2,0.0934539,,36.9552,
2,0.0908933,,37.1379,
2,0.0882663,,37.3086,
2,0.08559,,37.4651,
2,0.0828823,,37.6057,
2,0.0801614,,37.7292,
2,0.0774446,,37.8347,
2,0.0747483,,37.9221,
2,0.0720868,,37.9919,
2,0.0694724,,38.0451,
2,0.0669148,,38.0834,
2,0.0644216,,38.1087,
2,0.0619981,,38.1238,
2,0.0596478,,38.1314,
2,0.0573727,,38.1351,
2,0.0551737,,38.1383,
2,0.0530515,,38.1449,
2,0.0510064,,38.1592,
2,0.0490393,,38.1852,
2,0.0471513,,38.2272,
2,0.0453443,,38.2895,
2,0.0436206,,38.3763,
2,0.041983,,38.4913,
2,0.0404343,,38.6382,
2,0.0389768,,38.8198,
2,0.0376122,,39.0386,
2,0.0363413,,39.2961,
2,0.035163,,39.5928,
2,0.034075,,39.9284,
2,0.0330729,,40.3014,
2,0.0321505,,40.7093,
2,0.0313002,,41.1486,
2,0.0305126,,41.6148,
2,0.0297775,,42.1024,
2,0.0290841,,42.6054,
2,0.0284213,,43.1172,
2,0.0277785,,43.6305,
2,0.0271458,,44.1381,
2,0.0265145,,44.6325,
2,0.0258773,,45.1066,
2,0.0252287,,45.5535,
2,0.024565,,45.9672,
2,0.0238843,,46.3422,
2,0.0231864,,46.674,
2,0.0224726,,46.9592,
2,0.0217456,,47.1949,
2,0.0210091,,47.3797,
2,0.0202676,,47.5125,
2,0.0195261,,47.5933,
2,0.0187897,,47.6226,
2,0.0180634,,47.6015,
2,0.0173521,,47.5316,
2,0.0166602,,47.4152,
2,0.0159917,,47.2548,
2,0.0153498,,47.0534,
2,0.0147373,,46.8146,
2,0.0141563,,46.5423,
2,0.0136084,,46.2405,
2,0.0130947,,45.9139,
2,0.0126156,,45.567,
2,0.0121715,,45.2043,
2,0.011762,,44.8303,
2,0.0113868,,44.4492,
2,0.011045,,44.0649,
2,0.0107358,,43.6806,
2,0.0104581,,43.2993,
2,0.0102106,,42.9232,
2,0.00999212,,42.5539,
2,0.00980147,,42.1924,
2,0.00963753,,41.8391,
2,0.00949939,,41.4939,
2,0.00938647,,41.1565,
2,0.00929865,,40.826,
2,0.00923641,,40.5019,
2,0.00920099,,40.1834,
2,0.00919452,,39.87,
2,0.00922022,,39.5612,
2,0.00928246,,39.2568,
2,0.00938691,,38.9568,
2,0.00954051,,38.6612,
2,0.00975146,,38.3703,
2,0.0100291,,38.0844,
2,0.0103838,,37.8042,
2,0.0108264,,37.5305,
2,0.0113681,,37.2645,
2,0.0120196,,37.0076,
2,0.012791,,36.7614,
2,0.0136905,,36.5278,
2,0.0147244,,36.3087,
2,0.0158957,,36.1057,
3,0.0172038,,35.9203,
3,0.0186441,,35.7538,
3,0.0202071,,35.6067,
3,0.0218782,,35.4794,
3,0.0236382,,35.3714,
3,0.0254626,,35.2822,
3,0.0273226,,35.2107,
3,0.0291859,,35.1554,
3,0.0310171,,35.1148,
3,0.0327792,,35.0871,
3,0.034435,,35.0704,
3,0.0359482,,35.0629,
3,0.0372853,,35.0628,
3,0.0384164,,35.0681,
3,0.0393169,,35.0774,
3,0.0399685,,35.0889,
3,0.0403598,,35.1013,
3,0.0404871,,35.1132,
3,0.0403542,,35.1233,
3,0.0399722,,35.1305,
3,0.0393594,,35.1338,
3,0.0385398,,35.1322,
3,0.0375423,,35.1246,
3,0.0363994,,35.1101,
3,0.0351457,,35.0876,
3,0.0338162,,35.056,
3,0.0324452,,35.0142,
3,0.0310647,,34.9606,
3,0.0297032,,34.8938,
3,0.0283851,,34.8119,
3,0.0271295,,34.713,
