Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,59.6305,6.60658,0,0,1700567790
1,59.6305,6.60658,0,0,1700567790
1,59.6305,33.4618,0,0,1700567790
1,68.4652,9.19485,0,0,1700567790
1,60.8364,9.59314,0,0,1700567790
1,62.7001,4.29835,0,0,1700567790
1,81.942,6.34534,0,0,1700567790
1,70.5102,0.135922,0,0,1700567790
1,62.0842,13.3424,0,0,1700567790
1,87.5571,4.0857,0,0,1700567790
1,47.4114,11.9657,0,0,1700567790
1,74.1388,12.8376,0,0,1700567790
1,64.5485,4.68741,0,0,1700567790
1,89.21,7.15278,0,0,1700567790
1,91.9492,8.49712,0,0,1700567790
1,83.3394,23.2253,0,0,1700567790
1,67.8003,4.43951,0,0,1700567790
1,69.3771,15.013,0,0,1700567790
1,77.889,4.45102,0,0,1700567790
1,51.6973,7.54163,0,0,1700567790
1,68.3411,9.51724,0,0,1700567790
1,66.7972,11.9654,0,0,1700567791
1,77.9186,23.1697,0,0,1700567791
1,49.0954,15.781,0,0,1700567791
1,72.3964,10.9669,0,0,1700567791
1,64.1972,22.4561,0,0,1700567791
1,63.8583,12.3309,0,0,1700567791
1,89.2768,10.0815,0,0,1700567791
1,64.2546,2.30158,0,0,1700567791
1,73.7661,7.2753,0,0,1700567791
1,83.4807,3.23277,0,0,1700567791
1,97.2142,17.9074,0,0,1700567791
1,78.0974,0.889076,0,0,1700567791
1,65.9948,13.5771,0,0,1700567791
1,64.9604,13.4334,0,0,1700567791
1,38.6379,16.9961,0,0,1700567791
1,77.751,11.8209,0,0,1700567791
1,82.7436,10.0252,0,0,1700567791
1,62.2119,20.0645,0,0,1700567791
1,76.843,23.2525,0,0,1700567791
1,89.4153,21.6146,0,0,1700567791
1,64.6786,4.92141,0,0,1700567791
1,89.5716,3.50457,0,0,1700567791
1,79.069,7.30322,0,0,1700567791
1,66.7011,13.8874,0,0,1700567791
1,76.6055,3.9051,0,0,1700567791
1,71.8834,16.6183,0,0,1700567791
1,76.8983,17.293,0,0,1700567791
1,61.2503,7.12758,0,0,1700567791
1,60.5212,8.21948,0,0,1700567791
1,84.8003,2.44317,0,0,1700567791
1,71.5126,3.68224,0,0,1700567791
1,88.4002,6.52971,0,0,1700567791
1,70.4651,11.1629,0,0,1700567791
