Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.3683,5.80205,0,0,1700567982
1,61.3683,5.80205,0,0,1700567982
1,55.6442,5.80205,0,0,1700567982
1,60.7984,5.80205,0,0,1700567982
1,57.4787,10.6177,0,0,1700567982
1,55.2846,7.6314,0,0,1700567982
1,55.7001,6.31979,0,0,1700567982
1,56.5677,4.59131,0,0,1700567982
1,55.6235,2.78742,0,0,1700567982
1,54.5142,2.5077,0,0,1700567982
1,57.5298,3.48207,0,0,1700567982
1,62.5739,5.18595,0,0,1700567982
1,62.1653,7.0525,0,0,1700567982
1,56.0225,8.05854,0,0,1700567982
1,53.0715,10.0352,0,0,1700567982
1,55.3586,12.4394,0,0,1700567982
1,56.3318,10.9134,0,0,1700567982
1,55.1859,6.9526,0,0,1700567982
1,54.772,4.62555,0,0,1700567982
1,55.8436,4.78243,0,0,1700567982
1,55.7618,6.76362,0,0,1700567982
1,52.3367,7.41006,0,0,1700567982
1,50.041,5.56689,0,0,1700567982
1,51.8781,4.81203,0,0,1700567982
1,54.7347,4.87622,0,0,1700567982
1,57.8977,3.30035,0,0,1700567982
1,61.197,2.8143,0,0,1700567982
1,61.5539,4.70844,0,0,1700567982
1,60.7981,5.72717,0,0,1700567982
1,61.8047,5.34782,0,0,1700567982
1,63.6998,5.78538,0,0,1700567982
1,65.4502,5.78861,0,0,1700567982
1,65.571,3.63512,0,0,1700567982
1,64.0692,2.64449,0,0,1700567982
1,60.6029,4.95593,0,0,1700567982
1,55.4825,6.52089,0,0,1700567982
1,53.428,5.60783,0,0,1700567982
1,56.7541,5.47284,0,0,1700567982
1,60.6905,5.76809,0,0,1700567982
1,60.2229,4.21094,0,0,1700567982
1,59.193,2.92174,0,0,1700567982
1,60.2478,3.80423,0,0,1700567982
1,57.9809,4.4811,0,0,1700567982
1,52.3933,4.87185,0,0,1700567982
1,49.8662,7.5947,0,0,1700567982
1,51.8477,10.5596,0,0,1700567982
1,54.2473,10.4932,0,0,1700567982
1,58.442,7.81485,0,0,1700567982
1,64.8295,4.65247,0,0,1700567982
1,64.7066,4.20311,0,0,1700567982
1,59.1983,6.42376,0,0,1700567982
1,55.8452,7.15022,0,0,1700567982
1,53.7698,5.43223,0,0,1700567982
1,52.5429,3.71908,0,0,1700567982
1,53.3335,3.05469,0,0,1700567982
1,55.8584,3.17773,0,0,1700567983
1,59.5438,3.69293,0,0,1700567983
1,59.9439,6.18793,0,0,1700567983
1,54.6165,11.3481,0,0,1700567983
1,50.7753,13.4885,0,0,1700567983
1,52.8984,10.5957,0,0,1700567983
1,57.2072,7.75552,0,0,1700567983
1,61.5679,6.00551,0,0,1700567983
1,63.8802,7.2359,0,0,1700567983
1,62.5691,13.2708,0,0,1700567983
1,60.1795,5.80205,0,0,1700567983
1,59.2208,5.80205,0,0,1700567983
1,59.4016,11.6106,0,0,1700567983
1,57.7103,9.7458,0,0,1700567983
1,54.8122,10.2651,0,0,1700567983
1,53.1422,11.3131,0,0,1700567983
1,52.2671,8.54216,0,0,1700567983
1,54.0568,4.30822,0,0,1700567983
1,57.5925,3.76454,0,0,1700567983
1,60.5915,6.25063,0,0,1700567983
1,62.5265,8.17278,0,0,1700567983
1,59.6043,7.42226,0,0,1700567983
1,53.3644,5.97828,0,0,1700567983
1,50.8167,7.64434,0,0,1700567983
1,52.9094,9.76595,0,0,1700567983
1,55.8913,9.5804,0,0,1700567983
1,59.2155,10.2618,0,0,1700567983
1,64.1936,11.7404,0,0,1700567983
1,67.4841,11.1207,0,0,1700567983
1,65.1171,8.01002,0,0,1700567983
1,60.0222,4.70059,0,0,1700567983
1,56.7684,4.09886,0,0,1700567983
1,54.1531,6.37267,0,0,1700567983
1,51.2471,9.4626,0,0,1700567983
1,50.0468,9.60951,0,0,1700567983
1,51.1874,7.05626,0,0,1700567983
1,53.3137,7.49602,0,0,1700567983
1,54.0079,10.0807,0,0,1700567983
1,55.0872,9.00365,0,0,1700567983
1,58.7826,6.14557,0,0,1700567983
1,60.7303,7.20604,0,0,1700567983
1,59.4955,9.48989,0,0,1700567983
1,58.5071,8.2627,0,0,1700567983
1,57.222,7.24505,0,0,1700567983
1,55.5533,7.58721,0,0,1700567983
1,56.4843,6.44285,0,0,1700567983
1,59.2957,6.47558,0,0,1700567983
1,61.2419,7.93742,0,0,1700567983
1,60.7322,7.44173,0,0,1700567983
1,56.8231,5.25006,0,0,1700567983
1,53.014,4.1481,0,0,1700567983
1,53.1075,4.75341,0,0,1700567983
1,54.5656,4.11217,0,0,1700567983
1,58.0023,2.56863,0,0,1700567983
1,62.8697,3.24001,0,0,1700567983
1,59.791,5.00108,0,0,1700567983
1,51.3334,5.47031,0,0,1700567983
1,50.6639,4.30014,0,0,1700567983
1,56.0663,2.83504,0,0,1700567983
1,55.5872,3.83801,0,0,1700567983
1,51.9754,6.86184,0,0,1700567983
1,55.7008,8.07509,0,0,1700567983
1,59.6377,6.49153,0,0,1700567983
1,55.4429,4.19673,0,0,1700567983
1,51.188,3.92271,0,0,1700567983
1,50.4053,5.64054,0,0,1700567983
1,49.2422,6.79678,0,0,1700567983
1,51.8272,7.34231,0,0,1700567983
1,60.563,6.79015,0,0,1700567983
1,65.89,4.34762,0,0,1700567983
1,62.9002,2.51251,0,0,1700567983
1,59.6275,2.59792,0,0,1700567983
1,58.4542,3.87845,0,0,1700567983
1,56.1342,5.54615,0,0,1700567983
1,55.1275,6.00789,0,0,1700567983
1,54.0621,5.36199,0,0,1700567983
1,51.8811,5.66032,0,0,1700567983
1,52.246,7.46318,0,0,1700567983
1,52.9351,9.59546,0,0,1700567983
1,53.6644,9.71806,0,0,1700567983
1,54.9511,7.52267,0,0,1700567983
1,52.6786,6.18342,0,0,1700567983
1,51.6449,6.24688,0,0,1700567983
1,55.1901,6.47215,0,0,1700567983
1,55.6563,6.76447,0,0,1700567983
1,53.3259,6.28321,0,0,1700567983
1,54.5183,6.01977,0,0,1700567983
1,60.39,7.07434,0,0,1700567983
1,65.4894,7.26254,0,0,1700567983
1,61.9748,6.35056,0,0,1700567983
1,55.592,6.73127,0,0,1700567983
1,55.4134,7.32542,0,0,1700567983
1,55.1808,5.94459,0,0,1700567983
1,50.6906,5.05718,0,0,1700567983
1,48.256,7.26056,0,0,1700567983
1,51.1458,9.98311,0,0,1700567983
1,59.4674,9.2495,0,0,1700567983
1,67.0656,5.3748,0,0,1700567983
1,64.4581,3.20052,0,0,1700567983
1,56.7218,4.7289,0,0,1700567983
1,52.7006,7.24293,0,0,1700567983
1,51.4048,8.67451,0,0,1700567983
1,52.3541,8.42061,0,0,1700567983
1,55.8061,7.06587,0,0,1700567983
1,57.1398,7.0308,0,0,1700567983
1,52.7234,9.47996,0,0,1700567983
1,48.6007,10.9443,0,0,1700567983
1,51.2299,8.95907,0,0,1700567983
1,55.8656,6.87784,0,0,1700567983
1,58.7381,7.38266,0,0,1700567983
1,60.9547,9.11046,0,0,1700567983
1,61.9828,9.22198,0,0,1700567983
1,61.1708,6.53737,0,0,1700567983
1,56.9279,3.35453,0,0,1700567983
1,52.8018,1.75248,0,0,1700567983
1,54.2214,1.53145,0,0,1700567983
1,56.3505,1.65006,0,0,1700567983
1,56.668,2.37173,0,0,1700567983
1,60.5772,4.30402,0,0,1700567983
1,66.068,5.82531,0,0,1700567983
1,64.8101,7.59964,0,0,1700567983
1,61.6552,11.0056,0,0,1700567983
1,67.0536,11.4453,0,0,1700567983
1,71.5871,7.42665,0,0,1700567983
1,63.7595,4.84469,0,0,1700567983
1,53.7788,4.98794,0,0,1700567983
1,53.6747,4.40859,0,0,1700567983
1,57.2749,5.41114,0,0,1700567983
1,57.7495,8.87779,0,0,1700567983
1,60.9304,8.78655,0,0,1700567983
1,64.9965,5.6668,0,0,1700567983
1,62.4407,4.13589,0,0,1700567983
1,59.1655,4.78524,0,0,1700567983
1,59.5978,7.01917,0,0,1700567983
1,58.4196,7.63848,0,0,1700567983
1,55.0017,5.79076,0,0,1700567983
1,53.4617,4.78732,0,0,1700567983
1,53.8604,4.51576,0,0,1700567983
1,52.9219,4.83099,0,0,1700567983
1,49.7884,7.01558,0,0,1700567983
1,48.1108,8.56795,0,0,1700567983
1,52.4324,7.10161,0,0,1700567983
1,61.8248,4.51829,0,0,1700567983
1,67.9524,3.52466,0,0,1700567983
1,66.7206,3.86912,0,0,1700567983
1,64.6748,4.74068,0,0,1700567983
1,65.0079,5.98799,0,0,1700567983
1,63.2917,5.09739,0,0,1700567983
1,59.2605,2.78055,0,0,1700567983
1,58.9211,2.76004,0,0,1700567983
1,62.8588,3.37909,0,0,1700567983
1,64.0904,3.63541,0,0,1700567983
1,62.6625,6.24138,0,0,1700567983
1,65.0245,8.81236,0,0,1700567983
1,68.9493,7.27429,0,0,1700567983
1,69.1375,4.84733,0,0,1700567983
1,65.8539,5.16392,0,0,1700567983
1,61.5807,6.44008,0,0,1700567983
1,62.1174,7.40739,0,0,1700567983
1,67.5644,7.76231,0,0,1700567983
1,67.4454,6.6861,0,0,1700567983
1,61.56,5.03069,0,0,1700567983
1,59.7527,4.91389,0,0,1700567983
1,60.1183,6.68284,0,0,1700567983
1,57.7987,7.60455,0,0,1700567983
1,55.1566,5.98548,0,0,1700567983
1,51.6444,3.91374,0,0,1700567983
1,48.8324,3.34167,0,0,1700567983
1,54.1344,3.07302,0,0,1700567983
