Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,88.1991,22.7525,0,0,1700567982
1,88.1991,22.7525,0,0,1700567982
1,88.1991,22.7525,0,0,1700567982
1,73.1402,5.07511,0,0,1700567982
1,80.2143,14.139,0,0,1700567982
1,79.13,6.06588,0,0,1700567982
1,81.2902,6.22601,0,0,1700567982
1,80.7362,1.0568,0,0,1700567982
1,66.5966,3.68548,0,0,1700567982
1,95.0766,7.84308,0,0,1700567982
1,87.2694,4.01071,0,0,1700567982
1,97.1234,19.4196,0,0,1700567982
1,58.0995,2.18461,0,0,1700567982
1,82.8149,22.5733,0,0,1700567982
1,81.948,19.9646,0,0,1700567982
1,76.667,11.9591,0,0,1700567982
1,80.7901,5.62639,0,0,1700567982
1,72.2742,6.05521,0,0,1700567982
1,85.7981,5.40437,0,0,1700567982
1,78.9611,14.1352,0,0,1700567982
1,66.9967,12.1395,0,0,1700567982
1,70.3242,0.283772,0,0,1700567982
1,76.8525,11.5486,0,0,1700567982
1,80.4472,6.8609,0,0,1700567982
1,79.3304,0.183483,0,0,1700567982
1,100.801,4.61697,0,0,1700567982
1,74.409,10.4549,0,0,1700567982
1,93.9069,8.18191,0,0,1700567982
1,84.1895,4.66885,0,0,1700567982
1,93.1758,11.5365,0,0,1700567982
1,96.9382,8.86841,0,0,1700567982
1,88.8525,0.127064,0,0,1700567982
1,93.8652,2.65007,0,0,1700567982
1,82.3589,12.4763,0,0,1700567982
1,70.8178,10.8369,0,0,1700567982
1,76.1898,1.79551,0,0,1700567982
1,82.8529,13.0517,0,0,1700567982
1,96.2412,6.70488,0,0,1700567982
1,76.0581,4.6691,0,0,1700567982
1,84.0685,0.591264,0,0,1700567982
1,94.8273,10.4623,0,0,1700567982
1,71.8367,5.37884,0,0,1700567982
1,74.3596,2.98903,0,0,1700567982
1,61.2277,19.344,0,0,1700567982
1,87.1023,13.9029,0,0,1700567982
1,69.371,17.3958,0,0,1700567982
1,85.4136,6.00256,0,0,1700567982
1,111.23,4.71454,0,0,1700567982
