Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,72.4334,5.04574,0,0,1700568318
1,72.4334,5.04574,0,0,1700568318
1,59.2689,5.04574,0,0,1700568318
1,68.5347,5.49258,0,0,1700568318
1,71.4818,3.7841,0,0,1700568318
1,73.8459,5.54591,0,0,1700568318
1,74.8336,6.64975,0,0,1700568318
1,73.9991,5.09195,0,0,1700568318
1,72.8245,3.48145,0,0,1700568318
1,75.666,3.81322,0,0,1700568318
1,81.0428,5.46361,0,0,1700568318
1,83.1388,5.76273,0,0,1700568318
1,81.8642,4.40707,0,0,1700568318
1,78.5494,3.98465,0,0,1700568318
1,73.0761,3.66006,0,0,1700568318
1,69.3498,2.43706,0,0,1700568318
1,68.0098,1.88648,0,0,1700568318
1,65.1916,2.31265,0,0,1700568318
1,62.7181,3.9119,0,0,1700568318
1,64.6504,5.79294,0,0,1700568318
1,69.3371,5.56382,0,0,1700568318
1,71.1039,4.08511,0,0,1700568318
1,72.0516,3.62511,0,0,1700568318
1,77.1985,4.43549,0,0,1700568318
1,79.7199,5.45687,0,0,1700568318
1,75.9899,5.1188,0,0,1700568318
1,72.4723,4.21292,0,0,1700568318
1,73.0292,4.529,0,0,1700568318
1,77.4053,4.73617,0,0,1700568318
1,78.1959,4.38775,0,0,1700568318
1,72.3947,5.10866,0,0,1700568318
1,70.2038,6.15459,0,0,1700568318
1,72.5994,5.99366,0,0,1700568318
1,71.8936,4.65081,0,0,1700568318
1,70.5769,3.38623,0,0,1700568318
1,72.5445,3.29602,0,0,1700568318
1,77.1983,2.97823,0,0,1700568318
1,81.6889,2.68494,0,0,1700568318
1,80.7626,4.51139,0,0,1700568318
1,76.616,6.60631,0,0,1700568318
1,75.936,6.62994,0,0,1700568318
1,77.7312,5.5239,0,0,1700568318
1,76.2645,4.73622,0,0,1700568318
1,71.4875,4.15806,0,0,1700568318
1,68.7075,4.05091,0,0,1700568318
1,70.4079,5.58586,0,0,1700568318
1,74.4253,7.47227,0,0,1700568318
1,75.3571,7.31782,0,0,1700568318
1,72.2059,5.27637,0,0,1700568318
1,71.9783,3.49485,0,0,1700568318
1,76.3288,4.40586,0,0,1700568318
1,78.9243,6.6713,0,0,1700568318
1,78.0266,6.98601,0,0,1700568318
1,77.3516,6.51214,0,0,1700568318
1,76.7126,6.28339,0,0,1700568318
1,73.8022,5.24424,0,0,1700568318
1,70.7748,5.35424,0,0,1700568318
1,70.0024,7.01133,0,0,1700568318
1,71.2122,7.52076,0,0,1700568318
1,73.9788,7.19726,0,0,1700568318
1,77.1064,6.83968,0,0,1700568318
1,77.2149,4.91636,0,0,1700568318
1,74.0555,2.60979,0,0,1700568318
1,73.7001,2.92253,0,0,1700568318
1,77.1873,5.17458,0,0,1700568318
1,79.9593,6.78073,0,0,1700568318
1,79.949,6.98693,0,0,1700568318
1,76.1278,6.08967,0,0,1700568318
1,71.6542,4.43173,0,0,1700568318
1,70.2683,3.33012,0,0,1700568318
1,70.1937,3.26003,0,0,1700568318
1,71.0116,3.54936,0,0,1700568318
1,72.9586,3.96279,0,0,1700568318
1,75.259,4.56582,0,0,1700568318
1,76.9833,5.94587,0,0,1700568318
1,75.0476,6.57759,0,0,1700568318
1,71.1509,5.35179,0,0,1700568318
1,71.8868,5.50278,0,0,1700568318
1,75.1737,7.28365,0,0,1700568318
1,74.1873,7.47115,0,0,1700568318
1,72.0316,5.93343,0,0,1700568318
1,74.8125,4.19174,0,0,1700568318
1,80.1034,4.10367,0,0,1700568318
1,80.2715,5.87133,0,0,1700568318
1,74.5279,6.15523,0,0,1700568318
1,70.9995,3.67632,0,0,1700568318
1,70.8361,1.64394,0,0,1700568318
1,70.0943,2.4503,0,0,1700568318
1,72.1535,4.06892,0,0,1700568318
1,75.8249,4.25068,0,0,1700568318
1,75.6042,4.31627,0,0,1700568318
1,73.9146,4.54733,0,0,1700568318
1,72.4637,3.7409,0,0,1700568318
1,70.0751,2.58249,0,0,1700568318
1,68.4344,2.32119,0,0,1700568318
1,68.2891,2.99262,0,0,1700568318
1,69.9226,3.1037,0,0,1700568318
1,73.3506,3.37974,0,0,1700568318
1,75.5768,4.7509,0,0,1700568318
1,74.1228,5.20601,0,0,1700568318
1,70.1768,6.19339,0,0,1700568318
1,67.0984,8.19018,0,0,1700568318
1,66.6175,7.36289,0,0,1700568318
1,69.8815,5.10908,0,0,1700568318
1,75.672,4.54224,0,0,1700568318
1,78.0615,4.53735,0,0,1700568318
1,75.4013,5.04076,0,0,1700568318
1,72.8016,6.02427,0,0,1700568318
1,74.7754,5.62141,0,0,1700568318
1,79.1434,4.48701,0,0,1700568318
1,79.5631,3.68411,0,0,1700568318
1,76.4311,3.18261,0,0,1700568318
1,74.5066,3.64254,0,0,1700568318
1,74.345,4.68144,0,0,1700568318
1,75.4128,5.8306,0,0,1700568318
1,78.5043,6.31976,0,0,1700568318
1,81.1302,6.45414,0,0,1700568318
1,79.3244,8.63705,0,0,1700568318
1,75.1706,10.4034,0,0,1700568318
1,70.9026,8.01146,0,0,1700568318
1,67.3886,4.30637,0,0,1700568318
1,68.453,2.41083,0,0,1700568318
1,70.7982,1.97003,0,0,1700568318
1,68.6683,3.32216,0,0,1700568318
1,66.4189,5.6821,0,0,1700568318
1,68.6046,6.53375,0,0,1700568318
1,73.0655,5.88515,0,0,1700568318
1,73.6998,5.24481,0,0,1700568318
1,68.6195,4.67644,0,0,1700568318
1,66.8025,3.36276,0,0,1700568318
1,72.0987,2.26258,0,0,1700568318
1,77.0539,3.39092,0,0,1700568318
1,79.5053,5.68933,0,0,1700568318
1,80.6735,6.52456,0,0,1700568318
1,76.5064,5.96468,0,0,1700568318
1,68.9576,6.31883,0,0,1700568318
1,67.1333,7.11297,0,0,1700568318
1,70.6181,6.26968,0,0,1700568318
1,74.0944,5.41615,0,0,1700568318
1,78.3738,4.97082,0,0,1700568318
1,81.4379,3.17482,0,0,1700568318
1,80.0208,1.83086,0,0,1700568318
1,76.1568,2.52632,0,0,1700568318
1,71.9189,4.28371,0,0,1700568318
1,69.8406,6.59138,0,0,1700568318
1,71.9075,7.99642,0,0,1700568318
1,75.3214,6.87163,0,0,1700568318
1,77.9984,5.76247,0,0,1700568318
1,78.5405,7.67564,0,0,1700568318
1,74.4183,9.74257,0,0,1700568318
1,70.0198,8.64442,0,0,1700568318
1,71.1042,6.58612,0,0,1700568318
1,75.8915,5.65097,0,0,1700568318
1,77.169,4.51217,0,0,1700568318
1,70.4605,2.93832,0,0,1700568318
1,64.0206,2.13987,0,0,1700568318
1,65.1308,2.68382,0,0,1700568318
1,71.3233,3.57338,0,0,1700568318
1,79.2237,3.6109,0,0,1700568318
1,82.5171,3.9863,0,0,1700568318
1,79.4428,5.08215,0,0,1700568318
1,76.1698,5.72463,0,0,1700568318
1,75.6132,5.85838,0,0,1700568318
1,76.3669,5.36231,0,0,1700568318
1,74.6911,5.54153,0,0,1700568318
1,70.0895,6.87544,0,0,1700568318
1,67.9391,7.07349,0,0,1700568318
1,70.1989,7.20215,0,0,1700568318
1,73.1131,9.13706,0,0,1700568318
1,74.7509,9.79996,0,0,1700568318
1,74.8453,7.3712,0,0,1700568318
1,72.758,4.43728,0,0,1700568318
1,70.6189,2.62775,0,0,1700568318
1,68.5555,2.15391,0,0,1700568318
1,67.0005,3.22744,0,0,1700568318
1,68.8569,4.60939,0,0,1700568318
1,70.1292,4.45097,0,0,1700568318
1,69.0732,2.8273,0,0,1700568318
1,70.3813,2.61975,0,0,1700568318
1,73.9719,4.31744,0,0,1700568318
1,76.8264,4.73342,0,0,1700568318
1,76.7901,3.88015,0,0,1700568318
1,74.0451,3.40982,0,0,1700568318
1,71.7816,3.69451,0,0,1700568318
1,72.9753,4.77839,0,0,1700568318
1,75.7323,5.49733,0,0,1700568318
1,76.8245,5.38858,0,0,1700568318
1,77.4938,5.58183,0,0,1700568318
1,77.4947,7.26815,0,0,1700568318
1,75.4277,8.52798,0,0,1700568318
1,74.3275,6.75027,0,0,1700568318
1,76.3565,4.42441,0,0,1700568318
1,79.871,4.41492,0,0,1700568318
1,83.9915,5.74034,0,0,1700568318
1,85.4226,6.46625,0,0,1700568318
1,80.6688,5.78477,0,0,1700568318
1,75.7284,4.96583,0,0,1700568318
1,76.9685,5.51184,0,0,1700568318
1,81.9256,5.54917,0,0,1700568318
1,85.3366,4.24898,0,0,1700568318
1,83.5383,4.33992,0,0,1700568318
1,76.9929,5.84099,0,0,1700568318
1,71.7871,8.01453,0,0,1700568318
1,71.4322,10.2476,0,0,1700568318
1,72.9718,9.42578,0,0,1700568318
1,75.7061,5.94261,0,0,1700568318
1,76.7857,3.71461,0,0,1700568318
1,72.4213,3.60608,0,0,1700568318
1,68.8891,3.87893,0,0,1700568318
1,69.025,4.5827,0,0,1700568318
1,70.5551,5.25917,0,0,1700568318
1,73.9778,4.327,0,0,1700568318
1,76.4563,3.51041,0,0,1700568318
1,78.8193,3.82944,0,0,1700568318
1,83.4862,4.10843,0,0,1700568318
1,84.3716,4.67333,0,0,1700568318
1,78.8637,4.88699,0,0,1700568318
1,75.5211,4.50204,0,0,1700568318
1,77.6547,5.20996,0,0,1700568318
1,76.5202,5.85943,0,0,1700568318
1,72.5601,4.94241,0,0,1700568318
1,74.1961,4.19446,0,0,1700568318
1,75.9387,3.68883,0,0,1700568318
1,72.2999,2.17709,0,0,1700568318
1,72.1783,1.26569,0,0,1700568318
1,78.758,1.89232,0,0,1700568318
1,81.5282,2.15415,0,0,1700568318
1,76.1509,2.41032,0,0,1700568318
1,70.1556,4.61368,0,0,1700568318
1,69.1032,6.17102,0,0,1700568318
1,71.3534,5.22253,0,0,1700568318
1,73.7039,4.44747,0,0,1700568318
1,74.7348,4.40954,0,0,1700568318
1,73.9533,4.29075,0,0,1700568318
1,72.3254,3.81173,0,0,1700568318
1,71.1273,2.97959,0,0,1700568318
1,72.5174,3.09206,0,0,1700568318
1,76.5462,4.52889,0,0,1700568318
1,78.3751,5.75871,0,0,1700568318
1,78.0476,4.66501,0,0,1700568318
1,77.7474,2.54874,0,0,1700568318
1,75.727,3.11855,0,0,1700568318
1,73.7402,5.06424,0,0,1700568318
1,72.3508,4.89333,0,0,1700568318
