Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,68.9989,4.92358,0,0,1700568670
1,68.9989,4.92358,0,0,1700568670
1,54.7729,4.92358,0,0,1700568670
1,62.5262,6.36379,0,0,1700568670
1,63.9922,5.82227,0,0,1700568670
1,64.4242,3.72047,0,0,1700568670
1,65.9345,3.58343,0,0,1700568670
1,67.2452,5.96887,0,0,1700568670
1,64.9265,5.78166,0,0,1700568670
1,62.9058,3.90181,0,0,1700568670
1,65.7336,4.45235,0,0,1700568670
1,70.3473,5.03093,0,0,1700568670
1,71.2855,4.29937,0,0,1700568670
1,67.8959,3.55182,0,0,1700568670
1,63.9397,2.32118,0,0,1700568670
1,64.7407,1.21415,0,0,1700568670
1,70.0646,1.42846,0,0,1700568670
1,72.4605,2.26216,0,0,1700568670
1,68.8646,3.18834,0,0,1700568670
1,62.8987,4.36869,0,0,1700568670
1,60.3166,4.13737,0,0,1700568670
1,62.0362,3.36328,0,0,1700568670
1,62.9679,4.54636,0,0,1700568670
1,64.4347,5.03203,0,0,1700568670
1,66.2856,3.17271,0,0,1700568670
1,63.757,2.74356,0,0,1700568670
1,63.9556,4.6867,0,0,1700568670
1,70.6369,5.82607,0,0,1700568670
1,72.7372,6.20626,0,0,1700568670
1,66.4141,6.5334,0,0,1700568670
1,60.041,5.36055,0,0,1700568670
1,60.8781,3.98539,0,0,1700568670
1,64.8664,3.60186,0,0,1700568670
1,62.4646,3.18295,0,0,1700568670
1,58.7018,3.13521,0,0,1700568670
1,61.5628,3.80108,0,0,1700568670
1,63.0043,3.60197,0,0,1700568670
1,58.5109,1.97402,0,0,1700568670
1,56.9899,1.10198,0,0,1700568670
1,62.2615,3.39792,0,0,1700568670
1,67.9359,7.03208,0,0,1700568670
1,69.5162,6.91413,0,0,1700568670
1,68.1226,3.78916,0,0,1700568670
1,64.715,2.50146,0,0,1700568670
1,59.673,2.74193,0,0,1700568670
1,58.1415,2.71861,0,0,1700568670
1,63.0555,2.79513,0,0,1700568670
1,68.0272,3.29346,0,0,1700568670
1,68.1982,4.06126,0,0,1700568670
1,64.62,4.3419,0,0,1700568670
1,63.0998,5.21732,0,0,1700568670
1,65.4399,7.44674,0,0,1700568670
1,64.9711,8.21784,0,0,1700568670
1,63.165,6.26987,0,0,1700568670
1,63.824,3.76101,0,0,1700568670
1,63.9378,3.20777,0,0,1700568670
1,64.108,4.99208,0,0,1700568670
1,64.4031,6.8105,0,0,1700568670
1,62.8393,6.48824,0,0,1700568670
1,61.8297,4.79002,0,0,1700568670
1,60.7622,3.91535,0,0,1700568670
1,56.1931,4.63209,0,0,1700568670
1,54.9765,6.3493,0,0,1700568670
1,62.2615,6.96659,0,0,1700568670
1,67.9526,5.22094,0,0,1700568670
1,65.9591,4.44677,0,0,1700568670
1,62.3606,6.19328,0,0,1700568670
1,61.8384,5.98949,0,0,1700568670
1,64.1161,3.38266,0,0,1700568670
1,65.4051,3.17489,0,0,1700568670
1,63.7037,4.47478,0,0,1700568670
1,63.0235,4.1556,0,0,1700568670
1,65.3344,5.05145,0,0,1700568670
1,69.1928,8.15948,0,0,1700568670
1,70.7834,9.04735,0,0,1700568670
1,64.6417,7.12372,0,0,1700568670
1,54.7885,6.0356,0,0,1700568670
1,52.3786,6.34468,0,0,1700568670
1,57.6602,6.81726,0,0,1700568670
1,62.1722,8.25038,0,0,1700568670
1,62.5184,9.7442,0,0,1700568670
1,60.9126,8.46106,0,0,1700568670
1,62.3078,5.46438,0,0,1700568670
1,66.8714,3.36935,0,0,1700568670
1,68.3937,2.57291,0,0,1700568670
1,65.7583,3.16839,0,0,1700568670
1,62.1573,5.10461,0,0,1700568670
1,61.2904,6.15689,0,0,1700568670
1,64.5341,4.20398,0,0,1700568670
1,67.2433,1.95157,0,0,1700568670
1,65.5615,2.66453,0,0,1700568670
1,61.2559,4.95853,0,0,1700568670
1,59.6154,5.70646,0,0,1700568670
1,62.7968,3.82392,0,0,1700568670
1,66.1069,1.77479,0,0,1700568670
1,65.9136,2.1481,0,0,1700568670
1,64.0121,3.70848,0,0,1700568670
1,62.3193,4.05726,0,0,1700568670
1,60.3498,3.51795,0,0,1700568670
1,58.7913,3.70082,0,0,1700568670
1,59.555,4.50955,0,0,1700568670
1,61.6613,5.9444,0,0,1700568670
1,62.857,8.83567,0,0,1700568670
1,61.6805,10.374,0,0,1700568670
1,58.5705,7.9774,0,0,1700568670
1,59.3283,5.23567,0,0,1700568670
1,64.1313,4.48835,0,0,1700568670
1,65.2274,4.06154,0,0,1700568670
1,64.3004,5.37099,0,0,1700568670
1,62.9605,8.55771,0,0,1700568670
1,58.4483,9.37245,0,0,1700568670
1,58.6849,7.1348,0,0,1700568670
1,64.4623,4.95876,0,0,1700568670
1,64.7776,4.17882,0,0,1700568670
1,59.3069,3.43033,0,0,1700568670
1,55.6032,3.42776,0,0,1700568670
1,56.3612,7.07938,0,0,1700568670
1,58.6857,10.7384,0,0,1700568670
1,60.072,9.22409,0,0,1700568670
1,63.2687,5.67827,0,0,1700568670
1,69.2543,4.47148,0,0,1700568670
1,70.584,4.74029,0,0,1700568670
1,64.2939,3.9912,0,0,1700568670
1,58.3854,2.462,0,0,1700568670
1,58.845,2.85756,0,0,1700568670
1,63.1186,4.92608,0,0,1700568670
1,66.5632,4.99255,0,0,1700568670
1,66.3334,3.66744,0,0,1700568670
1,63.4287,4.75413,0,0,1700568670
1,63.1902,7.22296,0,0,1700568670
1,64.1939,7.7143,0,0,1700568670
1,61.8515,6.08425,0,0,1700568670
1,60.4372,3.74473,0,0,1700568670
1,61.6522,3.32998,0,0,1700568670
1,60.6688,5.3873,0,0,1700568670
1,60.5292,6.13411,0,0,1700568670
1,66.6141,5.50351,0,0,1700568670
1,70.777,6.15288,0,0,1700568670
1,66.6287,6.6238,0,0,1700568670
1,62.3489,5.35106,0,0,1700568670
1,60.8521,4.32018,0,0,1700568670
1,57.78,5.21306,0,0,1700568670
1,59.4504,5.81932,0,0,1700568670
1,67.8247,5.51759,0,0,1700568670
1,69.8536,5.83211,0,0,1700568670
1,64.6912,4.73296,0,0,1700568670
1,62.8608,2.86047,0,0,1700568670
1,63.6356,3.5124,0,0,1700568670
1,61.1387,5.46077,0,0,1700568670
1,59.0176,6.10564,0,0,1700568670
1,62.0763,4.76093,0,0,1700568670
1,62.8473,3.74847,0,0,1700568670
1,58.3003,5.21269,0,0,1700568670
1,57.0498,6.61744,0,0,1700568670
1,60.5149,5.94835,0,0,1700568670
1,61.6505,4.54655,0,0,1700568670
1,58.5991,4.07279,0,0,1700568670
1,58.6764,4.44448,0,0,1700568670
1,65.5686,3.89351,0,0,1700568670
1,71.3828,3.18241,0,0,1700568670
1,69.7899,5.01717,0,0,1700568670
1,65.5019,8.34896,0,0,1700568670
1,64.564,9.18797,0,0,1700568670
1,68.7391,7.31328,0,0,1700568670
1,73.8367,5.72883,0,0,1700568670
1,71.8875,4.95032,0,0,1700568670
1,66.4556,5.22517,0,0,1700568670
1,64.2518,5.99913,0,0,1700568670
1,60.923,4.60974,0,0,1700568670
1,56.946,3.05618,0,0,1700568670
1,59.3863,3.51851,0,0,1700568670
1,66.9705,4.35251,0,0,1700568670
1,71.5804,5.59474,0,0,1700568670
1,70.2159,6.81525,0,0,1700568670
1,65.5698,7.75312,0,0,1700568670
1,61.2022,8.54614,0,0,1700568670
1,61.6607,6.71938,0,0,1700568670
1,63.009,4.35736,0,0,1700568670
1,60.3992,5.31859,0,0,1700568670
1,60.7868,6.17077,0,0,1700568670
1,65.6686,4.57665,0,0,1700568670
1,69.3311,3.3186,0,0,1700568670
1,71.759,3.04163,0,0,1700568670
1,71.4814,2.5063,0,0,1700568670
1,67.3665,3.14058,0,0,1700568670
1,64.259,5.52102,0,0,1700568670
1,63.8247,5.82066,0,0,1700568670
1,66.9721,3.2685,0,0,1700568670
1,72.8948,1.74409,0,0,1700568670
1,73.0178,2.39373,0,0,1700568670
1,67.3283,3.6701,0,0,1700568670
1,66.4648,4.05563,0,0,1700568670
1,68.5835,3.56834,0,0,1700568670
1,64.9416,3.39051,0,0,1700568670
1,61.7644,3.12476,0,0,1700568670
1,63.4615,2.11651,0,0,1700568670
1,62.3857,1.42137,0,0,1700568670
1,60.0885,2.77496,0,0,1700568670
1,60.7482,5.76498,0,0,1700568670
1,60.1449,7.9815,0,0,1700568670
1,58.6065,8.24995,0,0,1700568670
1,61.5313,7.19167,0,0,1700568670
1,66.9145,6.43738,0,0,1700568670
1,67.1252,6.58862,0,0,1700568670
1,61.7549,6.43761,0,0,1700568670
1,58.43,6.15465,0,0,1700568670
1,60.6514,6.01493,0,0,1700568670
1,63.6052,5.82703,0,0,1700568670
1,63.499,7.70828,0,0,1700568670
1,62.9904,9.75731,0,0,1700568670
1,64.4608,8.74718,0,0,1700568670
1,65.4697,8.53852,0,0,1700568670
1,64.6347,9.96217,0,0,1700568670
1,64.0995,9.07256,0,0,1700568670
1,63.7879,6.33664,0,0,1700568670
1,63.2458,3.98926,0,0,1700568670
1,65.158,2.74759,0,0,1700568670
1,67.0653,2.29799,0,0,1700568670
1,63.9622,2.15978,0,0,1700568670
1,59.6175,2.63347,0,0,1700568670
1,57.6933,3.66405,0,0,1700568670
1,57.0438,4.90418,0,0,1700568670
1,59.3004,6.52422,0,0,1700568670
1,62.5995,6.81187,0,0,1700568670
1,62.685,4.58272,0,0,1700568670
1,62.983,2.86597,0,0,1700568670
1,68.664,3.11701,0,0,1700568670
1,74.1183,4.03204,0,0,1700568670
1,69.5475,5.29458,0,0,1700568670
1,60.6375,5.80167,0,0,1700568670
1,60.4174,4.87577,0,0,1700568670
1,64.9672,4.79665,0,0,1700568670
1,64.3358,5.78985,0,0,1700568670
1,61.1481,4.83437,0,0,1700568670
1,60.7804,2.37916,0,0,1700568670
1,61.9441,1.7873,0,0,1700568670
1,64.5444,3.08961,0,0,1700568670
1,69.2173,3.42604,0,0,1700568670
1,70.1282,2.36572,0,0,1700568670
1,65.2424,3.52406,0,0,1700568670
1,62.2441,7.02068,0,0,1700568670
1,64.7385,7.4958,0,0,1700568670
1,67.2443,4.92798,0,0,1700568670
1,67.9163,3.2352,0,0,1700568670
1,68.6833,2.40742,0,0,1700568670
1,67.3104,1.80482,0,0,1700568670
1,64.5752,1.55447,0,0,1700568670
1,63.2512,1.60488,0,0,1700568670
1,61.8996,2.10468,0,0,1700568670
1,61.1978,3.80472,0,0,1700568670
1,59.991,6.91991,0,0,1700568670
1,56.9034,8.53146,0,0,1700568670
1,57.8691,8.10526,0,0,1700568670
1,63.6971,8.2859,0,0,1700568670
1,67.4552,7.83068,0,0,1700568670
1,67.3038,5.2234,0,0,1700568670
1,64.4547,3.07965,0,0,1700568670
1,60.2464,3.4336,0,0,1700568670
1,58.3186,5.28341,0,0,1700568670
1,59.8843,6.41189,0,0,1700568670
1,63.675,5.5979,0,0,1700568670
1,67.165,3.81587,0,0,1700568670
1,66.3425,2.89046,0,0,1700568670
1,62.4928,3.00196,0,0,1700568670
1,62.1725,3.12223,0,0,1700568670
1,63.3335,3.40871,0,0,1700568670
1,58.4139,3.83928,0,0,1700568670
1,51.7025,3.44219,0,0,1700568670
1,68.9989,2.97025,0,0,1700568670
1,53.3423,3.81012,0,0,1700568670
1,54.7302,6.10543,0,0,1700568670
1,58.5509,8.04849,0,0,1700568670
1,63.4297,8.33867,0,0,1700568670
1,63.136,8.53168,0,0,1700568670
1,60.612,8.30145,0,0,1700568670
1,61.1278,6.19121,0,0,1700568670
1,63.1156,3.59968,0,0,1700568670
1,63.7758,2.51418,0,0,1700568670
1,62.8909,2.71531,0,0,1700568670
1,64.8426,2.95096,0,0,1700568670
1,68.937,3.46358,0,0,1700568670
1,68.335,3.60623,0,0,1700568670
1,63.351,2.3147,0,0,1700568670
1,57.9024,1.53626,0,0,1700568670
1,55.8163,2.52498,0,0,1700568670
1,59.2665,3.73232,0,0,1700568670
1,64.8312,3.51352,0,0,1700568670
1,68.797,2.26371,0,0,1700568670
1,68.0387,1.65146,0,0,1700568670
1,64.7106,2.58125,0,0,1700568670
1,64.0327,4.02119,0,0,1700568670
1,63.9608,4.81226,0,0,1700568670
