Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,63.8564,5.69303,0,0,1700568854
1,49.9749,5.69303,0,0,1700568854
1,51.8031,5.69303,0,0,1700568854
1,52.9066,5.69303,0,0,1700568854
1,52.8017,6.46948,0,0,1700568854
1,52.7672,6.41137,0,0,1700568854
1,53.1161,6.17214,0,0,1700568854
1,53.787,6.25759,0,0,1700568854
1,54.4345,6.51168,0,0,1700568854
1,54.9961,6.71049,0,0,1700568854
1,55.5454,7.02612,0,0,1700568854
1,55.7918,7.292,0,0,1700568854
1,55.4803,7.22518,0,0,1700568854
1,54.8129,7.06316,0,0,1700568854
1,54.2872,7.04155,0,0,1700568854
1,54.1636,7.05523,0,0,1700568854
1,54.1151,7.03668,0,0,1700568854
1,53.7265,7.06826,0,0,1700568854
1,53.0983,7.18081,0,0,1700568854
1,52.5857,7.21491,0,0,1700568854
1,52.2527,7.04539,0,0,1700568854
1,52.0716,6.79052,0,0,1700568854
1,52.0867,6.59642,0,0,1700568854
1,52.1044,6.51437,0,0,1700568854
1,51.9048,6.53281,0,0,1700568854
1,51.5445,6.55423,0,0,1700568854
1,51.1628,6.48226,0,0,1700568854
1,50.8385,6.3832,0,0,1700568854
1,50.5939,6.37234,0,0,1700568854
1,50.4939,6.41836,0,0,1700568854
1,50.6353,6.47686,0,0,1700568854
1,50.8926,6.54521,0,0,1700568854
1,51.0421,6.57212,0,0,1700568854
1,51.0506,6.51465,0,0,1700568854
1,50.9779,6.41759,0,0,1700568854
1,50.8933,6.36044,0,0,1700568854
1,50.8872,6.3412,0,0,1700568854
1,50.9481,6.33073,0,0,1700568854
1,50.9842,6.33264,0,0,1700568854
1,50.9878,6.3249,0,0,1700568854
1,50.9712,6.30312,0,0,1700568854
1,50.9138,6.29153,0,0,1700568854
1,50.8527,6.28488,0,0,1700568854
1,50.7922,6.27118,0,0,1700568854
1,50.7509,6.24852,0,0,1700568854
1,50.8202,6.23215,0,0,1700568854
1,50.9423,6.23846,0,0,1700568854
1,50.9423,6.26225,0,0,1700568854
1,50.7916,6.33286,0,0,1700568854
1,50.653,6.45201,0,0,1700568854
1,50.6177,6.53131,0,0,1700568854
1,50.5818,6.53068,0,0,1700568854
1,50.525,6.48639,0,0,1700568854
1,50.5263,6.42015,0,0,1700568854
1,50.5254,6.33718,0,0,1700568854
1,50.4345,6.27261,0,0,1700568854
1,50.327,6.28865,0,0,1700568854
1,50.2972,6.37129,0,0,1700568854
1,50.3117,6.44259,0,0,1700568854
1,50.323,6.49754,0,0,1700568854
1,50.3342,6.56581,0,0,1700568854
1,50.3625,6.62681,0,0,1700568854
1,50.3994,6.64953,0,0,1700568854
1,50.4342,6.61941,0,0,1700568854
1,50.5031,6.54879,0,0,1700568854
1,50.567,6.47854,0,0,1700568854
1,50.5845,6.44236,0,0,1700568854
1,50.6334,6.43849,0,0,1700568854
1,50.72,6.43543,0,0,1700568854
1,50.7554,6.43115,0,0,1700568854
1,50.6961,6.45671,0,0,1700568854
1,50.5808,6.4982,0,0,1700568854
1,50.5126,6.52052,0,0,1700568854
1,50.5518,6.52414,0,0,1700568854
1,50.6443,6.52013,0,0,1700568854
1,50.6877,6.51216,0,0,1700568854
1,50.6522,6.49857,0,0,1700568854
1,50.6209,6.48562,0,0,1700568854
1,50.6267,6.48223,0,0,1700568854
1,50.5916,6.49777,0,0,1700568854
1,50.5181,6.54612,0,0,1700568854
1,50.4454,6.60034,0,0,1700568854
1,50.3588,6.62164,0,0,1700568854
1,50.3209,6.61012,0,0,1700568854
1,50.3622,6.58668,0,0,1700568854
1,50.4066,6.57997,0,0,1700568854
1,50.4409,6.59168,0,0,1700568854
1,50.4979,6.60042,0,0,1700568854
1,50.5408,6.61314,0,0,1700568854
1,50.5107,6.6388,0,0,1700568854
1,50.4639,6.64672,0,0,1700568854
1,50.4941,6.61939,0,0,1700568854
1,50.5517,6.58963,0,0,1700568854
1,50.543,6.57595,0,0,1700568854
1,50.4637,6.55393,0,0,1700568854
1,50.3827,6.51576,0,0,1700568854
1,50.3776,6.48247,0,0,1700568854
1,50.4479,6.45334,0,0,1700568854
1,50.5213,6.43096,0,0,1700568854
1,50.5565,6.4385,0,0,1700568854
1,50.5646,6.45348,0,0,1700568854
1,50.5369,6.45276,0,0,1700568854
1,50.4664,6.47072,0,0,1700568854
1,50.3858,6.50774,0,0,1700568854
1,50.3298,6.51168,0,0,1700568854
1,50.33,6.47973,0,0,1700568854
1,50.3735,6.47325,0,0,1700568854
1,50.3894,6.51537,0,0,1700568854
1,50.3527,6.54581,0,0,1700568854
1,50.3011,6.53051,0,0,1700568854
1,50.2569,6.5073,0,0,1700568854
1,50.2149,6.5015,0,0,1700568854
1,50.1717,6.5055,0,0,1700568854
1,50.1315,6.50223,0,0,1700568854
1,50.1067,6.4809,0,0,1700568854
1,50.1171,6.45008,0,0,1700568854
1,50.1553,6.41946,0,0,1700568854
1,50.1843,6.39987,0,0,1700568854
1,50.186,6.39876,0,0,1700568854
1,50.1623,6.39421,0,0,1700568854
1,50.1308,6.36428,0,0,1700568854
1,50.1225,6.32749,0,0,1700568854
1,50.1352,6.31135,0,0,1700568854
1,50.1413,6.31388,0,0,1700568854
1,50.1497,6.32936,0,0,1700568854
1,50.1816,6.35346,0,0,1700568854
1,50.21,6.36309,0,0,1700568854
1,50.2201,6.35435,0,0,1700568854
1,50.2515,6.34478,0,0,1700568854
1,50.3173,6.33977,0,0,1700568854
1,50.3974,6.33851,0,0,1700568854
1,50.4877,6.32828,0,0,1700568854
1,50.5615,6.30499,0,0,1700568854
1,50.5768,6.29705,0,0,1700568854
1,50.5595,6.31203,0,0,1700568854
1,50.5691,6.32725,0,0,1700568854
1,50.6014,6.34689,0,0,1700568854
1,50.6178,6.37472,0,0,1700568854
1,50.6128,6.38273,0,0,1700568854
1,50.5997,6.3625,0,0,1700568854
1,50.5942,6.33075,0,0,1700568854
1,50.6177,6.30045,0,0,1700568854
1,50.6615,6.27969,0,0,1700568854
1,50.6866,6.27599,0,0,1700568854
1,50.6794,6.29697,0,0,1700568854
1,50.6373,6.33203,0,0,1700568854
1,50.5582,6.36181,0,0,1700568854
1,50.4907,6.38487,0,0,1700568854
1,50.4727,6.40424,0,0,1700568854
1,50.4698,6.41477,0,0,1700568854
1,50.4384,6.41084,0,0,1700568854
1,50.3827,6.39803,0,0,1700568854
1,50.3431,6.39565,0,0,1700568854
1,50.3396,6.40899,0,0,1700568854
1,50.3498,6.41551,0,0,1700568854
1,50.3454,6.40595,0,0,1700568854
1,50.3208,6.40726,0,0,1700568854
1,50.2893,6.43248,0,0,1700568854
1,50.2701,6.4595,0,0,1700568854
1,50.2626,6.4788,0,0,1700568854
1,50.2547,6.49347,0,0,1700568854
1,50.2664,6.49743,0,0,1700568854
1,50.3028,6.49971,0,0,1700568854
1,50.3165,6.5085,0,0,1700568854
1,50.2825,6.51214,0,0,1700568854
1,50.2274,6.51974,0,0,1700568854
1,50.1851,6.54688,0,0,1700568854
1,50.1624,6.56954,0,0,1700568854
1,50.1483,6.56113,0,0,1700568854
1,50.1363,6.53648,0,0,1700568854
1,50.1143,6.52055,0,0,1700568854
1,50.0781,6.51276,0,0,1700568854
1,50.0574,6.50228,0,0,1700568854
1,50.0641,6.48814,0,0,1700568854
1,50.0673,6.47398,0,0,1700568854
1,50.0703,6.46465,0,0,1700568854
1,50.1072,6.47223,0,0,1700568854
1,50.1615,6.50185,0,0,1700568854
1,50.1921,6.5364,0,0,1700568854
1,50.1965,6.56429,0,0,1700568854
1,50.1986,6.59937,0,0,1700568854
1,50.2115,6.59439,0,0,1700568854
1,50.2305,6.62997,0,0,1700568854
1,50.2541,6.641,0,0,1700568854
1,50.2705,6.6462,0,0,1700568854
1,50.2537,6.65428,0,0,1700568854
1,50.2059,6.66501,0,0,1700568854
1,50.1608,6.69244,0,0,1700568854
1,50.1506,6.68716,0,0,1700568854
1,50.1716,6.70174,0,0,1700568854
1,50.1845,6.6915,0,0,1700568854
1,50.1717,6.6708,0,0,1700568854
1,50.1391,6.64459,0,0,1700568854
1,50.082,6.62702,0,0,1700568854
1,50.0173,6.63083,0,0,1700568854
1,49.9836,6.6422,0,0,1700568854
1,49.9874,6.64767,0,0,1700568854
1,49.9923,6.64454,0,0,1700568854
1,49.9804,6.63458,0,0,1700568854
1,49.975,6.62553,0,0,1700568854
1,49.9878,6.61396,0,0,1700568854
1,50.0052,6.59595,0,0,1700568854
1,49.9998,6.5813,0,0,1700568854
1,49.9661,6.57645,0,0,1700568854
1,49.9464,6.5775,0,0,1700568854
1,49.9494,6.57824,0,0,1700568854
1,49.9443,6.57933,0,0,1700568854
1,49.9395,6.58205,0,0,1700568854
1,49.9514,6.58031,0,0,1700568854
1,49.9687,6.56887,0,0,1700568854
1,49.9876,6.55277,0,0,1700568854
1,50.0091,6.54237,0,0,1700568854
1,50.0224,6.54056,0,0,1700568854
1,50.0202,6.54259,0,0,1700568854
1,50.0106,6.5464,0,0,1700568854
1,50.0093,6.55126,0,0,1700568854
1,50.0156,6.55377,0,0,1700568854
1,50.0157,6.55191,0,0,1700568854
1,50.0116,6.55123,0,0,1700568854
1,50.0151,6.56048,0,0,1700568854
1,50.0355,6.57273,0,0,1700568854
1,50.0737,6.57439,0,0,1700568854
1,50.1101,6.57399,0,0,1700568854
1,50.1277,6.58502,0,0,1700568854
1,50.1382,6.60612,0,0,1700568854
1,50.1491,6.62864,0,0,1700568854
1,50.1461,6.6364,0,0,1700568854
1,50.1289,6.62282,0,0,1700568854
1,50.1082,6.60255,0,0,1700568854
1,50.0919,6.59067,0,0,1700568854
1,50.0925,6.5959,0,0,1700568854
1,50.1115,6.61485,0,0,1700568854
1,50.1477,6.6253,0,0,1700568854
1,50.2016,6.61473,0,0,1700568854
1,50.2518,6.60227,0,0,1700568854
1,50.2823,6.61072,0,0,1700568854
1,50.3038,6.62816,0,0,1700568854
1,50.3343,6.63084,0,0,1700568854
1,50.3788,6.62551,0,0,1700568854
