Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,63.3327,5.77743,0,0,1700569102
1,47.8135,5.77743,0,0,1700569102
1,47.0583,7.34982,0,0,1700569102
1,47.2079,7.08022,0,0,1700569102
1,47.1695,6.92993,0,0,1700569102
1,47.3335,6.39763,0,0,1700569102
1,47.2169,5.75225,0,0,1700569102
1,46.7529,5.45995,0,0,1700569102
1,46.4437,5.54601,0,0,1700569102
1,46.4989,5.67539,0,0,1700569102
1,46.5988,5.68791,0,0,1700569102
1,46.5078,5.63575,0,0,1700569102
1,46.3883,5.71368,0,0,1700569102
1,46.3876,6.06823,0,0,1700569102
1,46.4513,6.41666,0,0,1700569102
1,46.4738,6.48492,0,0,1700569102
1,46.3083,6.43715,0,0,1700569102
1,45.92,6.46791,0,0,1700569102
1,45.468,6.54124,0,0,1700569102
1,45.0906,6.57354,0,0,1700569102
1,44.9028,6.57356,0,0,1700569102
1,44.9515,6.57717,0,0,1700569102
1,45.0939,6.62984,0,0,1700569102
1,45.2497,6.73384,0,0,1700569102
1,45.4736,6.83036,0,0,1700569102
1,45.7951,6.91223,0,0,1700569102
1,46.1843,6.95149,0,0,1700569102
1,46.4546,6.95394,0,0,1700569102
1,46.4836,6.98712,0,0,1700569102
1,46.459,6.99988,0,0,1700569102
1,46.5029,6.95008,0,0,1700569102
1,46.5174,6.8886,0,0,1700569102
1,46.4896,6.81519,0,0,1700569102
1,46.4734,6.75501,0,0,1700569102
1,46.4654,6.76611,0,0,1700569102
1,46.4548,6.7978,0,0,1700569102
1,46.4102,6.81916,0,0,1700569102
1,46.3617,6.85422,0,0,1700569102
1,46.3615,6.88594,0,0,1700569102
1,46.3749,6.93284,0,0,1700569102
1,46.4071,6.98997,0,0,1700569102
1,46.4095,7.04449,0,0,1700569102
1,46.298,7.18742,0,0,1700569102
1,46.2313,7.15537,0,0,1700569102
1,46.3474,7.12475,0,0,1700569102
1,46.5292,7.16211,0,0,1700569102
1,46.6667,7.17489,0,0,1700569102
1,46.7687,7.20853,0,0,1700569102
1,46.8563,7.26325,0,0,1700569102
1,46.912,7.35607,0,0,1700569102
1,46.9306,7.44068,0,0,1700569102
1,46.9378,7.4769,0,0,1700569102
1,46.9508,7.4876,0,0,1700569102
1,46.978,7.49168,0,0,1700569102
1,46.9985,7.51334,0,0,1700569102
1,47.001,7.541,0,0,1700569102
1,47.0244,7.54611,0,0,1700569102
1,47.0847,7.53625,0,0,1700569102
1,47.1779,7.49109,0,0,1700569102
1,47.2939,7.40151,0,0,1700569102
1,47.4105,7.30807,0,0,1700569102
1,47.5192,7.2287,0,0,1700569102
1,47.5819,7.14973,0,0,1700569102
1,47.5467,7.06423,0,0,1700569102
1,47.4496,6.99747,0,0,1700569102
1,47.3816,6.98995,0,0,1700569102
1,47.3946,7.05307,0,0,1700569102
1,47.4617,7.03431,0,0,1700569102
1,47.5293,7.01609,0,0,1700569102
1,47.5867,7.09032,0,0,1700569102
1,47.6167,7.11033,0,0,1700569102
1,47.6234,7.13613,0,0,1700569102
1,47.6394,7.16236,0,0,1700569102
1,47.6635,7.16793,0,0,1700569102
1,47.7137,7.18031,0,0,1700569102
1,47.776,7.18243,0,0,1700569102
1,47.8097,7.14758,0,0,1700569102
1,47.8461,7.11183,0,0,1700569102
1,47.8993,7.08921,0,0,1700569102
1,47.9331,7.05805,0,0,1700569102
1,47.9326,7.01379,0,0,1700569102
1,47.9107,6.97722,0,0,1700569102
1,47.9036,6.98329,0,0,1700569102
1,47.9521,7.01873,0,0,1700569102
1,48.0071,7.03421,0,0,1700569102
1,48.0016,7.0242,0,0,1700569102
1,47.9657,6.99666,0,0,1700569102
1,47.911,6.96879,0,0,1700569102
1,47.8397,6.97067,0,0,1700569102
1,47.7963,6.99543,0,0,1700569102
1,47.7815,7.03308,0,0,1700569102
1,47.7576,7.06996,0,0,1700569102
1,47.7026,7.07578,0,0,1700569102
1,47.6331,7.04873,0,0,1700569102
1,47.5777,7.0025,0,0,1700569102
1,47.5639,6.94799,0,0,1700569102
1,47.5914,6.90415,0,0,1700569102
1,47.615,6.88482,0,0,1700569102
1,47.6308,6.88076,0,0,1700569102
1,47.6618,6.88504,0,0,1700569102
1,47.6859,6.90279,0,0,1700569102
1,47.705,6.93228,0,0,1700569102
1,47.7396,6.96604,0,0,1700569102
1,47.7524,6.98419,0,0,1700569102
1,47.7383,6.97961,0,0,1700569102
1,47.7403,6.97107,0,0,1700569102
1,47.7452,6.96196,0,0,1700569102
1,47.7416,6.95737,0,0,1700569102
1,47.7572,6.97798,0,0,1700569102
1,47.7814,7.01676,0,0,1700569102
1,47.7811,7.05221,0,0,1700569102
1,47.7628,7.07554,0,0,1700569102
1,47.7551,7.08774,0,0,1700569102
1,47.7459,7.10382,0,0,1700569102
1,47.7099,7.12977,0,0,1700569102
1,47.6619,7.15063,0,0,1700569102
1,47.6208,7.17083,0,0,1700569102
1,47.5946,7.20187,0,0,1700569102
1,47.5891,7.21412,0,0,1700569102
1,47.6029,7.18315,0,0,1700569102
1,47.635,7.13374,0,0,1700569102
1,47.6693,7.08761,0,0,1700569102
1,47.6873,7.04546,0,0,1700569102
1,47.7072,7.01706,0,0,1700569102
1,47.7695,7.01072,0,0,1700569102
1,47.8748,7.0183,0,0,1700569102
1,47.9731,7.02515,0,0,1700569102
1,48.0217,7.02507,0,0,1700569102
1,48.0141,7.02448,0,0,1700569102
1,47.9883,7.01876,0,0,1700569102
1,47.9845,7.00753,0,0,1700569102
1,47.998,7.00553,0,0,1700569102
1,48.011,7.00077,0,0,1700569102
1,48.0022,6.98037,0,0,1700569102
1,47.9671,6.95676,0,0,1700569102
1,47.9351,6.94457,0,0,1700569102
1,47.9238,6.95425,0,0,1700569102
1,47.929,6.98161,0,0,1700569102
1,47.9277,7.01258,0,0,1700569102
1,47.9152,7.03016,0,0,1700569102
1,47.9314,7.04155,0,0,1700569102
1,47.9841,7.07553,0,0,1700569102
1,48.0385,7.11218,0,0,1700569102
1,48.0858,7.11495,0,0,1700569102
1,48.1433,7.0923,0,0,1700569102
1,48.1984,7.06449,0,0,1700569102
1,48.224,7.05466,0,0,1700569102
1,48.2233,7.07879,0,0,1700569102
1,48.2044,7.10706,0,0,1700569102
1,48.1817,7.10265,0,0,1700569102
1,48.1762,7.07596,0,0,1700569102
1,48.178,7.06076,0,0,1700569102
1,48.173,7.06556,0,0,1700569102
1,48.1676,7.07383,0,0,1700569102
1,48.1579,7.07967,0,0,1700569102
1,48.1375,7.09314,0,0,1700569102
1,48.1321,7.1125,0,0,1700569102
1,48.1439,7.1228,0,0,1700569102
1,48.1331,7.12456,0,0,1700569102
1,48.0977,7.12743,0,0,1700569102
1,48.072,7.13859,0,0,1700569102
1,48.0693,7.16595,0,0,1700569102
1,48.0764,7.19245,0,0,1700569102
1,48.0776,7.19748,0,0,1700569102
1,48.078,7.19372,0,0,1700569102
1,48.0907,7.19293,0,0,1700569102
1,48.103,7.18604,0,0,1700569102
1,48.1075,7.16932,0,0,1700569102
1,48.1262,7.15683,0,0,1700569102
1,48.1617,7.1518,0,0,1700569102
1,48.1945,7.13879,0,0,1700569102
1,48.2263,7.12062,0,0,1700569102
1,48.2602,7.11614,0,0,1700569102
1,48.2705,7.12081,0,0,1700569102
1,48.2523,7.12339,0,0,1700569102
1,48.2427,7.14262,0,0,1700569102
1,48.2537,7.13491,0,0,1700569102
1,48.2742,7.12728,0,0,1700569102
1,48.3111,7.14961,0,0,1700569102
1,48.3483,7.15798,0,0,1700569102
1,48.3542,7.18026,0,0,1700569102
1,48.3385,7.20622,0,0,1700569102
1,48.3188,7.2166,0,0,1700569102
1,48.301,7.22837,0,0,1700569102
1,48.2854,7.2518,0,0,1700569102
1,48.2545,7.26476,0,0,1700569102
1,48.2146,7.25991,0,0,1700569102
1,48.1897,7.25085,0,0,1700569102
1,48.1856,7.24109,0,0,1700569102
1,48.2054,7.22972,0,0,1700569102
1,48.2285,7.22089,0,0,1700569102
1,48.2268,7.21421,0,0,1700569102
1,48.2145,7.19988,0,0,1700569102
1,48.209,7.1785,0,0,1700569102
1,48.1974,7.16558,0,0,1700569102
1,48.1748,7.16844,0,0,1700569102
1,48.1457,7.18459,0,0,1700569102
1,48.1195,7.20015,0,0,1700569102
1,48.1141,7.19602,0,0,1700569102
1,48.1324,7.17952,0,0,1700569102
1,48.1606,7.1745,0,0,1700569102
1,48.167,7.18572,0,0,1700569102
1,48.1448,7.20455,0,0,1700569102
1,48.1345,7.22064,0,0,1700569102
1,48.1423,7.23317,0,0,1700569102
1,48.1428,7.25301,0,0,1700569102
1,48.1327,7.27107,0,0,1700569102
1,48.1116,7.27093,0,0,1700569102
1,48.0827,7.26167,0,0,1700569102
1,48.0662,7.25219,0,0,1700569102
1,48.0669,7.24714,0,0,1700569102
1,48.0656,7.2598,0,0,1700569102
1,48.0557,7.27983,0,0,1700569102
1,48.044,7.28075,0,0,1700569102
1,48.034,7.26438,0,0,1700569102
1,48.0275,7.24905,0,0,1700569102
1,48.0238,7.24176,0,0,1700569102
1,48.0263,7.23932,0,0,1700569102
1,48.0386,7.23571,0,0,1700569102
1,48.0585,7.23465,0,0,1700569102
1,48.0775,7.25108,0,0,1700569102
1,48.0787,7.27992,0,0,1700569102
1,48.0566,7.29445,0,0,1700569102
1,48.0285,7.29219,0,0,1700569102
1,48.0095,7.28965,0,0,1700569102
1,47.9923,7.28874,0,0,1700569102
1,47.9687,7.28778,0,0,1700569102
1,47.953,7.2882,0,0,1700569102
1,47.9661,7.28523,0,0,1700569102
1,48.0065,7.27423,0,0,1700569102
1,48.0472,7.25832,0,0,1700569102
1,48.0666,7.24798,0,0,1700569102
1,48.0724,7.25209,0,0,1700569102
1,48.0772,7.26793,0,0,1700569102
1,48.085,7.28086,0,0,1700569102
1,48.0991,7.27818,0,0,1700569102
1,48.1131,7.26693,0,0,1700569102
1,48.117,7.25974,0,0,1700569102
1,48.105,7.25597,0,0,1700569102
1,48.0868,7.25484,0,0,1700569102
1,48.0873,7.25579,0,0,1700569102
1,48.0999,7.25191,0,0,1700569102
1,48.0967,7.24951,0,0,1700569102
1,48.093,7.26146,0,0,1700569102
1,48.12,7.27715,0,0,1700569102
1,48.1691,7.27614,0,0,1700569102
1,48.2104,7.2623,0,0,1700569102
1,48.2313,7.25225,0,0,1700569102
1,48.2413,7.24422,0,0,1700569102
1,48.2507,7.22887,0,0,1700569102
1,48.2507,7.21141,0,0,1700569102
1,48.2374,7.19768,0,0,1700569102
1,48.2312,7.18655,0,0,1700569102
1,48.242,7.17901,0,0,1700569102
1,48.2546,7.174,0,0,1700569102
