Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,63.4055,5.77697,0,0,1700569364
1,44.5737,5.77697,0,0,1700569364
1,43.7376,7.73812,0,0,1700569364
1,45.7625,7.31217,0,0,1700569364
1,47.8684,7.06173,0,0,1700569364
1,48.9173,7.15111,0,0,1700569364
1,48.8448,7.81706,0,0,1700569364
1,48.2955,7.56205,0,0,1700569364
1,47.864,7.36371,0,0,1700569364
1,47.8008,7.73005,0,0,1700569364
1,48.0222,7.67892,0,0,1700569364
1,48.2726,7.48608,0,0,1700569364
1,48.1765,7.24022,0,0,1700569364
1,47.6674,6.9297,0,0,1700569364
1,47.2138,6.62987,0,0,1700569364
1,47.2762,6.41925,0,0,1700569364
1,47.7758,6.25083,0,0,1700569364
1,48.2266,6.12233,0,0,1700569364
1,48.3814,6.10838,0,0,1700569364
1,48.4063,6.20182,0,0,1700569364
1,48.5169,6.30358,0,0,1700569364
1,48.85,6.3171,0,0,1700569364
1,49.3079,6.21267,0,0,1700569364
1,49.6393,6.0531,0,0,1700569364
1,49.894,5.91135,0,0,1700569364
1,50.232,5.80987,0,0,1700569364
1,50.5368,5.76689,0,0,1700569364
1,50.6401,5.7472,0,0,1700569364
1,50.5748,5.67003,0,0,1700569364
1,50.4484,5.56181,0,0,1700569364
1,50.2959,5.51096,0,0,1700569364
1,50.1754,5.53897,0,0,1700569364
1,50.1573,5.61568,0,0,1700569364
1,50.1996,5.67946,0,0,1700569364
1,50.2822,5.66501,0,0,1700569364
1,50.4718,5.63273,0,0,1700569364
1,50.7119,5.69512,0,0,1700569364
1,50.881,5.77375,0,0,1700569364
1,51.0178,5.75816,0,0,1700569364
1,51.1799,5.7044,0,0,1700569364
1,51.3197,5.66715,0,0,1700569364
1,51.3862,5.65131,0,0,1700569364
1,51.3323,5.66717,0,0,1700569364
1,51.1889,5.69378,0,0,1700569364
1,51.0893,5.71673,0,0,1700569364
1,51.0658,5.76283,0,0,1700569364
1,51.0188,5.85051,0,0,1700569364
1,50.8781,5.95318,0,0,1700569364
1,50.6312,6.05297,0,0,1700569364
1,50.3377,6.15141,0,0,1700569364
1,50.114,6.24577,0,0,1700569364
1,50.0164,6.34322,0,0,1700569364
1,50.0824,6.39528,0,0,1700569364
1,50.3145,6.37039,0,0,1700569364
1,50.5361,6.36315,0,0,1700569364
1,50.5981,6.41465,0,0,1700569364
1,50.608,6.45187,0,0,1700569364
1,50.6754,6.43658,0,0,1700569364
1,50.7282,6.39214,0,0,1700569364
1,50.7319,6.35018,0,0,1700569364
1,50.7156,6.34618,0,0,1700569364
1,50.6326,6.4099,0,0,1700569364
1,50.4495,6.48661,0,0,1700569364
1,50.2251,6.49738,0,0,1700569364
1,50.0588,6.46355,0,0,1700569364
1,49.9867,6.43019,0,0,1700569364
1,49.9482,6.3935,0,0,1700569364
1,49.8917,6.33934,0,0,1700569364
1,49.8458,6.27428,0,0,1700569364
1,49.915,6.23816,0,0,1700569364
1,50.1108,6.25201,0,0,1700569364
1,50.2627,6.27577,0,0,1700569364
1,50.2875,6.27024,0,0,1700569364
1,50.2764,6.24857,0,0,1700569364
1,50.2892,6.24112,0,0,1700569364
1,50.2815,6.25959,0,0,1700569364
1,50.1944,6.28567,0,0,1700569364
1,50.078,6.28836,0,0,1700569364
1,50.0253,6.26991,0,0,1700569364
1,50.0195,6.26405,0,0,1700569364
1,50.011,6.27879,0,0,1700569364
1,50.0064,6.29245,0,0,1700569364
1,49.993,6.32177,0,0,1700569364
1,49.9379,6.37898,0,0,1700569364
1,49.8693,6.41533,0,0,1700569364
1,49.8303,6.41644,0,0,1700569364
1,49.8003,6.41331,0,0,1700569364
1,49.7566,6.40396,0,0,1700569364
1,49.7241,6.38195,0,0,1700569364
1,49.7223,6.36651,0,0,1700569364
1,49.7405,6.35666,0,0,1700569364
1,49.7546,6.33535,0,0,1700569364
1,49.7538,6.31078,0,0,1700569364
1,49.7748,6.28831,0,0,1700569364
1,49.8526,6.26567,0,0,1700569364
