Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,56.5511,6.61961,0,0,1700575235
1,44.5987,6.61961,0,0,1700575235
1,44.3146,8.24601,0,0,1700575235
1,44.5822,8.20016,0,0,1700575235
1,44.5023,8.50075,0,0,1700575235
1,44.8808,8.64403,0,0,1700575235
1,45.7842,8.55855,0,0,1700575235
1,46.771,8.27318,0,0,1700575235
1,47.3962,7.83609,0,0,1700575235
1,47.5798,7.54185,0,0,1700575235
1,47.4077,7.78265,0,0,1700575235
1,47.1385,8.32674,0,0,1700575235
1,47.1952,8.6054,0,0,1700575235
1,47.3,8.66344,0,0,1700575235
1,47.0251,8.86309,0,0,1700575235
1,46.6711,9.09829,0,0,1700575235
1,46.4131,9.06314,0,0,1700575235
1,46.1281,8.8031,0,0,1700575235
1,45.9213,8.56789,0,0,1700575235
1,45.933,8.45762,0,0,1700575235
1,46.0393,8.37925,0,0,1700575235
1,45.9838,8.27066,0,0,1700575235
1,45.8263,8.14835,0,0,1700575235
1,45.8459,7.99566,0,0,1700575235
1,46.0038,7.94065,0,0,1700575235
1,46.0625,8.09993,0,0,1700575235
1,45.9959,8.23077,0,0,1700575235
1,46.035,8.20988,0,0,1700575235
1,46.2833,8.24027,0,0,1700575235
1,46.4991,8.30247,0,0,1700575235
1,46.5384,8.22685,0,0,1700575235
1,46.5094,8.1044,0,0,1700575235
1,46.4704,8.0744,0,0,1700575235
1,46.408,8.05666,0,0,1700575235
1,46.3723,8.04218,0,0,1700575235
1,46.4125,8.17822,0,0,1700575235
1,46.4664,8.1361,0,0,1700575235
1,46.5152,8.09619,0,0,1700575235
1,46.6106,8.15332,0,0,1700575235
1,46.7074,8.09499,0,0,1700575235
1,46.7248,8.01187,0,0,1700575235
1,46.7059,7.96791,0,0,1700575235
1,46.8083,7.95305,0,0,1700575235
1,47.0232,7.93542,0,0,1700575235
1,47.1424,7.94119,0,0,1700575235
1,47.0961,7.97572,0,0,1700575235
1,47.0483,8.00048,0,0,1700575235
1,47.1218,7.99669,0,0,1700575235
1,47.2027,7.98244,0,0,1700575235
1,47.1283,8.00063,0,0,1700575235
1,46.8766,8.01814,0,0,1700575235
