Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,83.4547,4.36175,0,0,1700575652
1,83.4547,4.36175,0,0,1700575652
1,81.3192,4.36175,0,0,1700575652
1,82.4122,4.64385,0,0,1700575652
1,82.6444,4.51288,0,0,1700575652
1,82.2576,4.2579,0,0,1700575652
1,82.0217,4.23988,0,0,1700575652
1,82.3146,4.36106,0,0,1700575652
1,82.5341,4.42589,0,0,1700575652
1,82.6036,4.35496,0,0,1700575652
1,82.8919,4.24576,0,0,1700575652
1,83.326,4.26893,0,0,1700575652
1,83.7167,4.29265,0,0,1700575652
1,84.0389,4.17015,0,0,1700575652
1,84.4416,4.07806,0,0,1700575652
1,84.926,4.11779,0,0,1700575652
1,85.3629,4.14565,0,0,1700575652
1,85.8825,4.10665,0,0,1700575652
1,86.3602,4.08056,0,0,1700575652
1,86.4709,4.06235,0,0,1700575652
1,86.3926,3.99392,0,0,1700575652
1,86.293,3.94482,0,0,1700575652
1,86.0043,3.99601,0,0,1700575652
1,85.636,4.04627,0,0,1700575652
1,85.4227,4.02018,0,0,1700575652
1,85.3678,3.98208,0,0,1700575652
1,85.391,3.95826,0,0,1700575652
1,85.3841,3.93263,0,0,1700575652
1,85.3648,3.93018,0,0,1700575652
1,85.4224,3.97353,0,0,1700575652
1,85.4916,3.99747,0,0,1700575652
1,85.4723,3.94462,0,0,1700575652
1,85.3103,3.85965,0,0,1700575652
1,85.0573,3.79306,0,0,1700575652
1,84.894,3.76176,0,0,1700575652
1,84.9223,3.75077,0,0,1700575652
1,85.0231,3.7173,0,0,1700575652
1,85.0003,3.65779,0,0,1700575652
1,84.8687,3.59925,0,0,1700575652
1,84.8188,3.5686,0,0,1700575652
1,84.8801,3.59119,0,0,1700575652
1,84.9118,3.63039,0,0,1700575652
1,84.8584,3.64176,0,0,1700575652
1,84.7298,3.67551,0,0,1700575652
1,84.5187,3.77286,0,0,1700575652
1,84.2769,3.88029,0,0,1700575652
1,84.1136,3.92778,0,0,1700575652
1,84.0771,3.91476,0,0,1700575652
1,84.0907,3.89012,0,0,1700575652
1,84.1239,3.87994,0,0,1700575652
1,84.2381,3.87797,0,0,1700575652
1,84.3915,3.86486,0,0,1700575652
1,84.5527,3.83767,0,0,1700575652
1,84.7813,3.80952,0,0,1700575652
1,84.9946,3.78172,0,0,1700575652
1,85.0729,3.76798,0,0,1700575652
1,85.0728,3.78858,0,0,1700575652
1,85.0587,3.83002,0,0,1700575652
1,85.0549,3.8626,0,0,1700575652
1,85.1291,3.88187,0,0,1700575652
1,85.2489,3.90099,0,0,1700575652
1,85.3086,3.91063,0,0,1700575652
1,85.2933,3.90672,0,0,1700575652
1,85.235,3.92557,0,0,1700575652
1,85.1979,3.96999,0,0,1700575652
1,85.2417,3.99514,0,0,1700575652
1,85.2868,3.99751,0,0,1700575652
1,85.2293,3.99655,0,0,1700575652
1,85.1107,3.98418,0,0,1700575652
1,84.999,3.95901,0,0,1700575652
1,84.926,3.93414,0,0,1700575652
1,84.96,3.91662,0,0,1700575652
1,85.0863,3.91528,0,0,1700575652
1,85.1901,3.92961,0,0,1700575652
1,85.2567,3.9427,0,0,1700575652
1,85.3316,3.95513,0,0,1700575652
1,85.3671,3.96936,0,0,1700575652
1,85.2757,3.96387,0,0,1700575652
1,85.0912,3.93376,0,0,1700575652
1,84.9684,3.8956,0,0,1700575652
1,84.9633,3.85898,0,0,1700575652
1,84.9847,3.82957,0,0,1700575652
1,84.9854,3.80546,0,0,1700575652
1,84.9791,3.77869,0,0,1700575652
1,84.962,3.74995,0,0,1700575652
1,84.9431,3.72414,0,0,1700575652
1,84.9222,3.7033,0,0,1700575652
1,84.8866,3.68524,0,0,1700575652
1,84.8645,3.66275,0,0,1700575652
1,84.8764,3.64232,0,0,1700575652
1,84.909,3.64074,0,0,1700575652
1,84.9519,3.65435,0,0,1700575652
1,84.9989,3.67885,0,0,1700575652
1,85.0549,3.71691,0,0,1700575652
1,85.0977,3.74798,0,0,1700575652
1,85.0926,3.75952,0,0,1700575652
1,85.083,3.76864,0,0,1700575652
1,85.0916,3.78686,0,0,1700575652
1,85.0751,3.80975,0,0,1700575652
1,85.0663,3.82704,0,0,1700575652
1,85.1156,3.83767,0,0,1700575652
1,85.1728,3.85164,0,0,1700575652
1,85.1852,3.87262,0,0,1700575652
1,85.1844,3.89965,0,0,1700575652
1,85.2217,3.92475,0,0,1700575652
1,85.2811,3.92938,0,0,1700575652
1,85.2946,3.92383,0,0,1700575652
1,85.2523,3.94083,0,0,1700575652
1,85.2222,3.96983,0,0,1700575652
1,85.2403,3.97967,0,0,1700575652
1,85.2683,3.97403,0,0,1700575652
1,85.2659,3.96296,0,0,1700575652
1,85.2314,3.94353,0,0,1700575652
1,85.1809,3.92551,0,0,1700575652
