Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,83.4547,4.36175,0,0,1700575652
1,83.4547,4.36175,0,0,1700575652
1,77.0482,4.36175,0,0,1700575652
1,85.6914,5.49016,0,0,1700575652
1,83.5731,3.989,0,0,1700575652
1,80.3235,2.983,0,0,1700575652
1,80.6061,4.13179,0,0,1700575652
1,84.3648,5.20932,0,0,1700575652
1,84.2908,4.94447,0,0,1700575652
1,83.2287,3.71667,0,0,1700575652
1,85.7751,3.15366,0,0,1700575652
1,88.1007,4.52379,0,0,1700575652
1,88.405,4.57733,0,0,1700575652
1,88.2279,2.57762,0,0,1700575652
1,90.0792,2.78888,0,0,1700575652
1,92.1915,4.71377,0,0,1700575652
1,92.3541,4.59134,0,0,1700575652
1,94.7151,3.44357,0,0,1700575652
1,94.9597,3.61098,0,0,1700575652
1,88.574,3.71638,0,0,1700575652
1,84.8264,2.6254,0,0,1700575652
1,84.2009,2.91371,0,0,1700575652
1,79.6525,5.12205,0,0,1700575652
1,77.1667,5.20235,0,0,1700575652
1,80.3029,3.39393,0,0,1700575652
1,83.9955,3.02954,0,0,1700575652
1,85.9948,3.33901,0,0,1700575652
1,85.1969,3.2406,0,0,1700575652
1,84.8237,3.86174,0,0,1700575652
1,87.0926,5.23055,0,0,1700575652
1,87.5676,4.71571,0,0,1700575652
1,84.8732,2.30614,0,0,1700575652
1,80.1277,1.14059,0,0,1700575652
1,76.7088,1.59585,0,0,1700575652
1,79.3399,2.69752,0,0,1700575652
1,85.9145,3.3661,0,0,1700575652
1,88.6523,2.51238,0,0,1700575652
1,84.1571,1.45585,0,0,1700575652
1,79.8652,1.37477,0,0,1700575652
1,82.8749,2.3733,0,0,1700575652
1,87.3318,4.49467,0,0,1700575652
1,86.2135,5.23784,0,0,1700575652
1,82.6124,4.11914,0,0,1700575652
1,79.2017,5.12668,0,0,1700575652
1,75.228,8.05614,0,0,1700575652
1,73.3989,8.71499,0,0,1700575652
1,76.6029,6.11232,0,0,1700575652
1,82.3607,3.30256,0,0,1700575652
1,84.7439,2.70774,0,0,1700575652
1,85.7502,3.38077,0,0,1700575652
1,89.9489,3.77967,0,0,1700575652
1,92.2127,3.19607,0,0,1700575652
1,92.9336,2.42401,0,0,1700575652
1,96.8998,2.31746,0,0,1700575652
1,96.5127,2.28045,0,0,1700575652
1,89.3759,3.0123,0,0,1700575652
1,85.0708,4.94224,0,0,1700575652
1,84.2528,6.19234,0,0,1700575652
1,84.8366,5.75221,0,0,1700575652
1,89.5057,5.01849,0,0,1700575652
1,92.4344,5.04827,0,0,1700575652
1,88.9531,4.49859,0,0,1700575652
1,84.3456,3.66439,0,0,1700575652
1,81.5632,5.1132,0,0,1700575652
1,82.823,6.81269,0,0,1700575652
1,88.0869,5.62982,0,0,1700575652
1,88.2609,4.15422,0,0,1700575652
1,81.3784,3.93197,0,0,1700575652
1,77.0449,3.1433,0,0,1700575652
1,77.2903,2.22194,0,0,1700575652
1,79.8224,2.19344,0,0,1700575652
1,87.3676,2.67251,0,0,1700575652
1,94.1821,3.81868,0,0,1700575652
1,92.7705,4.97582,0,0,1700575652
1,90.1845,4.91137,0,0,1700575652
1,90.9496,4.8871,0,0,1700575652
1,88.0614,5.05157,0,0,1700575652
1,78.2383,3.5408,0,0,1700575652
1,70.7039,1.58548,0,0,1700575652
1,75.2682,0.880771,0,0,1700575652
1,84.5539,0.928874,0,0,1700575652
1,86.7137,1.44745,0,0,1700575652
1,85.0482,1.82906,0,0,1700575652
1,84.4545,1.55686,0,0,1700575652
1,83.5266,1.33514,0,0,1700575652
1,83.3333,1.53047,0,0,1700575652
1,83.1209,1.91087,0,0,1700575652
1,81.7938,2.1145,0,0,1700575652
1,82.9223,1.68349,0,0,1700575652
1,85.9331,1.82421,0,0,1700575652
1,87.8397,3.49816,0,0,1700575652
1,88.8609,4.89281,0,0,1700575652
1,89.3223,5.93325,0,0,1700575652
1,90.263,7.25644,0,0,1700575652
1,89.1161,6.66793,0,0,1700575652
1,84.6124,4.85644,0,0,1700575652
1,84.1604,4.64394,0,0,1700575652
1,85.9271,5.55384,0,0,1700575652
1,83.4595,6.05298,0,0,1700575652
1,84.1865,5.53929,0,0,1700575652
1,90.0521,4.90027,0,0,1700575652
1,90.9515,5.26242,0,0,1700575652
1,86.4453,6.01301,0,0,1700575652
1,85.1002,6.68418,0,0,1700575652
1,89.103,6.53461,0,0,1700575652
1,91.5187,4.41564,0,0,1700575652
1,86.7284,3.33596,0,0,1700575652
1,80.7265,5.75906,0,0,1700575652
1,81.9644,7.10186,0,0,1700575652
1,87.2171,5.0522,0,0,1700575652
1,88.3468,3.35426,0,0,1700575652
1,84.9983,2.73363,0,0,1700575652
1,81.3731,1.76777,0,0,1700575652
1,79.4743,1.88956,0,0,1700575652
