Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,82.017,4.71558,0,0,1700575705
1,82.017,4.71558,0,0,1700575705
1,76.3139,4.71558,0,0,1700575705
1,76.0937,3.84749,0,0,1700575705
1,76.4081,3.25184,0,0,1700575705
1,76.6792,2.89958,0,0,1700575705
1,76.979,2.90337,0,0,1700575705
1,77.5934,3.08248,0,0,1700575705
1,78.2556,3.18695,0,0,1700575705
1,78.6808,3.3323,0,0,1700575705
1,78.9301,3.59513,0,0,1700575705
1,78.9645,3.77675,0,0,1700575705
1,78.907,3.83055,0,0,1700575705
1,79.124,3.86515,0,0,1700575705
1,79.6036,3.98395,0,0,1700575705
1,80.2455,4.18314,0,0,1700575705
1,80.9137,4.25989,0,0,1700575705
1,81.2328,4.18518,0,0,1700575705
1,81.3594,4.15462,0,0,1700575705
1,81.695,4.176,0,0,1700575705
1,82.0969,4.17329,0,0,1700575705
1,82.4271,4.23705,0,0,1700575705
1,82.7206,4.39742,0,0,1700575705
1,82.759,4.50103,0,0,1700575705
1,82.4881,4.47488,0,0,1700575705
1,82.206,4.38584,0,0,1700575705
1,82.0691,4.29517,0,0,1700575705
1,82.0328,4.23854,0,0,1700575705
1,82.0469,4.2293,0,0,1700575705
1,82.1494,4.28122,0,0,1700575705
1,82.3702,4.40047,0,0,1700575705
1,82.6042,4.51772,0,0,1700575705
1,82.8145,4.55497,0,0,1700575705
1,82.974,4.51019,0,0,1700575705
1,82.9408,4.45071,0,0,1700575705
1,82.7578,4.45274,0,0,1700575705
1,82.5855,4.48297,0,0,1700575705
1,82.419,4.47112,0,0,1700575705
1,82.2292,4.4501,0,0,1700575705
1,82.0531,4.46029,0,0,1700575705
1,81.9348,4.48236,0,0,1700575705
1,81.9905,4.50233,0,0,1700575705
1,82.2034,4.51848,0,0,1700575705
1,82.3819,4.51204,0,0,1700575705
1,82.5044,4.49366,0,0,1700575705
1,82.6006,4.49784,0,0,1700575705
1,82.6001,4.49453,0,0,1700575705
1,82.528,4.45067,0,0,1700575705
1,82.4902,4.4117,0,0,1700575705
1,82.5198,4.42449,0,0,1700575705
1,82.5228,4.46995,0,0,1700575705
1,82.4191,4.50515,0,0,1700575705
1,82.2564,4.52686,0,0,1700575705
1,82.1194,4.55897,0,0,1700575705
1,82.0602,4.61079,0,0,1700575705
1,82.0647,4.65857,0,0,1700575705
1,82.108,4.66326,0,0,1700575705
1,82.2013,4.6408,0,0,1700575705
1,82.2834,4.63478,0,0,1700575705
1,82.2542,4.62542,0,0,1700575705
1,82.168,4.58822,0,0,1700575705
1,82.1558,4.54402,0,0,1700575705
1,82.1962,4.50344,0,0,1700575705
1,82.2056,4.46788,0,0,1700575705
1,82.1849,4.44389,0,0,1700575705
1,82.1449,4.44102,0,0,1700575705
1,82.0968,4.47003,0,0,1700575705
1,82.0568,4.50536,0,0,1700575705
1,82.0279,4.51679,0,0,1700575705
1,82.0194,4.51964,0,0,1700575705
1,81.9846,4.52158,0,0,1700575705
1,81.8907,4.50483,0,0,1700575705
1,81.8157,4.48773,0,0,1700575705
1,81.7928,4.49595,0,0,1700575705
1,81.7563,4.51143,0,0,1700575705
1,81.6848,4.51682,0,0,1700575705
1,81.6227,4.50644,0,0,1700575705
1,81.6157,4.47739,0,0,1700575705
1,81.6447,4.44964,0,0,1700575705
1,81.6269,4.44465,0,0,1700575705
1,81.5464,4.4612,0,0,1700575705
1,81.4679,4.48655,0,0,1700575705
1,81.4178,4.51907,0,0,1700575705
1,81.3871,4.55471,0,0,1700575705
1,81.3452,4.56936,0,0,1700575705
1,81.2531,4.55328,0,0,1700575705
1,81.1449,4.52045,0,0,1700575705
1,81.0811,4.48637,0,0,1700575705
1,81.0618,4.461,0,0,1700575705
1,81.0706,4.45985,0,0,1700575705
1,81.1097,4.48628,0,0,1700575705
1,81.1784,4.50658,0,0,1700575705
1,81.2508,4.50736,0,0,1700575705
1,81.2729,4.50721,0,0,1700575705
1,81.2313,4.51082,0,0,1700575705
1,81.1821,4.52132,0,0,1700575705
1,81.1575,4.53031,0,0,1700575705
1,81.1441,4.51997,0,0,1700575705
1,81.1527,4.49911,0,0,1700575705
1,81.2137,4.49265,0,0,1700575705
1,81.3257,4.50991,0,0,1700575705
1,81.4291,4.52466,0,0,1700575705
