Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,94.3487,5.67994,0,0,1700575771
1,94.3487,5.67994,0,0,1700575772
1,94.3487,18.268,0,0,1700575772
1,58.7791,17.5367,0,0,1700575772
1,78.4343,31.6618,0,0,1700575772
1,68.1175,11.9327,0,0,1700575772
1,62.7768,8.44249,0,0,1700575772
1,44.8545,8.80773,0,0,1700575772
1,66.3367,0.979075,0,0,1700575772
1,57.6878,12.0862,0,0,1700575772
1,79.0097,15.8618,0,0,1700575772
1,61.5954,1.79914,0,0,1700575772
1,68.5955,22.826,0,0,1700575772
1,50.0445,24.2571,0,0,1700575772
1,74.4544,29.8447,0,0,1700575772
1,67.8289,9.86495,0,0,1700575772
1,74.589,2.16873,0,0,1700575772
1,39.316,13.8348,0,0,1700575772
1,87.2655,3.14953,0,0,1700575772
1,73.5727,20.0212,0,0,1700575772
1,79.847,11.8675,0,0,1700575772
1,75.1098,7.33652,0,0,1700575772
1,64.041,5.90604,0,0,1700575772
1,58.3019,9.05737,0,0,1700575772
1,63.5914,0.526799,0,0,1700575772
1,91.7025,12.2291,0,0,1700575772
1,60.7065,20.9139,0,0,1700575772
1,79.5282,23.6049,0,0,1700575772
1,62.9658,11.3079,0,0,1700575772
1,58.8429,23.6468,0,0,1700575772
1,57.6304,7.83801,0,0,1700575772
1,57.657,13.3783,0,0,1700575772
1,71.689,6.89081,0,0,1700575772
1,77.8924,1.74163,0,0,1700575772
1,103.385,1.30976,0,0,1700575772
1,56.1203,12.1189,0,0,1700575772
1,91.338,1.96052,0,0,1700575772
1,68.5441,27.6143,0,0,1700575772
1,71.8183,4.32455,0,0,1700575772
1,87.3146,10.6837,0,0,1700575772
1,75.6217,8.33613,0,0,1700575772
1,77.8647,25.0376,0,0,1700575772
1,81.3335,18.4014,0,0,1700575772
1,67.2614,1.2818,0,0,1700575772
1,60.185,0.442703,0,0,1700575772
1,66.1391,2.83693,0,0,1700575772
1,55.067,9.25303,0,0,1700575772
1,62.2576,8.02641,0,0,1700575772
1,61.7116,15.9052,0,0,1700575772
1,64.0217,2.67885,0,0,1700575772
1,69.9766,8.99223,0,0,1700575772
1,68.128,5.55291,0,0,1700575772
1,60.3422,3.95316,0,0,1700575772
1,59.294,12.5903,0,0,1700575772
1,53.5383,5.0515,0,0,1700575772
1,52.8343,5.26415,0,0,1700575772
1,70.0831,6.68226,0,0,1700575772
1,74.6854,1.75711,0,0,1700575772
1,70.818,12.9504,0,0,1700575772
1,74.0373,11.9508,0,0,1700575772
1,55.0546,0.274419,0,0,1700575772
1,72.7485,0.540352,0,0,1700575772
1,60.7864,1.23376,0,0,1700575772
1,68.111,10.0772,0,0,1700575772
1,79.9904,8.39816,0,0,1700575772
1,107.82,20.7857,0,0,1700575772
1,72.591,16.5744,0,0,1700575772
1,74.6629,9.26729,0,0,1700575772
1,71.2023,6.0967,0,0,1700575772
1,45.6177,3.07354,0,0,1700575772
1,61.2863,5.8197,0,0,1700575772
1,65.7701,16.7034,0,0,1700575772
1,69.738,20.7947,0,0,1700575772
1,75.1287,3.43939,0,0,1700575772
