Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,59.4819,4.60072,0,0,1700575902
1,64.1794,9.43236,0,0,1700575902
1,67.6283,0.0447441,0,0,1700575902
1,66.1132,7.28797,0,0,1700575902
1,70.3932,25.7454,0,0,1700575902
1,70.3174,22.5876,0,0,1700575902
1,83.2983,1.23762,0,0,1700575902
1,80.3298,0.518817,0,0,1700575902
1,61.0658,7.70812,0,0,1700575902
1,74.9046,18.7431,0,0,1700575902
1,67.4174,4.73419,0,0,1700575902
1,66.371,5.21761,0,0,1700575902
1,72.9266,9.34773,0,0,1700575902
1,84.0897,4.28888,0,0,1700575902
1,75.0722,6.60854,0,0,1700575902
1,73.1343,11.6462,0,0,1700575902
1,68.9145,18.7182,0,0,1700575902
1,61.5898,1.76981,0,0,1700575902
1,75.9469,0.211915,0,0,1700575902
1,69.0605,0.568165,0,0,1700575902
1,69.8524,12.6915,0,0,1700575902
1,54.4582,9.53547,0,0,1700575902
1,51.6093,4.63849,0,0,1700575902
1,61.3582,12.4586,0,0,1700575902
1,67.127,2.3128,0,0,1700575902
1,78.7812,14.4678,0,0,1700575902
1,83.6917,11.1555,0,0,1700575902
1,67.6572,5.59065,0,0,1700575902
1,77.1466,14.7508,0,0,1700575902
1,64.7616,21.049,0,0,1700575902
1,88.7987,16.0228,0,0,1700575902
1,71.4716,2.91109,0,0,1700575902
1,49.1803,10.9791,0,0,1700575902
1,55.9451,14.5807,0,0,1700575902
1,71.3124,14.7077,0,0,1700575902
1,61.1136,13.3623,0,0,1700575902
1,56.505,0.430341,0,0,1700575902
1,70.7516,7.32694,0,0,1700575902
1,71.6344,23.0316,0,0,1700575902
1,67.0977,2.62864,0,0,1700575902
1,70.8484,0.152151,0,0,1700575902
1,61.6754,16.36,0,0,1700575902
1,103.78,12.2535,0,0,1700575902
1,72.873,18.6396,0,0,1700575902
1,76.0684,9.37107,0,0,1700575902
1,70.401,5.24369,0,0,1700575902
1,99.0296,11.5754,0,0,1700575902
1,81.453,10.9482,0,0,1700575902
1,90.4245,1.7778,0,0,1700575902
1,83.7125,25.2341,0,0,1700575902
1,68.2562,27.8028,0,0,1700575902
1,63.7304,23.373,0,0,1700575902
1,71.235,17.6216,0,0,1700575902
1,60.842,12.4427,0,0,1700575902
1,64.79,5.67144,0,0,1700575902
1,72.3213,7.51335,0,0,1700575902
1,81.3472,2.39516,0,0,1700575902
1,75.6466,3.84544,0,0,1700575902
1,73.6348,10.8909,0,0,1700575902
1,64.343,1.11941,0,0,1700575902
1,56.0977,18.0234,0,0,1700575902
1,67.6904,8.77221,0,0,1700575902
1,77.7911,14.398,0,0,1700575902
1,63.6075,6.13148,0,0,1700575902
1,51.3287,2.46767,0,0,1700575902
1,66.2546,1.11634,0,0,1700575902
1,64.1173,8.25692,0,0,1700575902
1,77.6329,17.1468,0,0,1700575902
1,87.7898,14.5386,0,0,1700575902
1,59.2788,2.22481,0,0,1700575902
1,64.0778,2.34128,0,0,1700575902
1,81.2119,5.45169,0,0,1700575902
1,69.9303,13.3027,0,0,1700575902
1,64.9943,9.60619,0,0,1700575902
1,62.76,12.8429,0,0,1700575902
1,79.5325,0.664823,0,0,1700575902
1,78.882,9.11687,0,0,1700575902
1,74.2549,24.3047,0,0,1700575902
1,41.6858,4.01324,0,0,1700575902
1,83.8767,5.83366,0,0,1700575902
1,87.2591,7.83563,0,0,1700575902
1,79.2175,5.86342,0,0,1700575902
1,70.5243,10.4749,0,0,1700575902
1,68.7692,0.844547,0,0,1700575902
1,85.3153,1.02019,0,0,1700575902
1,71.5449,8.83101,0,0,1700575902
1,86.1493,12.1156,0,0,1700575902
1,56.0645,15.6051,0,0,1700575902
1,80.5485,27.427,0,0,1700575902
1,66.9271,4.43256,0,0,1700575902
1,66.2318,21.5673,0,0,1700575902
1,58.5021,0.1959,0,0,1700575902
1,84.425,9.95492,0,0,1700575902
1,74.0986,23.1087,0,0,1700575902
1,68.908,19.9336,0,0,1700575902
1,74.1852,2.23978,0,0,1700575902
1,49.7158,2.23289,0,0,1700575902
1,74.4446,11.3749,0,0,1700575902
1,48.683,5.68288,0,0,1700575902
1,54.7398,4.46699,0,0,1700575902
1,53.5659,6.87436,0,0,1700575902
1,75.577,19.2388,0,0,1700575902
1,71.0913,18.0317,0,0,1700575902
1,80.3249,14.7258,0,0,1700575902
1,61.863,3.83282,0,0,1700575902
1,69.0649,7.17095,0,0,1700575902
1,74.1812,9.52427,0,0,1700575902
1,53.0809,17.0729,0,0,1700575902
1,90.4895,1.5137,0,0,1700575902
1,65.5689,3.11055,0,0,1700575902
1,54.761,22.0445,0,0,1700575902
1,62.7555,6.00537,0,0,1700575902
1,45.7785,5.08347,0,0,1700575902
1,79.052,0.938394,0,0,1700575902
1,69.9254,15.6237,0,0,1700575902
1,67.8986,3.86288,0,0,1700575902
1,81.7281,7.54298,0,0,1700575902
1,62.1249,16.445,0,0,1700575902
1,55.0257,1.86214,0,0,1700575902
1,61.024,9.02887,0,0,1700575902
1,75.267,3.30652,0,0,1700575902
1,82.312,11.4226,0,0,1700575902
1,73.6929,2.85727,0,0,1700575902
1,86.4825,4.02208,0,0,1700575902
1,69.2728,4.01436,0,0,1700575902
1,89.7828,5.75397,0,0,1700575902
1,73.7716,22.1089,0,0,1700575902
1,76.985,18.2126,0,0,1700575902
1,70.0747,10.8498,0,0,1700575902
1,83.681,13.2631,0,0,1700575902
1,73.1325,13.6131,0,0,1700575902
1,68.3336,18.0447,0,0,1700575902
1,67.4557,19.3521,0,0,1700575902
1,58.6547,27.1489,0,0,1700575902
1,74.7293,21.1621,0,0,1700575902
1,79.3508,3.3313,0,0,1700575902
1,85.5665,15.9091,0,0,1700575902
1,82.3641,3.84847,0,0,1700575902
1,61.5148,10.8987,0,0,1700575902
1,74.0446,11.7679,0,0,1700575902
1,65.6759,10.1752,0,0,1700575902
1,82.5925,2.13586,0,0,1700575902
1,89.4984,2.63802,0,0,1700575902
1,85.1999,5.32627,0,0,1700575902
1,55.7777,2.19165,0,0,1700575902
1,75.031,3.77717,0,0,1700575902
1,59.2927,17.0949,0,0,1700575902
1,58.3415,7.17835,0,0,1700575902
1,69.9892,11.5966,0,0,1700575902
1,63.0792,10.286,0,0,1700575902
1,64.2462,2.2558,0,0,1700575902
1,57.3181,5.38232,0,0,1700575902
1,57.9715,5.29604,0,0,1700575902
1,61.3606,15.2916,0,0,1700575902
1,62.2327,3.0251,0,0,1700575902
1,64.6945,5.7553,0,0,1700575902
1,62.2435,1.35794,0,0,1700575902
1,56.6866,5.00444,0,0,1700575902
1,80.2369,4.57168,0,0,1700575902
1,51.2504,7.12279,0,0,1700575902
1,100.236,13.4879,0,0,1700575902
1,64.6581,13.3618,0,0,1700575902
1,49.8653,1.48099,0,0,1700575902
1,69.8958,21.2741,0,0,1700575902
1,71.3009,14.0362,0,0,1700575902
1,56.8645,0.040199,0,0,1700575902
1,69.1875,1.79982,0,0,1700575902
1,46.3729,4.63311,0,0,1700575902
1,67.7754,10.2703,0,0,1700575902
1,64.9807,25.1046,0,0,1700575902
1,79.7395,11.781,0,0,1700575902
1,79.4764,1.56058,0,0,1700575902
1,74.1551,3.30927,0,0,1700575902
1,65.2168,17.5217,0,0,1700575902
1,42.5449,20.7226,0,0,1700575902
1,81.6162,6.95855,0,0,1700575902
1,66.5677,11.1673,0,0,1700575902
1,74.6506,11.2509,0,0,1700575902
1,82.1257,9.15799,0,0,1700575902
