Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,69.2475,7.55448,0,0,1700576099
1,92.9024,10.998,0,0,1700576099
1,59.235,2.82791,0,0,1700576099
1,69.4766,8.4761,0,0,1700576099
1,67.2205,4.65169,0,0,1700576099
1,71.0111,11.1106,0,0,1700576099
1,80.463,8.39146,0,0,1700576099
1,59.7722,6.33772,0,0,1700576099
1,62.808,6.60041,0,0,1700576099
1,51.9078,14.594,0,0,1700576099
1,62.946,4.58619,0,0,1700576099
1,69.3232,0.703192,0,0,1700576099
1,68.9104,8.10704,0,0,1700576099
1,70.4107,26.6176,0,0,1700576099
1,96.8463,3.03491,0,0,1700576099
1,72.3332,18.1556,0,0,1700576099
1,88.6077,17.8777,0,0,1700576099
1,67.1134,6.85188,0,0,1700576099
1,91.2791,7.29509,0,0,1700576099
1,89.5006,8.5381,0,0,1700576099
1,81.2801,14.5891,0,0,1700576099
1,79.0703,4.47849,0,0,1700576099
1,89.0796,3.17479,0,0,1700576099
1,59.6952,6.15493,0,0,1700576099
1,66.9961,7.59538,0,0,1700576099
1,45.9867,4.8523,0,0,1700576099
1,65.2529,14.8245,0,0,1700576099
1,68.2149,2.89047,0,0,1700576099
1,68.8896,0.968752,0,0,1700576099
1,82.2954,1.47762,0,0,1700576099
1,70.4141,19.8347,0,0,1700576099
1,90.1421,15.0356,0,0,1700576099
1,79.8632,10.4966,0,0,1700576099
1,73.5486,10.1482,0,0,1700576099
1,79.7033,3.8833,0,0,1700576099
1,50.2155,9.91563,0,0,1700576099
1,72.3761,19.8481,0,0,1700576099
1,76.3209,0.987968,0,0,1700576099
1,76.9507,13.2914,0,0,1700576099
1,83.371,16.151,0,0,1700576099
1,57.0273,5.06691,0,0,1700576099
1,66.2869,25.4368,0,0,1700576099
1,65.8421,8.02598,0,0,1700576099
1,77.6744,4.42678,0,0,1700576099
1,72.6669,7.82723,0,0,1700576099
1,75.3144,13.8401,0,0,1700576099
1,82.5032,7.55456,0,0,1700576099
1,65.1387,0.129934,0,0,1700576099
1,63.3052,14.5415,0,0,1700576099
1,68.7761,15.9512,0,0,1700576099
1,63.3495,14.6971,0,0,1700576099
1,69.2621,13.4511,0,0,1700576099
1,55.258,8.83874,0,0,1700576099
1,83.7167,6.60096,0,0,1700576099
1,55.0215,3.43761,0,0,1700576099
1,75.9174,16.4968,0,0,1700576099
1,77.2171,22.789,0,0,1700576099
1,65.0936,4.54741,0,0,1700576099
1,61.5944,3.07683,0,0,1700576099
1,56.3043,14.4855,0,0,1700576099
1,100.756,6.37556,0,0,1700576099
1,66.2237,17.4704,0,0,1700576099
1,64.5066,7.79157,0,0,1700576099
1,70.393,10.2398,0,0,1700576099
1,87.7403,21.456,0,0,1700576099
1,46.7532,12.4074,0,0,1700576099
1,74.8207,24.8318,0,0,1700576099
1,39.3228,15.4374,0,0,1700576099
1,63.4239,0.201181,0,0,1700576099
1,67.1365,10.9101,0,0,1700576099
1,80.2422,8.78328,0,0,1700576099
1,76.7357,1.57412,0,0,1700576099
1,75.3287,6.22507,0,0,1700576099
1,74.9535,0.154584,0,0,1700576099
1,68.2181,5.42073,0,0,1700576099
1,66.1524,13.4022,0,0,1700576099
1,67.9744,11.0998,0,0,1700576099
1,66.7947,5.90387,0,0,1700576099
1,79.331,4.22268,0,0,1700576099
1,72.5299,11.2691,0,0,1700576099
1,71.0934,5.02591,0,0,1700576099
1,56.6135,10.4338,0,0,1700576099
1,73.3529,22.7229,0,0,1700576099
1,47.3396,5.54091,0,0,1700576099
1,57.7544,14.9875,0,0,1700576099
1,55.5654,3.18347,0,0,1700576099
1,89.2021,17.8815,0,0,1700576099
1,67.065,12.0775,0,0,1700576099
1,85.5862,14.0067,0,0,1700576099
1,51.7092,20.1084,0,0,1700576099
1,75.9387,3.59966,0,0,1700576099
1,68.882,0.117506,0,0,1700576099
1,55.3103,14.917,0,0,1700576099
1,64.4166,13.1998,0,0,1700576099
1,77.3548,5.53048,0,0,1700576099
1,58.8336,22.7339,0,0,1700576099
1,63.9477,13.3622,0,0,1700576099
1,72.922,5.9609,0,0,1700576099
1,81.3713,1.22531,0,0,1700576099
1,64.5841,8.61572,0,0,1700576099
1,71.6734,3.56535,0,0,1700576099
1,76.8401,3.14172,0,0,1700576099
1,53.6662,13.4273,0,0,1700576099
1,62.3605,6.66799,0,0,1700576099
1,68.3061,11.5736,0,0,1700576099
1,66.1704,2.46129,0,0,1700576099
1,70.556,8.91308,0,0,1700576099
1,85.0788,13.8764,0,0,1700576099
1,48.1466,2.80095,0,0,1700576099
1,63.6592,10.5115,0,0,1700576099
1,59.3837,13.4781,0,0,1700576099
1,69.182,13.222,0,0,1700576099
1,55.7887,10.7092,0,0,1700576099
1,61.3584,11.4279,0,0,1700576099
1,65.3236,10.6801,0,0,1700576099
1,73.064,2.34682,0,0,1700576099
1,72.1855,2.01221,0,0,1700576099
1,58.8994,11.0802,0,0,1700576099
1,63.5954,7.82172,0,0,1700576099
