Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,63.9297,5.46106,0,0,1700576173
1,45.7541,5.46106,0,0,1700576173
1,43.7518,5.46106,0,0,1700576173
1,44.4023,5.54996,0,0,1700576173
1,45.313,5.51455,0,0,1700576173
1,45.8016,6.16797,0,0,1700576173
1,45.9076,7.04499,0,0,1700576173
1,45.7852,7.37257,0,0,1700576173
1,45.4616,7.27765,0,0,1700576173
1,45.1971,7.31481,0,0,1700576173
1,45.4115,7.76154,0,0,1700576173
1,45.9979,7.56983,0,0,1700576173
1,46.3255,7.40762,0,0,1700576173
1,46.2921,7.52045,0,0,1700576173
1,46.3197,7.33227,0,0,1700576173
1,46.5314,7.17434,0,0,1700576173
1,46.8115,7.02226,0,0,1700576173
1,47.0887,6.8227,0,0,1700576173
1,47.3452,6.71298,0,0,1700576173
1,47.5757,6.65408,0,0,1700576173
1,47.7613,6.57151,0,0,1700576173
1,47.933,6.55378,0,0,1700576173
1,48.1273,6.6396,0,0,1700576173
1,48.3443,6.76403,0,0,1700576173
1,48.5525,6.79025,0,0,1700576173
1,48.73,6.70749,0,0,1700576173
1,48.8951,6.66652,0,0,1700576173
1,49.0234,6.64851,0,0,1700576173
1,49.0788,6.56661,0,0,1700576173
1,49.117,6.47166,0,0,1700576173
1,49.2366,6.37246,0,0,1700576173
1,49.3826,6.27072,0,0,1700576173
1,49.4613,6.25838,0,0,1700576173
1,49.5372,6.37966,0,0,1700576173
1,49.6911,6.35341,0,0,1700576173
1,49.9396,6.52287,0,0,1700576173
1,50.1507,6.54737,0,0,1700576173
1,50.1763,6.50107,0,0,1700576173
1,50.1205,6.49938,0,0,1700576173
1,50.13,6.50394,0,0,1700576173
1,50.1691,6.46968,0,0,1700576173
1,50.1923,6.43248,0,0,1700576173
1,50.2933,6.43268,0,0,1700576173
1,50.4735,6.49066,0,0,1700576173
1,50.5649,6.53574,0,0,1700576173
1,50.533,6.52522,0,0,1700576173
1,50.4774,6.53161,0,0,1700576173
1,50.4394,6.52934,0,0,1700576173
1,50.4261,6.48095,0,0,1700576173
1,50.4592,6.47617,0,0,1700576173
1,50.5069,6.54139,0,0,1700576173
1,50.5216,6.60868,0,0,1700576173
1,50.5504,6.646,0,0,1700576173
1,50.6113,6.66495,0,0,1700576173
1,50.6331,6.68547,0,0,1700576173
1,50.6386,6.73301,0,0,1700576173
1,50.7224,6.79214,0,0,1700576173
1,50.865,6.80402,0,0,1700576173
1,50.9847,6.76108,0,0,1700576173
1,51.0754,6.7113,0,0,1700576173
1,51.1686,6.68138,0,0,1700576173
1,51.2756,6.65374,0,0,1700576173
1,51.3824,6.61998,0,0,1700576173
1,51.4334,6.5915,0,0,1700576173
1,51.3986,6.56197,0,0,1700576173
1,51.3213,6.5382,0,0,1700576173
1,51.2332,6.52964,0,0,1700576173
1,51.1217,6.53188,0,0,1700576173
1,51.004,6.55092,0,0,1700576173
1,50.9222,6.57547,0,0,1700576173
1,50.8604,6.60267,0,0,1700576173
1,50.7867,6.63652,0,0,1700576173
1,50.7117,6.63551,0,0,1700576173
1,50.6635,6.59124,0,0,1700576173
1,50.6637,6.56373,0,0,1700576173
1,50.674,6.58314,0,0,1700576173
1,50.6539,6.6136,0,0,1700576173
1,50.6482,6.61794,0,0,1700576173
1,50.6839,6.60216,0,0,1700576173
1,50.7327,6.58676,0,0,1700576173
1,50.7827,6.59878,0,0,1700576173
1,50.8344,6.64106,0,0,1700576173
1,50.8696,6.66591,0,0,1700576173
1,50.8635,6.6574,0,0,1700576173
1,50.8466,6.63413,0,0,1700576173
1,50.867,6.59813,0,0,1700576173
1,50.8934,6.56302,0,0,1700576173
1,50.9111,6.54392,0,0,1700576173
1,50.9537,6.53245,0,0,1700576173
1,50.9957,6.51427,0,0,1700576173
1,51.0189,6.47982,0,0,1700576173
1,51.0507,6.43018,0,0,1700576173
1,51.0803,6.38366,0,0,1700576173
1,51.0967,6.36382,0,0,1700576173
1,51.1294,6.37372,0,0,1700576173
1,51.1799,6.39034,0,0,1700576173
1,51.206,6.39711,0,0,1700576173
1,51.1885,6.40125,0,0,1700576173
1,51.1542,6.41256,0,0,1700576173
1,51.1175,6.43498,0,0,1700576173
1,51.0558,6.45879,0,0,1700576173
1,50.9794,6.45896,0,0,1700576173
1,50.9462,6.42986,0,0,1700576173
1,50.9608,6.38851,0,0,1700576173
1,50.9767,6.34462,0,0,1700576173
1,51.002,6.30538,0,0,1700576173
1,51.0799,6.28673,0,0,1700576173
1,51.1706,6.29118,0,0,1700576173
1,51.1969,6.29478,0,0,1700576173
1,51.1707,6.27415,0,0,1700576173
1,51.1391,6.23585,0,0,1700576173
1,51.1191,6.21256,0,0,1700576173
1,51.1255,6.22618,0,0,1700576173
1,51.1486,6.26105,0,0,1700576173
1,51.1496,6.28771,0,0,1700576173
1,51.1055,6.29365,0,0,1700576173
1,51.0417,6.29062,0,0,1700576173
1,51.0053,6.30124,0,0,1700576173
1,50.9938,6.32229,0,0,1700576173
1,50.9866,6.32984,0,0,1700576173
1,50.9892,6.31589,0,0,1700576173
1,50.9969,6.30104,0,0,1700576173
1,51.0071,6.31289,0,0,1700576173
1,51.0188,6.34984,0,0,1700576173
1,51.0194,6.40114,0,0,1700576173
1,51.0079,6.39368,0,0,1700576173
1,50.9921,6.43991,0,0,1700576173
1,50.9914,6.48155,0,0,1700576173
1,50.996,6.47364,0,0,1700576173
1,50.9615,6.46585,0,0,1700576173
1,50.9145,6.45818,0,0,1700576173
1,50.9279,6.4733,0,0,1700576173
1,50.9941,6.46904,0,0,1700576173
1,51.0353,6.46334,0,0,1700576173
1,51.0246,6.45392,0,0,1700576173
1,51.0045,6.44292,0,0,1700576173
1,50.9906,6.43026,0,0,1700576173
1,50.976,6.42165,0,0,1700576173
1,50.977,6.4264,0,0,1700576173
1,50.9814,6.43665,0,0,1700576173
1,50.9706,6.43383,0,0,1700576173
1,50.9757,6.41666,0,0,1700576173
1,51.0084,6.40673,0,0,1700576173
1,51.0455,6.40593,0,0,1700576173
1,51.0779,6.39575,0,0,1700576173
1,51.0927,6.37992,0,0,1700576173
1,51.0818,6.37457,0,0,1700576173
1,51.0648,6.3849,0,0,1700576173
1,51.067,6.40334,0,0,1700576173
1,51.087,6.41361,0,0,1700576173
1,51.0901,6.40865,0,0,1700576173
1,51.0728,6.40369,0,0,1700576173
1,51.0819,6.40843,0,0,1700576173
1,51.1234,6.40939,0,0,1700576173
1,51.1478,6.39976,0,0,1700576173
1,51.1445,6.39249,0,0,1700576173
1,51.1484,6.39708,0,0,1700576173
1,51.1539,6.40713,0,0,1700576173
1,51.134,6.41521,0,0,1700576173
1,51.1044,6.41857,0,0,1700576173
1,51.0899,6.41732,0,0,1700576173
1,51.0905,6.42309,0,0,1700576173
1,51.1025,6.436,0,0,1700576173
