Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,63.9297,5.46106,0,0,1700576173
1,27.5784,5.46106,0,0,1700576173
1,39.7471,5.46106,0,0,1700576173
1,46.354,5.81663,0,0,1700576173
1,48.9558,5.37293,0,0,1700576173
1,48.2447,9.43508,0,0,1700576173
1,46.5434,12.3071,0,0,1700576173
1,44.9282,9.66561,0,0,1700576173
1,42.873,6.5183,0,0,1700576173
1,42.817,7.64923,0,0,1700576173
1,47.5549,12.2289,0,0,1700576173
1,52.4479,5.46106,0,0,1700576173
1,50.2576,5.46106,0,0,1700576173
1,45.8576,8.9873,0,0,1700576173
1,46.7061,4.69771,0,0,1700576173
1,49.7076,4.80543,0,0,1700576173
1,51.2924,4.58895,0,0,1700576173
1,51.8005,3.43022,0,0,1700576173
1,51.9633,4.738,0,0,1700576173
1,51.9545,5.53499,0,0,1700576173
1,51.4738,4.92003,0,0,1700576173
1,51.5387,6.18153,0,0,1700576173
1,52.4025,8.5275,0,0,1700576173
1,53.3347,9.62605,0,0,1700576173
1,53.5483,7.41944,0,0,1700576173
1,53.1671,4.63855,0,0,1700576173
1,53.1885,5.6012,0,0,1700576173
1,52.4871,6.16228,0,0,1700576173
1,50.6304,4.27337,0,0,1700576173
1,50.2246,3.7182,0,0,1700576173
1,52.8263,3.39655,0,0,1700576173
1,53.9089,3.11684,0,0,1700576173
1,51.9784,5.86339,0,0,1700576173
1,52.0422,10.3818,0,0,1700576173
1,54.9245,5.46106,0,0,1700576173
1,58.6347,12.4541,0,0,1700576173
1,57.75,7.42906,0,0,1700576173
1,51.1231,4.78801,0,0,1700576173
1,48.0003,6.4352,0,0,1700576173
1,50.5026,6.68174,0,0,1700576173
1,51.7335,5.09943,0,0,1700576173
1,51.1442,4.9071,0,0,1700576173
1,54.5352,6.44123,0,0,1700576173
1,58.2192,8.98393,0,0,1700576173
1,54.5882,8.51931,0,0,1700576173
1,49.0955,6.05177,0,0,1700576173
1,47.9208,6.82562,0,0,1700576173
1,48.6545,6.42228,0,0,1700576173
1,49.7883,4.15866,0,0,1700576173
1,52.0801,6.24163,0,0,1700576173
1,52.8915,9.80265,0,0,1700576173
1,51.2728,10.0405,0,0,1700576173
1,52.0464,8.58625,0,0,1700576173
1,53.8416,7.66975,0,0,1700576173
1,51.8082,7.79352,0,0,1700576173
1,50.9387,9.34769,0,0,1700576173
1,55.4184,10.1034,0,0,1700576173
1,58.9928,7.48109,0,0,1700576173
1,57.9244,4.27035,0,0,1700576173
1,56.4268,3.77457,0,0,1700576173
1,56.7656,4.88574,0,0,1700576173
1,57.8017,4.96768,0,0,1700576173
1,58.004,4.52697,0,0,1700576173
1,54.6453,4.79763,0,0,1700576173
1,49.1697,4.67187,0,0,1700576173
1,46.3008,4.99344,0,0,1700576173
1,45.4146,5.96431,0,0,1700576173
1,43.6491,6.68183,0,0,1700576173
1,43.0044,7.84564,0,0,1700576173
1,45.2782,8.26954,0,0,1700576173
1,46.5337,8.50688,0,0,1700576173
1,45.5521,9.04006,0,0,1700576173
1,45.3141,6.56258,0,0,1700576173
1,47.1479,3.35957,0,0,1700576173
1,50.6767,4.52769,0,0,1700576173
1,51.4427,8.03904,0,0,1700576173
1,49.132,8.92847,0,0,1700576173
1,50.2091,6.95201,0,0,1700576173
1,53.4621,5.3714,0,0,1700576173
1,54.589,5.37057,0,0,1700576173
1,54.7843,7.56024,0,0,1700576173
1,55.0254,10.0653,0,0,1700576173
1,53.7538,8.70419,0,0,1700576173
1,50.3519,5.95054,0,0,1700576173
1,49.4321,4.67991,0,0,1700576173
1,52.6013,3.53787,0,0,1700576173
1,53.1607,3.54362,0,0,1700576173
1,52.4489,4.88201,0,0,1700576173
1,54.7102,5.52321,0,0,1700576173
1,54.7332,4.89594,0,0,1700576173
