Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,64.4592,18.7635,0,0,1700576173
1,54.0545,9.01121,0,0,1700576173
1,77.4348,4.93148,0,0,1700576173
1,67.3308,5.25707,0,0,1700576173
1,67.8773,21.0512,0,0,1700576173
1,64.5434,23.2269,0,0,1700576173
1,63.8442,2.3193,0,0,1700576173
1,57.0999,11.9066,0,0,1700576173
1,59.3131,7.78462,0,0,1700576173
1,72.6489,25.3015,0,0,1700576173
1,86.6901,27.5518,0,0,1700576173
1,58.8879,19.3905,0,0,1700576173
1,61.414,4.8931,0,0,1700576173
1,72.308,1.54145,0,0,1700576173
1,70.2918,14.1331,0,0,1700576173
1,75.2348,2.78938,0,0,1700576173
1,73.438,0.0762825,0,0,1700576173
1,71.9092,15.7093,0,0,1700576173
1,78.5135,3.81676,0,0,1700576173
1,65.3584,4.46525,0,0,1700576173
1,80.7005,14.8853,0,0,1700576173
1,68.419,8.44396,0,0,1700576173
1,82.2445,22.2968,0,0,1700576173
1,72.7728,2.42934,0,0,1700576173
1,74.6929,1.88076,0,0,1700576173
1,78.7195,16.7849,0,0,1700576173
1,71.0258,5.36813,0,0,1700576173
1,72.0218,1.96373,0,0,1700576173
1,66.904,9.38348,0,0,1700576173
1,82.1376,2.86174,0,0,1700576173
1,80.5324,0.0533069,0,0,1700576173
1,57.8304,16.8219,0,0,1700576173
1,92.2193,13.0977,0,0,1700576173
1,60.3326,28.0871,0,0,1700576173
1,107.835,13.3243,0,0,1700576173
1,69.094,4.50592,0,0,1700576173
1,65.4798,2.52642,0,0,1700576173
1,68.0786,19.4562,0,0,1700576173
1,74.9884,2.87889,0,0,1700576173
1,78.662,6.57449,0,0,1700576173
1,58.8082,9.70962,0,0,1700576173
1,92.6835,4.1528,0,0,1700576173
1,85.7664,24.642,0,0,1700576173
1,67.7817,6.14382,0,0,1700576173
1,66.3177,0.695638,0,0,1700576173
1,68.9384,22.7873,0,0,1700576173
1,70.446,1.20131,0,0,1700576173
1,68.0049,0.67447,0,0,1700576173
1,80.7523,18.0704,0,0,1700576173
1,74.6241,13.5018,0,0,1700576173
1,66.7367,16.175,0,0,1700576173
1,76.967,6.97675,0,0,1700576173
1,84.8595,14.4344,0,0,1700576173
1,59.7158,6.64096,0,0,1700576173
