Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,62.5949,5.79925,0,0,1700576227
1,47.0584,5.79925,0,0,1700576227
1,48.7935,7.47383,0,0,1700576227
1,50.1725,7.03464,0,0,1700576227
1,49.6003,7.21684,0,0,1700576227
1,48.844,7.76589,0,0,1700576227
1,49.0286,8.14432,0,0,1700576227
1,50.0292,8.12936,0,0,1700576227
1,51.1119,8.01187,0,0,1700576227
1,52.0157,8.0162,0,0,1700576227
1,52.5415,8.13122,0,0,1700576227
1,52.5223,8.20229,0,0,1700576227
1,52.596,8.07447,0,0,1700576227
1,53.2338,7.80833,0,0,1700576227
1,54.016,7.51734,0,0,1700576227
1,54.5703,7.24316,0,0,1700576227
1,54.9215,7.03243,0,0,1700576227
1,55.0476,6.86975,0,0,1700576227
1,54.7673,6.74054,0,0,1700576227
1,54.176,6.73764,0,0,1700576227
1,53.8136,6.92991,0,0,1700576227
1,53.8579,7.20744,0,0,1700576227
1,53.8753,7.39647,0,0,1700576227
1,53.7492,7.4838,0,0,1700576227
1,53.6657,7.54397,0,0,1700576227
1,53.5598,7.53439,0,0,1700576227
1,53.4427,7.39095,0,0,1700576227
1,53.4776,7.17871,0,0,1700576227
1,53.7129,7.02336,0,0,1700576227
1,54.0719,6.95573,0,0,1700576227
1,54.3904,6.91444,0,0,1700576227
1,54.5869,6.92303,0,0,1700576227
1,54.7636,7.04498,0,0,1700576227
1,55.0007,7.20323,0,0,1700576227
1,55.1771,7.30598,0,0,1700576227
1,55.1739,7.36261,0,0,1700576227
1,55.1354,7.38092,0,0,1700576227
1,55.2248,7.37795,0,0,1700576227
1,55.3229,7.40778,0,0,1700576227
1,55.2902,7.4684,0,0,1700576227
1,55.2167,7.48923,0,0,1700576227
1,55.2035,7.44524,0,0,1700576227
1,55.2545,7.39248,0,0,1700576227
1,55.336,7.3559,0,0,1700576227
1,55.3753,7.30851,0,0,1700576227
1,55.3719,7.2516,0,0,1700576227
1,55.424,7.20976,0,0,1700576227
1,55.567,7.18951,0,0,1700576227
1,55.6973,7.18443,0,0,1700576227
1,55.7304,7.19101,0,0,1700576227
1,55.738,7.21655,0,0,1700576227
1,55.7818,7.25824,0,0,1700576227
1,55.8112,7.2689,0,0,1700576227
1,55.8242,7.22833,0,0,1700576227
1,55.8708,7.17223,0,0,1700576227
1,55.9639,7.11379,0,0,1700576227
1,56.1315,7.06343,0,0,1700576227
1,56.3374,7.02949,0,0,1700576227
1,56.4321,6.9793,0,0,1700576227
1,56.3817,6.92417,0,0,1700576227
1,56.2998,6.92155,0,0,1700576227
1,56.2582,6.9474,0,0,1700576227
1,56.2231,6.94096,0,0,1700576227
1,56.1799,6.90086,0,0,1700576227
1,56.2054,6.84874,0,0,1700576227
1,56.2801,6.79966,0,0,1700576227
1,56.2707,6.75112,0,0,1700576227
1,56.1552,6.70002,0,0,1700576227
1,56.0447,6.66477,0,0,1700576227
1,56.0343,6.65184,0,0,1700576227
1,56.1034,6.65322,0,0,1700576227
1,56.1526,6.67887,0,0,1700576227
1,56.117,6.72848,0,0,1700576227
1,56.0135,6.7562,0,0,1700576227
1,55.9352,6.74385,0,0,1700576227
1,55.9755,6.72292,0,0,1700576227
1,56.0886,6.70399,0,0,1700576227
1,56.1762,6.68191,0,0,1700576227
1,56.2302,6.65556,0,0,1700576227
1,56.2636,6.62091,0,0,1700576227
1,56.2919,6.59999,0,0,1700576227
1,56.2946,6.6186,0,0,1700576227
1,56.2163,6.64669,0,0,1700576227
1,56.1181,6.66344,0,0,1700576227
1,56.0965,6.69107,0,0,1700576227
1,56.1454,6.70659,0,0,1700576227
1,56.2055,6.69073,0,0,1700576227
1,56.2346,6.68157,0,0,1700576227
1,56.2514,6.67746,0,0,1700576227
1,56.2669,6.64852,0,0,1700576227
1,56.2742,6.60525,0,0,1700576227
1,56.3124,6.56572,0,0,1700576227
1,56.3576,6.53674,0,0,1700576227
1,56.3576,6.52347,0,0,1700576227
1,56.3451,6.51536,0,0,1700576227
1,56.3413,6.49869,0,0,1700576227
1,56.3295,6.47597,0,0,1700576227
1,56.3083,6.45685,0,0,1700576227
1,56.2855,6.45616,0,0,1700576227
1,56.2807,6.47597,0,0,1700576227
1,56.3014,6.4876,0,0,1700576227
1,56.3308,6.47425,0,0,1700576227
1,56.3488,6.45375,0,0,1700576227
1,56.3265,6.44454,0,0,1700576227
1,56.2499,6.44573,0,0,1700576227
1,56.1573,6.44695,0,0,1700576227
1,56.0968,6.4531,0,0,1700576227
1,56.0901,6.47383,0,0,1700576227
1,56.1355,6.48736,0,0,1700576227
1,56.172,6.4686,0,0,1700576227
1,56.1418,6.42798,0,0,1700576227
1,56.0882,6.3845,0,0,1700576227
1,56.051,6.34634,0,0,1700576227
1,55.9968,6.31767,0,0,1700576227
1,55.9391,6.30142,0,0,1700576227
1,55.9134,6.30236,0,0,1700576227
1,55.8757,6.31361,0,0,1700576227
1,55.7965,6.33947,0,0,1700576228
1,55.7168,6.39066,0,0,1700576228
1,55.666,6.42668,0,0,1700576228
1,55.6383,6.41595,0,0,1700576228
1,55.6193,6.39103,0,0,1700576228
1,55.6015,6.38275,0,0,1700576228
1,55.5842,6.3876,0,0,1700576228
1,55.5683,6.38495,0,0,1700576228
1,55.5667,6.36615,0,0,1700576228
1,55.5736,6.35215,0,0,1700576228
1,55.564,6.37066,0,0,1700576228
1,55.5849,6.41293,0,0,1700576228
1,55.6772,6.43303,0,0,1700576228
1,55.7572,6.41198,0,0,1700576228
1,55.7579,6.37933,0,0,1700576228
1,55.7183,6.36395,0,0,1700576228
1,55.6879,6.35939,0,0,1700576228
1,55.6637,6.34975,0,0,1700576228
1,55.6073,6.3377,0,0,1700576228
1,55.5215,6.33394,0,0,1700576228
1,55.4637,6.35075,0,0,1700576228
1,55.4548,6.38146,0,0,1700576228
1,55.4497,6.40675,0,0,1700576228
1,55.4254,6.43557,0,0,1700576228
1,55.4126,6.46965,0,0,1700576228
1,55.4201,6.48197,0,0,1700576228
1,55.4214,6.46783,0,0,1700576228
1,55.4201,6.44796,0,0,1700576228
1,55.4451,6.44083,0,0,1700576228
1,55.4793,6.44709,0,0,1700576228
1,55.4871,6.45296,0,0,1700576228
1,55.4786,6.45523,0,0,1700576228
1,55.4787,6.45216,0,0,1700576228
1,55.4967,6.43661,0,0,1700576228
1,55.5136,6.4132,0,0,1700576228
1,55.5089,6.39033,0,0,1700576228
1,55.4988,6.38022,0,0,1700576228
1,55.4994,6.38941,0,0,1700576228
1,55.506,6.39919,0,0,1700576228
1,55.5104,6.39488,0,0,1700576228
1,55.5012,6.38472,0,0,1700576228
1,55.466,6.37588,0,0,1700576228
1,55.4291,6.36461,0,0,1700576228
1,55.4258,6.34775,0,0,1700576228
1,55.4238,6.3262,0,0,1700576228
1,55.3958,6.30327,0,0,1700576228
1,55.379,6.28358,0,0,1700576228
1,55.3835,6.26725,0,0,1700576228
1,55.3731,6.25949,0,0,1700576228
1,55.3461,6.26623,0,0,1700576228
1,55.3438,6.27348,0,0,1700576228
1,55.3715,6.27327,0,0,1700576228
1,55.3944,6.27137,0,0,1700576228
1,55.3993,6.25994,0,0,1700576228
1,55.3909,6.23641,0,0,1700576228
1,55.3727,6.21513,0,0,1700576228
1,55.3518,6.20317,0,0,1700576228
1,55.3472,6.19525,0,0,1700576228
1,55.3656,6.18483,0,0,1700576228
1,55.3832,6.17841,0,0,1700576228
1,55.3791,6.19147,0,0,1700576228
1,55.365,6.21613,0,0,1700576228
1,55.3641,6.22393,0,0,1700576228
1,55.3726,6.20629,0,0,1700576228
1,55.3652,6.17719,0,0,1700576228
1,55.3393,6.14949,0,0,1700576228
1,55.3295,6.13031,0,0,1700576228
1,55.365,6.12001,0,0,1700576228
1,55.419,6.11246,0,0,1700576228
1,55.454,6.10943,0,0,1700576228
1,55.4759,6.11496,0,0,1700576228
1,55.4987,6.12748,0,0,1700576228
1,55.5139,6.14705,0,0,1700576228
1,55.5117,6.16426,0,0,1700576228
1,55.501,6.16684,0,0,1700576228
1,55.489,6.15946,0,0,1700576228
1,55.4758,6.15438,0,0,1700576228
1,55.4671,6.15794,0,0,1700576228
1,55.4657,6.16322,0,0,1700576228
1,55.4607,6.15982,0,0,1700576228
1,55.4301,6.15928,0,0,1700576228
1,55.3802,6.17468,0,0,1700576228
1,55.3568,6.19052,0,0,1700576228
1,55.3686,6.1953,0,0,1700576228
1,55.3805,6.20098,0,0,1700576228
1,55.3882,6.21262,0,0,1700576228
1,55.3984,6.22252,0,0,1700576228
1,55.3932,6.2286,0,0,1700576228
1,55.3772,6.23377,0,0,1700576228
1,55.3709,6.23721,0,0,1700576228
1,55.3762,6.23539,0,0,1700576228
1,55.3914,6.22439,0,0,1700576228
1,55.4014,6.20452,0,0,1700576228
