Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,65.3029,6.34939,0,0,1700570833
1,26.3409,6.34939,0,0,1700570833
1,48.0039,6.34939,0,0,1700570833
1,58.4782,10.3393,0,0,1700570833
1,56.1524,8.78872,0,0,1700570833
1,56.543,9.09268,0,0,1700570833
1,61.4322,7.43226,0,0,1700570833
1,60.993,6.43455,0,0,1700570833
1,56.9891,9.63733,0,0,1700570833
1,55.7045,11.4459,0,0,1700570833
1,54.823,7.70079,0,0,1700570833
1,55.4317,4.09507,0,0,1700570833
1,62.346,6.66844,0,0,1700570833
1,68.7386,10.7527,0,0,1700570833
1,66.6281,10.9529,0,0,1700570833
1,59.0253,10.7698,0,0,1700570833
1,54.6093,10.0005,0,0,1700570833
1,61.3269,6.83275,0,0,1700570833
1,71.1205,7.18141,0,0,1700570833
1,68.0812,11.3182,0,0,1700570833
1,58.7168,12.2325,0,0,1700570833
1,56.9679,9.5644,0,0,1700570833
1,56.5507,7.39809,0,0,1700570833
1,50.3993,6.50049,0,0,1700570833
1,49.9121,6.1211,0,0,1700570833
1,60.5219,6.24291,0,0,1700570833
1,65.3314,6.62372,0,0,1700570833
1,57.7307,6.84916,0,0,1700570833
1,53.984,6.62521,0,0,1700570833
1,61.0645,7.57044,0,0,1700570833
1,68.3731,9.50161,0,0,1700570833
1,66.2097,7.91963,0,0,1700570833
1,59.9227,5.2965,0,0,1700570833
1,57.9509,7.84187,0,0,1700570833
1,57.517,10.4324,0,0,1700570833
1,58.2935,7.55854,0,0,1700570833
1,61.7088,3.58769,0,0,1700570833
1,64.5378,2.49602,0,0,1700570833
1,63.198,4.82775,0,0,1700570833
1,54.7428,7.82366,0,0,1700570833
1,45.4741,8.40986,0,0,1700570833
1,43.5827,10.4997,0,0,1700570833
1,45.846,13.3957,0,0,1700570833
1,48.76,11.1486,0,0,1700570833
1,52.4623,8.05778,0,0,1700570833
1,57.534,8.4898,0,0,1700570833
1,63.5264,9.48433,0,0,1700570833
1,64.2133,9.67809,0,0,1700570833
1,59.3585,9.07646,0,0,1700570833
1,58.8324,7.89115,0,0,1700570833
1,61.1429,6.54871,0,0,1700570833
1,58.2774,6.57855,0,0,1700570833
1,55.1624,8.34043,0,0,1700570833
1,54.8471,8.10101,0,0,1700570833
1,56.5459,6.96012,0,0,1700570833
1,62.7555,8.10039,0,0,1700570833
1,63.9586,8.08888,0,0,1700570833
1,57.0859,6.16132,0,0,1700570833
1,55.1255,4.91603,0,0,1700570833
1,55.086,5.29695,0,0,1700570833
1,50.8384,9.6415,0,0,1700570833
1,52.2166,13.8027,0,0,1700570833
1,59.4205,12.0974,0,0,1700570833
1,60.6346,10.4186,0,0,1700570833
1,55.5068,10.5814,0,0,1700570833
1,55.242,7.05679,0,0,1700570833
1,60.2563,4.77084,0,0,1700570833
1,59.7187,9.38521,0,0,1700570833
1,57.4252,12.9768,0,0,1700570833
1,63.5416,9.65849,0,0,1700570833
1,70.223,5.31284,0,0,1700570833
1,67.5029,3.58947,0,0,1700570833
1,61.0197,3.64445,0,0,1700570833
1,55.6056,5.90099,0,0,1700570833
1,51.7586,7.65781,0,0,1700570833
1,55.0983,5.5889,0,0,1700570833
1,60.1867,3.00173,0,0,1700570833
1,58.433,3.40357,0,0,1700570833
1,55.8563,3.70337,0,0,1700570833
1,55.9394,3.06867,0,0,1700570833
1,59.6006,5.4337,0,0,1700570833
1,66.3405,10.2231,0,0,1700570833
1,64.4557,13.2981,0,0,1700570833
1,55.0729,13.1472,0,0,1700570833
1,55.7764,10.2944,0,0,1700570833
1,64.2416,6.46609,0,0,1700570833
1,65.5217,3.83627,0,0,1700570833
1,60.7614,2.66203,0,0,1700570833
1,58.3481,2.56911,0,0,1700570833
1,57.9341,4.13481,0,0,1700570833
1,53.3844,6.26329,0,0,1700570833
1,49.2686,7.17845,0,0,1700570833
1,54.9723,8.11436,0,0,1700570833
1,61.2203,9.47209,0,0,1700570833
1,57.6248,9.93973,0,0,1700570833
1,52.8309,10.885,0,0,1700570833
1,52.8337,13.2165,0,0,1700570833
1,54.9635,14.5055,0,0,1700570833
1,58.5643,12.0711,0,0,1700570833
1,61.1136,6.89417,0,0,1700570833
1,63.1768,3.09518,0,0,1700570833
1,65.0942,3.35725,0,0,1700570833
1,61.1796,7.14003,0,0,1700570833
1,55.4535,11.6154,0,0,1700570833
1,53.6833,13.1843,0,0,1700570833
1,52.0707,9.95793,0,0,1700570833
1,50.5013,5.57612,0,0,1700570833
1,52.809,4.57815,0,0,1700570833
1,57.0931,6.72507,0,0,1700570833
1,59.2578,10.9816,0,0,1700570833
1,61.0024,13.5935,0,0,1700570833
1,63.6234,10.7632,0,0,1700570833
1,62.0836,6.71508,0,0,1700570833
1,54.3431,5.89634,0,0,1700570833
1,49.5923,7.1419,0,0,1700570833
1,53.1815,7.46362,0,0,1700570833
1,56.6845,7.64341,0,0,1700570833
1,55.7059,9.95684,0,0,1700570833
1,52.0546,10.1047,0,0,1700570833
1,51.3163,6.09895,0,0,1700570833
1,59.1171,5.35625,0,0,1700570833
1,63.8792,9.84313,0,0,1700570833
1,56.4673,10.7812,0,0,1700570833
1,50.1332,6.22849,0,0,1700570833
1,56.6627,3.06862,0,0,1700570833
1,65.4075,4.52452,0,0,1700570833
1,59.6253,8.49492,0,0,1700570833
1,46.3165,9.89009,0,0,1700570833
1,43.9166,8.35229,0,0,1700570833
1,52.2394,7.37739,0,0,1700570833
1,60.0516,6.88481,0,0,1700570833
1,63.2044,7.45249,0,0,1700570833
1,61.3866,9.54508,0,0,1700570833
1,56.5642,10.7778,0,0,1700570833
1,54.4205,9.15213,0,0,1700570833
1,54.6403,6.27205,0,0,1700570833
1,52.7474,6.32564,0,0,1700570833
1,47.0622,8.59361,0,0,1700570833
1,40.2566,8.58217,0,0,1700570833
1,41.6851,6.50505,0,0,1700570833
1,51.896,5.26738,0,0,1700570833
1,58.7892,6.16738,0,0,1700570833
1,59.5405,8.78464,0,0,1700570833
1,61.3992,10.0674,0,0,1700570833
1,66.14,9.03909,0,0,1700570833
1,67.4101,8.49369,0,0,1700570833
1,61.7943,9.22201,0,0,1700570833
1,56.0706,10.4293,0,0,1700570833
1,55.3295,11.5913,0,0,1700570833
1,56.2647,10.6659,0,0,1700570833
1,57.5988,7.70878,0,0,1700570833
1,59.366,6.66229,0,0,1700570833
1,58.7334,8.51846,0,0,1700570833
1,57.8009,9.21071,0,0,1700570833
1,56.6582,6.27816,0,0,1700570833
1,50.6413,4.31018,0,0,1700570833
1,48.3548,7.5905,0,0,1700570833
1,56.5393,11.0563,0,0,1700570833
1,63.6232,9.40014,0,0,1700570833
1,63.0338,7.097,0,0,1700570833
1,59.9999,7.96003,0,0,1700570833
1,58.682,9.1292,0,0,1700570833
1,59.1689,11.1769,0,0,1700570833
1,59.8823,13.5999,0,0,1700570833
1,59.0871,11.9548,0,0,1700570833
1,59.1282,8.62288,0,0,1700570833
1,61.8747,7.22839,0,0,1700570833
1,59.6408,7.19186,0,0,1700570833
1,54.0544,6.7152,0,0,1700570833
1,54.2745,4.8796,0,0,1700570833
1,54.3638,4.84727,0,0,1700570833
1,51.7446,7.33437,0,0,1700570833
1,52.4017,9.13991,0,0,1700570833
1,52.9331,9.44304,0,0,1700570833
1,50.4372,8.08996,0,0,1700570833
1,47.5138,6.33677,0,0,1700570833
1,45.988,7.43397,0,0,1700570833
1,48.6689,9.71314,0,0,1700570833
1,51.857,8.81346,0,0,1700570833
1,50.7975,6.1853,0,0,1700570833
1,51.4567,5.24037,0,0,1700570833
1,55.048,6.75108,0,0,1700570833
1,58.1427,9.0746,0,0,1700570833
1,61.5545,8.65225,0,0,1700570833
1,60.8597,8.48038,0,0,1700570833
1,56.4299,12.2877,0,0,1700570833
1,55.3901,12.9171,0,0,1700570833
1,55.4621,8.10541,0,0,1700570833
1,54.231,5.18041,0,0,1700570833
1,54.2979,6.73428,0,0,1700570833
1,55.2275,11.3095,0,0,1700570833
1,58.9159,14.4496,0,0,1700570833
1,64.0796,12.3392,0,0,1700570833
1,63.6512,9.16063,0,0,1700570833
1,59.9337,7.89606,0,0,1700570833
1,57.2505,6.13323,0,0,1700570833
1,54.8947,5.00067,0,0,1700570833
1,55.6566,7.64454,0,0,1700570833
1,57.5583,11.7685,0,0,1700570833
1,55.2654,13.1831,0,0,1700570833
1,54.5217,11.6358,0,0,1700570833
1,58.3073,8.3272,0,0,1700570833
1,59.808,6.57992,0,0,1700570833
1,59.015,9.70469,0,0,1700570833
1,58.017,12.1894,0,0,1700570833
1,54.7213,9.09813,0,0,1700570833
1,50.7615,6.32181,0,0,1700570833
1,49.4737,8.0768,0,0,1700570833
1,52.7703,10.1589,0,0,1700570833
1,58.4243,9.00316,0,0,1700570833
1,61.413,6.46219,0,0,1700570833
1,61.006,5.5558,0,0,1700570833
1,61.7759,5.95416,0,0,1700570833
1,64.1579,5.4666,0,0,1700570833
1,63.2015,5.33801,0,0,1700570833
1,59.6774,10.6965,0,0,1700570833
1,56.1339,6.34939,0,0,1700570833
1,53.5241,6.34939,0,0,1700570833
1,55.0811,8.45582,0,0,1700570833
1,60.025,3.35831,0,0,1700570833
1,60.7361,3.16403,0,0,1700570833
1,53.6184,6.48432,0,0,1700570833
1,46.7559,8.6942,0,0,1700570833
1,48.04,6.88882,0,0,1700570833
1,55.4657,6.49074,0,0,1700570833
1,61.3026,10.2442,0,0,1700570833
1,61.5779,11.8697,0,0,1700570833
1,58.87,9.35551,0,0,1700570833
1,54.0946,8.95107,0,0,1700570833
1,50.7516,11.2385,0,0,1700570833
1,54.2742,10.9538,0,0,1700570833
1,59.6959,8.49652,0,0,1700570833
1,58.2561,7.57071,0,0,1700570833
1,51.4716,9.61907,0,0,1700570833
1,47.9371,12.3107,0,0,1700570833
1,49.5565,10.905,0,0,1700570833
1,52.3934,7.97546,0,0,1700570833
1,55.4327,8.06563,0,0,1700570833
1,58.4081,7.86885,0,0,1700570833
1,60.4664,6.10723,0,0,1700570833
1,60.9449,4.95212,0,0,1700570833
1,62.0928,5.68134,0,0,1700570833
1,66.0602,8.67332,0,0,1700570833
1,66.8193,10.5921,0,0,1700570833
1,61.848,10.8331,0,0,1700570833
1,58.0332,10.8913,0,0,1700570833
1,57.5794,8.58929,0,0,1700570833
1,57.4874,5.99952,0,0,1700570833
1,56.1109,5.61938,0,0,1700570833
1,54.8358,4.87033,0,0,1700570833
1,56.1084,5.07102,0,0,1700570833
1,58.3382,7.60184,0,0,1700570833
1,57.0539,9.32479,0,0,1700570833
1,50.9794,10.0607,0,0,1700570833
1,45.0557,9.71752,0,0,1700570833
1,44.9365,7.53161,0,0,1700570833
1,54.0439,6.54923,0,0,1700570833
1,70.0393,7.08004,0,0,1700570833
1,77.4003,8.05937,0,0,1700570833
1,69.8887,11.6421,0,0,1700570833
1,62.2459,6.34939,0,0,1700570833
1,59.7963,15.3523,0,0,1700570833
1,55.9213,11.4935,0,0,1700570833
1,52.5198,6.60518,0,0,1700570833
1,55.2122,5.52573,0,0,1700570833
1,62.2166,9.60867,0,0,1700570833
1,65.5227,10.4805,0,0,1700570833
1,60.9842,6.36342,0,0,1700570833
1,54.6104,4.20925,0,0,1700570833
