Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.8468,6.22242,0,0,1700570903
1,61.8468,6.22242,0,0,1700570903
1,54.7811,6.22242,0,0,1700570903
1,52.6858,6.42803,0,0,1700570903
1,51.259,6.45425,0,0,1700570903
1,50.189,6.82357,0,0,1700570903
1,49.4674,7.11186,0,0,1700570903
1,48.9618,7.06489,0,0,1700570903
1,48.5098,6.99258,0,0,1700570903
1,48.2493,6.96,0,0,1700570903
1,48.3333,6.85252,0,0,1700570903
1,48.6235,6.64752,0,0,1700570903
1,48.9971,6.33875,0,0,1700570903
1,49.2049,6.03324,0,0,1700570903
1,49.1837,5.86579,0,0,1700570903
1,49.4365,5.7981,0,0,1700570903
1,50.1145,5.82119,0,0,1700570903
1,50.7852,6.01551,0,0,1700570903
1,51.1242,6.24872,0,0,1700570903
1,51.134,6.27889,0,0,1700570903
1,51.0455,6.14927,0,0,1700570903
1,50.9627,6.05282,0,0,1700570903
1,50.754,6.01944,0,0,1700570903
1,50.4634,6.01338,0,0,1700570903
1,50.291,5.99342,0,0,1700570903
1,50.1586,5.88863,0,0,1700570903
1,49.8676,5.7463,0,0,1700570903
1,49.5128,5.71902,0,0,1700570903
1,49.318,5.80813,0,0,1700570903
1,49.3305,5.88842,0,0,1700570903
1,49.3878,5.93286,0,0,1700570903
1,49.3616,5.92559,0,0,1700570903
1,49.3451,5.89703,0,0,1700570903
1,49.4346,5.95126,0,0,1700570903
1,49.5911,6.0013,0,0,1700570903
1,49.7467,5.945,0,0,1700570903
1,49.8192,5.88476,0,0,1700570903
1,49.8095,5.90237,0,0,1700570903
1,49.8096,5.96984,0,0,1700570903
1,49.8067,6.02811,0,0,1700570903
1,49.7705,6.03801,0,0,1700570903
1,49.705,6.04862,0,0,1700570903
1,49.5599,6.12458,0,0,1700570903
1,49.4197,6.2057,0,0,1700570903
1,49.3905,6.20607,0,0,1700570903
1,49.385,6.15532,0,0,1700570903
1,49.4006,6.11179,0,0,1700570903
1,49.5247,6.07298,0,0,1700570903
1,49.7298,6.0304,0,0,1700570903
1,49.9282,5.99846,0,0,1700570903
1,50.0507,6.00165,0,0,1700570903
1,50.1139,6.05468,0,0,1700570903
1,50.1818,6.10292,0,0,1700570903
1,50.2614,6.07822,0,0,1700570903
