Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,116.537,8.21205,0,0,1700571482
1,97.9983,0.626013,0,0,1700571482
1,120.346,0.111505,0,0,1700571482
1,111.706,5.11968,0,0,1700571482
1,120.334,7.01611,0,0,1700571482
1,105.901,1.77052,0,0,1700571482
1,116.228,1.89642,0,0,1700571482
1,114.327,0.195625,0,0,1700571482
1,105.055,4.41202,0,0,1700571482
1,122.422,1.18462,0,0,1700571482
1,109.371,1.62372,0,0,1700571482
1,108.932,8.22808,0,0,1700571482
1,105.899,8.00931,0,0,1700571482
1,116.351,9.35743,0,0,1700571482
1,96.1646,4.85425,0,0,1700571482
1,109.517,0.793201,0,0,1700571482
1,131.388,16.3499,0,0,1700571482
1,99.5402,6.91974,0,0,1700571482
1,104.208,3.94147,0,0,1700571482
1,123.886,6.3524,0,0,1700571482
1,118.902,24.6251,0,0,1700571482
1,105.691,5.42139,0,0,1700571482
1,108.283,3.91026,0,0,1700571482
1,134.314,8.51257,0,0,1700571482
1,113.437,8.01232,0,0,1700571482
1,104.707,23.9421,0,0,1700571482
1,115.662,5.58099,0,0,1700571482
1,133.596,4.71557,0,0,1700571482
1,96.3887,6.62167,0,0,1700571482
1,118.014,5.41606,0,0,1700571482
1,98.6874,1.27407,0,0,1700571482
1,120.392,5.73424,0,0,1700571482
1,116.943,4.87318,0,0,1700571482
1,110.715,3.46294,0,0,1700571482
1,101.917,1.13903,0,0,1700571482
1,120.85,15.9122,0,0,1700571482
1,107.505,3.54608,0,0,1700571482
1,149.361,4.88536,0,0,1700571482
1,101.526,4.8428,0,0,1700571482
1,138.537,0.203421,0,0,1700571482
1,105.222,3.97641,0,0,1700571482
1,117.049,5.56209,0,0,1700571482
1,112.979,4.93573,0,0,1700571482
1,106.553,6.11886,0,0,1700571482
1,121.003,0.310835,0,0,1700571482
1,113.58,2.7348,0,0,1700571482
1,146.166,0.198351,0,0,1700571482
1,132.441,1.43619,0,0,1700571482
1,89.7301,0.911962,0,0,1700571482
1,95.7716,5.34378,0,0,1700571482
1,122.151,8.09523,0,0,1700571482
1,102.551,9.18009,0,0,1700571482
1,113.29,4.10559,0,0,1700571482
1,110.11,1.82543,0,0,1700571482
1,94.3067,5.0049,0,0,1700571482
1,90.7,6.63427,0,0,1700571482
1,123.566,2.63432,0,0,1700571482
1,122.257,8.40583,0,0,1700571482
1,122.541,1.73176,0,0,1700571482
1,128.068,15.008,0,0,1700571482
1,121.768,2.16732,0,0,1700571482
1,112.131,6.8475,0,0,1700571482
1,109.038,14.1826,0,0,1700571482
1,91.1457,7.0066,0,0,1700571482
1,111.533,14.3075,0,0,1700571482
1,111.191,3.06867,0,0,1700571482
1,104.638,5.2427,0,0,1700571482
1,117.809,1.64421,0,0,1700571482
1,110.648,10.1468,0,0,1700571482
1,105.083,8.23023,0,0,1700571482
1,118.234,3.62387,0,0,1700571482
1,104.984,5.21558,0,0,1700571482
1,129.507,16.2243,0,0,1700571482
1,114.993,7.61819,0,0,1700571482
1,126.078,4.85579,0,0,1700571482
1,107.163,2.142,0,0,1700571482
1,125.018,10.7738,0,0,1700571482
1,116.773,1.65086,0,0,1700571482
1,113.359,10.9932,0,0,1700571482
1,138.722,10.2108,0,0,1700571482
1,115.032,8.05844,0,0,1700571482
1,116.175,5.48035,0,0,1700571482
1,107.285,10.8195,0,0,1700571482
1,102.462,1.36708,0,0,1700571482
1,101.731,6.56576,0,0,1700571482
1,94.324,3.63994,0,0,1700571482
1,114.412,3.3004,0,0,1700571482
1,120.939,15.4904,0,0,1700571482
1,129.767,12.4942,0,0,1700571482
1,127.135,5.66139,0,0,1700571482
1,111.985,0.638235,0,0,1700571482
1,108.958,5.95492,0,0,1700571482
1,111.993,2.88595,0,0,1700571482
1,100.183,0.389003,0,0,1700571482
1,106.115,4.74379,0,0,1700571482
1,107.232,19.2789,0,0,1700571482
1,103.049,7.99438,0,0,1700571482
1,131.489,16.0916,0,0,1700571482
1,113.878,1.82269,0,0,1700571482
1,117.329,7.85405,0,0,1700571482
1,123.4,11.9552,0,0,1700571482
1,101.278,5.98725,0,0,1700571482
1,90.8358,6.34762,0,0,1700571482
1,109.594,2.45,0,0,1700571482
1,87.4246,0.356855,0,0,1700571482
1,126.868,4.72135,0,0,1700571482
1,120.602,2.87409,0,0,1700571482
1,96.8853,4.28254,0,0,1700571482
1,126.987,22.8255,0,0,1700571482
1,107.183,2.75502,0,0,1700571482
1,119.842,6.19754,0,0,1700571482
1,120.315,4.10853,0,0,1700571482
1,119.639,5.61376,0,0,1700571482
1,105.674,10.0317,0,0,1700571482
1,99.2071,7.17047,0,0,1700571482
1,91.2276,7.73407,0,0,1700571482
1,99.3594,0.930788,0,0,1700571482
1,112.675,3.13441,0,0,1700571482
1,114.499,5.99455,0,0,1700571482
1,104.454,11.1134,0,0,1700571482
1,118.293,3.57129,0,0,1700571482
1,107.381,14.8304,0,0,1700571482
1,123.615,7.18315,0,0,1700571482
1,105.51,7.30748,0,0,1700571482
1,104.494,10.9709,0,0,1700571482
1,111.094,6.07644,0,0,1700571482
1,91.2937,5.23185,0,0,1700571482
1,107.637,3.20852,0,0,1700571482
1,97.0646,4.69107,0,0,1700571482
1,107.355,8.43975,0,0,1700571482
1,101.082,1.64219,0,0,1700571482
1,131.571,0.180454,0,0,1700571482
1,113,4.56653,0,0,1700571482
1,110.783,5.51771,0,0,1700571482
1,119.48,10.2981,0,0,1700571482
1,124.221,3.09104,0,0,1700571482
1,105.266,5.79694,0,0,1700571482
1,119.802,7.22957,0,0,1700571482
1,97.4226,1.81277,0,0,1700571482
1,114.134,2.46125,0,0,1700571482
1,107.946,1.66326,0,0,1700571482
1,114.207,2.88025,0,0,1700571482
1,96.0164,0.974173,0,0,1700571482
1,100.656,10.1552,0,0,1700571482
1,104.987,5.77577,0,0,1700571482
1,116.66,11.1691,0,0,1700571482
1,101.588,4.81757,0,0,1700571482
1,114.245,8.71844,0,0,1700571482
1,103.378,2.06106,0,0,1700571482
1,108.108,6.32849,0,0,1700571482
1,101.383,7.55694,0,0,1700571482
1,120.646,4.25167,0,0,1700571482
1,116.797,11.6624,0,0,1700571482
1,119.836,13.2034,0,0,1700571482
1,111.014,1.4177,0,0,1700571482
1,101.124,6.38972,0,0,1700571482
1,105.491,0.255441,0,0,1700571482
1,121,6.71591,0,0,1700571482
1,77.9604,5.80216,0,0,1700571482
1,114.702,10.6337,0,0,1700571482
1,132.418,11.1693,0,0,1700571482
1,109.968,9.15057,0,0,1700571482
1,116.441,8.57466,0,0,1700571482
1,127.865,5.61491,0,0,1700571482
1,125.263,7.62357,0,0,1700571482
1,116.229,11.4917,0,0,1700571482
1,128.947,20.8835,0,0,1700571482
1,112.27,0.820432,0,0,1700571482
1,103.235,4.89275,0,0,1700571482
1,117.204,6.7967,0,0,1700571482
1,104.298,2.33827,0,0,1700571482
1,134.185,10.1536,0,0,1700571482
1,113.222,4.83878,0,0,1700571482
1,115.113,4.98235,0,0,1700571482
1,106.392,2.39497,0,0,1700571482
1,92.8681,8.8742,0,0,1700571482
1,118.481,2.41873,0,0,1700571482
1,130.578,13.459,0,0,1700571482
1,110.311,5.74265,0,0,1700571482
1,107.987,6.36074,0,0,1700571482
1,108.478,6.10644,0,0,1700571482
1,113.986,2.14481,0,0,1700571482
1,107.248,2.43903,0,0,1700571482
1,122.431,8.78508,0,0,1700571482
1,96.076,4.62494,0,0,1700571482
1,110.843,0.384455,0,0,1700571482
1,105.097,7.78919,0,0,1700571482
1,96.0632,6.23538,0,0,1700571482
1,139.82,5.26978,0,0,1700571482
1,115.635,10.3437,0,0,1700571482
1,95.9073,11.5819,0,0,1700571482
1,123.374,1.33087,0,0,1700571482
1,128.342,2.82444,0,0,1700571482
1,118.417,6.46404,0,0,1700571482
1,133.159,13.0529,0,0,1700571482
1,106.089,3.76888,0,0,1700571482
1,110.662,7.30674,0,0,1700571482
1,105.544,0.10787,0,0,1700571482
1,107.828,10.9383,0,0,1700571482
1,117.535,5.92573,0,0,1700571482
1,112.197,2.03552,0,0,1700571482
1,92.6474,14.9126,0,0,1700571482
1,127.571,3.97437,0,0,1700571482
1,137.094,2.73313,0,0,1700571482
1,136.354,11.1234,0,0,1700571482
1,108.411,2.37848,0,0,1700571482
1,124.835,6.32862,0,0,1700571482
1,133.725,6.19899,0,0,1700571482
1,103.381,1.00512,0,0,1700571482
1,105.913,5.08933,0,0,1700571482
1,141.435,11.4225,0,0,1700571482
1,120.332,4.92262,0,0,1700571482
1,96.2472,2.37256,0,0,1700571482
1,115.87,15.1793,0,0,1700571482
1,114.252,3.29163,0,0,1700571482
1,112.736,1.37591,0,0,1700571482
1,102.1,9.71887,0,0,1700571482
1,95.2172,1.27844,0,0,1700571482
1,126.788,1.43233,0,0,1700571482
1,122.128,12.6853,0,0,1700571482
1,99.7321,0.994481,0,0,1700571482
1,129.33,4.0076,0,0,1700571482
1,131.412,26.2683,0,0,1700571482
1,128.053,3.19377,0,0,1700571482
1,106.72,1.21557,0,0,1700571482
1,117.053,4.14532,0,0,1700571482
1,115.507,6.5618,0,0,1700571482
1,106.734,3.52704,0,0,1700571482
1,108.52,2.48973,0,0,1700571482
1,121.928,0.377965,0,0,1700571482
1,118.401,9.91667,0,0,1700571482
1,119.077,8.40312,0,0,1700571482
1,125.466,2.65691,0,0,1700571482
1,105.688,5.01358,0,0,1700571482
1,121.791,9.3801,0,0,1700571482
1,115.666,7.19561,0,0,1700571482
1,113.449,0.42632,0,0,1700571482
1,109.78,13.4129,0,0,1700571482
1,100.506,0.0739938,0,0,1700571482
1,100.759,8.28485,0,0,1700571482
1,119.005,3.57612,0,0,1700571482
1,102.594,3.06606,0,0,1700571482
1,107.697,6.9577,0,0,1700571482
1,140.15,12.9129,0,0,1700571482
1,101.703,6.88923,0,0,1700571482
1,105.512,0.112376,0,0,1700571482
1,97.6677,6.79999,0,0,1700571482
1,109.509,1.92306,0,0,1700571482
1,120.86,12.8192,0,0,1700571482
1,105.705,2.23802,0,0,1700571482
1,116.923,3.81325,0,0,1700571482
1,100.389,5.08551,0,0,1700571482
1,97.1218,12.2758,0,0,1700571482
1,126.7,2.17243,0,0,1700571482
1,116.141,2.7703,0,0,1700571482
1,109.607,11.0554,0,0,1700571482
1,114.213,5.86558,0,0,1700571482
1,108.685,6.78461,0,0,1700571482
1,113.201,17.4159,0,0,1700571482
1,111.061,1.17752,0,0,1700571482
1,115.377,9.13987,0,0,1700571482
1,105.268,2.18879,0,0,1700571482
1,112.286,0.607428,0,0,1700571482
1,101.167,2.82107,0,0,1700571482
1,137.856,7.26396,0,0,1700571482
1,119.523,4.42864,0,0,1700571482
1,135.337,5.49466,0,0,1700571482
1,109.754,5.53126,0,0,1700571482
1,122.548,11.9931,0,0,1700571482
1,115.695,6.0348,0,0,1700571482
1,121.181,6.33382,0,0,1700571482
1,110.968,12.2273,0,0,1700571482
1,122.888,6.26629,0,0,1700571482
1,110.894,3.64588,0,0,1700571482
1,119.497,0.288062,0,0,1700571482
1,132.402,1.14635,0,0,1700571482
1,99.9958,1.68974,0,0,1700571482
1,110.352,5.06429,0,0,1700571482
1,125.979,14.1368,0,0,1700571482
1,116.918,3.82672,0,0,1700571482
1,102.718,2.02891,0,0,1700571482
1,112.879,7.16526,0,0,1700571482
1,117.056,3.29048,0,0,1700571482
1,122.752,1.69674,0,0,1700571482
1,116.012,0.265095,0,0,1700571482
1,116.988,4.86466,0,0,1700571482
1,103.191,11.4216,0,0,1700571482
1,117.427,3.07628,0,0,1700571482
1,106.526,3.62168,0,0,1700571482
1,113.96,1.5265,0,0,1700571482
1,107.958,7.58075,0,0,1700571482
1,99.0224,4.83291,0,0,1700571482
1,106.348,2.22997,0,0,1700571482
1,126.028,4.04164,0,0,1700571482
1,108.252,7.38238,0,0,1700571482
1,109.647,0.897019,0,0,1700571482
1,113.235,1.1438,0,0,1700571482
1,111.366,4.19342,0,0,1700571482
1,108.673,5.08709,0,0,1700571482
1,113.651,1.59937,0,0,1700571482
1,122.437,2.35283,0,0,1700571482
1,117.313,2.13791,0,0,1700571482
1,123.027,4.29892,0,0,1700571482
1,102.557,1.0513,0,0,1700571482
1,128.064,7.33775,0,0,1700571482
1,120.798,2.36494,0,0,1700571482
1,132.65,12.296,0,0,1700571482
1,120.606,10.0635,0,0,1700571482
1,110.185,1.46486,0,0,1700571482
1,116.133,1.69371,0,0,1700571482
1,135.402,2.79358,0,0,1700571482
1,137.878,2.62755,0,0,1700571482
1,100.453,12.2497,0,0,1700571482
1,115.134,4.99211,0,0,1700571482
1,104.899,11.6052,0,0,1700571482
1,109.479,3.1383,0,0,1700571482
1,129.46,4.55658,0,0,1700571482
1,131.306,12.0146,0,0,1700571482
1,107.222,2.47042,0,0,1700571482
1,124.738,4.08868,0,0,1700571482
1,123.173,15.0224,0,0,1700571482
1,101.606,11.9864,0,0,1700571482
1,124.828,2.21354,0,0,1700571482
1,108.873,10.9668,0,0,1700571482
1,118.392,2.64375,0,0,1700571482
1,126.485,5.40594,0,0,1700571482
1,105.285,11.7677,0,0,1700571482
1,111.565,9.70354,0,0,1700571482
1,97.9879,10.9937,0,0,1700571482
1,100.99,1.43824,0,0,1700571482
1,92.158,3.17327,0,0,1700571482
1,140.772,1.82414,0,0,1700571482
1,137.162,4.89151,0,0,1700571482
1,107.687,5.40509,0,0,1700571482
1,119.879,11.3544,0,0,1700571482
1,117.134,6.36493,0,0,1700571482
1,109.137,12.2367,0,0,1700571482
1,102.698,7.79309,0,0,1700571482
1,120.196,3.99975,0,0,1700571482
1,108.908,6.7174,0,0,1700571482
1,137.123,4.91496,0,0,1700571482
1,101.558,8.45681,0,0,1700571482
1,101.604,6.2061,0,0,1700571482
1,105.444,3.4056,0,0,1700571482
1,133.151,1.28009,0,0,1700571482
1,140.119,12.9433,0,0,1700571482
1,116.015,8.58997,0,0,1700571482
1,86.7365,9.14295,0,0,1700571482
1,106.754,1.44971,0,0,1700571482
1,126.421,6.00148,0,0,1700571482
1,91.0264,7.7055,0,0,1700571482
1,106.339,6.75937,0,0,1700571482
1,124.181,6.48223,0,0,1700571482
1,92.3851,0.676466,0,0,1700571482
1,111.703,6.30137,0,0,1700571482
1,92.3109,11.6426,0,0,1700571482
1,114.851,1.87229,0,0,1700571482
1,110.307,0.541267,0,0,1700571482
1,118.689,9.98705,0,0,1700571482
1,113.582,12.5775,0,0,1700571482
1,131.108,3.60498,0,0,1700571482
1,99.0639,1.32545,0,0,1700571482
1,105.941,15.8356,0,0,1700571482
1,108.132,13.7745,0,0,1700571482
1,111.922,2.14208,0,0,1700571482
1,116.207,2.84501,0,0,1700571482
1,127.045,7.57146,0,0,1700571482
1,91.0855,6.04685,0,0,1700571482
1,101.702,1.12097,0,0,1700571482
1,123.563,14.0141,0,0,1700571482
1,101.154,4.63292,0,0,1700571482
1,113.8,3.30135,0,0,1700571482
1,110.738,0.163002,0,0,1700571482
1,121.448,11.1981,0,0,1700571482
1,114.97,1.29815,0,0,1700571482
1,105.257,5.87479,0,0,1700571482
1,109.196,2.89376,0,0,1700571482
1,112.051,7.40266,0,0,1700571482
1,111.336,0.568919,0,0,1700571482
1,123.567,1.51765,0,0,1700571482
1,114.202,8.85592,0,0,1700571482
1,111.68,1.45075,0,0,1700571482
1,113.84,5.10817,0,0,1700571482
1,110.693,9.1785,0,0,1700571482
1,98.4059,0.805609,0,0,1700571482
1,107.94,7.0938,0,0,1700571482
1,127.912,2.25968,0,0,1700571482
1,117.231,6.85633,0,0,1700571482
1,124.942,4.16336,0,0,1700571482
1,101.114,2.57383,0,0,1700571482
1,97.698,11.5404,0,0,1700571482
1,88.4171,6.25404,0,0,1700571482
1,125.997,8.72682,0,0,1700571482
1,118.938,4.59183,0,0,1700571482
1,117.513,13.803,0,0,1700571482
1,124.503,13.5786,0,0,1700571482
1,102.666,11.7349,0,0,1700571482
1,116.63,5.94514,0,0,1700571482
1,115.244,2.35939,0,0,1700571482
1,109.661,3.05999,0,0,1700571482
1,96.1698,0.608751,0,0,1700571482
1,114.654,12.5128,0,0,1700571482
1,107.546,0.743905,0,0,1700571482
1,103.061,7.03125,0,0,1700571482
1,115.933,10.0333,0,0,1700571482
1,114.524,17.6134,0,0,1700571482
1,103.594,7.40398,0,0,1700571482
1,120.808,1.98904,0,0,1700571482
1,119.369,5.19057,0,0,1700571482
1,140.341,1.52372,0,0,1700571482
1,105.374,5.51619,0,0,1700571482
1,119.038,9.23679,0,0,1700571482
1,116.289,11.343,0,0,1700571482
1,106.637,11.9937,0,0,1700571482
1,103.476,9.64946,0,0,1700571482
1,115.385,10.281,0,0,1700571482
1,132.775,5.53314,0,0,1700571482
1,109.619,9.45008,0,0,1700571482
1,128.172,0.284266,0,0,1700571482
1,94.6245,4.65915,0,0,1700571482
1,128.388,0.568705,0,0,1700571482
1,109.146,7.23354,0,0,1700571482
1,110.26,8.70947,0,0,1700571482
1,123.498,1.7308,0,0,1700571483
1,102.346,3.19986,0,0,1700571483
1,115.608,9.07781,0,0,1700571483
1,113.796,2.97433,0,0,1700571483
1,106.184,4.24488,0,0,1700571483
1,140.331,7.77941,0,0,1700571483
1,107.59,4.1771,0,0,1700571483
1,110.686,2.5626,0,0,1700571483
1,109.982,9.28623,0,0,1700571483
1,105.529,0.924527,0,0,1700571483
1,102.767,4.6109,0,0,1700571483
1,117.715,8.4592,0,0,1700571483
1,114.962,3.78785,0,0,1700571483
1,120.41,4.97035,0,0,1700571483
1,107.622,3.22704,0,0,1700571483
1,114.376,10.9467,0,0,1700571483
1,117.915,3.33698,0,0,1700571483
1,93.3224,12.3388,0,0,1700571483
1,117.137,15.6982,0,0,1700571483
1,103.945,12.1265,0,0,1700571483
1,106.961,0.0400059,0,0,1700571483
1,104.924,4.11722,0,0,1700571483
1,115.452,5.57721,0,0,1700571483
1,101.931,6.56998,0,0,1700571483
1,99.8925,9.0484,0,0,1700571483
1,123.551,6.60677,0,0,1700571483
1,108.055,15.2918,0,0,1700571483
1,112.491,4.57095,0,0,1700571483
1,121.67,4.86131,0,0,1700571483
1,135.116,6.91734,0,0,1700571483
1,119.374,9.82507,0,0,1700571483
1,110.21,8.32137,0,0,1700571483
1,113.927,2.0734,0,0,1700571483
1,114.039,0.4652,0,0,1700571483
1,131.056,14.8214,0,0,1700571483
1,143.329,5.07854,0,0,1700571483
1,115.51,2.61844,0,0,1700571483
1,135.647,7.21756,0,0,1700571483
1,111.946,3.56612,0,0,1700571483
1,105.617,5.7352,0,0,1700571483
1,100.694,6.71937,0,0,1700571483
1,102.148,8.73197,0,0,1700571483
1,130.031,10.3251,0,0,1700571483
1,107.859,6.32805,0,0,1700571483
1,113.719,4.40018,0,0,1700571483
1,117.551,2.20588,0,0,1700571483
1,114.999,6.76833,0,0,1700571483
1,107.894,2.21746,0,0,1700571483
