Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,70.6488,5.76208,0,0,1700571735
1,70.6488,5.76208,0,0,1700571735
1,61.5023,8.39336,0,0,1700571735
1,58.6209,8.25335,0,0,1700571735
1,58.3636,8.10965,0,0,1700571735
1,59.7736,8.12857,0,0,1700571735
1,61.2894,8.35039,0,0,1700571735
1,62.3342,8.65114,0,0,1700571735
1,62.5878,8.81526,0,0,1700571735
1,61.6869,8.77104,0,0,1700571735
1,60.1219,8.69074,0,0,1700571735
1,58.7806,8.65547,0,0,1700571735
1,58.1375,8.51307,0,0,1700571735
1,58.0811,8.31672,0,0,1700571735
1,58.0873,8.20095,0,0,1700571735
1,57.9978,8.03321,0,0,1700571735
1,58.0601,7.77655,0,0,1700571735
1,58.0712,7.60342,0,0,1700571735
1,57.813,7.52321,0,0,1700571735
1,57.4982,7.43121,0,0,1700571735
1,57.2562,7.33295,0,0,1700571735
1,57.2001,7.27007,0,0,1700571735
1,57.298,7.22523,0,0,1700571735
1,57.2501,7.13174,0,0,1700571735
1,57.0017,7.0347,0,0,1700571735
1,56.6889,7.05734,0,0,1700571735
1,56.4888,7.12055,0,0,1700571735
1,56.5693,7.11148,0,0,1700571735
1,56.771,7.13839,0,0,1700571735
1,56.8527,7.23466,0,0,1700571735
1,56.7723,7.25478,0,0,1700571735
1,56.5652,7.22516,0,0,1700571735
1,56.427,7.28514,0,0,1700571735
1,56.4125,7.38491,0,0,1700571735
1,56.2818,7.45655,0,0,1700571735
1,56.0262,7.55071,0,0,1700571735
1,55.7911,7.65936,0,0,1700571735
1,55.5638,7.73819,0,0,1700571735
1,55.3151,7.78395,0,0,1700571735
1,55.0111,7.80021,0,0,1700571735
1,54.6664,7.79367,0,0,1700571735
1,54.4399,7.73827,0,0,1700571735
1,54.3602,7.6304,0,0,1700571735
1,54.3207,7.55145,0,0,1700571735
1,54.3599,7.55441,0,0,1700571735
1,54.4669,7.5802,0,0,1700571735
1,54.4973,7.5551,0,0,1700571735
1,54.4581,7.51115,0,0,1700571735
1,54.4691,7.50868,0,0,1700571735
1,54.5428,7.51229,0,0,1700571735
1,54.5609,7.45751,0,0,1700571735
1,54.4803,7.35,0,0,1700571735
1,54.3722,7.23419,0,0,1700571735
1,54.2361,7.1315,0,0,1700571735
1,54.1231,7.04468,0,0,1700571735
1,54.142,7.01572,0,0,1700571735
1,54.217,7.08619,0,0,1700571735
1,54.2248,7.17107,0,0,1700571735
1,54.1719,7.17119,0,0,1700571735
1,54.1004,7.12346,0,0,1700571735
1,54.0511,7.08309,0,0,1700571735
1,54.0674,7.06481,0,0,1700571735
1,54.1034,7.09882,0,0,1700571735
1,54.0743,7.18564,0,0,1700571735
1,53.9929,7.26359,0,0,1700571735
1,53.9557,7.28103,0,0,1700571735
1,54.0643,7.238,0,0,1700571735
1,54.2525,7.15962,0,0,1700571735
1,54.3881,7.09047,0,0,1700571735
1,54.5477,7.06837,0,0,1700571735
1,54.7641,7.07943,0,0,1700571735
1,54.8969,7.09053,0,0,1700571735
1,54.9206,7.10377,0,0,1700571735
1,54.8889,7.12992,0,0,1700571735
1,54.7981,7.16673,0,0,1700571735
1,54.669,7.2097,0,0,1700571735
1,54.5837,7.23845,0,0,1700571735
1,54.5655,7.25703,0,0,1700571735
1,54.5331,7.29558,0,0,1700571735
1,54.4531,7.33841,0,0,1700571735
1,54.3933,7.35162,0,0,1700571735
1,54.4137,7.33191,0,0,1700571735
1,54.4855,7.2974,0,0,1700571735
1,54.4946,7.26657,0,0,1700571735
1,54.3932,7.25822,0,0,1700571735
1,54.267,7.28957,0,0,1700571735
1,54.1778,7.34816,0,0,1700571735
1,54.1384,7.40455,0,0,1700571735
1,54.1563,7.44224,0,0,1700571735
1,54.1733,7.47246,0,0,1700571735
1,54.1416,7.51947,0,0,1700571735
1,54.1038,7.58624,0,0,1700571735
1,54.0869,7.6449,0,0,1700571735
1,54.0541,7.66137,0,0,1700571735
1,53.9942,7.64482,0,0,1700571735
1,53.9397,7.6213,0,0,1700571735
1,53.8805,7.58763,0,0,1700571735
1,53.8008,7.54493,0,0,1700571735
1,53.7809,7.51572,0,0,1700571735
1,53.8772,7.51511,0,0,1700571735
1,53.9918,7.54784,0,0,1700571735
1,54.0281,7.60717,0,0,1700571735
1,54.0076,7.6516,0,0,1700571735
1,53.9791,7.65285,0,0,1700571735
1,54.0005,7.62395,0,0,1700571735
1,54.0888,7.58405,0,0,1700571735
1,54.1603,7.55,0,0,1700571735
1,54.2029,7.53049,0,0,1700571735
1,54.2796,7.53274,0,0,1700571735
1,54.3493,7.5462,0,0,1700571735
1,54.3483,7.53731,0,0,1700571735
1,54.3121,7.50541,0,0,1700571735
1,54.3055,7.49474,0,0,1700571735
1,54.328,7.5279,0,0,1700571735
1,54.3424,7.55823,0,0,1700571735
1,54.3493,7.54625,0,0,1700571735
1,54.3482,7.51688,0,0,1700571735
1,54.3325,7.49794,0,0,1700571735
1,54.3453,7.48697,0,0,1700571735
1,54.4047,7.4707,0,0,1700571735
1,54.4566,7.44374,0,0,1700571735
1,54.475,7.40963,0,0,1700571735
1,54.4841,7.37467,0,0,1700571735
1,54.4972,7.35473,0,0,1700571735
1,54.5167,7.35266,0,0,1700571735
1,54.5359,7.34399,0,0,1700571735
1,54.5364,7.31686,0,0,1700571735
1,54.5064,7.28842,0,0,1700571735
1,54.4219,7.29296,0,0,1700571735
1,54.2906,7.33665,0,0,1700571735
1,54.2029,7.36609,0,0,1700571735
1,54.2051,7.35806,0,0,1700571735
1,54.2351,7.34699,0,0,1700571735
1,54.2473,7.35432,0,0,1700571735
