Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,70.6488,5.76208,0,0,1700571735
1,70.6488,5.76208,0,0,1700571735
1,43.2092,13.6559,0,0,1700571735
1,49.9767,7.83331,0,0,1700571735
1,57.3348,7.53485,0,0,1700571735
1,66.8233,8.22318,0,0,1700571735
1,70.3845,9.68135,0,0,1700571735
1,69.6479,10.7564,0,0,1700571735
1,64.6166,10.1281,0,0,1700571735
1,53.5788,8.37308,0,0,1700571735
1,44.4715,7.88772,0,0,1700571735
1,44.0258,8.26759,0,0,1700571735
1,50.4208,6.80424,0,0,1700571735
1,57.3479,5.76415,0,0,1700571735
1,58.1739,6.5802,0,0,1700571735
1,56.6551,5.51708,0,0,1700571735
1,59.0568,3.66997,0,0,1700571735
1,58.2602,4.66029,0,0,1700571735
1,53.1647,6.07939,0,0,1700571735
1,51.5177,5.68321,0,0,1700571735
1,52.4154,5.36773,0,0,1700571735
1,56.0236,5.94967,0,0,1700571735
1,59.4499,6.23872,0,0,1700571735
1,56.1496,4.98145,0,0,1700571735
1,51.0387,4.7058,0,0,1700571735
1,48.8706,7.62311,0,0,1700571735
1,51.2845,8.76425,0,0,1700571735
1,58.7434,6.86653,0,0,1700571735
1,62.418,7.89172,0,0,1700571735
1,59.2234,10.0267,0,0,1700571735
1,54.3594,7.85807,0,0,1700571735
1,50.1462,6.30697,0,0,1700571735
1,52.0035,9.20451,0,0,1700571735
1,55.933,10.6775,0,0,1700571735
1,51.8402,9.89217,0,0,1700571735
1,47.0812,10.8464,0,0,1700571735
1,47.3265,11.5708,0,0,1700571735
1,47.1518,10.6548,0,0,1700571735
1,45.8662,9.5229,0,0,1700571735
1,43.156,8.43449,0,0,1700571735
1,40.8751,7.53179,0,0,1700571735
1,45.1548,5.46709,0,0,1700571735
1,51.0137,3.0999,0,0,1700571735
1,52.621,4.15648,0,0,1700571735
1,56.0834,7.68474,0,0,1700571735
1,59.2852,8.74056,0,0,1700571735
1,55.8929,6.40069,0,0,1700571735
1,52.6196,5.44523,0,0,1700571735
1,54.9969,7.39012,0,0,1700571735
1,58.1535,7.68934,0,0,1700571735
1,55.4626,4.71876,0,0,1700571735
1,50.3726,1.86673,0,0,1700571735
1,48.7493,1.21237,0,0,1700571735
1,47.0241,1.68862,0,0,1700571735
1,48.0216,2.35632,0,0,1700571735
1,55.1812,5.42303,0,0,1700571735
1,58.4188,11.0327,0,0,1700571735
1,54.6648,12.0093,0,0,1700571735
1,51.1078,7.17772,0,0,1700571735
1,49.8803,4.30744,0,0,1700571735
1,51.0952,4.66073,0,0,1700571735
1,55.0571,5.95031,0,0,1700571735
1,56.3395,9.20748,0,0,1700571735
1,52.2397,12.6551,0,0,1700571735
1,48.7821,12.2522,0,0,1700571735
1,51.5376,8.41482,0,0,1700571735
1,61.2352,4.39782,0,0,1700571735
1,66.8612,1.90858,0,0,1700571735
1,63.6089,2.38821,0,0,1700571735
1,65.5577,5.54291,0,0,1700571735
1,69.9119,7.85384,0,0,1700571735
1,64.3268,7.87886,0,0,1700571735
1,56.6243,8.05669,0,0,1700571735
1,52.5794,9.03932,0,0,1700571735
1,48.0788,9.89076,0,0,1700571735
1,44.9822,10.4326,0,0,1700571735
1,48.1056,9.42335,0,0,1700571735
1,53.1646,8.68783,0,0,1700571735
1,52.0059,10.3022,0,0,1700571735
1,48.1274,10.7222,0,0,1700571735
1,49.6101,8.40799,0,0,1700571735
1,56.0692,5.73549,0,0,1700571735
1,60.3705,4.46761,0,0,1700571735
1,55.2487,4.70779,0,0,1700571735
1,45.8785,6.55666,0,0,1700571735
1,43.5432,9.95401,0,0,1700571735
1,46.5001,12.3876,0,0,1700571735
1,50.7094,12.3104,0,0,1700571735
1,55.7321,10.7588,0,0,1700571735
1,55.6864,10.1621,0,0,1700571735
1,51.293,11.7508,0,0,1700571735
1,50.6653,13.6618,0,0,1700571735
1,52.5278,13.042,0,0,1700571735
1,51.0064,9.19287,0,0,1700571735
1,48.367,6.08912,0,0,1700571735
1,48.758,5.38677,0,0,1700571735
1,48.1979,4.35573,0,0,1700571735
1,46.0698,3.40226,0,0,1700571735
1,51.8295,4.6531,0,0,1700571735
1,63.4111,7.45479,0,0,1700571735
1,65.4546,10.8208,0,0,1700571735
1,57.6914,13.5998,0,0,1700571735
1,51.9164,12.1839,0,0,1700571735
1,51.0485,7.78086,0,0,1700571735
1,56.2239,4.61848,0,0,1700571735
1,63.3611,3.39495,0,0,1700571735
1,61.7395,3.94087,0,0,1700571735
1,58.7603,5.44273,0,0,1700571735
1,62.5662,7.77568,0,0,1700571735
1,61.9395,9.01291,0,0,1700571735
1,54.2427,6.56015,0,0,1700571735
1,50.2884,3.96453,0,0,1700571735
1,53.5705,6.29876,0,0,1700571735
1,56.8709,11.2749,0,0,1700571735
1,55.983,11.0168,0,0,1700571735
1,55.1389,6.16845,0,0,1700571735
1,54.2235,4.10981,0,0,1700571735
1,52.4983,5.28162,0,0,1700571735
1,55.8496,6.19244,0,0,1700571735
1,61.477,5.53455,0,0,1700571735
1,60.6896,4.20887,0,0,1700571735
1,56.6921,3.28252,0,0,1700571735
1,55.5978,3.10954,0,0,1700571735
1,56.114,4.90174,0,0,1700571735
1,56.9288,7.09631,0,0,1700571735
1,56.9414,6.25998,0,0,1700571735
1,54.5997,3.89828,0,0,1700571735
1,50.6959,3.67623,0,0,1700571735
1,43.6075,7.87411,0,0,1700571735
1,37.3467,12.9728,0,0,1700571735
1,42.8083,11.194,0,0,1700571735
1,54.4855,6.30602,0,0,1700571735
1,58.198,5.88566,0,0,1700571735
1,55.8727,8.3292,0,0,1700571735
