Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.2644,6.06561,0,0,1700571904
1,26.0846,6.06561,0,0,1700571904
1,41.2115,13.546,0,0,1700571904
1,45.0386,6.98611,0,0,1700571904
1,46.2851,7.96069,0,0,1700571904
1,49.4947,8.76301,0,0,1700571904
1,49.1566,6.99972,0,0,1700571904
1,46.4209,5.78954,0,0,1700571904
1,46.165,6.15642,0,0,1700571904
1,46.9495,6.22137,0,0,1700571904
1,47.447,5.59259,0,0,1700571904
1,49.6255,5.72773,0,0,1700571904
1,49.6474,7.15663,0,0,1700571904
1,46.5747,6.97562,0,0,1700571904
1,45.6204,4.9714,0,0,1700571904
1,46.4619,4.55216,0,0,1700571904
1,49.4097,5.89892,0,0,1700571904
1,54.1476,7.55794,0,0,1700571904
1,54.6109,7.55282,0,0,1700571904
1,51.3929,5.08667,0,0,1700571904
1,51.613,4.11879,0,0,1700571904
1,54.8897,6.52349,0,0,1700571904
1,53.7123,9.53019,0,0,1700571904
1,49.4344,10.8198,0,0,1700571904
1,51.3342,11.7311,0,0,1700571904
1,56.6568,6.06561,0,0,1700571904
1,54.9135,6.06561,0,0,1700571904
1,48.7601,6.06561,0,0,1700571904
1,49.1108,11.3334,0,0,1700571904
1,53.3758,8.71526,0,0,1700571904
1,52.4074,7.04783,0,0,1700571904
1,50.4301,4.95216,0,0,1700571904
1,52.9922,6.17645,0,0,1700571904
1,54.1549,7.71774,0,0,1700571904
1,50.6713,6.03053,0,0,1700571904
1,49.6538,5.37925,0,0,1700571904
1,53.2341,6.02041,0,0,1700571904
1,54.5221,4.70248,0,0,1700571904
1,53.0658,2.96593,0,0,1700571904
1,53.0084,2.73212,0,0,1700571904
1,53.4766,3.71049,0,0,1700571904
1,53.6071,4.65267,0,0,1700571904
1,54.1969,3.62582,0,0,1700571904
1,55.625,3.28221,0,0,1700571904
1,56.5286,6.61505,0,0,1700571904
1,54.4564,9.42401,0,0,1700571904
1,52.1366,9.94175,0,0,1700571904
1,51.7779,10.0358,0,0,1700571904
1,50.4317,8.31537,0,0,1700571904
1,47.1238,6.77561,0,0,1700571904
1,42.6988,8.115,0,0,1700571904
1,40.6532,9.70523,0,0,1700571904
1,43.7682,10.9518,0,0,1700571904
1,48.7562,12.0391,0,0,1700571904
1,51.5519,9.60724,0,0,1700571904
1,50.0633,5.75934,0,0,1700571904
1,47.3996,7.34655,0,0,1700571904
1,48.3919,12.0987,0,0,1700571904
1,51.2044,13.6554,0,0,1700571904
1,53.6793,13.0226,0,0,1700571904
1,53.6442,12.2377,0,0,1700571904
1,51.2853,11.417,0,0,1700571904
1,53.0833,12.9419,0,0,1700571904
1,56.3262,6.06561,0,0,1700571904
1,54.5189,6.06561,0,0,1700571904
1,52.4719,13.5312,0,0,1700571904
1,53.838,8.54951,0,0,1700571904
1,55.0621,5.94962,0,0,1700571904
1,55.1805,5.45056,0,0,1700571904
1,54.565,6.32566,0,0,1700571904
1,50.6601,5.37339,0,0,1700571904
1,46.7928,4.61085,0,0,1700571904
1,48.5996,7.01079,0,0,1700571904
1,52.6003,9.63982,0,0,1700571904
1,51.834,11.0551,0,0,1700571904
1,44.6376,10.4006,0,0,1700571904
1,39.7606,7.36144,0,0,1700571904
1,44.511,5.90665,0,0,1700571904
1,51.5572,7.76695,0,0,1700571904
