Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,67.2644,6.06561,0,0,1700571904
1,46.6745,6.06561,0,0,1700571904
1,44.8535,8.55908,0,0,1700571904
1,44.8998,8.16584,0,0,1700571904
1,45.1768,8.12481,0,0,1700571904
1,45.8965,8.23118,0,0,1700571904
1,46.3622,8.05525,0,0,1700571904
1,46.3695,7.77204,0,0,1700571904
1,46.3468,7.59253,0,0,1700571904
1,46.4071,7.45541,0,0,1700571904
1,46.5016,7.28606,0,0,1700571904
1,46.7619,7.1562,0,0,1700571904
1,46.9839,7.15624,0,0,1700571904
1,46.9547,7.14333,0,0,1700571904
1,46.8657,6.99854,0,0,1700571904
1,46.8405,6.84564,0,0,1700571904
1,46.9916,6.78995,0,0,1700571904
1,47.3892,6.83262,0,0,1700571904
1,47.7693,6.87052,0,0,1700571904
1,47.9504,6.78133,0,0,1700571904
1,48.1249,6.65454,0,0,1700571904
1,48.4324,6.64859,0,0,1700571904
1,48.6619,6.77387,0,0,1700571904
1,48.6941,6.94246,0,0,1700571904
1,48.7997,7.134,0,0,1700571904
1,49.1019,7.09291,0,0,1700571904
1,49.3171,7.05486,0,0,1700571904
1,49.2972,7.01953,0,0,1700571904
1,49.2908,7.16829,0,0,1700571904
1,49.427,7.21985,0,0,1700571904
1,49.5231,7.2143,0,0,1700571904
1,49.5515,7.14361,0,0,1700571904
1,49.6557,7.1143,0,0,1700571904
1,49.7881,7.13205,0,0,1700571904
1,49.8133,7.10058,0,0,1700571904
1,49.8089,7.05277,0,0,1700571904
1,49.9014,7.02486,0,0,1700571904
1,50.023,6.96375,0,0,1700571904
1,50.1011,6.86124,0,0,1700571904
1,50.1737,6.75801,0,0,1700571904
1,50.2543,6.68368,0,0,1700571904
1,50.3341,6.63532,0,0,1700571904
1,50.424,6.56534,0,0,1700571904
1,50.5422,6.49072,0,0,1700571904
1,50.6752,6.49348,0,0,1700571904
1,50.7574,6.55719,0,0,1700571904
1,50.7867,6.6292,0,0,1700571904
1,50.8074,6.70017,0,0,1700571904
1,50.7997,6.73314,0,0,1700571904
1,50.7262,6.73399,0,0,1700571904
1,50.5688,6.76106,0,0,1700571904
1,50.3781,6.81768,0,0,1700571904
1,50.2534,6.89569,0,0,1700571904
1,50.2257,6.99093,0,0,1700571904
1,50.2498,7.0385,0,0,1700571904
1,50.2465,7.01566,0,0,1700571904
1,50.1965,7.02147,0,0,1700571904
1,50.1654,7.109,0,0,1700571904
1,50.183,7.21996,0,0,1700571904
1,50.2413,7.31667,0,0,1700571904
1,50.2971,7.39734,0,0,1700571904
1,50.313,7.46218,0,0,1700571904
1,50.357,7.54916,0,0,1700571904
1,50.4502,7.52598,0,0,1700571904
1,50.5128,7.50351,0,0,1700571904
1,50.5425,7.59484,0,0,1700571904
1,50.5917,7.60909,0,0,1700571904
1,50.6574,7.58468,0,0,1700571904
1,50.723,7.55375,0,0,1700571904
1,50.5389,7.55752,0,0,1700571904
1,50.8951,7.54749,0,0,1700571904
1,50.976,7.41799,0,0,1700571904
1,51.0276,7.41835,0,0,1700571904
1,51.1191,7.44269,0,0,1700571904
1,51.153,7.47591,0,0,1700571904
1,51.0875,7.5252,0,0,1700571904
1,50.991,7.54798,0,0,1700571904
1,50.9671,7.54436,0,0,1700571904
1,51.0338,7.56676,0,0,1700571904
1,51.0897,7.61504,0,0,1700571904
1,51.0326,7.62398,0,0,1700571904
1,50.9733,7.57945,0,0,1700571904
1,51.0555,7.56127,0,0,1700571904
1,51.1954,7.60169,0,0,1700571904
1,51.2547,7.64887,0,0,1700571904
1,51.1814,7.65972,0,0,1700571904
1,51.0406,7.64262,0,0,1700571904
1,50.9619,7.65927,0,0,1700571904
1,50.9461,7.73198,0,0,1700571904
1,50.8763,7.80303,0,0,1700571904
1,50.7287,7.84522,0,0,1700571904
1,50.6309,7.86156,0,0,1700571904
1,50.6673,7.86185,0,0,1700571904
1,50.7677,7.87028,0,0,1700571904
1,50.8177,7.99695,0,0,1700571904
1,50.8153,7.99695,0,0,1700571904
1,50.8265,8.11761,0,0,1700571904
1,50.7895,8.07434,0,0,1700571904
1,50.6751,8.00606,0,0,1700571904
1,50.5993,7.99548,0,0,1700571904
1,50.5487,8.0773,0,0,1700571904
1,50.4649,8.15534,0,0,1700571904
1,50.4452,8.18956,0,0,1700571904
1,50.5412,8.2002,0,0,1700571904
1,50.631,8.16045,0,0,1700571904
1,50.6067,8.10865,0,0,1700571904
1,50.5175,8.13314,0,0,1700571904
1,50.4604,8.20682,0,0,1700571904
1,50.4594,8.26257,0,0,1700571904
1,50.4737,8.30768,0,0,1700571904
1,50.4465,8.3442,0,0,1700571904
1,50.3881,8.3607,0,0,1700571904
1,50.3341,8.36252,0,0,1700571904
1,50.2673,8.3369,0,0,1700571904
1,50.2494,8.28893,0,0,1700571904
1,50.3391,8.23726,0,0,1700571904
1,50.3983,8.17847,0,0,1700571904
1,50.3529,8.12864,0,0,1700571904
1,50.3192,8.1028,0,0,1700571904
1,50.3528,8.10083,0,0,1700571904
1,50.3981,8.14617,0,0,1700571904
1,50.3829,8.20608,0,0,1700571904
1,50.2996,8.20959,0,0,1700571904
1,50.2595,8.20606,0,0,1700571904
1,50.37,8.24808,0,0,1700571904
1,50.5556,8.26642,0,0,1700571904
1,50.6381,8.23437,0,0,1700571904
1,50.5798,8.19777,0,0,1700571904
1,50.4806,8.16597,0,0,1700571904
1,50.4555,8.11449,0,0,1700571904
1,50.5198,8.03008,0,0,1700571904
1,50.5276,7.94408,0,0,1700571904
1,50.4232,8.05958,0,0,1700571904
1,50.2936,8.05958,0,0,1700571904
1,50.1584,7.95139,0,0,1700571904
1,50.0407,8.00144,0,0,1700571904
1,49.9507,8.07897,0,0,1700571904
1,49.8575,8.12692,0,0,1700571904
1,49.838,8.13489,0,0,1700571904
1,49.9458,8.21009,0,0,1700571904
1,50.0495,8.35733,0,0,1700571904
1,50.018,8.4515,0,0,1700571904
1,49.9384,8.45443,0,0,1700571904
1,50.005,8.41318,0,0,1700571904
1,50.2305,8.37041,0,0,1700571904
1,50.4622,8.3678,0,0,1700571904
1,50.5989,8.39427,0,0,1700571904
1,50.6339,8.37414,0,0,1700571904
1,50.6778,8.30908,0,0,1700571904
1,50.8618,8.29458,0,0,1700571904
1,51.0794,8.37604,0,0,1700571904
1,51.1342,8.49349,0,0,1700571904
1,51.087,8.5437,0,0,1700571904
1,51.136,8.5035,0,0,1700571904
1,51.2883,8.46729,0,0,1700571904
1,51.3989,8.49487,0,0,1700571904
1,51.4389,8.53038,0,0,1700571904
1,51.4939,8.54117,0,0,1700571904
1,51.61,8.55128,0,0,1700571904
1,51.7833,8.53607,0,0,1700571904
1,51.9608,8.47213,0,0,1700571904
1,52.019,8.40172,0,0,1700571904
1,51.9207,8.37644,0,0,1700571904
1,51.7794,8.38005,0,0,1700571904
1,51.6726,8.48525,0,0,1700571904
1,51.6343,8.40513,0,0,1700571904
1,51.7217,8.37389,0,0,1700571904
1,51.8844,8.38738,0,0,1700571904
1,52.0115,8.36493,0,0,1700571904
1,52.1429,8.3015,0,0,1700571904
1,52.3033,8.2587,0,0,1700571904
1,52.3556,8.26434,0,0,1700571904
1,52.2964,8.32962,0,0,1700571904
1,52.2797,8.44372,0,0,1700571904
1,52.3483,8.5139,0,0,1700571904
1,52.4715,8.48379,0,0,1700571904
1,52.6344,8.44829,0,0,1700571904
1,52.755,8.46615,0,0,1700571904
1,52.7652,8.46437,0,0,1700571904
1,52.7307,8.46146,0,0,1700571904
1,52.7093,8.55339,0,0,1700571904
1,52.6989,8.68315,0,0,1700571904
1,52.7333,8.73787,0,0,1700571904
1,52.793,8.72965,0,0,1700571904
1,52.7855,8.70169,0,0,1700571904
1,52.7351,8.66068,0,0,1700571904
1,52.7328,8.62742,0,0,1700571904
1,52.7864,8.62017,0,0,1700571904
1,52.8863,8.64197,0,0,1700571904
1,52.9747,8.67429,0,0,1700571904
1,53.0062,8.54357,0,0,1700571904
1,53.0528,8.45349,0,0,1700571904
1,53.0768,8.53111,0,0,1700571904
1,52.944,8.53248,0,0,1700571904
1,52.7614,8.50136,0,0,1700571904
1,52.7607,8.48355,0,0,1700571904
1,52.9146,8.46717,0,0,1700571904
1,53.0324,8.43542,0,0,1700571904
1,53.0287,8.40499,0,0,1700571904
1,52.9333,8.4262,0,0,1700571904
1,52.8557,8.45921,0,0,1700571904
1,52.829,8.39365,0,0,1700571904
1,52.8153,8.44899,0,0,1700571904
1,52.8596,8.53544,0,0,1700571904
1,52.9029,8.5175,0,0,1700571904
1,52.8787,8.44838,0,0,1700571904
1,52.8695,8.38926,0,0,1700571904
1,52.8411,8.35233,0,0,1700571904
1,52.7257,8.26133,0,0,1700571904
1,52.6099,8.12362,0,0,1700571904
1,52.5805,8.01629,0,0,1700571904
1,52.569,7.97191,0,0,1700571904
1,52.4582,7.94754,0,0,1700571904
1,52.3507,7.92688,0,0,1700571904
1,52.3898,7.94489,0,0,1700571904
1,52.4661,7.98103,0,0,1700571904
1,52.4351,7.9956,0,0,1700571904
1,52.2974,8.0033,0,0,1700571904
1,52.1384,8.01713,0,0,1700571904
1,52.0647,7.97834,0,0,1700571904
1,52.0979,7.86921,0,0,1700571904
1,52.1363,7.82312,0,0,1700571904
1,52.1219,7.90142,0,0,1700571904
1,52.1299,7.99764,0,0,1700571904
1,52.2081,8.04869,0,0,1700571904
1,52.302,8.05903,0,0,1700571904
1,52.3562,8.01661,0,0,1700571904
1,52.3857,7.92611,0,0,1700571904
1,52.4168,7.82908,0,0,1700571904
1,52.4428,7.77023,0,0,1700571904
1,52.4817,7.73893,0,0,1700571904
1,52.4988,7.6568,0,0,1700571904
1,52.4451,7.51292,0,0,1700571904
1,52.4076,7.43857,0,0,1700571904
1,52.4194,7.50971,0,0,1700571904
1,52.3944,7.6196,0,0,1700571904
1,52.3391,7.66713,0,0,1700571904
1,52.2972,7.6872,0,0,1700571904
1,52.2136,7.70303,0,0,1700571904
1,52.0801,7.67286,0,0,1700571904
1,51.9643,7.60664,0,0,1700571904
1,51.8616,7.54627,0,0,1700571904
1,51.8019,7.50701,0,0,1700571904
1,51.8476,7.49842,0,0,1700571904
1,51.9217,7.52737,0,0,1700571904
1,51.9306,7.56934,0,0,1700571904
1,51.8986,7.59948,0,0,1700571904
1,51.8897,7.64488,0,0,1700571904
1,51.8817,7.67603,0,0,1700571904
1,51.8179,7.61206,0,0,1700571904
1,51.7321,7.50429,0,0,1700571904
1,51.6257,7.45416,0,0,1700571904
1,51.459,7.45317,0,0,1700571904
1,51.3333,7.45691,0,0,1700571904
1,51.3502,7.46954,0,0,1700571904
1,51.4144,7.49522,0,0,1700571904
1,51.4353,7.48759,0,0,1700571904
1,51.4741,7.41204,0,0,1700571904
1,51.5911,7.30497,0,0,1700571904
1,51.7353,7.35646,0,0,1700571904
1,51.7946,7.37171,0,0,1700571904
1,51.754,7.23331,0,0,1700571904
1,51.7399,7.21054,0,0,1700571904
1,51.7882,7.25242,0,0,1700571904
1,51.7729,7.24855,0,0,1700571904
1,51.6969,7.22605,0,0,1700571904
1,51.6844,7.27562,0,0,1700571904
1,51.7314,7.37525,0,0,1700571904
1,51.8063,7.42865,0,0,1700571904
1,51.9098,7.41836,0,0,1700571904
1,52.0441,7.39078,0,0,1700571904
1,52.2558,7.34244,0,0,1700571904
1,52.4733,7.28372,0,0,1700571904
1,52.592,7.29369,0,0,1700571904
1,52.6685,7.37766,0,0,1700571904
1,52.7267,7.45103,0,0,1700571904
1,52.7375,7.48106,0,0,1700571904
1,52.7401,7.50384,0,0,1700571904
1,52.7447,7.55673,0,0,1700571904
1,52.7554,7.63601,0,0,1700571904
1,52.8317,7.71907,0,0,1700571904
1,52.9604,7.80959,0,0,1700571904
1,53.0288,7.89798,0,0,1700571904
1,52.969,7.94987,0,0,1700571904
1,52.861,7.99296,0,0,1700571904
1,52.893,8.09824,0,0,1700571904
1,53.0782,8.22315,0,0,1700571904
1,53.1704,8.25579,0,0,1700571904
1,53.0684,8.22646,0,0,1700571904
1,52.9268,8.21922,0,0,1700571904
1,52.8476,8.18784,0,0,1700571904
1,52.8076,8.09116,0,0,1700571904
1,52.8004,7.98521,0,0,1700571904
1,52.8479,7.91294,0,0,1700571904
1,52.884,7.88469,0,0,1700571904
1,52.8368,7.90274,0,0,1700571904
1,52.7563,7.95527,0,0,1700571904
1,52.6654,8.0294,0,0,1700571904
1,52.5419,8.11489,0,0,1700571904
1,52.4242,8.21347,0,0,1700571904
1,52.3464,8.3326,0,0,1700571904
1,52.3046,8.45876,0,0,1700571904
1,52.2815,8.54462,0,0,1700571904
1,52.3078,8.55153,0,0,1700571904
1,52.4322,8.51461,0,0,1700571904
1,52.546,8.48397,0,0,1700571904
1,52.5359,8.43608,0,0,1700571904
1,52.487,8.3714,0,0,1700571904
1,52.4632,8.34422,0,0,1700571904
1,52.4675,8.33426,0,0,1700571904
1,52.5275,8.30653,0,0,1700571904
1,52.5182,8.28239,0,0,1700571904
1,52.3284,8.26382,0,0,1700571904
1,52.0798,8.22549,0,0,1700571904
1,51.8834,8.16641,0,0,1700571904
1,51.7415,8.11953,0,0,1700571904
1,51.6688,8.0824,0,0,1700571904
1,51.7246,8.07074,0,0,1700571904
1,51.8571,8.14458,0,0,1700571904
1,51.8949,8.24182,0,0,1700571904
1,51.8567,8.28006,0,0,1700571904
1,51.8453,8.30657,0,0,1700571904
1,51.8064,8.35644,0,0,1700571904
1,51.7566,8.40448,0,0,1700571904
1,51.8255,8.44603,0,0,1700571904
1,51.9544,8.50692,0,0,1700571904
1,51.9621,8.58856,0,0,1700571904
1,51.8844,8.6367,0,0,1700571904
1,51.8751,8.6361,0,0,1700571904
1,51.9289,8.65516,0,0,1700571904
1,51.9467,8.71453,0,0,1700571904
1,51.8959,8.74293,0,0,1700571904
1,51.8695,8.72404,0,0,1700571904
1,51.9414,8.71735,0,0,1700571904
1,51.9915,8.69628,0,0,1700571904
1,51.9262,8.61344,0,0,1700571904
1,51.8434,8.54987,0,0,1700571904
1,51.7545,8.53891,0,0,1700571904
1,51.6063,8.51008,0,0,1700571904
1,51.4744,8.47171,0,0,1700571904
1,51.3652,8.45616,0,0,1700571904
1,51.235,8.40646,0,0,1700571904
1,51.1474,8.29727,0,0,1700571904
1,51.1002,8.21337,0,0,1700571904
1,51.0275,8.20431,0,0,1700571904
1,50.9572,8.21505,0,0,1700571904
1,50.9861,8.19131,0,0,1700571904
1,51.1638,8.12891,0,0,1700571904
1,51.3662,8.03616,0,0,1700571904
1,51.4619,7.91807,0,0,1700571904
1,51.47,7.82717,0,0,1700571904
1,51.4171,7.80267,0,0,1700571904
1,51.3405,7.76927,0,0,1700571904
1,51.2763,7.67618,0,0,1700571904
1,51.162,7.5694,0,0,1700571904
1,50.9882,7.48804,0,0,1700571904
1,50.8593,7.46748,0,0,1700571904
1,50.8133,7.51316,0,0,1700571904
1,50.8212,7.56713,0,0,1700571904
1,50.8691,7.61004,0,0,1700571904
1,50.8869,7.66746,0,0,1700571904
1,50.8069,7.71551,0,0,1700571904
1,50.6531,7.69152,0,0,1700571904
1,50.4991,7.60959,0,0,1700571904
1,50.4117,7.56748,0,0,1700571904
1,50.3901,7.59854,0,0,1700571904
1,50.4354,7.63662,0,0,1700571904
1,50.5342,7.63123,0,0,1700571904
1,50.6129,7.59577,0,0,1700571904
1,50.6641,7.56477,0,0,1700571904
1,50.6979,7.54472,0,0,1700571904
1,50.6654,7.50357,0,0,1700571904
1,50.5385,7.4315,0,0,1700571904
1,50.3645,7.38591,0,0,1700571904
1,50.2738,7.40602,0,0,1700571904
1,50.3199,7.47544,0,0,1700571904
1,50.4053,7.55459,0,0,1700571904
1,50.4827,7.57929,0,0,1700571904
1,50.5613,7.55856,0,0,1700571904
1,50.615,7.552,0,0,1700571904
1,50.6775,7.54853,0,0,1700571904
1,50.791,7.5472,0,0,1700571904
1,50.8993,7.56118,0,0,1700571904
1,50.9601,7.54949,0,0,1700571904
1,51.0343,7.49451,0,0,1700571904
1,51.1353,7.4608,0,0,1700571904
1,51.1418,7.48419,0,0,1700571904
1,51.0788,7.48554,0,0,1700571904
1,51.1403,7.46663,0,0,1700571904
1,51.3386,7.52132,0,0,1700571904
1,51.5186,7.62215,0,0,1700571904
1,51.5786,7.71427,0,0,1700571904
1,51.5318,7.80444,0,0,1700571904
1,51.4116,7.87657,0,0,1700571904
1,51.2332,7.90445,0,0,1700571904
1,51.0866,7.89674,0,0,1700571904
1,51.0014,7.87815,0,0,1700571904
1,50.8929,7.8403,0,0,1700571904
1,50.7932,7.77918,0,0,1700571904
1,50.8686,7.73434,0,0,1700571904
1,51.1499,7.70567,0,0,1700571904
1,51.369,7.66318,0,0,1700571904
1,51.3312,7.64152,0,0,1700571904
1,51.2161,7.67226,0,0,1700571904
1,51.1907,7.68189,0,0,1700571904
1,51.182,7.59892,0,0,1700571904
1,51.1527,7.49943,0,0,1700571904
1,51.1649,7.48328,0,0,1700571904
1,51.2009,7.51739,0,0,1700571904
1,51.2287,7.56741,0,0,1700571904
1,51.2983,7.66005,0,0,1700571904
1,51.3934,7.74681,0,0,1700571904
1,51.4566,7.75365,0,0,1700571904
1,51.5279,7.72012,0,0,1700571904
1,51.6308,7.7248,0,0,1700571904
1,51.6795,7.7528,0,0,1700571904
1,51.627,7.76679,0,0,1700571904
1,51.5375,7.81358,0,0,1700571904
1,51.4641,7.91862,0,0,1700571904
1,51.4554,8.00638,0,0,1700571904
1,51.5567,8.04839,0,0,1700571904
1,51.7118,8.12138,0,0,1700571904
1,51.8581,8.23149,0,0,1700571904
1,51.989,8.2892,0,0,1700571904
1,52.1094,8.28756,0,0,1700571904
1,52.2583,8.29421,0,0,1700571904
1,52.4284,8.3355,0,0,1700571904
1,52.5412,8.39846,0,0,1700571904
1,52.5845,8.44377,0,0,1700571904
1,52.6162,8.4351,0,0,1700571904
1,52.6408,8.40596,0,0,1700571904
1,52.6425,8.41593,0,0,1700571904
1,52.6528,8.47342,0,0,1700571904
1,52.6697,8.54888,0,0,1700571904
1,52.6404,8.60401,0,0,1700571904
1,52.5282,8.63303,0,0,1700571904
1,52.3888,8.65746,0,0,1700571904
1,52.3392,8.64752,0,0,1700571904
1,52.3852,8.55641,0,0,1700571904
1,52.4787,8.42404,0,0,1700571904
1,52.6177,8.34117,0,0,1700571904
1,52.7204,8.33583,0,0,1700571904
1,52.6818,8.35033,0,0,1700571904
1,52.6039,8.34104,0,0,1700571904
1,52.6638,8.32251,0,0,1700571904
1,52.7963,8.31627,0,0,1700571904
1,52.8627,8.36908,0,0,1700571904
1,52.8875,8.49038,0,0,1700571904
1,52.915,8.58073,0,0,1700571904
1,52.9431,8.59207,0,0,1700571904
1,52.9547,8.58327,0,0,1700571904
1,52.933,8.591,0,0,1700571904
