Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,72.1148,4.79817,0,0,1700568448
1,72.1148,4.79817,0,0,1700568448
1,69.8407,8.08694,0,0,1700568448
1,79.3796,0.0741976,0,0,1700568448
1,77.1689,0.722919,0,0,1700568448
1,70.5255,3.24087,0,0,1700568448
1,65.4843,5.72003,0,0,1700568448
1,68.4187,4.97651,0,0,1700568448
1,73.7241,4.55147,0,0,1700568448
1,75.6079,6.83965,0,0,1700568448
1,77.088,6.57434,0,0,1700568448
1,79.2966,3.83818,0,0,1700568448
1,79.7149,4.41111,0,0,1700568448
1,78.3365,7.20275,0,0,1700568448
1,75.6204,6.744,0,0,1700568448
1,71.3786,4.0606,0,0,1700568448
1,67.2717,3.92653,0,0,1700568448
1,65.7549,4.96073,0,0,1700568448
1,67.5473,3.68343,0,0,1700568448
1,70.5396,1.77154,0,0,1700568448
1,70.6894,1.50941,0,0,1700568448
1,68.0625,2.87356,0,0,1700568448
1,69.6722,5.15123,0,0,1700568448
1,78.3775,5.92763,0,0,1700568448
1,84.0749,4.93439,0,0,1700568448
1,76.9984,5.31639,0,0,1700568448
1,65.4527,6.32263,0,0,1700568448
1,63.9452,6.05067,0,0,1700568448
1,69.5745,6.4241,0,0,1700568448
1,73.7628,7.05667,0,0,1700568448
1,77.1017,5.82539,0,0,1700568448
1,76.3867,5.06746,0,0,1700568448
1,68.0348,5.53628,0,0,1700568448
1,61.6736,4.38174,0,0,1700568448
1,65.1386,3.43361,0,0,1700568448
1,70.1948,4.57754,0,0,1700568448
1,70.4055,4.60979,0,0,1700568448
1,70.7207,3.52475,0,0,1700568448
1,71.6763,4.50253,0,0,1700568448
1,71.9241,7.17577,0,0,1700568448
1,72.9486,8.73635,0,0,1700568448
1,72.0192,8.29135,0,0,1700568448
1,70.7791,8.11972,0,0,1700568448
1,72.9415,8.08792,0,0,1700568448
1,75.0224,5.9103,0,0,1700568448
1,73.613,4.37447,0,0,1700568448
1,70.459,6.16739,0,0,1700568448
1,71.0613,8.80888,0,0,1700568448
1,75.4121,9.6491,0,0,1700568448
1,77.8363,8.05202,0,0,1700568448
1,76.4831,5.64975,0,0,1700568448
1,73.0377,5.38962,0,0,1700568448
1,71.9854,7.09212,0,0,1700568448
1,72.8986,6.89476,0,0,1700568448
1,69.6927,4.91916,0,0,1700568448
1,66.2585,4.92858,0,0,1700568448
1,69.1671,5.28186,0,0,1700568448
1,74.1943,4.29307,0,0,1700568448
1,75.1609,4.37566,0,0,1700568448
1,73.4805,4.50476,0,0,1700568448
1,75.119,3.2753,0,0,1700568448
1,79.7288,2.41932,0,0,1700568448
1,79.0944,2.48698,0,0,1700568448
1,73.589,2.67509,0,0,1700568448
1,72.0444,2.18209,0,0,1700568448
1,73.1599,1.89918,0,0,1700568448
1,71.9654,3.61931,0,0,1700568448
1,70.0712,5.44695,0,0,1700568448
1,68.9819,6.25738,0,0,1700568448
1,69.13,8.11026,0,0,1700568448
1,68.0294,8.89729,0,0,1700568448
1,65.1979,6.18288,0,0,1700568448
