Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,72.1148,4.79817,0,0,1700568448
1,72.1148,4.79817,0,0,1700568448
1,71.3568,5.89443,0,0,1700568448
1,73.3625,4.43937,0,0,1700568448
1,74.1238,3.69608,0,0,1700568448
1,73.5241,3.62021,0,0,1700568448
1,72.3755,3.92019,0,0,1700568448
1,71.8809,4.05223,0,0,1700568448
1,72.0857,4.1077,0,0,1700568448
1,72.4379,4.38089,0,0,1700568448
1,72.8607,4.5803,0,0,1700568448
1,73.397,4.51845,0,0,1700568448
1,73.883,4.5102,0,0,1700568448
1,74.2011,4.70252,0,0,1700568448
1,74.2957,4.83862,0,0,1700568448
1,74.1134,4.78999,0,0,1700568448
1,73.711,4.7392,0,0,1700568448
1,73.269,4.75151,0,0,1700568448
1,72.9678,4.69529,0,0,1700568448
1,72.8464,4.54911,0,0,1700568448
1,72.7437,4.40436,0,0,1700568448
1,72.5309,4.33478,0,0,1700568448
1,72.4066,4.37028,0,0,1700568448
1,72.6554,4.43516,0,0,1700568448
1,73.1122,4.45513,0,0,1700568448
1,73.2617,4.48826,0,0,1700568448
1,72.9724,4.5562,0,0,1700568448
1,72.65,4.60957,0,0,1700568448
1,72.544,4.67214,0,0,1700568448
1,72.5846,4.75163,0,0,1700568448
1,72.7303,4.78627,0,0,1700568448
1,72.8446,4.79505,0,0,1700568448
1,72.6989,4.81751,0,0,1700568448
1,72.3746,4.8047,0,0,1700568448
1,72.1678,4.76552,0,0,1700568448
1,72.113,4.7603,0,0,1700568448
1,72.0669,4.75623,0,0,1700568448
1,72.0315,4.72383,0,0,1700568448
1,72.0223,4.71815,0,0,1700568448
1,72.0199,4.77959,0,0,1700568448
1,72.0425,4.8761,0,0,1700568448
1,72.042,4.95741,0,0,1700568448
1,72.0126,5.03096,0,0,1700568448
1,72.0337,5.10043,0,0,1700568448
1,72.1001,5.11843,0,0,1700568448
1,72.133,5.10226,0,0,1700568448
1,72.0974,5.12492,0,0,1700568448
1,72.0758,5.20167,0,0,1700568448
1,72.1439,5.29243,0,0,1700568448
1,72.2578,5.34762,0,0,1700568448
1,72.3406,5.35355,0,0,1700568448
1,72.354,5.35424,0,0,1700568448
1,72.3471,5.38703,0,0,1700568448
1,72.3573,5.41495,0,0,1700568448
1,72.3088,5.40594,0,0,1700568448
1,72.2008,5.39741,0,0,1700568448
1,72.1476,5.39539,0,0,1700568448
1,72.1829,5.37638,0,0,1700568448
1,72.2333,5.35942,0,0,1700568448
1,72.2541,5.34518,0,0,1700568448
1,72.3011,5.31124,0,0,1700568448
1,72.4209,5.2646,0,0,1700568448
1,72.5268,5.22051,0,0,1700568448
1,72.5434,5.18074,0,0,1700568448
1,72.5357,5.1346,0,0,1700568448
1,72.5452,5.08558,0,0,1700568448
1,72.5365,5.0637,0,0,1700568448
1,72.5003,5.06933,0,0,1700568448
1,72.4493,5.08655,0,0,1700568448
1,72.4019,5.12975,0,0,1700568448
1,72.3403,5.18281,0,0,1700568448
1,72.2411,5.1967,0,0,1700568448
